Dong,화재_장소별화재발생_Autonomous Gu_Autonomous Gu,화재_장소별화재발생_Total_Total,화재_장소별화재발생_Hou-sing_Detached dwelling,화재_장소별화재발생_Hou-sing_공동주택,화재_장소별화재발생_Hou-sing_기타주택,화재_장소별화재발생_비주거_학교,화재_장소별화재발생_비주거_일반업무,화재_장소별화재발생_비주거_판매시설,화재_장소별화재발생_비주거_숙박시설,화재_장소별화재발생_비주거_종교시설,화재_장소별화재발생_비주거_의료시설,화재_장소별화재발생_비주거_공장 및 창고,화재_장소별화재발생_비주거_작업장,화재_장소별화재발생_비주거_위락오락시설,화재_장소별화재발생_비주거_음식점,화재_장소별화재발생_비주거_일반서비스시설,화재_장소별화재발생_비주거_Others,"화재_장소별화재발생_위험물(가스, 제조소 등)_위험물(가스, 제조소 등)","화재_장소별화재발생_운송(차량, 철도 등)_운송(차량, 철도 등)",화재_장소별화재발생_임야_임야,화재_장소별화재발생_Others_Others
Hongeun 2(i)-dong,Seodaemun-gu,17.0,1,6,-,1,-,-,-,-,-,-,-,-,1,-,-,-,2,-,6
Namgajwa 1(il)-dong,Seodaemun-gu,9.0,1,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,2,-,2
Namgajwa 2(i)-dong,Seodaemun-gu,19.0,7,6,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,3
Bukgajwa 1(il)-dong,Seodaemun-gu,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Bukgajwa 2(i)-dong,Seodaemun-gu,21.0,4,9,1,-,-,-,-,1,-,-,-,1,-,-,1,-,3,-,1
Chunghyeon-dong,Seodaemun-gu,23.0,5,7,-,1,-,-,-,-,-,-,-,-,1,1,1,-,3,-,4
Bugahyeon-dong,Seodaemun-gu,8.0,1,2,-,-,2,-,-,-,-,1,-,-,-,-,-,-,1,-,1
Sinchon-dong,Seodaemun-gu,35.0,2,2,1,1,-,2,-,-,1,-,-,2,12,3,4,-,1,-,4
Yeonhui-dong,Seodaemun-gu,21.0,3,7,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,7
Yonggang-dong,Mapo-gu,9.0,1,1,-,-,1,-,-,-,-,-,-,-,4,-,-,-,1,-,1
Daeheung-dong,Mapo-gu,18.0,5,-,2,2,1,-,-,-,-,-,1,-,2,-,1,-,1,-,3
Yeomni-dong,Mapo-gu,6.0,-,3,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Sinsu-dong,Mapo-gu,6.0,1,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,2
Seogyo-dong,Mapo-gu,59.0,1,5,1,-,11,2,1,-,-,1,-,5,12,2,8,-,3,-,7
Hapjeong-dong,Mapo-gu,13.0,1,3,-,-,1,-,1,-,-,-,-,-,1,1,-,-,3,-,2
Mangwon 1(il)-dong,Mapo-gu,10.0,-,2,-,-,-,-,-,-,-,-,-,2,1,1,-,-,3,-,1
Mangwon 2(i)-dong,Mapo-gu,8.0,1,2,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,2
Yeonnam-dong,Mapo-gu,8.0,1,5,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
Seongsan 1(il)-dong,Mapo-gu,13.0,2,4,-,-,1,-,-,-,-,-,-,-,-,1,2,-,3,-,-
Seongsan 2(i)-dong,Mapo-gu,17.0,-,4,-,-,-,1,-,-,-,-,-,-,-,-,4,-,4,2,2
Sangam-dong,Mapo-gu,15.0,2,2,-,-,-,-,-,-,-,-,-,-,3,-,2,-,5,1,-
Dohwa-dong,Mapo-gu,5.0,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,2
Seogang-dong,Mapo-gu,13.0,2,2,-,-,-,-,-,-,-,-,1,-,2,1,3,-,1,-,1
gongdeok-dong,Mapo-gu,22.0,4,3,-,-,-,1,-,-,-,-,2,-,4,1,3,-,4,-,-
Ahyeon-dong,Mapo-gu,4.0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1
Mok 1(il)-dong,Yangcheon-gu,16.0,-,2,-,-,4,1,-,-,1,-,-,-,6,-,-,-,1,-,1
Mok 2(i)-dong,Yangcheon-gu,18.0,2,12,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Mok 3(sam)-dong,Yangcheon-gu,20.0,3,6,-,-,1,-,-,-,-,-,-,-,6,-,1,-,-,-,3
Mok 4(sa)-dong,Yangcheon-gu,21.0,3,7,1,-,-,-,-,-,-,-,-,-,2,4,1,-,1,-,2
Sinwol 1(il)-dong,Yangcheon-gu,19.0,1,9,-,-,1,1,-,-,-,1,-,-,1,3,1,-,1,-,-
Sinwol 2(i)-dong,Yangcheon-gu,10.0,-,4,-,-,-,1,-,-,-,-,2,-,-,-,2,-,1,-,-
Sinwol 3(sam)-dong,Yangcheon-gu,11.0,5,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3
Sinwol 4(sa)-dong,Yangcheon-gu,7.0,-,5,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
Sinwol 5(o)-dong,Yangcheon-gu,7.0,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Sinwol 6(yuk)-dong,Yangcheon-gu,7.0,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,3
Sinwol 7(chil)-dong,Yangcheon-gu,14.0,1,9,-,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-,-
Sinjeong 1(il)-dong,Yangcheon-gu,7.0,1,3,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-
Sinjeong 2(i)-dong,Yangcheon-gu,9.0,1,3,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,-,1
Sinjeong 3(sam)-dong,Yangcheon-gu,17.0,5,7,-,1,-,1,-,-,-,-,-,-,1,1,-,-,1,-,-
Sinjeong 6(yuk)-dong,Yangcheon-gu,7.0,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Sinjeong 7(chil)-dong,Yangcheon-gu,6.0,-,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Mok 5(o)-dong,Yangcheon-gu,9.0,-,2,-,-,1,-,-,1,-,-,-,-,2,1,1,-,-,-,1
Sinjeong 4(sa)-dong,Yangcheon-gu,28.0,3,9,1,-,1,1,-,-,-,1,-,1,-,1,1,-,6,-,3
Yeomchang-dong,Gangseo-gu,8.0,-,-,-,-,1,-,2,-,-,-,-,-,-,1,-,-,3,1,-
Deungchon 1(il)-dong,Gangseo-gu,13.0,1,4,-,-,1,-,-,-,-,2,-,1,1,-,-,-,1,-,2
Deungchon 2(i)-dong,Gangseo-gu,8.0,4,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-
Deungchon 3(sam)-dong,Gangseo-gu,11.0,-,5,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,4
Hwagokbon-dong,Gangseo-gu,13.0,2,6,-,-,1,-,-,-,-,-,-,-,1,1,-,-,1,-,1
Hwagok 2(i)-dong,Gangseo-gu,8.0,1,3,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1
Hwagok 3(sam)-dong,Gangseo-gu,8.0,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Hwagok 4(sa)-dong,Gangseo-gu,9.0,-,3,-,-,-,1,-,-,-,1,-,-,1,1,-,-,1,1,-
Hwagok 6(yuk)-dong,Gangseo-gu,14.0,1,7,-,-,1,-,-,-,-,-,-,2,1,-,-,-,-,-,2
Hwagok 8(pal)-dong,Gangseo-gu,10.0,4,2,1,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-
Gayang 1(il)-dong,Gangseo-gu,15.0,-,-,-,-,2,1,-,-,-,-,-,2,2,-,3,-,2,-,3
Gayang 2(i)-dong,Gangseo-gu,5.0,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1
Gayang 3(sam)-dong,Gangseo-gu,3.0,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-
Balsan 1(il)-dong,Gangseo-gu,10.0,-,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,3
Gonghang-dong,Gangseo-gu,15.0,2,1,1,-,-,-,-,-,-,1,-,1,2,-,4,-,-,-,3
Banghwa 1(il)-dong,Gangseo-gu,12.0,2,2,1,-,-,-,-,-,-,-,-,-,2,-,1,-,-,1,3
Banghwa 2(i)-dong,Gangseo-gu,28.0,3,5,-,-,2,1,-,-,-,-,-,-,1,1,2,-,3,-,10
Banghwa 3(sam)-dong,Gangseo-gu,10.0,-,4,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,2
Hwagok 1(il)-dong,Gangseo-gu,22.0,3,9,-,-,-,-,1,1,1,-,-,-,2,3,-,-,1,-,1
Ujangsan-dong,Gangseo-gu,20.0,-,8,-,-,1,1,-,-,-,-,-,1,1,2,2,-,1,-,3
Sindorim-dong,Guro-gu,10.0,1,1,-,1,-,-,-,-,-,3,-,-,1,-,-,-,-,1,2
Guro 1(il)-dong,Guro-gu,6.0,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,2,-,-
Guro 3(sam)-dong,Guro-gu,28.0,1,2,-,-,1,-,-,-,-,11,-,-,2,3,4,-,1,-,3
Guro 4(sa)-dong,Guro-gu,13.0,2,1,-,-,-,-,-,-,2,-,-,-,4,1,-,-,1,-,2
Guro 5(o)-dong,Guro-gu,18.0,8,1,-,-,1,-,1,-,-,-,-,-,1,1,3,-,1,-,1
Gocheok 1(il)-dong,Guro-gu,15.0,1,6,-,-,1,-,-,-,-,-,1,-,1,-,1,-,2,-,2
Gocheok 2(i)-dong,Guro-gu,13.0,4,4,-,-,-,-,-,1,-,-,-,1,-,1,-,-,1,1,-
Gaebong 2(i)-dong,Guro-gu,15.0,2,5,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,4
Gaebong 3(sam)-dong,Guro-gu,12.0,4,3,-,-,-,-,-,-,-,-,1,-,2,-,-,-,1,1,-
Oryu 1(il)-dong,Guro-gu,7.0,1,1,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,2
Oryu 2(i)-dong,Guro-gu,17.0,1,4,-,-,2,-,-,-,1,1,-,-,1,-,1,-,1,1,4
Sugung-dong,Guro-gu,22.0,1,10,-,-,-,-,-,-,-,1,-,-,1,3,1,-,2,-,3
Garibong-dong,Guro-gu,13.0,4,-,-,-,-,-,-,-,-,-,-,-,6,-,1,-,2,-,-
Guro 2(i)-dong,Guro-gu,30.0,12,2,1,-,2,-,-,-,-,-,1,2,1,-,1,-,2,2,4
Gaebong 1(il)-dong,Guro-gu,19.0,4,7,1,-,-,-,-,-,-,-,1,1,1,1,-,-,2,-,1
Gasan-dong,Geumcheon-gu,27.0,5,-,-,-,1,-,-,-,-,7,-,-,4,2,-,-,4,-,4
Doksan 1(il)-dong,Geumcheon-gu,25.0,3,4,-,-,1,-,-,-,-,6,3,-,1,4,-,-,3,-,-
Doksan 2(i)-dong,Geumcheon-gu,10.0,4,-,-,-,-,-,-,-,-,-,1,-,1,1,2,-,-,-,1
Doksan 3(sam)-dong,Geumcheon-gu,13.0,6,3,-,-,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-
Doksan 4(sa)-dong,Geumcheon-gu,12.0,5,2,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,2
Siheung 1(il)-dong,Geumcheon-gu,24.0,6,5,-,-,-,-,1,1,-,1,-,-,2,3,-,-,1,2,2
Siheung 2(i)-dong,Geumcheon-gu,8.0,-,3,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,1
Siheung 3(sam)-dong,Geumcheon-gu,6.0,1,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
Siheung 4(sa)-dong,Geumcheon-gu,12.0,5,4,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1
Siheung 5(o)-dong,Geumcheon-gu,7.0,2,-,1,-,-,-,-,1,-,-,-,-,-,1,1,-,1,-,-
Yeouido-dong,Yeongdeungpo-gu,24.0,-,1,-,-,-,2,-,-,-,-,-,1,3,-,2,-,6,1,8
Dangsan 1(il)-dong,Yeongdeungpo-gu,11.0,2,-,-,-,3,-,-,-,-,-,-,-,4,-,-,-,1,-,1
Dangsan2(i)-dong,Yeongdeungpo-gu,12.0,-,2,-,-,2,-,-,-,-,-,2,-,1,1,-,-,3,-,1
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,8.0,-,1,-,-,-,-,-,-,-,-,3,1,1,-,-,-,1,-,1
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,6.0,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,2
Singil 1(il)-dong,Yeongdeungpo-gu,10.0,3,-,-,1,-,-,-,-,-,-,-,1,2,1,-,-,2,-,-
Singil 3(sam)-dong,Yeongdeungpo-gu,6.0,1,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,1,-,-
Singil 4(sa)-dong,Yeongdeungpo-gu,9.0,3,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,1,-,-
Singil 5(o)-dong,Yeongdeungpo-gu,3.0,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Singil 6(yuk)-dong,Yeongdeungpo-gu,20.0,7,1,-,-,2,1,-,-,1,-,-,1,5,-,1,-,1,-,-
Singil 7(chil)-dong,Yeongdeungpo-gu,3.0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Daerim 1(il)-dong,Yeongdeungpo-gu,6.0,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,3
Daerim 2(i)-dong,Yeongdeungpo-gu,5.0,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
Daerim 3(sam)-dong,Yeongdeungpo-gu,13.0,1,3,-,-,1,2,-,-,-,-,1,-,5,-,-,-,-,-,-
Yeongdeungpobon-dong,Yeongdeungpo-gu,11.0,3,2,-,-,-,-,-,-,-,-,1,-,2,1,-,-,1,-,1
Yeongdeungpo-dong,Yeongdeungpo-gu,37.0,2,-,-,-,4,1,2,-,-,1,2,2,7,2,1,-,2,-,11
Dorim-dong,Yeongdeungpo-gu,11.0,5,1,-,-,1,-,-,-,-,-,-,-,1,1,1,-,-,-,1
Mullae-dong,Yeongdeungpo-gu,24.0,-,1,-,-,1,1,-,-,-,5,6,-,2,1,2,-,2,-,3
Noryangjin 2(i)-dong,Dongjak-gu,5.0,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,2
Sangdo 1(il)-dong,Dongjak-gu,15.0,4,5,-,-,-,-,-,1,-,-,-,-,1,2,-,-,1,-,1
Sangdo 2(i)-dong,Dongjak-gu,12.0,1,2,-,-,1,-,-,-,-,1,-,-,3,1,2,-,-,-,1
Sangdo 3(sam)-dong,Dongjak-gu,7.0,1,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3
Sangdo 4(sa)-dong,Dongjak-gu,11.0,3,1,-,-,-,-,-,-,-,-,1,-,2,-,2,-,1,-,1
Sadang 1(il)-dong,Dongjak-gu,13.0,3,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,5
Sadang 3(sam)-dong,Dongjak-gu,5.0,1,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-
Sadang 4(sa)-dong,Dongjak-gu,4.0,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
Sadang 5(o)-dong,Dongjak-gu,5.0,1,1,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
Daebang-dong,Dongjak-gu,20.0,4,5,-,-,1,-,-,-,-,-,-,1,1,-,-,-,5,-,3
Sindaebang 1(il)-dong,Dongjak-gu,7.0,2,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,-,1
Sindaebang 2(i)-dong,Dongjak-gu,3.0,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Heukseok-dong,Dongjak-gu,16.0,3,4,-,-,-,-,-,-,-,-,-,-,2,1,-,-,2,-,4
Noryangjin 1(il)-dong,Dongjak-gu,19.0,3,2,-,-,-,3,-,-,-,1,-,1,1,2,2,-,1,1,2
Sadang 2(i)-dong,Dongjak-gu,17.0,1,4,-,-,-,-,-,-,-,-,-,-,1,3,1,-,3,-,4
Boramae-dong,Gwanak-gu,19.0,3,6,-,-,-,1,-,-,-,-,-,-,2,2,-,-,2,-,3
Cheongnim-dong,Gwanak-gu,5.0,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Haengun-dong,Gwanak-gu,10.0,1,4,-,-,-,-,-,-,-,-,-,-,1,2,-,-,2,-,-
Nagseongdae-dong,Gwanak-gu,16.0,2,3,-,-,2,-,-,-,-,-,1,-,3,-,1,-,1,-,3
Jungang-dong,Gwanak-gu,12.0,3,1,-,-,3,-,-,-,1,-,-,-,4,-,-,-,-,-,-
Inheon-dong,Gwanak-gu,12.0,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Namhyeon-dong,Gwanak-gu,14.0,3,2,-,-,2,-,-,-,-,-,-,-,1,2,-,-,2,-,2
Sewon-dong,Gwanak-gu,20.0,2,8,-,-,2,-,-,-,-,-,-,1,4,1,-,-,1,-,1
Sinwon-dong,Gwanak-gu,10.0,5,1,-,-,1,1,-,-,-,-,-,-,1,-,-,-,1,-,-
Serim-dong,Gwanak-gu,16.0,10,5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Sinsa-dong,Gwanak-gu,16.0,6,1,-,-,-,-,-,-,-,-,-,1,5,2,1,-,-,-,-
Sillim-dong,Gwanak-gu,18.0,3,5,-,-,1,-,-,-,-,-,-,1,3,1,1,-,1,-,2
Nanhyang-dong,Gwanak-gu,4.0,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-
Jowon-dong,Gwanak-gu,16.0,2,2,-,-,1,-,-,-,1,-,-,1,4,1,1,-,1,-,2
Daehak-dong,Gwanak-gu,14.0,-,5,-,1,-,-,-,-,1,-,-,-,1,3,1,-,1,-,1
Euncheon-dong,Gwanak-gu,12.0,1,1,-,-,-,-,-,1,-,-,-,-,1,2,1,-,3,-,2
Seonghyeon-dong,Gwanak-gu,11.0,1,5,-,1,-,-,-,-,1,1,-,1,-,-,-,-,1,-,-
Cheongnyong-dong,Gwanak-gu,19.0,2,4,-,-,4,1,-,1,-,-,-,-,5,2,-,-,-,-,-
Nangok-dong,Gwanak-gu,21.0,8,11,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
Samseong-dong,Gwanak-gu,15.0,5,6,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,-
Miseong-dong,Gwanak-gu,19.0,1,8,-,-,1,1,-,-,1,-,-,-,2,1,-,-,1,-,3
Seocho 1(il)-dong,Seocho-gu,6.0,1,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,2
Seocho 2(i)-dong,Seocho-gu,18.0,-,3,-,-,4,-,-,-,-,-,-,-,5,1,2,-,2,-,1
Seocho 3(sam)-dong,Seocho-gu,21.0,-,3,1,-,7,-,-,1,-,-,-,-,1,-,3,-,2,-,3
Seocho 4(sa)-dong,Seocho-gu,17.0,-,1,-,-,3,-,-,-,-,1,-,-,5,1,-,-,5,-,1
Jamwon-dong,Seocho-gu,15.0,1,2,-,-,2,-,1,-,-,-,-,1,1,-,1,-,2,-,4
Banpobon-dong,Seocho-gu,5.0,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1
Banpo 1(il)-dong,Seocho-gu,16.0,1,4,-,-,1,1,-,-,1,-,-,-,1,1,-,-,2,-,4
Banpo 2(i)-dong,Seocho-gu,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
Banpo 3(sam)-dong,Seocho-gu,4.0,-,1,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-
Banpo 4(sa)-dong,Seocho-gu,10.0,-,3,-,-,-,-,-,1,-,-,-,-,2,1,1,-,-,1,1
Bangbaebon-dong,Seocho-gu,7.0,1,3,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-
Bangbae 1(il)-dong,Seocho-gu,9.0,1,1,-,-,-,-,-,1,-,-,-,-,-,1,1,-,1,-,3
Bangbae 2(i)-dong,Seocho-gu,10.0,2,-,-,-,1,-,-,-,-,-,-,-,2,-,1,-,1,-,3
Bangbae 3(sam)-dong,Seocho-gu,10.0,2,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3
Bangbae 4(sa)-dong,Seocho-gu,5.0,-,1,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Yangjae 1(il)-dong,Seocho-gu,25.0,1,5,-,-,3,-,-,1,-,-,-,-,4,-,2,-,1,-,8
Yangjae 2(i)-dong,Seocho-gu,23.0,-,3,-,-,3,1,-,-,-,1,-,-,2,3,3,-,5,-,2
Naegok-dong,Seocho-gu,13.0,1,-,1,-,-,-,-,-,-,1,1,-,-,-,3,-,1,1,4
Sinsa-dong,Gangnam-gu,29.0,1,3,-,-,4,1,-,-,1,-,-,-,4,1,3,-,9,-,2
Nonhyeon 1(il)-dong,Gangnam-gu,42.0,8,7,-,-,5,2,-,-,1,-,-,1,6,4,2,-,2,-,4
Nonhyeon 2(i)-dong,Gangnam-gu,33.0,7,3,-,-,7,-,-,-,1,-,-,-,11,1,1,-,2,-,-
Samseong 1(il)-dong,Gangnam-gu,10.0,-,1,-,-,2,-,-,-,-,-,-,-,2,1,-,-,2,-,2
Samseong 2(i)-dong,Gangnam-gu,16.0,3,3,-,-,5,2,1,-,-,-,-,-,-,-,1,-,-,-,1
Daechi 1(il)-dong,Gangnam-gu,7.0,-,4,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-
Daechi 4(sa)-dong,Gangnam-gu,21.0,2,2,-,-,9,-,-,-,-,-,-,1,3,2,-,-,1,-,1
Yeoksam 1(il)-dong,Gangnam-gu,56.0,6,6,-,-,14,-,-,-,-,1,-,1,17,3,3,-,5,-,-
Yeoksam 2(i)-dong,Gangnam-gu,16.0,2,2,-,-,1,-,-,-,-,-,-,-,3,1,5,-,1,-,1
Dogok 1(il)-dong,Gangnam-gu,12.0,2,2,-,-,1,2,-,-,-,-,-,-,1,1,1,-,2,-,-
Dogok 2(i)-dong,Gangnam-gu,8.0,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-
Gaepo 1(il)-dong,Gangnam-gu,15.0,-,9,1,-,-,-,-,-,-,-,-,-,1,1,1,-,2,-,-
Gaepo 4(sa)-dong,Gangnam-gu,20.0,1,8,1,-,3,1,-,-,-,-,1,-,4,-,1,-,-,-,-
Irwonbon-dong,Gangnam-gu,6.0,1,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-
Irwon 1(il)-dong,Gangnam-gu,9.0,1,5,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-
Irwon 2(i)-dong,Gangnam-gu,5.0,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Suseo-dong,Gangnam-gu,9.0,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Segok-dong,Gangnam-gu,13.0,3,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,4,-,2
Apgujeong -dong,Gangnam-gu,32.0,1,9,-,-,3,1,-,-,1,-,-,-,5,5,1,-,1,-,5
Cheongdam -dong,Gangnam-gu,29.0,2,4,-,-,6,-,-,-,1,-,-,1,8,1,3,-,1,-,2
Daechi 2(i)-dong,Gangnam-gu,20.0,-,7,-,-,2,1,-,-,-,-,-,1,4,-,1,-,3,-,1
Gaepo 2(i)-dong,Gangnam-gu,13.0,-,7,2,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,1
Pungnap 1(il)-dong,Songpa-gu,8.0,2,1,-,-,-,-,-,-,-,-,-,1,1,-,2,-,1,-,-
Pungnap 2(i)-dong,Songpa-gu,18.0,3,4,-,-,1,-,-,-,-,-,-,-,-,1,3,-,3,-,3
Geoyeo 1(il)-dong,Songpa-gu,9.0,1,2,-,-,3,-,-,-,-,-,1,-,2,-,-,-,-,-,-
Geoyeo 2(i)-dong,Songpa-gu,12.0,6,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2
Macheon 1(il)-dong,Songpa-gu,8.0,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Macheon 2(i)-dong,Songpa-gu,13.0,5,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,3,-
Bangi 1(il)-dong,Songpa-gu,4.0,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
Bangi 2(i)-dong,Songpa-gu,22.0,1,2,-,-,5,2,2,-,-,-,-,3,2,1,-,-,1,-,3
Oryun-dong,Songpa-gu,6.0,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2
Ogeum-dong,Songpa-gu,17.0,2,8,-,-,3,-,-,-,-,-,-,-,1,1,1,-,1,-,-
Songpa 1(il)-dong,Songpa-gu,14.0,1,2,-,1,2,-,-,-,-,-,-,2,2,-,1,-,-,-,3
Songpa 2(i)-dong,Songpa-gu,4.0,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
Seokchon-dong,Songpa-gu,27.0,3,6,-,-,2,1,1,-,-,1,-,2,4,2,1,-,2,-,2
Samjeon-dong,Songpa-gu,11.0,-,4,-,-,2,2,1,-,-,-,-,-,1,-,-,-,1,-,-
Garakbon-dong,Songpa-gu,19.0,2,3,-,-,5,1,-,-,-,-,-,-,2,3,-,-,2,1,-
Garak 1(il)-dong,Songpa-gu,12.0,-,1,-,-,-,6,-,-,-,-,-,-,-,-,-,-,4,-,1
Garak 2(i)-dong,Songpa-gu,15.0,1,4,-,-,4,-,-,-,-,1,-,-,-,1,1,-,2,-,1
Munjeong 1(il)-dong,Songpa-gu,11.0,-,3,-,-,2,1,-,-,-,-,-,-,-,2,1,-,1,-,1
Munjeong 2(i)-dong,Songpa-gu,12.0,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,9,-,-
Jangji-dong,Songpa-gu,15.0,1,7,-,-,1,1,-,-,1,-,-,-,1,-,1,-,2,-,-
Jamsilbon-dong,Songpa-gu,25.0,4,7,-,-,2,1,-,-,-,-,-,-,5,1,1,-,2,-,2
Jamsil 4(sa)-dong,Songpa-gu,3.0,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Jamsil 6(yuk)-dong,Songpa-gu,5.0,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2
Jamsil 7(chil)-dong,Songpa-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,7.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3
Jamsil 3(sam)-dong,Songpa-gu,6.0,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-
Gangil-dong,Gangdong-gu,11.0,-,1,-,-,-,-,-,-,-,1,-,-,1,1,-,-,2,-,5
Sangil-dong,Gangdong-gu,8.0,-,2,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2,-,2
Myeongil 1(il)-dong,Gangdong-gu,16.0,3,5,-,-,-,-,-,-,-,-,1,-,3,1,1,-,1,-,1
Myeongil 2(i)-dong,Gangdong-gu,4.0,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Godeok 1(il)-dong,Gangdong-gu,6.0,-,1,-,-,1,-,-,-,-,1,-,-,1,-,1,-,1,-,-
