Dong,화재_장소별화재발생_Autonomous Gu_Autonomous Gu,화재_장소별화재발생_Total_Total,화재_장소별화재발생_Hou-sing_Detached dwelling,화재_장소별화재발생_Hou-sing_공동주택,화재_장소별화재발생_Hou-sing_기타주택,화재_장소별화재발생_비주거_학교,화재_장소별화재발생_비주거_일반업무,화재_장소별화재발생_비주거_판매시설,화재_장소별화재발생_비주거_숙박시설,화재_장소별화재발생_비주거_종교시설,화재_장소별화재발생_비주거_의료시설,화재_장소별화재발생_비주거_공장 및 창고,화재_장소별화재발생_비주거_작업장,화재_장소별화재발생_비주거_위락오락시설,화재_장소별화재발생_비주거_음식점,화재_장소별화재발생_비주거_일반서비스시설,화재_장소별화재발생_비주거_Others,"화재_장소별화재발생_위험물(가스, 제조소 등)_위험물(가스, 제조소 등)","화재_장소별화재발생_운송(차량, 철도 등)_운송(차량, 철도 등)",화재_장소별화재발생_임야_임야,화재_장소별화재발생_Others_Others
Yongmun-dong,Yongsan-gu,5.0,2,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-
Ichon 1(il)-dong,Yongsan-gu,5.0,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
Ichon 2(i)-dong,Yongsan-gu,11.0,-,4,-,-,-,-,-,1,-,-,-,-,-,2,-,-,2,-,2
Itaewon 1(il)-dong,Yongsan-gu,13.0,-,1,-,-,-,2,1,-,-,-,-,-,4,-,-,-,4,-,1
Itaewon 2(i)-dong,Yongsan-gu,3.0,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
Seobinggo-dong,Yongsan-gu,12.0,3,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,4,-,1
Bogwang-dong,Yongsan-gu,15.0,3,6,-,-,-,-,1,-,-,-,-,-,1,2,-,-,1,-,1
Cheongpa-dong,Yongsan-gu,13.0,4,3,-,-,-,-,-,-,-,1,1,-,1,-,1,-,2,-,-
Wonhyoro 1(il)-dong,Yongsan-gu,10.0,1,4,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,2
Hangangno-dong,Yongsan-gu,15.0,1,1,-,-,4,-,-,-,-,1,1,-,1,1,3,-,-,-,2
Hannam-dong,Yongsan-gu,30.0,3,6,-,-,3,1,-,-,-,-,-,-,2,3,4,-,6,-,2
Wangsimni 2(i)-dong,Seongdong-gu,7.0,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Majang-dong,Seongdong-gu,24.0,8,2,-,-,1,1,-,-,-,1,1,1,-,5,1,-,1,-,2
Sageun-dong,Seongdong-gu,9.0,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,2,-,4
Haengdang 1(il)-dong,Seongdong-gu,14.0,2,3,1,-,-,1,-,-,-,-,1,-,3,1,-,-,-,-,2
Haengdang 2(i)-dong,Seongdong-gu,5.0,1,2,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Eungbong-dong,Seongdong-gu,2.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,5.0,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
Geumho 4(sa)-ga-dong,Seongdong-gu,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,9.0,-,2,-,-,2,-,-,-,-,1,1,-,-,1,-,-,2,-,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,13.0,3,2,-,-,-,-,-,-,-,1,1,-,-,1,2,-,2,-,1
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,11.0,3,2,1,-,1,-,-,-,-,-,2,-,-,-,1,-,1,-,-
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,29.0,-,1,-,-,1,-,1,-,-,6,5,1,2,1,6,-,1,-,4
Songjeong-dong,Seongdong-gu,12.0,3,-,-,-,-,-,-,-,-,1,1,-,1,-,2,-,2,-,2
Yongdap-dong,Seongdong-gu,13.0,2,-,-,-,1,-,-,-,-,1,-,-,2,-,1,-,3,-,3
WangsimniDoseon-dong,Seongdong-gu,13.0,3,3,-,-,-,-,-,-,1,-,1,1,2,-,-,-,1,-,1
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,8.0,1,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-
Oksu-dong,Seongdong-gu,9.0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1
Hwayang-dong,Gwangjin-gu,37.0,6,1,-,2,1,1,1,-,-,-,-,1,12,5,1,-,-,-,6
Gunja-dong,Gwangjin-gu,12.0,7,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1
Junggok 1(il)-dong,Gwangjin-gu,12.0,5,1,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,2
Junggok 2(i)-dong,Gwangjin-gu,12.0,5,2,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,2
Junggok 3(sam)-dong,Gwangjin-gu,9.0,3,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1,-,1
Junggok 4(sa)-dong,Gwangjin-gu,10.0,2,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,4
Neung-dong,Gwangjin-gu,6.0,3,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
Guui 1(il)-dong,Gwangjin-gu,18.0,2,2,-,-,-,-,-,2,-,-,1,2,-,3,-,-,1,-,5
Guui 2(i)-dong,Gwangjin-gu,7.0,2,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,2,-,-
Guui 3(sam)-dong,Gwangjin-gu,11.0,1,3,-,-,1,2,-,-,-,-,-,-,-,-,1,-,1,-,2
Gwangjang-dong,Gwangjin-gu,14.0,1,5,-,-,-,-,-,-,-,-,1,-,-,-,-,-,5,-,2
Jayang 1(il)-dong,Gwangjin-gu,16.0,5,3,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,-,4
Jayang 2(i)-dong,Gwangjin-gu,14.0,7,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Jayang 3(sam)-dong,Gwangjin-gu,9.0,1,4,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,1
Jayang 4(sa)-dong,Gwangjin-gu,27.0,7,2,1,-,-,1,-,-,1,-,-,1,2,-,1,-,4,-,7
Hoegi-dong,Dongdaemun-gu,10.0,-,-,-,2,-,-,-,-,-,-,-,1,5,1,-,-,-,-,1
Hwigyeong 1(il)-dong,Dongdaemun-gu,7.0,3,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-
Hwigyeong 2(i)-dong,Dongdaemun-gu,9.0,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
Cheongnyangni-dong,Dongdaemun-gu,12.0,1,3,-,-,-,2,-,-,-,-,-,-,2,3,-,-,1,-,-
Yongsin-dong,Dongdaemun-gu,30.0,5,5,-,-,6,1,-,-,1,1,3,-,2,1,-,-,1,-,4
Jegi-dong,Dongdaemun-gu,29.0,5,4,-,-,1,-,-,-,-,1,2,-,5,6,-,-,1,-,4
Jeonnong 1(il)-dong,Dongdaemun-gu,20.0,4,1,-,-,1,-,-,-,-,1,-,-,3,2,2,-,2,-,4
Jeonnong 2(i)-dong,Dongdaemun-gu,12.0,1,3,-,1,1,1,-,-,-,-,1,-,-,-,1,-,3,-,-
Dapsimni 1(il)-dong,Dongdaemun-gu,9.0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3
Dapsimni 2(i)-dong,Dongdaemun-gu,6.0,-,2,-,-,-,-,-,-,1,-,-,-,1,-,1,-,1,-,-
Jangan 1(il)-dong,Dongdaemun-gu,19.0,-,4,-,-,2,-,-,-,-,-,2,-,3,1,2,-,1,-,4
Jangan 2(i)-dong,Dongdaemun-gu,28.0,2,1,-,-,7,1,-,-,-,-,4,-,2,1,-,-,4,-,6
