Dong,화재_화재현황_Autonomous Gu_Autonomous Gu,화재_화재현황_No. of fire Incidents_Total,화재_화재현황_No. of fire Incidents_Accident,화재_화재현황_No. of fire Incidents_Arson,화재_화재현황_No. of fire Incidents_Others,화재_화재현황_Burnt_No. of  buildings,화재_화재현황_Burnt_No. of house-holds,화재_화재현황_Burnt_Area Burnt,화재_화재현황_Value of damages_Total,화재_화재현황_Value of damages_Immovable property,화재_화재현황_Value of damages_Movable property,화재_화재현황_Reduction amount of property damaged_Reduction amount of property damaged,화재_화재현황_Casualties_Total,화재_화재현황_Casualties_Death,화재_화재현황_Casualties_Injury,화재_화재현황_No. of victims_No. of victims,화재_화재현황_No. of therescued_No. of therescued
Galhyeon 1(il)-dong,Eunpyeong-gu,15.0,14.0,1,-,2,-,79,31851,10394,21457,171295,1,-,1,-,3
Galhyeon 2(i)-dong,Eunpyeong-gu,17.0,10.0,1,6,5,-,47,14437,9651,4786,642541,-,-,-,-,-
Gusan-dong,Eunpyeong-gu,11.0,10.0,-,1,1,-,37,2296,573,1723,201228,-,-,-,-,-
Daejo-dong,Eunpyeong-gu,22.0,16.0,3,3,3,-,33,18602,6622,11980,178462,-,-,-,-,2
Eungam 1(il)-dong,Eunpyeong-gu,17.0,13.0,1,3,5,-,65,42341,10389,31952,99928,2,-,2,-,-
Eungam 2(i)-dong,Eunpyeong-gu,7.0,7.0,-,-,1,-,2,1094,260,834,-,1,-,1,-,5
Sinsa 1(il)-dong,Eunpyeong-gu,14.0,12.0,-,2,-,-,18,8092,2701,5391,63521,1,-,1,-,-
Sinsa 2(i)-dong,Eunpyeong-gu,2.0,2.0,-,-,1,-,72,916,423,493,1794,-,-,-,-,-
Jeungsan-dong,Eunpyeong-gu,10.0,8.0,1,1,2,-,12,2554,1003,1551,392863,-,-,-,-,-
Susaek-dong,Eunpyeong-gu,12.0,9.0,-,3,5,-,230,92925,45671,47254,256131,1,-,1,-,-
Jingwan-dong,Eunpyeong-gu,13.0,11.0,1,1,1,-,215,7032,3548,3484,521273,1,-,1,-,-
Bulgwang 2(i)-dong,Eunpyeong-gu,7.0,4.0,1,2,1,-,2,7053,634,6419,-,1,-,1,-,-
Eungam 3(sam)-dong,Eunpyeong-gu,21.0,17.0,1,3,5,-,87,36734,9948,26786,327582,1,-,1,-,-
