Dong,복지_독거노인현황성별_Gu_Gu,복지_독거노인현황성별_Total_Total,복지_독거노인현황성별_Total_Male,복지_독거노인현황성별_Total_Female,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Total,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Male,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Female,복지_독거노인현황성별_ Low-income seniors_Total,복지_독거노인현황성별_ Low-income seniors_Male,복지_독거노인현황성별_ Low-income seniors_Female,복지_독거노인현황성별_ General_Total,복지_독거노인현황성별_ General_Male,복지_독거노인현황성별_ General_Female
Macheon 2(i)-dong,송파구,550.0,176.0,374.0,125,39,86,15,5,10,410.0,132.0,278.0
Bangi 1(il)-dong,송파구,234.0,75.0,159.0,20,6,14,1,-,1,213.0,69.0,144.0
Bangi 2(i)-dong,송파구,459.0,149.0,310.0,43,13,30,5,1,4,411.0,135.0,276.0
Oryun-dong,송파구,194.0,41.0,153.0,2,1,1,-,-,-,192.0,40.0,152.0
Ogeum-dong,송파구,706.0,198.0,508.0,61,13,48,10,4,6,635.0,181.0,454.0
Songpa 1(il)-dong,송파구,448.0,149.0,299.0,39,9,30,6,1,5,403.0,139.0,264.0
Songpa 2(i)-dong,송파구,313.0,86.0,227.0,28,8,20,7,1,6,278.0,77.0,201.0
Seokchon-dong,송파구,601.0,189.0,412.0,92,23,69,23,3,20,486.0,163.0,323.0
Samjeon-dong,송파구,517.0,147.0,370.0,79,15,64,24,2,22,414.0,130.0,284.0
Garakbon-dong,송파구,466.0,150.0,316.0,41,13,28,2,-,2,423.0,137.0,286.0
Garak 1(il)-dong,송파구,168.0,41.0,127.0,5,1,4,8,2,6,155.0,38.0,117.0
Garak 2(i)-dong,송파구,401.0,113.0,288.0,19,6,13,4,1,3,378.0,106.0,272.0
Munjeong 1(il)-dong,송파구,300.0,93.0,207.0,34,8,26,1,1,-,265.0,84.0,181.0
Munjeong 2(i)-dong,송파구,275.0,64.0,211.0,8,2,6,-,-,-,267.0,62.0,205.0
Jangji-dong,송파구,603.0,159.0,444.0,53,12,41,11,5,6,539.0,142.0,397.0
Jamsilbon-dong,송파구,522.0,169.0,353.0,67,25,42,38,3,35,417.0,141.0,276.0
