Dong,복지_장애인현황장애유형별_Autonomous Gu_Autonomous Gu_Autonomous Gu,복지_장애인현황장애유형별_By Type of the disabled_total_total,복지_장애인현황장애유형별_By Type of the disabled_total_Man,복지_장애인현황장애유형별_By Type of the disabled_total_Female,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_total,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_total,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_Man,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_Female,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_total,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_total,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_total,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_total,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_Man,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_Female,복지_장애인현황장애유형별_By Type of the disabled_Autism_total,복지_장애인현황장애유형별_By Type of the disabled_Autism_Man,복지_장애인현황장애유형별_By Type of the disabled_Autism_Female,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_total,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_Man,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_Female,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_total,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_Man,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_Female,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_total,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_Man,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_Female,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_total,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_Man,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_Female,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_total,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_Female,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_total,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_Female,"복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_total","복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_Man","복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_Female",복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_total,복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_Female
Sajik-dong,Jongno-gu,347.0,200,147,177,99,78,46,30,16,40,21,19,27,16,11,4,3,1,18,12,6,4,4,-,8,4,4,10,5,5,2,1,1,3,1,2,4,2,2,-,-,-,4,2,2,-,-,-
Samcheong-dong,Jongno-gu,135.0,77,58,72,38,34,20,12,8,10,7,3,11,6,5,-,-,-,7,5,2,1,1,-,6,2,4,6,5,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Buam-dong,Jongno-gu,370.0,208,162,168,90,78,43,23,20,50,28,22,37,24,13,2,2,-,18,12,6,5,4,1,17,8,9,17,10,7,2,2,-,1,-,1,4,2,2,1,-,1,5,3,2,-,-,-
Pyeongchang-dong,Jongno-gu,608.0,315,293,276,134,142,83,47,36,67,42,25,70,27,43,6,3,3,31,19,12,6,5,1,26,8,18,26,20,6,1,1,-,4,3,1,7,5,2,-,-,-,5,1,4,-,-,-
Muak-dong,Jongno-gu,337.0,203,134,158,86,72,28,20,8,35,23,12,45,28,17,6,5,1,20,11,9,7,5,2,16,11,5,12,8,4,2,-,2,3,3,-,1,-,1,-,-,-,3,2,1,1,1,-
Gyonam-dong,Jongno-gu,252.0,138,114,130,65,65,28,14,14,25,21,4,34,16,18,3,2,1,9,6,3,3,2,1,8,5,3,7,4,3,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,2,2,-
Gahoe-dong,Jongno-gu,197.0,111,86,94,49,45,31,17,14,16,10,6,16,8,8,1,1,-,14,6,8,3,3,-,10,9,1,10,7,3,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,424.0,287,137,207,135,72,50,35,15,50,33,17,40,28,12,4,4,-,27,20,7,2,2,-,17,11,6,15,8,7,2,2,-,2,2,-,4,4,-,-,-,-,3,2,1,1,1,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,309.0,195,114,173,103,70,24,18,6,40,28,12,16,12,4,2,2,-,22,15,7,4,3,1,13,9,4,9,3,6,-,-,-,1,-,1,2,1,1,-,-,-,2,1,1,1,-,1
Ihwa-dong,Jongno-gu,331.0,168,163,176,84,92,37,21,16,43,21,22,29,13,16,1,1,-,20,12,8,2,2,-,8,4,4,10,7,3,2,-,2,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-
Changsin 1(il)-dong,Jongno-gu,331.0,208,123,189,111,78,32,23,9,35,27,8,31,20,11,3,2,1,10,6,4,2,2,-,14,8,6,12,7,5,-,-,-,1,-,1,1,1,-,-,-,-,1,1,-,-,-,-
Changsin 2(i)-dong,Jongno-gu,566.0,320,246,325,165,160,52,35,17,69,47,22,41,23,18,5,3,2,31,21,10,1,1,-,24,16,8,9,4,5,-,-,-,1,1,-,-,-,-,1,-,1,2,1,1,5,3,2
Changsin 3(sam)-dong,Jongno-gu,373.0,221,152,215,122,93,39,23,16,36,25,11,27,15,12,6,5,1,17,11,6,5,5,-,11,5,6,9,6,3,-,-,-,2,1,1,2,2,-,-,-,-,4,1,3,-,-,-
Sungin 1(il)-dong,Jongno-gu,319.0,180,139,169,82,87,30,22,8,29,17,12,32,20,12,1,1,-,15,11,4,3,1,2,12,7,5,19,12,7,2,1,1,1,1,-,3,2,1,1,1,-,2,2,-,-,-,-
Sungin 2(i)-dong,Jongno-gu,509.0,318,191,275,159,116,54,33,21,59,43,16,46,33,13,3,3,-,17,12,5,3,2,1,22,10,12,16,12,4,1,1,-,8,6,2,1,1,-,-,-,-,2,2,-,2,1,1
Cheongunhyoja-dong,Jongno-gu,612.0,337,275,238,124,114,53,29,24,138,84,54,93,48,45,6,3,3,27,16,11,15,13,2,15,7,8,18,9,9,2,-,2,1,1,-,2,1,1,-,-,-,4,2,2,-,-,-
Hyehwa-dong,Jongno-gu,621.0,361,260,297,156,141,70,44,26,75,46,29,61,35,26,5,5,-,28,22,6,9,7,2,27,16,11,33,22,11,3,1,2,4,2,2,5,3,2,-,-,-,2,2,-,2,-,2
Sogong-dong,Jung-gu,42.0,23,19,14,6,8,5,3,2,5,5,-,8,3,5,-,-,-,5,2,3,2,2,-,2,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hoehyeon-dong,Jung-gu,381.0,245,136,178,110,68,41,29,12,82,52,30,19,10,9,1,1,-,18,12,6,1,1,-,13,8,5,11,7,4,-,-,-,9,9,-,4,3,1,-,-,-,1,-,1,3,3,-
Myeong-dong,Jung-gu,142.0,82,60,66,37,29,7,5,2,30,18,12,10,3,7,-,-,-,6,1,5,1,1,-,10,7,3,9,7,2,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,1,1,-
Pil-dong,Jung-gu,188.0,111,77,96,57,39,22,16,6,30,19,11,13,6,7,-,-,-,8,4,4,-,-,-,4,2,2,5,3,2,1,-,1,1,-,1,1,-,1,1,1,-,3,1,2,3,2,1
Jangchung-dong,Jung-gu,231.0,125,106,122,64,58,25,10,15,30,21,9,26,15,11,4,3,1,8,4,4,1,-,1,6,1,5,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-
Gwanghui-dong ,Jung-gu,264.0,159,105,145,90,55,29,17,12,30,18,12,23,12,11,2,1,1,11,6,5,1,1,-,8,5,3,6,6,-,1,-,1,3,2,1,2,1,1,1,-,1,2,-,2,-,-,-
Euljiro-dong,Jung-gu,111.0,78,33,60,43,17,12,7,5,14,8,6,13,10,3,2,2,-,7,5,2,-,-,-,1,1,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sindang 5(o)-dong,Jung-gu,508.0,317,191,268,155,113,47,35,12,52,39,13,57,35,22,1,1,-,27,16,11,6,5,1,23,14,9,13,7,6,1,-,1,4,3,1,2,1,1,-,-,-,6,5,1,1,1,-
Hwanghak-dong,Jung-gu,581.0,337,244,314,170,144,65,40,25,58,39,19,60,28,32,5,4,1,22,17,5,4,4,-,20,10,10,19,13,6,4,3,1,2,2,-,2,2,-,-,-,-,4,4,-,2,1,1
Jungnim-dong,Jung-gu,481.0,278,203,239,132,107,45,26,19,63,33,30,45,29,16,5,5,-,31,17,14,4,2,2,20,12,8,11,7,4,1,-,1,3,3,-,2,2,-,-,-,-,4,4,-,8,6,2
Sindang-dong,Jung-gu,422.0,258,164,214,118,96,50,35,15,43,32,11,36,23,13,2,2,-,28,17,11,2,2,-,18,14,4,20,9,11,1,-,1,2,2,-,3,2,1,-,-,-,1,1,-,2,1,1
Dasan-dong,Jung-gu,728.0,405,323,401,201,200,68,48,20,74,44,30,71,48,23,3,2,1,36,15,21,12,12,-,19,9,10,28,16,12,3,2,1,1,1,-,4,3,1,-,-,-,4,3,1,4,1,3
Yaksu-dong,Jung-gu,904.0,487,417,475,252,223,103,59,44,96,47,49,99,55,44,4,3,1,47,23,24,3,2,1,28,16,12,27,12,15,5,5,-,6,5,1,4,4,-,2,1,1,3,2,1,2,1,1
Cheonggu-dong,Jung-gu,665.0,364,301,330,166,164,70,40,30,80,48,32,70,40,30,5,5,-,31,19,12,7,5,2,35,21,14,21,11,10,2,1,1,2,2,-,3,2,1,1,-,1,4,3,1,4,1,3
Donghwa-dong,Jung-gu,454.0,244,210,232,112,120,59,38,21,45,27,18,52,28,24,-,-,-,25,13,12,5,3,2,11,6,5,14,11,3,3,3,-,1,-,1,1,1,-,1,-,1,3,1,2,2,1,1
Huam-dong,Yongsan-gu,907.0,537,370,441,244,197,115,77,38,100,63,37,86,48,38,8,6,2,64,43,21,5,4,1,36,16,20,28,19,9,4,4,-,7,5,2,3,1,2,2,2,-,4,3,1,4,2,2
Yongsan 2-ga-dong,Yongsan-gu,569.0,316,253,303,159,144,60,34,26,59,38,21,67,44,23,5,5,-,28,13,15,3,3,-,20,7,13,12,8,4,4,1,3,2,2,-,1,1,-,2,-,2,2,1,1,1,-,1
Namyeong-dong,Yongsan-gu,561.0,414,147,279,202,77,63,50,13,69,53,16,52,35,17,6,5,1,33,21,12,4,3,1,29,23,6,9,5,4,-,-,-,11,11,-,-,-,-,-,-,-,2,2,-,4,4,-
Wonhyoro 2(i)-dong,Yongsan-gu,548.0,301,247,268,139,129,61,33,28,65,42,23,61,31,30,5,5,-,30,17,13,5,5,-,14,7,7,19,10,9,1,1,-,2,2,-,5,2,3,-,-,-,9,6,3,3,1,2
Hyochang-dong,Yongsan-gu,408.0,228,180,200,109,91,59,33,26,47,22,25,36,23,13,-,-,-,18,12,6,7,7,-,17,7,10,13,8,5,-,-,-,1,1,-,4,4,-,2,2,-,2,-,2,2,-,2
Yongmun-dong,Yongsan-gu,456.0,241,215,232,132,100,52,32,20,55,22,33,55,24,31,5,4,1,29,13,16,2,1,1,9,5,4,10,2,8,3,3,-,-,-,-,2,2,-,-,-,-,1,1,-,1,-,1
Ichon 1(il)-dong,Yongsan-gu,529.0,296,233,254,124,130,63,36,27,61,41,20,63,35,28,5,4,1,24,16,8,14,13,1,9,4,5,21,14,7,1,-,1,3,2,1,2,2,-,3,1,2,6,4,2,-,-,-
Ichon 2(i)-dong,Yongsan-gu,398.0,220,178,207,110,97,46,24,22,35,19,16,49,27,22,2,1,1,22,13,9,5,4,1,10,7,3,13,8,5,-,-,-,3,2,1,2,2,-,-,-,-,3,3,-,1,-,1
Itaewon 1(il)-dong,Yongsan-gu,284.0,163,121,147,79,68,25,12,13,24,17,7,36,25,11,2,2,-,15,10,5,3,1,2,16,9,7,11,4,7,1,1,-,-,-,-,-,-,-,-,-,-,3,2,1,1,1,-
Itaewon 2(i)-dong,Yongsan-gu,417.0,232,185,222,117,105,40,22,18,51,34,17,42,19,23,2,1,1,19,11,8,2,1,1,14,6,8,13,11,2,3,3,-,3,2,1,1,1,-,-,-,-,4,3,1,1,1,-
Seobinggo-dong,Yongsan-gu,394.0,214,180,194,91,103,36,23,13,38,25,13,46,26,20,3,2,1,31,17,14,6,6,-,9,5,4,20,13,7,2,1,1,2,1,1,4,3,1,-,-,-,2,-,2,1,1,-
Bogwang-dong,Yongsan-gu,688.0,383,305,360,197,163,65,30,35,91,53,38,69,38,31,8,6,2,23,13,10,2,2,-,30,15,15,23,16,7,2,1,1,2,2,-,2,1,1,1,1,-,8,6,2,2,2,-
Cheongpa-dong,Yongsan-gu,908.0,525,383,434,233,201,87,53,34,130,79,51,110,56,54,8,8,-,55,36,19,5,5,-,36,22,14,31,22,9,-,-,-,5,5,-,2,1,1,1,1,-,4,4,-,-,-,-
Wonhyoro 1(il)-dong,Yongsan-gu,446.0,243,203,228,122,106,54,32,22,48,26,22,48,22,26,4,2,2,20,12,8,5,5,-,14,6,8,13,6,7,-,-,-,4,3,1,3,3,-,-,-,-,5,4,1,-,-,-
Hangangno-dong,Yongsan-gu,615.0,391,224,306,178,128,76,58,18,74,53,21,62,38,24,3,2,1,24,16,8,1,1,-,23,11,12,25,18,7,5,4,1,6,6,-,5,3,2,-,-,-,3,2,1,2,1,1
Hannam-dong,Yongsan-gu,741.0,401,340,423,229,194,84,44,40,79,41,38,71,32,39,2,2,-,28,20,8,4,3,1,16,7,9,19,13,6,1,1,-,5,3,2,6,5,1,1,-,1,1,1,-,1,-,1
Wangsimni 2(i)-dong,Seongdong-gu,690.0,382,308,352,178,174,57,33,24,77,45,32,84,49,35,10,9,1,38,21,17,11,9,2,26,15,11,21,15,6,1,-,1,3,1,2,3,3,-,1,-,1,4,3,1,2,1,1
Majang-dong,Seongdong-gu,1183.0,718,465,641,378,263,145,90,55,101,63,38,100,63,37,11,7,4,59,40,19,23,22,1,35,17,18,33,18,15,6,4,2,9,5,4,5,4,1,4,1,3,6,3,3,5,3,2
Sageun-dong,Seongdong-gu,441.0,247,194,258,131,127,47,31,16,42,26,16,32,18,14,4,4,-,15,9,6,3,2,1,11,4,7,13,9,4,3,2,1,7,5,2,4,4,-,1,1,-,1,1,-,-,-,-
Haengdang 1(il)-dong,Seongdong-gu,726.0,429,297,391,222,169,68,45,23,79,45,34,75,43,32,5,5,-,34,22,12,8,7,1,17,6,11,20,12,8,8,7,1,7,4,3,4,3,1,2,1,1,6,5,1,2,2,-
Haengdang 2(i)-dong,Seongdong-gu,922.0,522,400,445,253,192,117,73,44,115,58,57,83,46,37,12,9,3,43,23,20,7,5,2,30,11,19,36,20,16,4,3,1,10,9,1,7,4,3,1,1,-,7,6,1,5,1,4
Eungbong-dong,Seongdong-gu,560.0,307,253,280,135,145,64,37,27,53,30,23,72,42,30,8,6,2,24,19,5,6,6,-,17,7,10,23,15,8,3,2,1,3,2,1,1,1,-,-,-,-,4,4,-,2,1,1
Geumho 1(il)-ga-dong,Seongdong-gu,695.0,379,316,349,192,157,81,47,34,78,39,39,65,35,30,4,-,4,38,21,17,3,3,-,23,12,11,30,15,15,4,4,-,6,3,3,6,4,2,-,-,-,6,2,4,2,2,-
Geumho 4(sa)-ga-dong,Seongdong-gu,560.0,315,245,277,146,131,55,28,27,64,41,23,65,40,25,5,4,1,34,22,12,2,2,-,16,6,10,19,14,5,4,2,2,6,4,2,2,1,1,1,1,-,5,2,3,5,2,3
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,673.0,415,258,353,217,136,73,52,21,75,45,30,58,33,25,2,2,-,45,29,16,4,3,1,18,9,9,17,7,10,4,2,2,9,6,3,6,6,-,-,-,-,7,4,3,2,-,2
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,668.0,369,299,390,219,171,59,37,22,60,30,30,77,37,40,6,6,-,28,15,13,4,4,-,12,6,6,15,6,9,-,-,-,4,4,-,3,3,-,-,-,-,7,2,5,3,-,3
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,878.0,560,318,488,312,176,86,50,36,91,55,36,83,47,36,4,3,1,50,39,11,6,5,1,31,17,14,16,13,3,6,4,2,6,5,1,4,4,-,-,-,-,5,5,-,2,1,1
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,463.0,282,181,243,141,102,42,31,11,50,30,20,48,28,20,7,7,-,27,14,13,4,4,-,10,6,4,17,12,5,5,1,4,3,3,-,5,3,2,-,-,-,2,2,-,-,-,-
Songjeong-dong,Seongdong-gu,541.0,328,213,297,169,128,55,34,21,55,35,20,48,36,12,3,2,1,28,19,9,2,2,-,19,13,6,23,14,9,1,-,1,3,2,1,2,-,2,1,1,-,2,-,2,2,1,1
Yongdap-dong,Seongdong-gu,825.0,505,320,443,252,191,70,49,21,79,49,30,80,44,36,3,3,-,36,25,11,4,3,1,67,55,12,28,15,13,3,2,1,6,5,1,3,2,1,-,-,-,2,-,2,1,1,-
WangsimniDoseon-dong,Seongdong-gu,627.0,354,273,306,156,150,78,46,32,77,55,22,69,40,29,3,2,1,32,16,16,6,6,-,23,9,14,14,8,6,2,2,-,6,6,-,-,-,-,1,-,1,8,6,2,2,2,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,915.0,522,393,518,287,231,82,51,31,96,60,36,92,49,43,5,4,1,47,32,15,4,3,1,32,20,12,25,12,13,1,-,1,2,-,2,4,1,3,2,-,2,5,3,2,-,-,-
Oksu-dong,Seongdong-gu,685.0,390,295,366,199,167,84,46,38,59,38,21,57,32,25,4,3,1,38,25,13,11,9,2,25,14,11,21,10,11,3,3,-,8,5,3,4,2,2,-,-,-,4,3,1,1,1,-
Hwayang-dong,Gwangjin-gu,662.0,387,275,372,193,179,63,32,31,84,61,23,53,36,17,2,1,1,25,17,8,5,5,-,23,18,5,16,11,5,6,4,2,-,-,-,1,-,1,-,-,-,7,5,2,5,4,1
Gunja-dong,Gwangjin-gu,830.0,477,353,426,241,185,105,65,40,67,46,21,83,41,42,4,3,1,54,31,23,-,-,-,33,19,14,34,18,16,3,2,1,6,4,2,2,2,-,-,-,-,8,3,5,5,2,3
Junggok 1(il)-dong,Gwangjin-gu,705.0,418,287,371,212,159,57,34,23,71,42,29,68,42,26,7,6,1,30,19,11,5,5,-,40,24,16,35,21,14,3,2,1,9,8,1,4,1,3,-,-,-,3,1,2,2,1,1
Junggok 2(i)-dong,Gwangjin-gu,887.0,512,375,439,257,182,92,53,39,84,51,33,107,63,44,4,3,1,52,30,22,8,7,1,48,25,23,38,15,23,2,-,2,2,2,-,2,1,1,-,-,-,4,3,1,5,2,3
Junggok 3(sam)-dong,Gwangjin-gu,804.0,516,288,406,254,152,85,63,22,91,63,28,71,44,27,12,10,2,37,19,18,6,6,-,55,28,27,27,16,11,4,4,-,3,3,-,2,2,-,-,-,-,3,3,-,2,1,1
Junggok 4(sa)-dong,Gwangjin-gu,1296.0,749,547,654,366,288,128,84,44,147,88,59,138,70,68,11,9,2,73,46,27,10,10,-,56,22,34,39,24,15,8,6,2,4,2,2,7,5,2,2,1,1,13,11,2,6,5,1
Neung-dong,Gwangjin-gu,392.0,226,166,199,111,88,40,19,21,40,28,12,38,25,13,1,1,-,32,15,17,2,-,2,14,8,6,17,11,6,-,-,-,1,1,-,1,1,-,-,-,-,6,5,1,1,1,-
Guui 1(il)-dong,Gwangjin-gu,809.0,467,342,379,224,155,102,56,46,101,54,47,84,47,37,8,6,2,47,28,19,7,5,2,35,21,14,32,17,15,3,1,2,2,-,2,1,1,-,1,1,-,3,2,1,4,4,-
Guui 2(i)-dong,Gwangjin-gu,1170.0,699,471,607,351,256,123,76,47,132,96,36,124,68,56,2,2,-,60,33,27,11,10,1,31,14,17,48,26,22,6,5,1,4,3,1,7,5,2,1,1,-,4,2,2,10,7,3
Guui 3(sam)-dong,Gwangjin-gu,811.0,461,350,422,230,192,97,62,35,73,40,33,85,46,39,6,5,1,52,29,23,14,11,3,14,8,6,22,12,10,3,3,-,4,3,1,7,6,1,2,1,1,7,3,4,3,2,1
Gwangjang-dong,Gwangjin-gu,755.0,458,297,371,215,156,95,54,41,65,48,17,63,35,28,4,3,1,57,39,18,17,15,2,19,7,12,36,21,15,1,1,-,5,4,1,8,5,3,-,-,-,11,8,3,3,3,-
Jayang 1(il)-dong,Gwangjin-gu,921.0,521,400,497,276,221,105,67,38,118,75,43,80,37,43,2,-,2,43,23,20,3,3,-,23,10,13,25,15,10,8,3,5,6,4,2,1,1,-,-,-,-,8,6,2,2,1,1
Jayang 2(i)-dong,Gwangjin-gu,1022.0,598,424,511,311,200,106,68,38,97,51,46,117,59,58,6,5,1,67,38,29,13,11,2,39,18,21,38,18,20,1,1,-,5,3,2,10,8,2,1,-,1,8,6,2,3,1,2
Jayang 3(sam)-dong,Gwangjin-gu,842.0,468,374,414,228,186,103,62,41,82,45,37,94,49,45,2,1,1,54,31,23,11,7,4,20,6,14,34,19,15,5,4,1,8,6,2,5,3,2,-,-,-,7,5,2,3,2,1
Jayang 4(sa)-dong,Gwangjin-gu,1105.0,670,435,608,342,266,94,60,34,109,75,34,116,74,42,10,9,1,52,31,21,3,3,-,43,29,14,44,26,18,1,1,-,6,5,1,5,3,2,1,-,1,11,10,1,2,2,-
Hoegi-dong,Dongdaemun-gu,368.0,209,159,172,92,80,53,31,22,31,17,14,52,29,23,1,1,-,15,8,7,6,5,1,12,7,5,13,10,3,-,-,-,4,3,1,4,4,-,-,-,-,3,2,1,2,-,2
Hwigyeong 1(il)-dong,Dongdaemun-gu,725.0,408,317,406,227,179,59,30,29,78,41,37,78,52,26,1,-,1,32,20,12,2,1,1,31,16,15,20,12,8,3,2,1,3,2,1,3,2,1,3,-,3,5,3,2,1,-,1
Hwigyeong 2(i)-dong,Dongdaemun-gu,849.0,481,368,470,265,205,89,50,39,77,49,28,85,42,43,6,4,2,36,25,11,10,8,2,24,11,13,37,16,21,7,5,2,1,1,-,2,2,-,-,-,-,2,1,1,3,2,1
Cheongnyangni-dong,Dongdaemun-gu,1419.0,834,585,740,404,336,155,95,60,140,87,53,144,83,61,8,8,-,69,43,26,11,8,3,52,34,18,54,41,13,9,5,4,12,10,2,8,5,3,2,1,1,9,5,4,6,5,1
Yongsin-dong,Dongdaemun-gu,1550.0,913,637,826,470,356,188,124,64,161,102,59,137,67,70,11,6,5,68,40,28,6,5,1,60,39,21,59,34,25,5,4,1,8,7,1,9,7,2,1,1,-,6,3,3,5,4,1
Jegi-dong,Dongdaemun-gu,1381.0,798,583,748,398,350,126,88,38,144,93,51,147,83,64,7,6,1,70,46,24,9,6,3,55,27,28,38,26,12,9,5,4,7,6,1,3,2,1,-,-,-,13,8,5,5,4,1
Jeonnong 1(il)-dong,Dongdaemun-gu,1738.0,1030,708,940,556,384,185,113,72,178,109,69,165,89,76,10,7,3,92,66,26,6,6,-,64,35,29,58,21,37,5,3,2,10,8,2,4,3,1,2,1,1,14,8,6,5,5,-
Jeonnong 2(i)-dong,Dongdaemun-gu,909.0,526,383,493,273,220,102,56,46,89,58,31,98,62,36,7,6,1,39,29,10,5,5,-,24,10,14,33,16,17,4,2,2,4,2,2,4,2,2,1,-,1,5,5,-,1,-,1
Dapsimni 1(il)-dong,Dongdaemun-gu,922.0,523,399,472,260,212,91,48,43,93,63,30,115,64,51,4,2,2,40,24,16,7,7,-,43,25,18,29,15,14,7,5,2,5,4,1,7,4,3,1,1,-,4,1,3,4,-,4
Dapsimni 2(i)-dong,Dongdaemun-gu,1530.0,902,628,809,467,342,177,109,68,162,96,66,145,86,59,9,8,1,72,45,27,15,14,1,48,22,26,50,30,20,11,5,6,13,8,5,4,3,1,1,-,1,10,8,2,4,1,3
Jangan 1(il)-dong,Dongdaemun-gu,1527.0,926,601,808,476,332,167,90,77,157,97,60,146,92,54,10,9,1,83,56,27,12,10,2,54,36,18,49,31,18,8,6,2,12,10,2,7,5,2,1,-,1,7,6,1,6,2,4
Jangan 2(i)-dong,Dongdaemun-gu,1278.0,786,492,680,396,284,123,79,44,128,81,47,113,73,40,9,7,2,85,58,27,10,8,2,51,38,13,38,22,16,4,4,-,10,9,1,8,3,5,2,1,1,12,5,7,5,2,3
Imun 1(il)-dong,Dongdaemun-gu,1329.0,790,539,712,409,303,139,85,54,154,93,61,113,62,51,10,8,2,55,40,15,7,6,1,52,29,23,52,33,19,8,6,2,6,5,1,6,5,1,3,1,2,8,4,4,4,4,-
Imun 2(i)-dong,Dongdaemun-gu,972.0,536,436,510,276,234,93,46,47,125,71,54,93,52,41,8,5,3,37,25,12,7,5,2,43,21,22,35,19,16,3,2,1,4,4,-,4,4,-,2,2,-,6,4,2,2,-,2
Myeonmok 2(i)-dong,Jungnang-gu,1312.0,757,555,730,402,328,126,82,44,129,76,53,116,73,43,9,5,4,72,49,23,13,11,2,45,23,22,47,21,26,2,1,1,8,6,2,6,4,2,-,-,-,7,3,4,2,1,1
Myeonmok 4(sa)-dong,Jungnang-gu,1351.0,830,521,645,395,250,126,76,50,119,78,41,133,65,68,10,5,5,95,55,40,11,11,-,139,96,43,38,26,12,5,3,2,12,8,4,2,2,-,1,1,-,10,5,5,5,4,1
Myeonmok 5(o)-dong,Jungnang-gu,701.0,444,257,399,240,159,80,55,25,72,48,24,58,40,18,3,3,-,35,22,13,5,4,1,21,12,9,12,8,4,2,1,1,3,3,-,4,3,1,-,-,-,6,5,1,1,-,1
Myeonmok 7(chil)-dong,Jungnang-gu,1070.0,638,432,577,329,248,125,78,47,108,73,35,99,59,40,7,6,1,61,35,26,8,8,-,37,22,15,22,6,16,3,2,1,2,2,-,5,4,1,1,1,-,8,8,-,7,5,2
Sangbong 1(il)-dong,Jungnang-gu,1421.0,837,584,728,411,317,137,94,43,129,67,62,143,85,58,4,3,1,121,72,49,15,15,-,67,37,30,50,36,14,5,4,1,5,2,3,9,7,2,-,-,-,4,3,1,4,1,3
Sangbong 2(i)-dong,Jungnang-gu,916.0,539,377,509,274,235,91,69,22,102,60,42,99,57,42,5,3,2,33,25,8,3,3,-,18,12,6,29,19,10,2,-,2,8,8,-,6,2,4,1,1,-,4,3,1,6,3,3
Junghwa 1(il)-dong,Jungnang-gu,889.0,523,366,469,258,211,97,58,39,88,60,28,79,48,31,6,2,4,62,42,20,8,6,2,22,11,11,31,20,11,6,3,3,7,5,2,1,1,-,1,1,-,6,5,1,6,3,3
Junghwa 2(i)-dong,Jungnang-gu,1634.0,935,699,880,489,391,144,81,63,184,114,70,164,96,68,8,6,2,77,44,33,11,8,3,64,36,28,53,32,21,8,5,3,11,8,3,8,5,3,3,-,3,14,9,5,5,2,3
Muk 1(il)-dong,Jungnang-gu,1444.0,841,603,806,450,356,146,93,53,140,87,53,136,74,62,8,5,3,68,47,21,7,6,1,51,28,23,40,27,13,8,4,4,7,5,2,7,2,5,-,-,-,12,7,5,8,6,2
