Dong,복지_국민기초생활보장수급자_Autonomous Gu_Autonomous Gu,복지_국민기초생활보장수급자_Total recipients_Households,복지_국민기초생활보장수급자_Total recipients_Facility,복지_국민기초생활보장수급자_Total recipients_Persons,복지_국민기초생활보장수급자_General Recipients_Households,복지_국민기초생활보장수급자_General Recipients_Persons,복지_국민기초생활보장수급자_Conditional recipients_Households,복지_국민기초생활보장수급자_Conditional recipients_Persons,복지_국민기초생활보장수급자_Special recipients_Households,복지_국민기초생활보장수급자_Special recipients_Persons,복지_국민기초생활보장수급자_Institutional Recipients_Facility,복지_국민기초생활보장수급자_Institutional Recipients_Persons
Wolgok 1(il)-dong,Seongbuk-gu,386,1,579.0,317,443,54,111,15,24,1,1
Wolgok 2(i)-dong,Seongbuk-gu,332,1,462.0,286,360,35,82,11,18,1,2
Jangwi 1(il)-dong,Seongbuk-gu,451,-,821.0,348,565,89,231,14,24,-,1
Jangwi 2(i)-dong,Seongbuk-gu,432,-,715.0,337,489,79,195,16,30,-,1
Jangwi 3(sam)-dong,Seongbuk-gu,380,-,643.0,290,424,75,194,15,25,-,-
Seongbuk-dong,Seongbuk-gu,192,2,286.0,163,216,26,58,3,5,2,7
Samseon-dong,Seongbuk-gu,367,3,548.0,281,365,70,152,16,29,3,2
Dongseon-dong,Seongbuk-gu,196,1,267.0,161,202,26,53,9,11,1,1
Jongam-dong,Seongbuk-gu,541,-,789.0,434,552,88,205,19,32,-,-
Seokgwan-dong,Seongbuk-gu,499,-,699.0,435,575,49,103,15,21,-,-
Beon 1(il)-dong,Gangbuk-gu,361,-,487.0,295,360,48,98,18,29,-,-
Beon 2(i)-dong,Gangbuk-gu,549,-,1047.0,471,840,61,169,17,38,-,-
Beon 3(sam)-dong,Gangbuk-gu,1053,1,2044.0,883,1552,142,428,28,61,1,3
Suyu 1(il)-dong,Gangbuk-gu,377,1,605.0,315,465,51,109,11,24,1,7
Suyu 2(i)-dong,Gangbuk-gu,333,1,537.0,270,385,56,137,7,13,1,2
