Dong,楳舛_爽託舌_Gu_Gu_Gu_Gu,楳舛_爽託舌_Total_Total_Total_Number,楳舛_爽託舌_Total_Total_Total_Space,楳舛_爽託舌_Total_Public_Public_Number,楳舛_爽託舌_Total_Public_Public_Space,楳舛_爽託舌_Total_Private_Private_Number,楳舛_爽託舌_Total_Private_Private_Space,楳舛_爽託舌_Street parking_Total_Total_Number,楳舛_爽託舌_Street parking_Total_Total_Space,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Space,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Space,楳舛_爽託舌_Non-Street parking_Total_Total_Number,楳舛_爽託舌_Non-Street parking_Total_Total_Space,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Number,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Space,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Number,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Space,楳舛_爽託舌_Non-Street parking_Private_Private_Number,楳舛_爽託舌_Non-Street parking_Private_Private_Space,楳舛_爽託舌_Attached to buildings_Total_Total_Number,楳舛_爽託舌_Attached to buildings_Total_Total_Space,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Number,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Space,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Number,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Space,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Number,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Space
Gireum 2(i)-dong,Seongbuk_gu,453,7264,8,481,445,6783,6,291,6,291,-,-,-,-,6,291,-,-,8,616,-,-,2,190,6,426,439,6357,174,259,173,4666,92,1432
Wolgok 1(il)-dong,Seongbuk_gu,448,8658,10,268,438,8390,9,264,9,264,-,-,-,-,9,264,-,-,1,4,-,-,1,4,-,-,438,8390,217,356,54,6624,167,1410
Wolgok 2(i)-dong,Seongbuk_gu,654,9272,13,465,641,8807,11,386,11,386,-,-,-,-,11,386,-,-,7,139,-,-,2,79,5,60,636,8747,328,601,66,4378,242,3768
Jangwi 1(il)-dong,Seongbuk_gu,1010,3895,11,664,999,3231,4,450,4,450,-,-,-,-,4,450,-,-,7,214,1,18,6,196,-,-,999,3231,549,831,302,1791,148,609
Jangwi 2(i)-dong,Seongbuk_gu,866,3545,14,461,852,3084,9,296,9,296,-,-,-,-,9,296,-,-,11,241,-,-,5,165,6,76,846,3008,464,744,166,1167,216,1097
Jangwi 3(sam)-dong,Seongbuk_gu,521,4441,13,788,508,3653,4,453,4,453,-,-,-,-,4,453,-,-,17,495,-,-,9,335,8,160,500,3493,282,499,65,1899,153,1095
Seongbuk-dong,Seongbuk_gu,1271,8195,17,559,1254,7636,14,502,14,502,-,-,1,26,13,476,-,-,10,226,-,-,3,57,7,169,1247,7467,801,3037,217,1982,229,2448
Samseon-dong,Seongbuk_gu,901,8365,13,824,888,7541,9,690,9,690,-,-,-,-,9,690,-,-,11,248,-,-,4,134,7,114,881,7427,461,1023,144,4268,276,2136
Dongseon-dong,Seongbuk_gu,900,6822,12,582,888,6240,9,557,9,557,-,-,-,-,9,557,-,-,10,139,-,-,3,25,7,114,881,6126,384,1029,134,1865,363,3232
Jongam-dong,Seongbuk_gu,1112,13471,18,615,1094,12856,12,526,12,526,-,-,-,-,12,526,-,-,11,137,1,21,5,68,5,48,1089,12808,579,1201,185,9218,325,2389
Seokgwan-dong,Seongbuk_gu,1110,9299,13,653,1097,8646,11,629,11,629,-,-,-,-,11,629,-,-,9,186,-,-,2,24,7,162,1090,8484,682,1151,172,5041,236,2292
Beon 1(il)-dong,Gangbuk-gu,1044,5573,1,304,1043,5269,1,304,1,304,-,-,-,-,1,304,-,-,-,-,-,-,-,-,-,-,1043,5269,638,996,118,1576,287,2697
Beon 2(i)-dong,Gangbuk-gu,497,4508,3,269,494,4239,1,77,1,77,-,-,-,-,1,77,-,-,2,192,-,-,2,192,-,-,494,4239,99,170,294,2734,101,1335
Beon 3(sam)-dong,Gangbuk-gu,122,4783,1,10,121,4773,1,10,1,10,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,121,4773,14,40,41,3735,66,998
Suyu 1(il)-dong,Gangbuk-gu,955,4226,5,494,950,3732,2,304,2,304,-,-,-,-,2,304,-,-,5,300,-,-,3,190,2,110,948,3622,442,713,257,1406,249,1503
Suyu 2(i)-dong,Gangbuk-gu,769,4896,3,509,766,4387,2,447,2,447,-,-,-,-,2,447,-,-,1,62,-,-,1,62,-,-,766,4387,318,566,163,2630,285,1191
Suyu 3(sam)-dong,Gangbuk-gu,1155,5254,4,561,1151,4693,3,516,3,516,-,-,-,-,3,516,-,-,3,96,-,-,1,45,2,51,1149,4642,563,970,205,1398,381,2274
Samyang-dong,Gangbuk-gu,634,6034,7,452,627,5582,1,113,1,113,-,-,-,-,1,113,-,-,6,339,-,-,6,339,-,-,627,5582,246,443,230,4142,151,997
Mia-dong,Gangbuk-gu,837,5786,2,600,835,5186,1,445,1,445,-,-,-,-,1,445,-,-,10,371,-,-,1,155,9,216,826,4970,409,661,189,1485,228,2824
Songjung-dong,Gangbuk-gu,1126,7207,5,606,1121,6601,2,471,2,471,-,-,-,-,2,471,-,-,4,175,-,-,3,135,1,40,1120,6561,542,944,282,3124,296,2493
Songcheon-dong,Gangbuk-gu,855,5159,5,704,850,4455,3,542,3,542,-,-,-,-,3,542,-,-,4,188,-,-,2,162,2,26,848,4429,443,696,141,2201,264,1532
Samgaksan-dong,Gangbuk-gu,53,12911,1,26,52,12885,1,26,1,26,-,-,-,-,1,26,-,-,-,-,-,-,-,-,-,-,52,12885,10,17,8,12435,34,433
Ui-dong,Gangbuk-gu,1081,4817,4,635,1077,4182,2,497,2,497,-,-,-,-,2,497,-,-,5,241,-,-,2,138,3,103,1074,4079,537,923,256,2007,281,1149
Insu-dong,Gangbuk-gu,1814,7735,4,636,1810,7099,2,427,2,427,-,-,-,-,2,427,-,-,5,248,-,-,2,209,3,39,1807,7060,978,1817,409,3164,420,2079
Ssangmun 1(il)-dong,Dobong-gu,801,6379,47,631,754,5748,45,591,45,591,-,-,-,-,45,591,-,-,2,40,-,-,2,40,-,-,754,5748,325,701,293,3326,136,1721
Ssangmun 2(i)-dong,Dobong-gu,727,5693,57,413,670,5280,54,344,54,344,-,-,-,-,54,344,-,-,3,69,-,-,3,69,-,-,670,5280,285,531,231,3284,154,1465
Ssangmun 3(sam)-dong,Dobong-gu,830,4929,34,274,796,4655,32,234,32,234,-,-,-,-,32,234,-,-,5,111,-,-,2,40,3,71,793,4584,449,689,202,2749,142,1146
Ssangmun 4(sa)-dong,Dobong-gu,156,4676,22,194,134,4482,21,182,21,182,-,-,-,-,21,182,-,-,2,32,-,-,1,12,1,20,133,4462,49,77,59,3801,25,584
Banghak 1(il)-dong,Dobong-gu,1192,13054,75,638,1117,12416,73,611,73,611,-,-,1,17,72,594,-,-,3,65,-,-,2,27,1,38,1116,12378,586,1066,211,7143,319,4169
Banghak 2(i)-dong,Dobong-gu,1330,5385,64,590,1266,4795,59,402,59,402,-,-,-,-,59,402,-,-,6,195,-,-,5,188,1,7,1265,4788,765,1474,346,2564,154,750
Banghak 3(sam)-dong,Dobong-gu,143,7124,5,79,138,7045,5,79,5,79,-,-,-,-,5,79,-,-,2,27,-,-,-,-,2,27,136,7018,17,48,50,6238,69,732
Chang 1(il)-dong,Dobong-gu,388,6488,18,243,370,6245,16,133,16,133,-,-,-,-,16,133,-,-,3,121,-,-,2,110,1,11,369,6234,171,291,98,4811,100,1132
Chang 2(i)-dong,Dobong-gu,1033,9198,51,525,982,8673,47,394,47,394,-,-,-,-,47,394,-,-,4,131,-,-,4,131,-,-,982,8673,352,667,379,5618,251,2388
Chang 3(sam)-dong,Dobong-gu,772,3345,25,447,747,2898,24,367,24,367,-,-,-,-,24,367,-,-,1,80,-,-,1,80,-,-,747,2898,496,745,126,1631,125,522
Chang 4(sa)-dong,Dobong-gu,97,12042,10,692,87,11350,9,143,9,143,-,-,2,58,7,85,-,-,1,549,1,549,-,-,-,-,87,11350,2,10,17,8447,68,2893
Chang 5(o)-dong,Dobong-gu,447,10599,26,301,421,10298,24,168,24,168,-,-,-,-,24,168,-,-,2,133,1,124,1,9,-,-,421,10298,103,212,135,7511,183,2575
Dobong 1(il)-dong,Dobong-gu,1251,7303,88,1489,1163,5814,83,766,83,766,-,-,-,-,83,766,-,-,9,803,2,558,3,165,4,80,1159,5734,606,1330,337,2749,216,1655
Dobong 2(i)-dong,Dobong-gu,324,9443,16,536,308,8907,11,227,11,227,-,-,-,-,11,227,-,-,9,602,-,-,5,309,4,293,304,8614,187,594,39,6792,78,1228
Wolgye 1(il)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,6,・,1,73,2,・,3,186,・,・,・,・,・,・,・,・
Wolgye 2(i)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,1,・,1,40,-,・,-,-,・,・,・,・,・,・,・,・
Wolgye 3(sam)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,2,・,-,-,-,・,2,138,・,・,・,・,・,・,・,・
Gongneung 2(i)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,1,・,-,-,-,・,1,29,・,・,・,・,・,・,・,・
Hagye 1(il)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,6,・,-,-,3,・,3,269,・,・,・,・,・,・,・,・
Hagye 2(i)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,-,・,-,-,-,・,-,-,・,・,・,・,・,・,・,・
Junggyebon-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,-,・,-,-,-,・,-,-,・,・,・,・,・,・,・,・
Junggye 1(il)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,-,・,-,-,-,・,-,-,・,・,・,・,・,・,・,・
Junggye 4(sa)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,3,・,-,-,1,・,2,34,・,・,・,・,・,・,・,・
Sanggye 1(il)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,7,・,1,159,1,・,5,129,・,・,・,・,・,・,・,・
Sanggye 2(i)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,4,・,-,-,1,・,3,581,・,・,・,・,・,・,・,・
Sanggye 5(o)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,3,・,-,-,3,・,-,-,・,・,・,・,・,・,・,・
Sanggye 8(pal)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,-,・,-,-,-,・,-,-,・,・,・,・,・,・,・,・
Sanggye 9(gu)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,-,・,-,-,-,・,-,-,・,・,・,・,・,・,・,・
Sanggye 10(sip)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,-,・,-,-,-,・,-,-,・,・,・,・,・,・,・,・
Sanggye 3.4(sam.sa)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,2,122,・,・,-,-,4,・,1,130,2,・,1,16,・,・,・,・,・,・,・,・
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,1,・,-,-,1,・,-,-,・,・,・,・,・,・,・,・
Junggye 2.3(i.sam)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,2,・,-,-,2,・,-,-,・,・,・,・,・,・,・,・
Gongneung 1(il)-dong,Nowon-gu,・,・,・,・,・,・,・,・,・,・,-,-,-,-,・,・,-,-,4,・,-,-,2,・,2,18,・,・,・,・,・,・,・,・
Nokbeon-dong,Eunpyeong-gu,1578,9740,7,433,1571,9307,6,290,6,290,-,-,-,-,6,290,-,-,5,236,-,-,1,143,4,93,1567,9214,672,1365,601,4804,294,3045
Bulgwang 1(il)-dong,Eunpyeong-gu,1126,11066,9,376,1117,10690,6,310,6,310,-,-,-,-,6,310,-,-,7,146,-,-,3,66,4,80,1113,10610,493,946,446,7832,174,1832
Galhyeon 1(il)-dong,Eunpyeong-gu,1624,6884,6,264,1618,6620,5,203,5,203,-,-,-,-,5,203,-,-,6,196,-,-,1,61,5,135,1613,6485,875,1474,493,3588,245,1423
Galhyeon 2(i)-dong,Eunpyeong-gu,1472,7963,10,512,1462,7451,9,441,9,441,-,-,-,-,9,441,-,-,2,92,-,-,1,71,1,21,1461,7430,696,1257,508,4484,257,1689
Gusan-dong,Eunpyeong-gu,1463,10510,9,442,1454,10068,7,355,7,355,-,-,-,-,7,355,-,-,3,101,-,-,2,87,1,14,1453,10054,672,1330,581,6896,200,1828
Daejo-dong,Eunpyeong-gu,1621,9377,8,354,1613,9023,7,318,7,318,-,-,-,-,7,318,-,-,12,274,-,-,1,36,11,238,1602,8785,701,1608,592,4157,309,3020
Eungam 1(il)-dong,Eunpyeong-gu,1242,10955,7,347,1235,10608,6,319,6,319,-,-,-,-,6,319,-,-,3,77,-,-,1,28,2,49,1233,10559,446,959,528,6579,259,3021
Eungam 2(i)-dong,Eunpyeong-gu,610,2997,5,178,605,2819,5,178,5,178,-,-,-,-,5,178,-,-,2,48,-,-,-,-,2,48,603,2771,295,598,185,1385,123,788
Sinsa 1(il)-dong,Eunpyeong-gu,1181,7701,8,288,1173,7413,6,256,6,256,-,-,-,-,6,256,-,-,5,66,-,-,2,32,3,34,1170,7379,487,876,528,5622,155,881
Sinsa 2(i)-dong,Eunpyeong-gu,960,4906,6,213,954,4693,5,103,5,103,-,-,-,-,5,103,-,-,3,131,-,-,1,110,2,21,952,4672,584,828,225,3100,143,744
Jeungsan-dong,Eunpyeong-gu,868,6349,10,502,858,5847,10,502,10,502,-,-,-,-,10,502,-,-,4,61,-,-,-,-,4,61,854,5786,456,776,259,3709,139,1301
Susaek-dong,Eunpyeong-gu,533,5637,7,322,526,5315,6,214,6,214,-,-,-,-,6,214,-,-,9,396,-,-,1,108,8,288,518,5027,237,527,181,2335,100,2165
Jingwan-dong,Eunpyeong-gu,197,23153,2,429,195,22724,-,-,-,-,-,-,-,-,-,-,-,-,3,462,2,429,-,-,1,33,194,22691,32,49,37,20043,125,2599
Bulgwang 2(i)-dong,Eunpyeong-gu,1789,8978,11,604,1778,8374,7,234,7,234,-,-,-,-,7,234,-,-,6,396,-,-,4,370,2,26,1776,8348,1120,1989,483,5028,173,1331
Eungam 3(sam)-dong,Eunpyeong-gu,1179,5797,11,671,1168,5126,9,431,9,431,-,-,-,-,9,431,-,-,8,383,-,-,2,240,6,143,1162,4983,511,1076,338,2244,313,1663
Yeokchon-dong,Eunpyeong-gu,2481,14251,15,745,2466,13506,13,649,13,649,-,-,-,-,13,649,-,-,14,257,-,-,2,96,12,161,2454,13345,1040,2135,1044,8653,370,2557
Cheonyeon-dong,Seodaemun-gu,151,1151,11,95,140,1056,10,79,10,79,-,-,1,7,9,72,-,-,3,51,-,-,1,16,2,35,138,1021,78,248,30,349,30,424
Hongje 1(il)-dong,Seodaemun-gu,663,3500,63,561,600,2939,60,467,60,467,-,-,-,-,60,467,-,-,9,223,-,-,3,94,6,129,594,2810,273,624,164,1173,157,1013
Hongje 3(sam)-dong,Seodaemun-gu,391,2327,10,66,381,2261,9,49,9,49,-,-,-,-,9,49,-,-,4,45,-,-,1,17,3,28,378,2233,222,329,78,1335,78,569
Hongje 2(i)-dong,Seodaemun-gu,292,1362,33,357,259,1005,31,303,31,303,-,-,-,-,31,303,-,-,5,92,-,-,2,54,3,38,256,967,163,244,38,443,55,280
Hongeun 1(il)-dong,Seodaemun-gu,380,1492,45,528,335,964,42,340,42,340,-,-,-,-,42,340,-,-,5,208,-,-,3,188,2,20,333,944,201,272,56,329,76,343
Hongeun 2(i)-dong,Seodaemun-gu,861,6978,46,429,815,6549,42,233,42,233,-,-,-,-,42,233,-,-,11,279,-,-,4,196,7,83,808,6466,278,514,335,3264,195,2688
Namgajwa 1(il)-dong,Seodaemun-gu,6,67,5,60,1,7,4,22,4,22,-,-,-,-,4,22,-,-,2,45,-,-,1,38,1,7,-,-,-,-,-,-,-,-
Namgajwa 2(i)-dong,Seodaemun-gu,955,4876,59,652,896,4224,58,581,58,581,-,-,2,38,56,543,-,-,6,125,-,-,1,71,5,54,891,4170,460,1914,160,1321,271,935
Bukgajwa 1(il)-dong,Seodaemun-gu,322,1516,24,253,298,1263,24,253,24,253,-,-,-,-,24,253,-,-,2,81,-,-,-,-,2,81,296,1182,155,227,103,804,38,151
Bukgajwa 2(i)-dong,Seodaemun-gu,1428,6833,122,630,1306,6203,120,599,120,599,-,-,-,-,120,599,-,-,6,81,-,-,2,31,4,50,1302,6153,547,770,526,4426,229,957
Chunghyeon-dong,Seodaemun-gu,655,7446,49,501,606,6945,46,372,46,372,-,-,-,-,46,372,-,-,5,161,-,-,3,129,2,32,604,6913,232,645,174,1743,198,4525
Bugahyeon-dong,Seodaemun-gu,160,1039,14,270,146,769,12,120,12,120,-,-,-,-,12,120,-,-,6,210,-,-,2,150,4,60,142,709,41,53,31,215,70,441
Sinchon-dong,Seodaemun-gu,1197,17676,51,377,1146,17299,49,319,49,319,-,-,-,-,49,319,-,-,17,251,-,-,2,58,15,193,1131,17106,334,776,98,1125,699,15205
Yeonhui-dong,Seodaemun-gu,1178,9109,195,1642,983,7467,189,1424,189,1424,-,-,-,-,189,1424,-,-,16,326,-,-,6,218,10,108,973,7359,275,1671,376,1701,322,3987
Yonggang-dong,Mapo-gu,・,12455,・,954,414,11501,・,352,・,352,-,-,-,-,・,352,-,-,2,631,1,602,-,-,1,29,413,11472,98,381,110,6169,205,4922
Daeheung-dong,Mapo-gu,・,5823,・,459,582,5364,・,98,・,98,-,-,-,-,・,98,-,-,8,514,-,-,2,361,6,153,576,5211,226,532,41,855,309,3824
Yeomni-dong,Mapo-gu,・,3458,・,361,387,3097,・,113,・,113,-,-,-,-,・,113,-,-,5,327,-,-,2,248,3,79,384,3018,226,472,57,1434,101,1112
Sinsu-dong,Mapo-gu,・,7774,・,195,781,7579,・,195,・,195,-,-,-,-,・,195,-,-,-,-,-,-,-,-,-,-,781,7579,338,789,172,4334,271,2456
Seogyo-dong,Mapo-gu,・,23669,・,705,2935,22964,・,705,・,705,-,-,-,-,・,705,-,-,11,472,-,-,-,-,11,472,2924,22492,904,2709,402,4988,1618,14795
Hapjeong-dong,Mapo-gu,・,8461,・,747,1281,7714,・,614,・,614,-,-,-,-,・,614,-,-,4,197,-,-,1,133,3,64,1278,7650,428,1095,400,2989,450,3566
Mangwon 1(il)-dong,Mapo-gu,・,6182,・,680,1007,5502,・,461,・,461,-,-,-,-,・,461,-,-,2,219,-,-,2,219,-,-,1007,5502,356,941,390,3167,261,1394
Mangwon 2(i)-dong,Mapo-gu,・,6483,・,401,803,6082,・,326,・,326,-,-,1,13,・,313,-,-,2,75,-,-,2,75,-,-,803,6082,269,730,310,4071,224,1281
Yeonnam-dong,Mapo-gu,・,6069,・,558,1215,5511,・,558,・,558,-,-,-,-,・,558,-,-,-,-,-,-,-,-,-,-,1215,5511,616,1310,284,2645,315,1556
Seongsan 1(il)-dong,Mapo-gu,・,7373,・,562,1313,6811,・,562,・,562,-,-,-,-,・,562,-,-,1,27,-,-,-,-,1,27,1312,6784,525,1109,431,3104,356,2571
Seongsan 2(i)-dong,Mapo-gu,・,12117,・,593,624,11524,・,386,・,386,-,-,-,-,・,386,-,-,2,207,-,-,2,207,-,-,624,11524,197,485,155,5311,272,5728
Sangam-dong,Mapo-gu,・,22708,・,325,409,22383,・,184,・,184,-,-,-,-,・,184,-,-,1,141,-,-,1,141,-,-,409,22383,209,646,54,8882,146,12855
Dohwa-dong,Mapo-gu,・,8100,・,151,332,7949,・,85,・,85,-,-,-,-,・,85,-,-,4,351,-,-,1,66,3,285,329,7664,162,379,59,5563,108,1722
Seogang-dong,Mapo-gu,・,12041,・,182,1098,11859,・,182,・,182,-,-,-,-,・,182,-,-,1,13,-,-,-,-,1,13,1097,11846,537,1222,239,7547,321,3077
gongdeok-dong,Mapo-gu,・,15403,・,426,883,14977,・,301,・,301,-,-,-,-,・,301,-,-,7,282,-,-,2,125,5,157,878,14820,389,958,159,7092,330,6770
Ahyeon-dong,Mapo-gu,・,6481,・,82,153,6399,・,82,・,82,-,-,-,-,・,82,-,-,2,30,-,-,-,-,2,30,151,6369,53,145,21,2510,77,3714
Mok 1(il)-dong,Yangcheon-gu,・,・,・,・,248,21131,・,・,・,・,-,-,-,-,・,・,-,-,6,3094,-,-,5,2056,1,1038,247,20093,48,74,50,10295,149,9724
Mok 2(i)-dong,Yangcheon-gu,・,・,・,・,1186,8575,・,・,・,・,-,-,-,-,・,・,-,-,4,148,-,-,2,109,2,39,1184,8536,478,1072,529,5868,177,1596
Mok 3(sam)-dong,Yangcheon-gu,・,・,・,・,935,6536,・,・,・,・,-,-,-,-,・,・,-,-,3,171,-,-,2,155,1,16,934,6520,448,992,319,4214,167,1314
Mok 4(sa)-dong,Yangcheon-gu,・,・,・,・,1030,7882,・,・,・,・,-,-,-,-,・,・,-,-,3,165,-,-,1,30,2,135,1028,7747,455,868,377,5529,196,1350
Sinwol 1(il)-dong,Yangcheon-gu,・,・,・,・,1319,5958,・,・,・,・,-,-,-,-,・,・,-,-,4,734,-,-,4,734,-,-,1319,5958,791,1362,282,3124,246,1472
Sinwol 2(i)-dong,Yangcheon-gu,・,・,・,・,586,6198,・,・,・,・,-,-,-,-,・,・,-,-,1,45,-,-,1,45,-,-,586,6198,162,400,263,4472,161,1326
Sinwol 3(sam)-dong,Yangcheon-gu,・,・,・,・,529,3939,・,・,・,・,-,-,-,-,・,・,-,-,4,404,-,-,3,225,1,179,528,3760,246,416,152,1491,130,1853
Sinwol 4(sa)-dong,Yangcheon-gu,・,・,・,・,494,6473,・,・,・,・,-,-,-,-,・,・,-,-,3,100,-,-,-,-,3,100,491,6373,158,380,209,4621,124,1372
Sinwol 5(o)-dong,Yangcheon-gu,・,・,・,・,671,5152,・,・,・,・,-,-,-,-,・,・,-,-,1,275,-,-,-,-,1,275,670,4877,296,587,219,2520,155,1770
Sinwol 6(yuk)-dong,Yangcheon-gu,・,・,・,・,256,2802,・,・,・,・,-,-,-,-,・,・,-,-,3,90,-,-,3,90,-,-,256,2802,69,132,124,1820,63,850
Sinwol 7(chil)-dong,Yangcheon-gu,・,・,・,・,642,5434,・,・,・,・,-,-,-,-,・,・,-,-,4,96,-,-,4,96,-,-,642,5434,36,112,434,3568,172,1754
Sinjeong 1(il)-dong,Yangcheon-gu,・,・,・,・,251,4420,・,・,・,・,-,-,-,-,・,・,-,-,1,18,-,-,1,18,-,-,251,4420,123,150,22,3133,106,1137
Sinjeong 2(i)-dong,Yangcheon-gu,・,・,・,・,243,6660,・,・,・,・,-,-,-,-,・,・,-,-,1,39,-,-,-,-,1,39,242,6621,56,87,49,5176,137,1358
Sinjeong 3(sam)-dong,Yangcheon-gu,・,・,・,・,599,16985,・,・,・,・,-,-,-,-,・,・,-,-,2,142,-,-,2,142,-,-,599,16985,295,473,164,9672,140,6840
Sinjeong 6(yuk)-dong,Yangcheon-gu,・,・,・,・,41,8249,・,・,・,・,-,-,2,109,・,・,-,-,3,237,-,-,3,237,-,-,41,8249,-,-,5,5794,36,2455
Sinjeong 7(chil)-dong,Yangcheon-gu,・,・,・,・,124,8915,・,・,・,・,-,-,-,-,・,・,-,-,5,221,-,-,5,221,-,-,124,8915,28,88,26,7290,70,1537
Mok 5(o)-dong,Yangcheon-gu,・,・,・,・,65,14049,・,・,・,・,-,-,5,155,・,・,-,-,7,292,2,98,4,164,1,30,64,14019,-,-,15,10890,49,3129
Sinjeong 4(sa)-dong,Yangcheon-gu,・,・,・,・,1918,10751,・,・,・,・,-,-,-,-,・,・,-,-,6,209,-,-,2,55,4,154,1914,10597,803,1687,579,4957,532,3953
Yeomchang-dong,Gangseo-gu,483,18333,16,105,467,18228,16,105,16,105,-,-,-,-,16,105,-,-,1,20,-,-,-,-,1,20,466,18208,64,140,153,13045,249,5023
Deungchon 1(il)-dong,Gangseo-gu,483,11250,16,134,467,11116,16,134,16,134,-,-,-,-,16,134,-,-,-,-,-,-,-,-,-,-,467,11116,104,247,120,4098,243,6771
Deungchon 2(i)-dong,Gangseo-gu,751,8126,36,341,715,7785,35,250,35,250,-,-,-,-,35,250,-,-,1,91,-,-,1,91,-,-,715,7785,351,795,253,5622,111,1368
Deungchon 3(sam)-dong,Gangseo-gu,237,15550,12,162,225,15388,12,162,12,162,-,-,-,-,12,162,-,-,1,32,-,-,-,-,1,32,224,15356,7,39,31,6369,186,8948
Hwagokbon-dong,Gangseo-gu,1855,11193,45,605,1810,10588,42,173,42,173,-,-,-,-,42,173,-,-,4,450,-,-,3,432,1,18,1809,10570,537,1238,996,6897,276,2435
Hwagok 2(i)-dong,Gangseo-gu,1074,5717,56.34,655,1018,5062,55.34,595,55.34,595,-,-,1,164,54.34,431,-,-,3,85,-,-,1,60,2,25,1016,5037,461,957,415,3137,140,943
Hwagok 3(sam)-dong,Gangseo-gu,827,9376,42,328,785,9048,41,229,41,229,-,-,-,-,41,229,-,-,1,99,-,-,1,99,-,-,785,9048,384,823,245,6873,156,1352
Hwagok 4(sa)-dong,Gangseo-gu,1274,6972,60.33,564,1214,6408,58.33,409,58.33,409,-,-,-,-,58.33,409,-,-,4,191,-,-,2,155,2,36,1212,6372,570,1194,406,3683,236,1495
Hwagok 6(yuk)-dong,Gangseo-gu,1085,13170,60,765,1025,12405,59,465,59,465,-,-,-,-,59,465,-,-,1,300,-,-,1,300,-,-,1025,12405,365,927,357,6562,303,4916
Hwagok 8(pal)-dong,Gangseo-gu,1280,7587,53.33,701,1227,6886,49.33,334,49.33,334,-,-,-,-,49.33,334,-,-,5,397,-,-,4,367,1,30,1226,6856,416,844,668,4902,142,1110
Gayang 1(il)-dong,Gangseo-gu,294,8795,18,319,276,8476,15,137,15,137,-,-,-,-,15,137,-,-,3,182,3,182,-,-,-,-,276,8476,62,227,56,5413,158,2836
Gayang 2(i)-dong,Gangseo-gu,46,5274,6,133,40,5141,6,133,6,133,-,-,-,-,6,133,-,-,-,-,-,-,-,-,-,-,40,5141,-,-,7,3116,33,2025
Gayang 3(sam)-dong,Gangseo-gu,40,5700,2,87,38,5613,2,87,2,87,-,-,-,-,2,87,-,-,-,-,-,-,-,-,-,-,38,5613,-,-,8,2833,30,2780
Balsan 1(il)-dong,Gangseo-gu,639,17234,40,254,599,16980,39,230,39,230,-,-,-,-,39,230,-,-,2,378,-,-,1,24,1,354,598,16626,158,477,252,9420,188,6729
