Dong,楳舛_爽託舌_Gu_Gu_Gu_Gu,楳舛_爽託舌_Total_Total_Total_Number,楳舛_爽託舌_Total_Total_Total_Space,楳舛_爽託舌_Total_Public_Public_Number,楳舛_爽託舌_Total_Public_Public_Space,楳舛_爽託舌_Total_Private_Private_Number,楳舛_爽託舌_Total_Private_Private_Space,楳舛_爽託舌_Street parking_Total_Total_Number,楳舛_爽託舌_Street parking_Total_Total_Space,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Space,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Space,楳舛_爽託舌_Non-Street parking_Total_Total_Number,楳舛_爽託舌_Non-Street parking_Total_Total_Space,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Number,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Space,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Number,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Space,楳舛_爽託舌_Non-Street parking_Private_Private_Number,楳舛_爽託舌_Non-Street parking_Private_Private_Space,楳舛_爽託舌_Attached to buildings_Total_Total_Number,楳舛_爽託舌_Attached to buildings_Total_Total_Space,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Number,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Space,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Number,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Space,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Number,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Space
Jayang 4(sa)-dong,Gwangjin-gu,1011,5943,4,221,1007,5722,1,112,1,112,-,-,-,-,1,112,-,-,8,277,-,-,3,109,5,168,1002,5554,748,2115,143,1640,111,1799
Hoegi-dong,Dongdaemun-gu,718,9429,11,430,707,8999,7,23,7,23,-,-,-,-,7,23,-,-,6,439,-,-,4,407,2,32,705,8967,275,572,350,5566,80,2829
Hwigyeong 1(il)-dong,Dongdaemun-gu,403,8593,10,462,393,8131,7,363,7,363,-,-,-,-,7,363,-,-,4,111,-,-,3,99,1,12,392,8119,131,359,171,6056,90,1704
Hwigyeong 2(i)-dong,Dongdaemun-gu,524,5273,8,163,516,5110,7,63,7,63,-,-,-,-,7,63,-,-,2,120,-,-,1,100,1,20,515,5090,222,688,232,1352,61,3050
Cheongnyangni-dong,Dongdaemun-gu,586,4924,98,354,488,4570,96,307,96,307,-,-,-,-,96,307,-,-,3,125,-,-,2,47,1,78,487,4492,127,436,283,3057,77,999
Yongsin-dong,Dongdaemun-gu,1317,12709,130,1109,1187,11600,128,969,128,969,-,-,3,236,125,733,-,-,9,516,-,-,2,140,7,376,1180,11224,477,1636,369,4398,334,5190
Jegi-dong,Dongdaemun-gu,1078,11793,324,874,754,10919,322,623,322,623,-,-,-,-,322,623,-,-,5,328,-,-,2,251,3,77,751,10842,279,860,297,8314,175,1668
Jeonnong 1(il)-dong,Dongdaemun-gu,778,6845,8,696,770,6149,7,633,7,633,-,-,-,-,7,633,-,-,2,87,-,-,1,63,1,24,769,6125,242,579,412,2514,115,3032
Jeonnong 2(i)-dong,Dongdaemun-gu,208,4520,7,52,201,4468,7,52,7,52,-,-,-,-,7,52,-,-,2,27,-,-,-,-,2,27,199,4441,63,180,102,3890,34,371
Dapsimni 1(il)-dong,Dongdaemun-gu,476,7196,56,702,420,6494,53,345,53,345,-,-,-,-,53,345,-,-,4,453,-,-,3,357,1,96,419,6398,185,623,142,3553,92,2222
Dapsimni 2(i)-dong,Dongdaemun-gu,521,10513,85,382,436,10131,82,236,82,236,-,-,-,-,82,236,-,-,4,173,-,-,3,146,1,27,435,10104,208,575,148,8451,79,1078
