Dong,青沥_青沥备开_Autonomous Gu_Autonomous Gu,青沥_青沥备开_Area(km2)_Area(km2),青沥_青沥备开_Area(km2)_Composition,青沥_青沥备开_Dong_Administraci？n,青沥_青沥备开_Dong_Court ,青沥_青沥备开_Tong_Tong,青沥_青沥备开_Ban_Ban
Sangdo 2(i)-dong,Dongjak-gu,0.97,0.16,1.0,-,37.0,227.0
Sangdo 3(sam)-dong,Dongjak-gu,0.6,0.1,1.0,-,26.0,162.0
Sangdo 4(sa)-dong,Dongjak-gu,0.75,0.12,1.0,-,33.0,223.0
Sadang 1(il)-dong,Dongjak-gu,0.79,0.13,1.0,-,32.0,201.0
Sadang 3(sam)-dong,Dongjak-gu,0.92,0.15,1.0,-,38.0,206.0
Sadang 4(sa)-dong,Dongjak-gu,0.38,0.06,1.0,-,21.0,141.0
Sadang 5(o)-dong,Dongjak-gu,0.57,0.09,1.0,-,18.0,150.0
Daebang-dong,Dongjak-gu,1.55,0.26,1.0,1,43.0,323.0
Sindaebang 1(il)-dong,Dongjak-gu,0.62,0.1,1.0,1,36.0,212.0
Sindaebang 2(i)-dong,Dongjak-gu,1.03,0.17,1.0,-,22.0,178.0
Heukseok-dong,Dongjak-gu,1.68,0.28,1.0,1,60.0,375.0
Noryangjin 1(il)-dong,Dongjak-gu,1.58,0.26,1.0,2,48.0,340.0
Sadang 2(i)-dong,Dongjak-gu,2.75,0.45,1.0,2,42.0,294.0
Boramae-dong,Gwanak-gu,0.76,0.13,1.0,1,29.0,247.0
Cheongnim-dong,Gwanak-gu,0.3,0.05,1.0,-,24.0,184.0
Haengun-dong,Gwanak-gu,0.72,0.12,1.0,-,37.0,287.0
Nagseongdae-dong,Gwanak-gu,2.27,0.38,1.0,-,20.0,151.0
Jungang-dong,Gwanak-gu,0.39,0.06,1.0,-,19.0,159.0
Inheon-dong,Gwanak-gu,1.08,0.18,1.0,-,28.0,254.0
Namhyeon-dong,Gwanak-gu,3.27,0.54,1.0,1,17.0,143.0
Sewon-dong,Gwanak-gu,0.65,0.11,1.0,-,24.0,177.0
Sinwon-dong,Gwanak-gu,0.55,0.09,1.0,1,23.0,179.0
Serim-dong,Gwanak-gu,0.99,0.16,1.0,-,30.0,231.0
Sinsa-dong,Gwanak-gu,0.64,0.11,1.0,-,30.0,222.0
Sillim-dong,Gwanak-gu,0.54,0.09,1.0,-,21.0,187.0
Nanhyang-dong,Gwanak-gu,0.8,0.13,1.0,-,25.0,198.0
Jowon-dong,Gwanak-gu,0.67,0.11,1.0,-,25.0,224.0
Daehak-dong,Gwanak-gu,8.3,1.37,1.0,-,30.0,244.0
Euncheon-dong,Gwanak-gu,0.78,0.13,1.0,-,48.0,443.0
Seonghyeon-dong,Gwanak-gu,0.68,0.11,1.0,-,45.0,333.0
Cheongnyong-dong,Gwanak-gu,1.18,0.19,1.0,-,41.0,391.0
Nangok-dong,Gwanak-gu,0.96,0.16,1.0,-,39.0,339.0
Samseong-dong,Gwanak-gu,2.66,0.44,1.0,-,38.0,297.0
Miseong-dong,Gwanak-gu,1.38,0.23,1.0,-,42.0,291.0
Seocho 1(il)-dong,Seocho-gu,1.42,0.23,1.0,1,25.0,204.0
Seocho 2(i)-dong,Seocho-gu,1.24,0.2,1.0,-,29.0,255.0
Seocho 3(sam)-dong,Seocho-gu,2.93,0.48,1.0,-,41.0,310.0
Seocho 4(sa)-dong,Seocho-gu,0.88,0.15,1.0,-,31.0,187.0
Jamwon-dong,Seocho-gu,1.76,0.29,1.0,1,46.0,398.0
Banpobon-dong,Seocho-gu,1.01,0.17,1.0,1,15.0,103.0
Banpo 1(il)-dong,Seocho-gu,1.0,0.17,1.0,-,26.0,157.0
Banpo 2(i)-dong,Seocho-gu,1.35,0.22,1.0,-,25.0,183.0
Banpo 3(sam)-dong,Seocho-gu,1.28,0.21,1.0,-,28.0,184.0
Banpo 4(sa)-dong,Seocho-gu,1.43,0.24,1.0,-,22.0,160.0
Bangbaebon-dong,Seocho-gu,0.67,0.11,1.0,1,23.0,195.0
Bangbae 1(il)-dong,Seocho-gu,0.7,0.12,1.0,-,24.0,142.0
Bangbae 2(i)-dong,Seocho-gu,1.93,0.32,1.0,-,44.0,292.0
Bangbae 3(sam)-dong,Seocho-gu,2.4,0.4,1.0,-,31.0,228.0
Bangbae 4(sa)-dong,Seocho-gu,0.98,0.16,1.0,-,32.0,176.0
Yangjae 1(il)-dong,Seocho-gu,5.76,0.95,1.0,2,53.0,270.0
Yangjae 2(i)-dong,Seocho-gu,7.58,1.25,1.0,1,22.0,131.0
Naegok-dong,Seocho-gu,12.68,2.1,1.0,3,15.0,97.0
Sinsa-dong,Gangnam-gu,1.89,0.31,1.0,1,34.0,212.0
Nonhyeon 1(il)-dong,Gangnam-gu,1.25,0.21,1.0,1,42.0,275.0
Nonhyeon 2(i)-dong,Gangnam-gu,1.47,0.24,1.0,-,37.0,269.0
Samseong 1(il)-dong,Gangnam-gu,1.94,0.32,1.0,1,23.0,147.0
Samseong 2(i)-dong,Gangnam-gu,1.24,0.2,1.0,-,45.0,287.0
Daechi 1(il)-dong,Gangnam-gu,0.79,0.13,1.0,1,28.0,197.0
Daechi 4(sa)-dong,Gangnam-gu,0.73,0.12,1.0,-,28.0,179.0
Yeoksam 1(il)-dong,Gangnam-gu,2.35,0.39,1.0,1,51.0,333.0
Yeoksam 2(i)-dong,Gangnam-gu,1.15,0.19,1.0,-,50.0,334.0
Dogok 1(il)-dong,Gangnam-gu,1.02,0.17,1.0,1,35.0,237.0
Dogok 2(i)-dong,Gangnam-gu,1.02,0.17,1.0,-,42.0,315.0
Gaepo 1(il)-dong,Gangnam-gu,1.27,0.21,1.0,1,32.0,199.0
Gaepo 4(sa)-dong,Gangnam-gu,1.49,0.25,1.0,-,35.0,249.0
Irwonbon-dong,Gangnam-gu,2.58,0.43,1.0,1,28.0,195.0
Irwon 1(il)-dong,Gangnam-gu,0.92,0.15,1.0,-,27.0,176.0
Irwon 2(i)-dong,Gangnam-gu,1.24,0.2,1.0,-,26.0,182.0
Suseo-dong,Gangnam-gu,1.43,0.24,1.0,1,25.0,175.0
Segok-dong,Gangnam-gu,6.36,1.05,1.0,3,29.0,173.0
Apgujeong -dong,Gangnam-gu,2.53,0.42,1.0,1,38.0,253.0
Cheongdam -dong,Gangnam-gu,2.33,0.38,1.0,1,48.0,341.0
Daechi 2(i)-dong,Gangnam-gu,2.0,0.33,1.0,-,53.0,355.0
Gaepo 2(i)-dong,Gangnam-gu,2.51,0.41,1.0,-,46.0,292.0
Pungnap 1(il)-dong,Songpa-gu,0.77,0.13,1.0,1,22.0,128.0
Pungnap 2(i)-dong,Songpa-gu,1.59,0.26,1.0,-,30.0,180.0
Geoyeo 1(il)-dong,Songpa-gu,0.67,0.11,1.0,1,16.0,80.0
Geoyeo 2(i)-dong,Songpa-gu,1.69,0.28,1.0,-,35.0,182.0
Macheon 1(il)-dong,Songpa-gu,0.58,0.1,1.0,1,26.0,131.0
Macheon 2(i)-dong,Songpa-gu,0.89,0.15,1.0,-,26.0,147.0
Bangi 1(il)-dong,Songpa-gu,0.5,0.08,1.0,1,18.0,102.0
Bangi 2(i)-dong,Songpa-gu,0.8,0.13,1.0,-,34.0,198.0
Oryun-dong,Songpa-gu,3.17,0.52,1.0,-,15.0,100.0
Ogeum-dong,Songpa-gu,1.65,0.27,1.0,1,39.0,206.0
Songpa 1(il)-dong,Songpa-gu,0.79,0.13,1.0,1,31.0,186.0
Songpa 2(i)-dong,Songpa-gu,0.53,0.09,1.0,-,21.0,126.0
Seokchon-dong,Songpa-gu,0.95,0.16,1.0,1,40.0,240.0
Samjeon-dong,Songpa-gu,0.95,0.16,1.0,1,43.0,258.0
Garakbon-dong,Songpa-gu,1.13,0.19,1.0,1,28.0,167.0
Garak 1(il)-dong,Songpa-gu,1.34,0.22,1.0,-,21.0,187.0
Garak 2(i)-dong,Songpa-gu,0.96,0.16,1.0,-,32.0,193.0
Munjeong 1(il)-dong,Songpa-gu,0.56,0.09,1.0,1,22.0,132.0
Munjeong 2(i)-dong,Songpa-gu,2.2,0.36,1.0,-,18.0,110.0
Jangji-dong,Songpa-gu,2.6,0.43,1.0,1,40.0,238.0
Jamsilbon-dong,Songpa-gu,0.94,0.16,1.0,1,39.0,234.0
Jamsil 4(sa)-dong,Songpa-gu,1.56,0.26,1.0,1,24.0,138.0
Jamsil 6(yuk)-dong,Songpa-gu,2.79,0.46,1.0,-,20.0,103.0
Jamsil 7(chil)-dong,Songpa-gu,0.6,0.1,1.0,-,10.0,52.0
Jamsil 2(i)-dong,Songpa-gu,2.18,0.36,1.0,-,26.0,156.0
Jamsil 3(sam)-dong,Songpa-gu,1.49,0.25,1.0,-,33.0,190.0
Gangil-dong,Gangdong-gu,2.8,0.46,1.0,1,30.0,210.0
Sangil-dong,Gangdong-gu,2.65,0.44,1.0,1,41.0,338.0
Myeongil 1(il)-dong,Gangdong-gu,0.61,0.1,1.0,1,27.0,222.0
Myeongil 2(i)-dong,Gangdong-gu,0.97,0.16,1.0,-,26.0,214.0
Godeok 1(il)-dong,Gangdong-gu,1.73,0.29,1.0,1,30.0,254.0
Godeok 2(i)-dong,Gangdong-gu,2.01,0.33,1.0,-,26.0,217.0
Amsa 2(i)-dong,Gangdong-gu,1.18,0.19,1.0,1,19.0,165.0
Amsa 3(sam)-dong,Gangdong-gu,2.51,0.41,1.0,-,20.0,213.0
Cheonho 1(il)-dong,Gangdong-gu,0.71,0.12,1.0,-,36.0,320.0
Cheonho 3(sam)-dong,Gangdong-gu,0.79,0.13,1.0,1,30.0,283.0
Seongnae 1(il)-dong,Gangdong-gu,0.58,0.1,1.0,-,22.0,177.0
Seongnae 2(i)-dong,Gangdong-gu,0.67,0.11,1.0,-,37.0,350.0
Seongnae 3(sam)-dong,Gangdong-gu,0.71,0.12,1.0,1,28.0,240.0
Dunchon 1(il)-dong,Gangdong-gu,0.92,0.15,1.0,-,23.0,229.0
Dunchon 2(i)-dong,Gangdong-gu,0.98,0.16,1.0,-,28.0,260.0
Amsa 1(il)-dong,Gangdong-gu,1.02,0.17,1.0,1,39.0,370.0
Cheonho 2(i)-dong,Gangdong-gu,1.57,0.26,1.0,1,43.0,408.0
Gil-dong,Gangdong-gu,2.17,0.36,1.0,-,62.0,533.0
