Dong,青沥_青沥备开_Autonomous Gu_Autonomous Gu,青沥_青沥备开_Area(km2)_Area(km2),青沥_青沥备开_Area(km2)_Composition,青沥_青沥备开_Dong_Administraci？n,青沥_青沥备开_Dong_Court ,青沥_青沥备开_Tong_Tong,青沥_青沥备开_Ban_Ban
Guui 3(sam)-dong,Gwangjin-gu,1.02,0.17,1.0,-,27.0,213.0
Gwangjang-dong,Gwangjin-gu,2.39,0.39,1.0,1,29.0,304.0
Jayang 1(il)-dong,Gwangjin-gu,0.57,0.09,1.0,1,26.0,213.0
Jayang 2(i)-dong,Gwangjin-gu,1.68,0.28,1.0,-,26.0,213.0
Jayang 3(sam)-dong,Gwangjin-gu,1.2,0.2,1.0,-,25.0,244.0
Jayang 4(sa)-dong,Gwangjin-gu,1.16,0.19,1.0,-,26.0,160.0
Hoegi-dong,Dongdaemun-gu,0.76,0.13,1.0,1,10.0,87.0
Hwigyeong 1(il)-dong,Dongdaemun-gu,0.63,0.1,1.0,1,18.0,144.0
Hwigyeong 2(i)-dong,Dongdaemun-gu,1.05,0.17,1.0,-,20.0,145.0
Cheongnyangni-dong,Dongdaemun-gu,1.2,0.2,1.0,1,25.0,191.0
Yongsin-dong,Dongdaemun-gu,1.61,0.27,1.0,2,35.0,225.0
Jegi-dong,Dongdaemun-gu,1.18,0.19,1.0,1,29.0,202.0
Jeonnong 1(il)-dong,Dongdaemun-gu,1.19,0.2,1.0,1,36.0,259.0
Jeonnong 2(i)-dong,Dongdaemun-gu,0.86,0.14,1.0,-,21.0,148.0
Dapsimni 1(il)-dong,Dongdaemun-gu,0.86,0.14,1.0,1,30.0,235.0
Dapsimni 2(i)-dong,Dongdaemun-gu,0.8,0.13,1.0,-,27.0,201.0
Jangan 1(il)-dong,Dongdaemun-gu,1.25,0.21,1.0,1,31.0,217.0
Jangan 2(i)-dong,Dongdaemun-gu,1.08,0.18,1.0,-,27.0,200.0
Imun 1(il)-dong,Dongdaemun-gu,1.04,0.17,1.0,1,32.0,209.0
Imun 2(i)-dong,Dongdaemun-gu,0.69,0.11,1.0,-,20.0,165.0
Myeonmok 2(i)-dong,Jungnang-gu,0.73,0.12,1.0,-,35.0,254.0
Myeonmok 4(sa)-dong,Jungnang-gu,1.1,0.18,1.0,-,32.0,233.0
Myeonmok 5(o)-dong,Jungnang-gu,0.64,0.11,1.0,-,18.0,143.0
Myeonmok 7(chil)-dong,Jungnang-gu,0.87,0.14,1.0,-,33.0,243.0
Sangbong 1(il)-dong,Jungnang-gu,0.85,0.14,1.0,1,32.0,252.0
Sangbong 2(i)-dong,Jungnang-gu,0.68,0.11,1.0,-,25.0,181.0
Junghwa 1(il)-dong,Jungnang-gu,0.68,0.11,1.0,1,26.0,194.0
Junghwa 2(i)-dong,Jungnang-gu,0.98,0.16,1.0,-,44.0,333.0
Muk 1(il)-dong,Jungnang-gu,1.2,0.2,1.0,1,33.0,264.0
Muk 2(i)-dong,Jungnang-gu,0.7,0.12,1.0,-,25.0,205.0
Mangu 3(sam)-dong,Jungnang-gu,0.99,0.16,1.0,-,25.0,182.0
Sinnae 1(il)-dong,Jungnang-gu,2.53,0.42,1.0,1,38.0,275.0
Sinnae 2(i)-dong,Jungnang-gu,0.99,0.16,1.0,-,37.0,259.0
Myeonmokbon-dong,Jungnang-gu,1.01,0.17,1.0,1,49.0,390.0
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,1.67,0.28,1.0,-,38.0,295.0
Mangubon-dong,Jungnang-gu,2.88,0.48,1.0,1,46.0,359.0
Donam 1(il)-dong,Seongbuk-gu,0.49,0.08,1.0,4,18.0,146.0
Donam 2(i)-dong,Seongbuk-gu,0.48,0.08,1.0,6,19.0,143.0
Anam-dong,Seongbuk-gu,1.33,0.22,1.0,8,22.0,155.0
Bomun-dong,Seongbuk-gu,0.56,0.09,1.0,1,21.0,140.0
Jeongneung 1(il)-dong,Seongbuk-gu,0.44,0.07,1.0,-,16.0,114.0
Jeongneung 2(i)-dong,Seongbuk-gu,1.17,0.19,1.0,5,22.0,168.0
Jeongneung 3(sam)-dong,Seongbuk-gu,3.71,0.61,1.0,7,24.0,170.0
Jeongneung 4(sa)-dong,Seongbuk-gu,3.13,0.52,1.0,1,24.0,216.0
Gireum 1(il)-dong,Seongbuk-gu,0.79,0.13,1.0,-,23.0,205.0
Gireum 2(i)-dong,Seongbuk-gu,0.58,0.1,1.0,-,20.0,177.0
Wolgok 1(il)-dong,Seongbuk-gu,0.81,0.13,1.0,-,22.0,231.0
Wolgok 2(i)-dong,Seongbuk-gu,1.36,0.22,1.0,1,19.0,157.0
Jangwi 1(il)-dong,Seongbuk-gu,0.7,0.12,1.0,-,29.0,246.0
Jangwi 2(i)-dong,Seongbuk-gu,0.67,0.11,1.0,1,23.0,199.0
Jangwi 3(sam)-dong,Seongbuk-gu,0.65,0.11,1.0,1,22.0,188.0
Seongbuk-dong,Seongbuk-gu,2.86,0.47,1.0,2,21.0,177.0
Samseon-dong,Seongbuk-gu,0.92,0.15,1.0,1,26.0,194.0
Dongseon-dong,Seongbuk-gu,0.73,0.12,1.0,-,19.0,130.0
Jongam-dong,Seongbuk-gu,1.46,0.24,1.0,-,34.0,264.0
