Dong,인구_인구이동_Autonomous Gu_Autonomous Gu_Autonomous Gu,인구_인구이동_Classification_ Total in migrants (⑦=①+③+⑤)_ Total in migrants (⑦=①+③+⑤),인구_인구이동_Classification_ Out-migrants(⑧=②+④+⑥)_ Out-migrants(⑧=②+④+⑥),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(①),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(②),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(③),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(④),인구_인구이동_Classification_ Migration between City and province_ In-migrants(⑤),인구_인구이동_Classification_ Migration between City and province_ Out-migrants(⑥)
Bukgajwa 1(il)-dong,Seodaemun-gu,4868.0,2249.0,1367.0,476.0,2498.0,952.0,1003.0,821.0
Bukgajwa 2(i)-dong,Seodaemun-gu,4942.0,5233.0,1087.0,1280.0,2548.0,2364.0,1307.0,1589.0
Chunghyeon-dong,Seodaemun-gu,2707.0,3179.0,472.0,523.0,1376.0,1600.0,859.0,1056.0
Bugahyeon-dong,Seodaemun-gu,1334.0,1704.0,256.0,321.0,619.0,791.0,459.0,592.0
Sinchon-dong,Seodaemun-gu,4814.0,4774.0,386.0,534.0,1800.0,2237.0,2628.0,2003.0
Yeonhui-dong,Seodaemun-gu,5892.0,6631.0,1077.0,1474.0,2461.0,2777.0,2354.0,2380.0
Yonggang-dong,Mapo-gu,2835.0,3063.0,870.0,799.0,1127.0,1308.0,838.0,956.0
Daeheung-dong,Mapo-gu,2838.0,3013.0,654.0,688.0,931.0,1247.0,1253.0,1078.0
Yeomni-dong,Mapo-gu,2110.0,3672.0,582.0,1190.0,769.0,1475.0,759.0,1007.0
Sinsu-dong,Mapo-gu,3296.0,3474.0,1109.0,1017.0,1077.0,1268.0,1110.0,1189.0
Seogyo-dong,Mapo-gu,6860.0,6530.0,1530.0,1968.0,2871.0,2436.0,2459.0,2126.0
Hapjeong-dong,Mapo-gu,3765.0,4121.0,1031.0,1178.0,1275.0,1457.0,1459.0,1486.0
Mangwon 1(il)-dong,Mapo-gu,3873.0,4284.0,1636.0,1403.0,1208.0,1380.0,1029.0,1501.0
Mangwon 2(i)-dong,Mapo-gu,2997.0,3406.0,1322.0,1177.0,967.0,1164.0,708.0,1065.0
Yeonnam-dong,Mapo-gu,3516.0,3617.0,993.0,902.0,1441.0,1497.0,1082.0,1218.0
Seongsan 1(il)-dong,Mapo-gu,3715.0,3747.0,1591.0,1313.0,1162.0,1250.0,962.0,1184.0
Seongsan 2(i)-dong,Mapo-gu,4613.0,5055.0,1149.0,932.0,2034.0,2172.0,1430.0,1951.0
Sangam-dong,Mapo-gu,4025.0,4275.0,846.0,520.0,1884.0,2039.0,1295.0,1716.0
Dohwa-dong,Mapo-gu,3354.0,3423.0,627.0,590.0,1672.0,1665.0,1055.0,1168.0
Seogang-dong,Mapo-gu,4006.0,4561.0,1049.0,1235.0,1428.0,1767.0,1529.0,1559.0
