Dong,인구_인구밀도_Period,인구_인구밀도_Autonomous Gu,인구_인구밀도_Population,인구_인구밀도_Area,인구_인구밀도_Population density
Banpo 2(i)-dong,2013.0,Seocho-gu,20133.0,1.35,14913
Banpo 3(sam)-dong,2013.0,Seocho-gu,24431.0,1.28,19087
Banpo 4(sa)-dong,2013.0,Seocho-gu,20884.0,1.43,14604
Bangbaebon-dong,2013.0,Seocho-gu,22338.0,0.67,33340
Bangbae 1(il)-dong,2013.0,Seocho-gu,17501.0,0.7,25001
Bangbae 2(i)-dong,2013.0,Seocho-gu,27871.0,1.93,14441
Bangbae 3(sam)-dong,2013.0,Seocho-gu,25586.0,2.4,10661
Bangbae 4(sa)-dong,2013.0,Seocho-gu,26036.0,0.98,26567
Yangjae 1(il)-dong,2013.0,Seocho-gu,44231.0,5.76,7679
Yangjae 2(i)-dong,2013.0,Seocho-gu,22935.0,7.58,3026
Naegok-dong,2013.0,Seocho-gu,6047.0,12.68,477
Sinsa-dong,2013.0,Gangnam-gu,19753.0,1.89,10451
Nonhyeon 1(il)-dong,2013.0,Gangnam-gu,26221.0,1.25,20977
Nonhyeon 2(i)-dong,2013.0,Gangnam-gu,22526.0,1.47,15324
Samseong 1(il)-dong,2013.0,Gangnam-gu,15993.0,1.94,8244
Samseong 2(i)-dong,2013.0,Gangnam-gu,32310.0,1.24,26056
Daechi 1(il)-dong,2013.0,Gangnam-gu,20580.0,0.79,26051
Daechi 4(sa)-dong,2013.0,Gangnam-gu,22351.0,0.73,30618
Yeoksam 1(il)-dong,2013.0,Gangnam-gu,36142.0,2.35,15380
Yeoksam 2(i)-dong,2013.0,Gangnam-gu,35091.0,1.15,30514
Dogok 1(il)-dong,2013.0,Gangnam-gu,22945.0,1.02,22495
Dogok 2(i)-dong,2013.0,Gangnam-gu,35674.0,1.02,34975
Gaepo 1(il)-dong,2013.0,Gangnam-gu,22869.0,1.27,18007
Gaepo 4(sa)-dong,2013.0,Gangnam-gu,23562.0,1.49,15813
Irwonbon-dong,2013.0,Gangnam-gu,23051.0,2.58,8934
Irwon 1(il)-dong,2013.0,Gangnam-gu,18448.0,0.92,20052
Irwon 2(i)-dong,2013.0,Gangnam-gu,18822.0,1.24,15179
Suseo-dong,2013.0,Gangnam-gu,16486.0,1.43,11529
Segok-dong,2013.0,Gangnam-gu,19137.0,6.36,3009
Apgujeong -dong,2013.0,Gangnam-gu,29175.0,2.53,11532
Cheongdam -dong,2013.0,Gangnam-gu,31198.0,2.33,13390
Daechi 2(i)-dong,2013.0,Gangnam-gu,42509.0,2,21255
Gaepo 2(i)-dong,2013.0,Gangnam-gu,34307.0,2.51,13668
Pungnap 1(il)-dong,2013.0,Songpa-gu,19446.0,0.77,25255
Pungnap 2(i)-dong,2013.0,Songpa-gu,28345.0,1.59,17827
Geoyeo 1(il)-dong,2013.0,Songpa-gu,15869.0,0.67,23685
Geoyeo 2(i)-dong,2013.0,Songpa-gu,27825.0,1.69,16464
Macheon 1(il)-dong,2013.0,Songpa-gu,23762.0,0.58,40969
Macheon 2(i)-dong,2013.0,Songpa-gu,22254.0,0.89,25004
Bangi 1(il)-dong,2013.0,Songpa-gu,16929.0,0.5,33858
Bangi 2(i)-dong,2013.0,Songpa-gu,26029.0,0.8,32536
Oryun-dong,2013.0,Songpa-gu,20316.0,3.17,6409
Ogeum-dong,2013.0,Songpa-gu,38276.0,1.65,23198
Songpa 1(il)-dong,2013.0,Songpa-gu,27798.0,0.79,35187
Songpa 2(i)-dong,2013.0,Songpa-gu,22852.0,0.53,43117
Seokchon-dong,2013.0,Songpa-gu,35996.0,0.95,37891
Samjeon-dong,2013.0,Songpa-gu,35213.0,0.95,37066
Garakbon-dong,2013.0,Songpa-gu,29612.0,1.13,26205
Garak 1(il)-dong,2013.0,Songpa-gu,1754.0,1.34,1309
Garak 2(i)-dong,2013.0,Songpa-gu,35887.0,0.96,37382
Munjeong 1(il)-dong,2013.0,Songpa-gu,22676.0,0.56,40493
Munjeong 2(i)-dong,2013.0,Songpa-gu,18088.0,2.2,8222
Jangji-dong,2013.0,Songpa-gu,40509.0,2.6,15580
Jamsilbon-dong,2013.0,Songpa-gu,31085.0,0.94,33069
Jamsil 4(sa)-dong,2013.0,Songpa-gu,31271.0,1.56,20046
Jamsil 6(yuk)-dong,2013.0,Songpa-gu,17999.0,2.79,6451
Jamsil 7(chil)-dong,2013.0,Songpa-gu,10646.0,0.6,17743
Jamsil 2(i)-dong,2013.0,Songpa-gu,37239.0,2.18,17082
Jamsil 3(sam)-dong,2013.0,Songpa-gu,37279.0,1.49,25019
Gangil-dong,2013.0,Gangdong-gu,34508.0,2.8,12324
Sangil-dong,2013.0,Gangdong-gu,27460.0,2.65,10362
Myeongil 1(il)-dong,2013.0,Gangdong-gu,28415.0,0.61,46582
Myeongil 2(i)-dong,2013.0,Gangdong-gu,18911.0,0.97,19496
Godeok 1(il)-dong,2013.0,Gangdong-gu,17169.0,1.73,9924
Godeok 2(i)-dong,2013.0,Gangdong-gu,17801.0,2.01,8856
Amsa 2(i)-dong,2013.0,Gangdong-gu,16457.0,1.18,13947
Amsa 3(sam)-dong,2013.0,Gangdong-gu,19213.0,2.51,7655
Cheonho 1(il)-dong,2013.0,Gangdong-gu,31350.0,0.71,44155
Cheonho 3(sam)-dong,2013.0,Gangdong-gu,26460.0,0.79,33494
Seongnae 1(il)-dong,2013.0,Gangdong-gu,19812.0,0.58,34159
Seongnae 2(i)-dong,2013.0,Gangdong-gu,26901.0,0.67,40151
Seongnae 3(sam)-dong,2013.0,Gangdong-gu,25528.0,0.71,35955
Dunchon 1(il)-dong,2013.0,Gangdong-gu,19900.0,0.92,21630
Dunchon 2(i)-dong,2013.0,Gangdong-gu,29588.0,0.98,30192
Amsa 1(il)-dong,2013.0,Gangdong-gu,38995.0,1.02,38230
Cheonho 2(i)-dong,2013.0,Gangdong-gu,38032.0,1.57,24224
Gil-dong,2013.0,Gangdong-gu,51469.0,2.17,23718
