Dong,외국인_등록외국인현황국적별_Autonomous Gu_Autonomous Gu_Autonomous Gu_Autonomous Gu,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Female,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_total,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Male,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_total,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_total,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_total,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_total,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _total,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Male,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Female,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_total,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Female,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_total,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Male,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_total,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Female,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_total,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Male,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Female,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_total,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Male,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_total,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Female
Itaewon 1(il)-dong,Yongsan-gu,1478.0,868.0,610,144,69,75,101,48,53,43,21,22,204,114,90,21,11,10,18,8,10,4,-,4,18,7,11,113,28,85,74,41,33,37,20,17,32,10,22,74,46,28,29,14,15,77,50,27,38,24,14,595,426,169
Itaewon 2(i)-dong,Yongsan-gu,918.0,534.0,384,50,20,30,40,16,24,10,4,6,202,134,68,24,10,14,9,3,6,1,-,1,4,1,3,54,20,34,84,58,26,8,2,6,47,11,36,19,9,10,10,5,5,74,53,21,22,11,11,310,197,113
Seobinggo-dong,Yongsan-gu,376.0,174.0,202,47,16,31,40,14,26,7,2,5,78,44,34,2,1,1,23,9,14,4,-,4,1,1,-,47,7,40,10,7,3,-,-,-,4,-,4,4,2,2,1,-,1,7,4,3,2,1,1,146,82,64
Bogwang-dong,Yongsan-gu,867.0,462.0,405,302,142,160,263,123,140,39,19,20,64,35,29,17,8,9,22,8,14,10,-,10,9,4,5,38,8,30,7,3,4,34,13,21,21,3,18,7,5,2,-,-,-,5,5,-,-,-,-,331,228,103
Cheongpa-dong,Yongsan-gu,960.0,323.0,637,591,212,379,355,165,190,236,47,189,32,24,8,37,16,21,69,11,58,48,6,42,43,6,37,10,4,6,3,1,2,6,2,4,2,-,2,3,3,-,3,-,3,-,-,-,9,3,6,104,35,69
Wonhyoro 1(il)-dong,Yongsan-gu,275.0,134.0,141,118,48,70,93,42,51,25,6,19,26,20,6,33,16,17,19,6,13,4,-,4,8,6,2,6,-,6,4,3,1,1,-,1,12,6,6,9,5,4,1,1,-,5,4,1,1,-,1,28,19,9
Hangangno-dong,Yongsan-gu,1164.0,603.0,561,244,105,139,179,71,108,65,34,31,140,81,59,53,22,31,512,291,221,14,10,4,1,-,1,22,2,20,8,3,5,7,3,4,12,3,9,11,4,7,4,1,3,7,6,1,5,5,-,124,67,57
Hannam-dong,Yongsan-gu,2186.0,1172.0,1014,467,216,251,358,171,187,109,45,64,277,150,127,14,5,9,57,25,32,8,-,8,32,15,17,134,15,119,34,22,12,10,6,4,22,8,14,110,68,42,25,11,14,113,59,54,58,39,19,825,533,292
Wangsimni 2(i)-dong,Seongdong-gu,279.0,119.0,160,202,90,112,150,73,77,52,17,35,6,4,2,10,7,3,5,-,5,27,7,20,8,2,6,6,2,4,-,-,-,3,1,2,-,-,-,-,-,-,3,1,2,-,-,-,2,2,-,7,3,4
Majang-dong,Seongdong-gu,545.0,261.0,284,334,144,190,205,103,102,129,41,88,7,5,2,6,2,4,10,2,8,44,12,32,38,25,13,24,12,12,3,2,1,1,-,1,2,1,1,-,-,-,2,-,2,1,1,-,5,5,-,68,50,18
Sageun-dong,Seongdong-gu,1178.0,552.0,626,776,361,415,106,55,51,670,306,364,34,17,17,17,1,16,51,11,40,22,9,13,20,8,12,4,1,3,11,7,4,1,1,-,10,-,10,17,11,6,4,-,4,8,5,3,22,4,18,181,116,65
Haengdang 1(il)-dong,Seongdong-gu,453.0,200.0,253,352,159,193,222,99,123,130,60,70,15,3,12,9,4,5,12,2,10,12,5,7,10,3,7,-,-,-,11,6,5,1,1,-,1,1,-,4,4,-,1,-,1,2,1,1,1,-,1,22,11,11
Haengdang 2(i)-dong,Seongdong-gu,87.0,33.0,54,55,17,38,33,14,19,22,3,19,3,2,1,14,8,6,2,1,1,5,-,5,2,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,3,2,1
Eungbong-dong,Seongdong-gu,62.0,22.0,40,38,13,25,24,8,16,14,5,9,5,1,4,4,3,1,5,-,5,2,-,2,-,-,-,1,1,-,1,1,-,-,-,-,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,4,2,2
Geumho 1(il)-ga-dong,Seongdong-gu,101.0,38.0,63,56,24,32,36,16,20,20,8,12,9,7,2,9,2,7,7,-,7,8,1,7,4,1,3,1,-,1,2,2,-,1,-,1,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,2,1,1
Geumho 4(sa)-ga-dong,Seongdong-gu,167.0,87.0,80,107,47,60,87,40,47,20,7,13,11,8,3,18,9,9,3,1,2,2,2,-,-,-,-,-,-,-,-,-,-,4,2,2,6,4,2,-,-,-,1,1,-,-,-,-,5,5,-,10,8,2
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,436.0,233.0,203,286,131,155,232,112,120,54,19,35,8,8,-,8,4,4,3,-,3,41,21,20,16,10,6,22,17,5,3,3,-,3,-,3,-,-,-,1,1,-,6,4,2,2,2,-,1,1,-,36,31,5
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,393.0,184.0,209,281,126,155,212,101,111,69,25,44,2,2,-,19,7,12,9,-,9,17,3,14,13,3,10,2,1,1,-,-,-,2,1,1,-,-,-,-,-,-,14,9,5,1,1,-,3,3,-,30,28,2
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,828.0,406.0,422,622,282,340,544,252,292,78,30,48,3,1,2,7,2,5,11,2,9,55,28,27,28,19,9,47,29,18,-,-,-,-,-,-,2,-,2,1,1,-,11,8,3,-,-,-,-,-,-,41,34,7
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,418.0,251.0,167,233,117,116,188,90,98,45,27,18,3,2,1,18,8,10,10,2,8,15,10,5,29,20,9,30,25,5,1,1,-,1,-,1,2,-,2,7,3,4,13,11,2,-,-,-,-,-,-,56,52,4
Songjeong-dong,Seongdong-gu,545.0,248.0,297,441,207,234,368,183,185,73,24,49,1,1,-,5,4,1,-,-,-,24,1,23,49,25,24,13,3,10,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,10,6,4
Yongdap-dong,Seongdong-gu,948.0,453.0,495,809,390,419,683,340,343,126,50,76,8,5,3,5,2,3,4,1,3,21,2,19,43,18,25,7,1,6,3,2,1,4,2,2,3,2,1,-,-,-,3,-,3,-,-,-,-,-,-,38,28,10
WangsimniDoseon-dong,Seongdong-gu,306.0,142.0,164,180,80,100,135,62,73,45,18,27,4,3,1,5,3,2,7,2,5,38,13,25,24,11,13,21,9,12,2,2,-,6,2,4,-,-,-,3,1,2,1,1,-,-,-,-,1,1,-,14,14,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,233.0,111.0,122,154,76,78,126,65,61,28,11,17,4,4,-,17,8,9,10,2,8,21,8,13,6,3,3,2,-,2,3,3,-,-,-,-,-,-,-,-,-,-,1,-,1,2,2,-,-,-,-,13,5,8
Oksu-dong,Seongdong-gu,238.0,117.0,121,99,39,60,81,31,50,18,8,10,34,24,10,15,9,6,9,1,8,8,1,7,5,3,2,6,1,5,4,3,1,1,-,1,-,-,-,2,-,2,1,-,1,8,6,2,7,3,4,39,27,12
Hwayang-dong,Gwangjin-gu,2692.0,1158.0,1534,2257,925,1332,718,357,361,1539,568,971,43,30,13,6,2,4,63,11,52,79,40,39,19,9,10,7,3,4,6,5,1,7,6,1,3,1,2,61,39,22,6,4,2,9,6,3,6,4,2,120,73,47
Gunja-dong,Gwangjin-gu,867.0,429.0,438,601,277,324,342,170,172,259,107,152,20,18,2,4,1,3,15,3,12,67,37,30,36,16,20,14,6,8,7,6,1,5,2,3,-,-,-,18,15,3,4,1,3,1,1,-,-,-,-,75,46,29
Junggok 1(il)-dong,Gwangjin-gu,495.0,210.0,285,345,149,196,278,127,151,67,22,45,17,16,1,3,3,-,10,3,7,27,5,22,40,14,26,14,3,11,-,-,-,2,-,2,6,1,5,-,-,-,6,-,6,-,-,-,-,-,-,25,16,9
Junggok 2(i)-dong,Gwangjin-gu,223.0,95.0,128,170,78,92,137,70,67,33,8,25,7,4,3,2,1,1,12,1,11,6,-,6,3,1,2,3,1,2,3,2,1,-,-,-,4,-,4,-,-,-,2,-,2,2,2,-,-,-,-,9,5,4
Junggok 3(sam)-dong,Gwangjin-gu,191.0,79.0,112,159,73,86,126,57,69,33,16,17,1,-,1,3,1,2,2,-,2,8,1,7,2,-,2,7,1,6,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,5
Junggok 4(sa)-dong,Gwangjin-gu,181.0,62.0,119,98,34,64,76,31,45,22,3,19,3,3,-,2,1,1,16,2,14,10,1,9,7,1,6,11,1,10,-,-,-,3,-,3,4,2,2,3,2,1,4,-,4,-,-,-,1,1,-,19,14,5
Neung-dong,Gwangjin-gu,257.0,108.0,149,176,72,104,135,56,79,41,16,25,11,4,7,12,8,4,5,1,4,7,2,5,3,1,2,2,-,2,-,-,-,-,-,-,11,3,8,5,1,4,2,-,2,3,2,1,-,-,-,20,14,6
Guui 1(il)-dong,Gwangjin-gu,769.0,344.0,425,623,286,337,510,238,272,113,48,65,23,10,13,17,7,10,29,8,21,12,3,9,14,5,9,5,1,4,1,1,-,6,1,5,4,3,1,1,1,-,1,-,1,-,-,-,3,1,2,30,17,13
Guui 2(i)-dong,Gwangjin-gu,360.0,123.0,237,141,47,94,123,47,76,18,-,18,12,7,5,8,3,5,154,58,96,9,-,9,15,4,11,4,1,3,1,-,1,3,-,3,1,-,1,-,-,-,3,-,3,-,-,-,-,-,-,9,3,6
