Dong,외국인_등록외국인현황체류자격별_Period,외국인_등록외국인현황체류자격별_Gu,외국인_등록외국인현황체류자격별_Total,외국인_등록외국인현황체류자격별_문화예술(D-1),외국인_등록외국인현황체류자격별_유학(D-2),외국인_등록외국인현황체류자격별_산업연수(D-3),외국인_등록외국인현황체류자격별_일반연수(D-4),외국인_등록외국인현황체류자격별_취재(D-5),외국인_등록외국인현황체류자격별_종교(D-6),외국인_등록외국인현황체류자격별_상사주재(D-7),외국인_등록외국인현황체류자격별_기업투자(D-8),외국인_등록외국인현황체류자격별_무역경영(D-9),외국인_등록외국인현황체류자격별_구직(D-10),외국인_등록외국인현황체류자격별_교수(E-1),외국인_등록외국인현황체류자격별_회화지도(E-2),외국인_등록외국인현황체류자격별_연구(E-3),외국인_등록외국인현황체류자격별_기술지도(E-4),외국인_등록외국인현황체류자격별_전문직업(E-5),외국인_등록외국인현황체류자격별_예술흥행(E-6),외국인_등록외국인현황체류자격별_특정활동(E-7),외국인_등록외국인현황체류자격별_비전문취업(E-9),외국인_등록외국인현황체류자격별_선원취업(E-10),외국인_등록외국인현황체류자격별_방문동거(F-1),외국인_등록외국인현황체류자격별_거주(F-2),외국인_등록외국인현황체류자격별_동반(F-3),외국인_등록외국인현황체류자격별_영주(F-5),외국인_등록외국인현황체류자격별_결혼이민(F-6),외국인_등록외국인현황체류자격별_기타(G-1),외국인_등록외국인현황체류자격별_관광취업(H-1),외국인_등록외국인현황체류자격별_방문취업(H-2)
Suyu 3(sam)-dong,2014.1/4,Gangbuk-gu,298.0,-,20,-,7,-,-,-,-,1,1,1,11,-,-,-,-,9,3,-,21,20,12,49,62,-,1,80
Samyang-dong,2014.1/4,Gangbuk-gu,159.0,-,12,-,6,-,-,1,1,-,1,-,3,-,-,-,-,-,3,-,12,11,2,28,38,3,-,38
Mia-dong,2014.1/4,Gangbuk-gu,620.0,-,35,1,13,-,4,-,6,-,3,1,5,2,-,-,-,4,17,-,33,54,12,166,132,5,2,125
Songjung-dong,2014.1/4,Gangbuk-gu,391.0,-,26,-,1,-,2,-,-,-,2,-,4,-,-,-,-,9,8,-,31,16,4,60,74,1,1,152
Songcheon-dong,2014.1/4,Gangbuk-gu,326.0,-,20,-,3,-,2,-,2,1,2,-,12,-,-,-,-,1,3,-,30,16,11,51,46,6,2,118
Samgaksan-dong,2014.1/4,Gangbuk-gu,93.0,-,3,-,1,-,-,-,-,-,-,1,-,-,-,-,-,4,-,-,5,3,-,23,41,-,-,12
Ui-dong,2014.1/4,Gangbuk-gu,118.0,-,-,-,1,-,2,-,-,-,-,3,2,-,-,-,-,2,14,-,13,6,1,32,27,-,-,15
Insu-dong,2014.1/4,Gangbuk-gu,222.0,-,14,-,2,-,2,-,2,-,2,-,26,-,-,-,-,1,4,-,17,22,3,34,61,2,-,30
Ssangmun 1(il)-dong,2014.1/4,Dobong-gu,221.0,-,67,1,8,-,-,-,-,-,-,2,4,-,-,-,-,2,19,-,21,6,-,15,47,-,-,29
Ssangmun 2(i)-dong,2014.1/4,Dobong-gu,129.0,-,6,-,-,-,2,-,1,-,-,-,3,-,-,-,-,4,5,-,13,7,3,18,47,1,1,18
Ssangmun 3(sam)-dong,2014.1/4,Dobong-gu,143.0,-,7,1,2,-,-,-,1,1,1,-,-,-,-,-,-,-,5,-,12,6,3,29,38,-,-,37
Ssangmun 4(sa)-dong,2014.1/4,Dobong-gu,45.0,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,3,4,-,12,14,-,-,7
Banghak 1(il)-dong,2014.1/4,Dobong-gu,243.0,-,5,3,1,-,1,-,1,1,-,1,14,3,-,-,-,3,16,-,22,17,7,33,69,-,-,46
Banghak 2(i)-dong,2014.1/4,Dobong-gu,187.0,-,1,2,4,-,2,-,-,-,-,-,-,-,-,-,-,1,31,-,24,7,-,22,58,2,-,33
Banghak 3(sam)-dong,2014.1/4,Dobong-gu,66.0,-,3,-,-,-,2,-,-,-,-,-,5,-,-,-,-,-,1,-,5,5,-,12,23,-,-,10
Chang 1(il)-dong,2014.1/4,Dobong-gu,222.0,-,6,2,3,-,-,-,2,-,1,1,33,-,-,-,-,12,19,-,16,11,7,28,40,1,-,40
Chang 2(i)-dong,2014.1/4,Dobong-gu,205.0,3,8,1,6,-,-,-,-,-,-,3,5,-,-,-,-,6,52,-,13,7,8,19,50,1,-,23
Chang 3(sam)-dong,2014.1/4,Dobong-gu,78.0,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,14,5,-,11,27,-,-,18
Chang 4(sa)-dong,2014.1/4,Dobong-gu,72.0,-,2,-,2,-,-,-,-,-,1,-,8,-,-,-,-,1,-,-,9,5,-,7,24,-,2,11
Chang 5(o)-dong,2014.1/4,Dobong-gu,124.0,-,2,3,-,-,-,-,-,-,-,-,17,-,-,-,-,5,8,-,5,12,3,19,29,-,-,21
Dobong 1(il)-dong,2014.1/4,Dobong-gu,168.0,-,3,1,1,-,1,1,2,-,-,-,6,-,-,-,-,-,5,-,17,19,-,24,61,5,-,22
Dobong 2(i)-dong,2014.1/4,Dobong-gu,92.0,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,10,7,-,18,41,1,-,8
Wolgye 1(il)-dong,2014.1/4,Nowon-gu,423.0,-,179,-,72,-,1,-,-,-,11,6,4,-,-,-,-,8,3,-,12,20,10,20,50,1,1,25
Wolgye 2(i)-dong,2014.1/4,Nowon-gu,206.0,-,25,-,22,-,-,-,-,-,-,-,4,-,-,-,1,34,1,-,13,9,10,28,39,-,-,20
Wolgye 3(sam)-dong,2014.1/4,Nowon-gu,147.0,1,9,-,6,-,-,-,1,1,2,2,2,-,-,-,-,1,1,-,15,8,9,22,50,-,1,16
Gongneung 2(i)-dong,2014.1/4,Nowon-gu,609.0,-,294,-,66,-,7,-,-,-,3,38,34,3,-,-,3,4,3,-,14,10,32,28,52,-,1,17
Hagye 1(il)-dong,2014.1/4,Nowon-gu,134.0,-,1,-,22,-,-,-,-,-,1,4,7,1,-,-,-,9,2,-,10,7,5,21,32,-,-,12
Hagye 2(i)-dong,2014.1/4,Nowon-gu,41.0,-,-,-,1,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,4,1,1,11,11,-,-,9
Junggyebon-dong,2014.1/4,Nowon-gu,126.0,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,16,6,-,17,5,-,20,46,-,-,10
Junggye 1(il)-dong,2014.1/4,Nowon-gu,85.0,-,-,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,5,2,2,12,15,1,-,6
Junggye 4(sa)-dong,2014.1/4,Nowon-gu,72.0,-,2,-,3,-,-,-,-,-,-,-,8,-,-,-,3,1,-,-,6,2,1,17,20,-,-,9
Sanggye 1(il)-dong,2014.1/4,Nowon-gu,230.0,-,5,-,2,-,-,-,-,-,-,-,24,-,-,-,-,22,5,-,11,14,3,45,69,-,-,30
Sanggye 2(i)-dong,2014.1/4,Nowon-gu,140.0,-,1,-,2,-,2,1,-,-,2,-,14,-,-,-,-,9,2,-,9,8,7,15,35,4,-,29
Sanggye 5(o)-dong,2014.1/4,Nowon-gu,114.0,-,3,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,2,-,9,6,2,31,28,3,-,26
Sanggye 8(pal)-dong,2014.1/4,Nowon-gu,39.0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,3,-,9,20,-,-,4
Sanggye 9(gu)-dong,2014.1/4,Nowon-gu,71.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,5,-,28,25,-,-,7
Sanggye 10(sip)-dong,2014.1/4,Nowon-gu,66.0,-,13,-,4,-,4,-,-,-,-,-,2,-,-,-,-,-,-,-,5,1,1,10,21,-,-,5
Sanggye 3.4(sam.sa)-dong,2014.1/4,Nowon-gu,258.0,-,3,-,3,-,-,-,4,-,-,-,-,-,-,-,-,-,2,-,32,24,5,42,88,-,-,55
Sanggye 6.7(yuk.chil)-dong,2014.1/4,Nowon-gu,165.0,-,24,-,7,-,2,-,1,1,1,-,19,-,-,-,-,10,-,-,10,11,6,25,30,-,-,18
Junggye 2.3(i.sam)-dong,2014.1/4,Nowon-gu,151.0,-,1,-,-,-,-,-,1,-,-,-,2,-,-,1,1,8,-,-,15,7,7,38,45,1,-,24
Gongneung 1(il)-dong,2014.1/4,Nowon-gu,376.0,-,39,1,24,-,-,-,1,-,1,5,13,1,-,-,-,8,10,-,21,31,7,57,68,2,-,87
Nokbeon-dong,2014.1/4,Eunpyeong-gu,477.0,-,10,-,3,-,2,-,-,-,2,-,7,-,-,-,-,22,18,-,28,51,2,146,77,2,2,105
Bulgwang 1(il)-dong,2014.1/4,Eunpyeong-gu,369.0,-,5,-,2,-,5,-,1,-,1,1,6,-,-,-,-,9,7,-,32,22,2,105,89,-,-,82
Galhyeon 1(il)-dong,2014.1/4,Eunpyeong-gu,234.0,-,2,-,2,-,-,-,1,-,2,-,2,-,-,-,-,22,-,-,28,12,-,36,67,1,1,58
Galhyeon 2(i)-dong,2014.1/4,Eunpyeong-gu,277.0,-,4,-,134,1,2,-,-,-,-,-,15,-,-,-,-,1,-,-,9,7,2,37,42,-,1,22
Gusan-dong,2014.1/4,Eunpyeong-gu,243.0,-,8,-,59,1,-,-,1,-,1,-,-,-,-,-,-,1,-,-,24,19,5,42,56,-,-,26
Daejo-dong,2014.1/4,Eunpyeong-gu,371.0,-,11,-,3,-,2,-,1,-,4,-,7,-,-,-,-,6,2,-,30,25,-,94,76,-,2,108
Eungam 1(il)-dong,2014.1/4,Eunpyeong-gu,384.0,-,5,-,2,-,1,-,5,1,2,1,29,-,-,-,-,2,5,-,32,30,6,106,77,-,-,80
Eungam 2(i)-dong,2014.1/4,Eunpyeong-gu,185.0,-,2,-,-,-,-,-,2,-,1,-,1,-,-,-,-,2,-,-,15,11,6,68,35,1,-,41
Sinsa 1(il)-dong,2014.1/4,Eunpyeong-gu,232.0,-,22,-,17,-,1,-,2,-,4,-,4,-,-,-,-,4,2,-,20,21,-,49,51,2,-,33
Sinsa 2(i)-dong,2014.1/4,Eunpyeong-gu,127.0,-,7,-,3,-,1,-,-,-,2,-,-,-,-,-,-,3,-,-,14,6,9,26,32,-,-,24
Jeungsan-dong,2014.1/4,Eunpyeong-gu,201.0,-,2,-,1,-,-,-,2,-,2,-,2,2,-,-,-,38,9,-,11,9,23,39,30,1,-,30
Susaek-dong,2014.1/4,Eunpyeong-gu,202.0,-,11,-,2,-,-,-,-,-,-,-,1,-,-,-,1,7,4,-,18,11,-,43,51,-,-,53
Jingwan-dong,2014.1/4,Eunpyeong-gu,174.0,-,2,3,-,-,1,-,-,-,3,-,-,-,-,-,-,3,6,-,15,14,3,61,53,-,2,8
Bulgwang 2(i)-dong,2014.1/4,Eunpyeong-gu,292.0,-,9,-,1,-,-,-,-,-,2,-,3,1,-,-,-,1,2,-,21,22,-,75,64,2,-,89
Eungam 3(sam)-dong,2014.1/4,Eunpyeong-gu,283.0,-,6,-,3,-,-,-,-,-,3,-,2,-,-,-,-,2,13,-,33,21,-,79,61,1,2,57
Yeokchon-dong,2014.1/4,Eunpyeong-gu,421.0,-,11,-,77,-,1,-,1,-,1,-,7,-,-,-,-,-,3,-,36,38,-,89,91,1,1,64
Cheonyeon-dong,2014.1/4,Seodaemun-gu,222.0,-,20,-,3,-,-,1,4,-,-,2,1,-,-,-,-,10,9,-,12,12,11,66,18,1,1,51
Hongje 1(il)-dong,2014.1/4,Seodaemun-gu,403.0,-,5,-,4,-,-,4,2,-,2,-,4,-,-,-,4,2,3,-,30,37,6,177,55,2,-,66
Hongje 3(sam)-dong,2014.1/4,Seodaemun-gu,187.0,-,10,-,-,-,-,-,1,-,1,-,1,-,-,-,-,2,1,-,19,15,2,48,24,2,2,59
Hongje 2(i)-dong,2014.1/4,Seodaemun-gu,152.0,-,10,-,1,-,-,-,1,1,-,1,-,-,-,-,-,1,2,-,13,14,1,55,13,1,-,38
Hongeun 1(il)-dong,2014.1/4,Seodaemun-gu,295.0,-,43,-,2,-,1,2,2,-,1,3,5,-,-,-,-,8,3,-,25,36,11,74,45,2,2,30
Hongeun 2(i)-dong,2014.1/4,Seodaemun-gu,621.0,-,52,-,22,-,-,5,6,19,6,-,11,-,-,-,3,30,1,-,26,49,93,238,33,2,1,24
Namgajwa 1(il)-dong,2014.1/4,Seodaemun-gu,104.0,-,25,-,4,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,7,10,-,17,10,-,-,13
Namgajwa 2(i)-dong,2014.1/4,Seodaemun-gu,589.0,-,166,-,75,-,-,-,-,-,11,4,3,1,-,-,-,14,-,-,22,31,7,169,54,-,2,30
Bukgajwa 1(il)-dong,2014.1/4,Seodaemun-gu,170.0,-,2,2,2,-,-,-,1,1,4,-,1,-,-,-,-,10,1,-,16,16,3,57,36,-,-,18
Bukgajwa 2(i)-dong,2014.1/4,Seodaemun-gu,286.0,-,7,-,5,-,-,-,1,-,1,-,1,-,-,-,-,3,7,-,22,31,2,94,65,-,1,46
Chunghyeon-dong,2014.1/4,Seodaemun-gu,875.0,-,474,-,95,-,-,15,14,-,5,9,10,15,-,-,-,28,7,-,13,22,25,48,31,-,11,53
Bugahyeon-dong,2014.1/4,Seodaemun-gu,272.0,-,22,-,4,1,5,2,2,-,-,2,2,-,-,1,-,7,5,-,17,20,5,50,26,2,-,99
Sinchon-dong,2014.1/4,Seodaemun-gu,3310.0,4,1434,-,876,2,9,4,14,1,63,35,118,37,-,-,3,103,10,-,23,48,33,120,38,37,206,92
Yeonhui-dong,2014.1/4,Seodaemun-gu,2569.0,1,240,-,116,1,14,6,42,6,18,14,58,16,-,-,1,299,8,-,85,252,241,970,98,5,13,65
Yonggang-dong,2014.1/4,Mapo-gu,347.0,-,8,-,11,5,-,35,63,2,2,3,18,-,-,-,-,27,3,-,9,11,27,70,30,-,2,21
Daeheung-dong,2014.1/4,Mapo-gu,1742.0,-,579,-,304,1,1,1,10,2,28,14,56,19,-,-,1,57,11,-,42,50,33,110,40,8,70,305
Yeomni-dong,2014.1/4,Mapo-gu,620.0,-,92,-,37,1,1,1,2,3,13,3,3,5,-,-,-,11,4,-,31,36,14,79,48,1,2,233
Sinsu-dong,2014.1/4,Mapo-gu,400.0,-,98,1,75,-,4,-,3,1,4,4,13,-,-,-,-,23,20,-,11,13,12,52,22,1,6,37
Seogyo-dong,2014.1/4,Mapo-gu,1200.0,1,187,-,224,1,1,3,36,6,21,14,57,1,-,-,2,144,13,-,25,40,31,112,66,6,133,76
Hapjeong-dong,2014.1/4,Mapo-gu,285.0,-,20,-,13,-,5,2,5,-,4,-,15,-,-,-,2,21,5,-,11,11,5,51,48,-,9,58
Mangwon 1(il)-dong,2014.1/4,Mapo-gu,324.0,-,9,-,1,-,-,-,2,2,3,-,3,-,-,-,1,11,5,-,22,28,2,79,67,1,1,87
Mangwon 2(i)-dong,2014.1/4,Mapo-gu,201.0,-,7,-,1,-,-,-,1,-,-,-,-,-,-,-,-,10,3,-,14,27,3,48,49,-,1,37
Yeonnam-dong,2014.1/4,Mapo-gu,1078.0,-,37,-,41,-,1,2,5,1,12,3,19,-,-,-,-,47,9,-,45,148,14,557,58,-,24,55
Seongsan 1(il)-dong,2014.1/4,Mapo-gu,331.0,-,12,-,7,2,1,1,4,2,3,1,7,1,-,-,2,14,7,-,25,28,3,101,59,-,2,49
Seongsan 2(i)-dong,2014.1/4,Mapo-gu,195.0,-,3,-,3,-,-,-,5,1,1,-,2,-,-,-,-,8,13,-,19,13,6,51,38,-,-,32
Sangam-dong,2014.1/4,Mapo-gu,566.0,-,4,-,7,-,3,4,35,60,2,14,4,4,-,-,1,75,3,-,21,11,165,68,58,-,3,24
Dohwa-dong,2014.1/4,Mapo-gu,352.0,-,5,-,9,4,2,16,27,-,1,-,2,-,-,1,-,25,14,-,19,31,20,59,36,-,3,78
Seogang-dong,2014.1/4,Mapo-gu,508.0,-,119,-,73,-,1,1,3,-,10,21,36,2,-,-,2,45,4,-,16,15,8,65,29,11,15,32
gongdeok-dong,2014.1/4,Mapo-gu,623.0,-,22,1,9,3,4,13,37,-,3,8,5,6,-,1,-,21,11,-,30,35,47,137,81,5,4,140
Ahyeon-dong,2014.1/4,Mapo-gu,419.0,-,18,1,5,1,1,13,19,-,1,2,5,-,-,-,-,22,3,-,23,23,20,104,35,2,3,118
Mok 1(il)-dong,2014.1/4,Yangcheon-gu,162.0,-,1,-,2,-,-,3,4,1,2,-,14,1,-,-,1,26,1,-,12,5,8,40,23,-,1,17
Mok 2(i)-dong,2014.1/4,Yangcheon-gu,230.0,-,5,1,2,-,2,-,-,-,-,-,8,-,-,-,1,2,5,-,20,8,3,52,47,1,-,73
Mok 3(sam)-dong,2014.1/4,Yangcheon-gu,179.0,-,3,-,1,-,-,-,-,-,-,1,3,-,-,-,-,2,6,-,18,14,-,43,41,1,2,44
Mok 4(sa)-dong,2014.1/4,Yangcheon-gu,180.0,-,1,-,1,-,-,-,-,-,-,1,7,-,-,-,-,1,1,-,18,18,1,44,35,-,1,51
Sinwol 1(il)-dong,2014.1/4,Yangcheon-gu,392.0,-,2,7,3,-,-,-,-,1,-,-,3,-,-,-,-,-,14,-,59,24,3,58,99,-,1,118
Sinwol 2(i)-dong,2014.1/4,Yangcheon-gu,163.0,-,3,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,2,-,29,9,1,29,35,1,-,51
Sinwol 3(sam)-dong,2014.1/4,Yangcheon-gu,246.0,-,2,2,2,-,-,-,-,-,1,-,3,-,-,-,-,-,6,-,23,28,1,40,49,1,-,88
Sinwol 4(sa)-dong,2014.1/4,Yangcheon-gu,71.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,12,5,1,11,23,-,-,14
Sinwol 5(o)-dong,2014.1/4,Yangcheon-gu,141.0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17,-,13,14,-,29,31,-,-,33
Sinwol 6(yuk)-dong,2014.1/4,Yangcheon-gu,61.0,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,3,5,1,12,19,-,-,19
Sinwol 7(chil)-dong,2014.1/4,Yangcheon-gu,144.0,-,1,1,-,-,-,-,-,-,-,-,5,-,-,-,-,-,9,-,19,13,-,24,41,1,-,30
Sinjeong 1(il)-dong,2014.1/4,Yangcheon-gu,193.0,-,2,-,3,-,-,-,-,-,-,-,12,-,-,-,-,-,5,-,15,15,1,47,23,2,1,67
Sinjeong 2(i)-dong,2014.1/4,Yangcheon-gu,161.0,-,2,-,5,-,-,-,1,-,1,-,12,-,-,-,-,4,3,-,10,7,4,32,24,1,-,55
Sinjeong 3(sam)-dong,2014.1/4,Yangcheon-gu,990.0,-,2,1,2,-,1,-,-,-,-,1,-,-,-,-,-,2,1,-,85,65,2,253,116,1,-,458
Sinjeong 6(yuk)-dong,2014.1/4,Yangcheon-gu,38.0,-,2,1,-,-,-,1,-,1,-,1,2,-,-,-,-,-,1,-,4,2,-,4,13,-,-,6
Sinjeong 7(chil)-dong,2014.1/4,Yangcheon-gu,235.0,-,1,-,1,-,-,-,-,-,-,-,9,-,-,-,-,5,17,-,18,18,-,51,65,1,-,49
Mok 5(o)-dong,2014.1/4,Yangcheon-gu,98.0,-,6,-,3,-,-,-,1,1,1,-,45,-,-,-,-,7,-,-,8,1,-,7,14,1,1,2
Sinjeong 4(sa)-dong,2014.1/4,Yangcheon-gu,651.0,-,9,-,3,-,-,1,2,-,-,-,54,-,-,-,-,17,4,-,36,44,8,117,94,4,3,255
Yeomchang-dong,2014.1/4,Gangseo-gu,158.0,-,1,-,4,-,1,-,3,-,-,-,3,3,-,-,-,8,12,-,9,9,6,36,41,-,1,21
Deungchon 1(il)-dong,2014.1/4,Gangseo-gu,420.0,-,4,1,7,-,7,3,7,-,2,1,18,3,1,16,1,94,6,-,13,13,72,39,61,1,2,48
Deungchon 2(i)-dong,2014.1/4,Gangseo-gu,89.0,-,3,-,-,-,-,-,-,-,1,-,-,-,-,-,2,1,2,-,13,7,-,12,15,3,-,30
Deungchon 3(sam)-dong,2014.1/4,Gangseo-gu,180.0,-,-,-,4,-,-,1,-,1,1,1,22,-,-,15,-,14,-,-,18,10,10,19,38,-,1,25
Hwagokbon-dong,2014.1/4,Gangseo-gu,321.0,-,2,-,2,-,2,-,2,-,1,-,3,-,-,-,-,7,4,-,29,17,2,82,88,-,1,79
Hwagok 2(i)-dong,2014.1/4,Gangseo-gu,192.0,-,3,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,4,-,25,12,3,50,41,-,-,51
Hwagok 3(sam)-dong,2014.1/4,Gangseo-gu,151.0,-,1,-,3,-,-,-,3,-,-,-,-,-,-,-,-,1,1,-,22,8,-,32,26,-,1,53
Hwagok 4(sa)-dong,2014.1/4,Gangseo-gu,310.0,-,13,-,1,-,1,-,-,-,-,-,1,-,-,-,3,5,3,-,37,9,4,58,60,1,-,114
Hwagok 6(yuk)-dong,2014.1/4,Gangseo-gu,206.0,-,19,-,30,-,-,-,3,-,1,2,4,-,-,1,-,8,2,-,14,11,3,32,31,2,2,41
Hwagok 8(pal)-dong,2014.1/4,Gangseo-gu,331.0,-,1,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,31,28,-,74,59,3,-,132
Gayang 1(il)-dong,2014.1/4,Gangseo-gu,185.0,-,1,3,-,-,3,-,2,-,1,-,8,1,-,2,-,5,20,-,7,13,10,33,56,-,-,20
Gayang 2(i)-dong,2014.1/4,Gangseo-gu,121.0,-,-,-,1,-,-,1,1,-,-,-,26,-,-,-,-,19,-,-,5,7,13,9,26,-,-,13
Gayang 3(sam)-dong,2014.1/4,Gangseo-gu,137.0,-,1,-,1,-,-,-,1,-,-,-,-,2,-,-,-,3,-,-,18,6,1,18,53,-,-,33
Balsan 1(il)-dong,2014.1/4,Gangseo-gu,157.0,-,1,-,1,-,-,2,2,-,-,-,3,-,-,3,-,8,3,-,19,7,9,34,32,2,-,31
Gonghang-dong,2014.1/4,Gangseo-gu,1057.0,-,3,-,7,-,-,-,3,-,-,-,-,-,51,504,1,5,14,-,51,16,5,103,85,4,-,205
Banghwa 1(il)-dong,2014.1/4,Gangseo-gu,422.0,-,5,-,8,-,-,1,1,3,1,-,5,-,-,15,-,47,14,-,30,28,30,61,76,-,-,97
Banghwa 2(i)-dong,2014.1/4,Gangseo-gu,232.0,-,3,-,-,-,-,-,-,-,-,-,2,-,-,3,-,14,4,-,18,12,2,45,41,4,2,82
Banghwa 3(sam)-dong,2014.1/4,Gangseo-gu,149.0,-,3,-,-,-,-,2,1,-,1,-,8,1,-,-,3,2,1,-,17,10,3,22,40,1,-,34
Hwagok 1(il)-dong,2014.1/4,Gangseo-gu,1091.0,-,13,3,14,-,3,1,6,1,5,-,16,-,-,-,-,9,18,-,98,75,6,213,208,12,1,389
Ujangsan-dong,2014.1/4,Gangseo-gu,142.0,-,-,-,2,-,-,-,-,-,-,-,8,-,-,1,-,6,1,-,10,11,1,29,27,-,2,44
Sindorim-dong,2014.1/4,Guro-gu,332.0,-,7,4,12,-,-,2,22,1,4,-,8,-,-,-,-,14,37,-,16,29,13,43,48,15,2,55
Guro 1(il)-dong,2014.1/4,Guro-gu,271.0,-,4,-,6,-,-,1,2,1,5,-,3,1,-,-,-,14,5,-,18,14,2,30,41,-,2,122
Guro 3(sam)-dong,2014.1/4,Guro-gu,1309.0,-,20,19,3,-,-,-,6,2,3,-,21,-,-,-,-,55,37,-,114,84,14,296,110,16,3,506
Guro 4(sa)-dong,2014.1/4,Guro-gu,4352.0,-,25,-,16,-,1,-,-,-,2,-,1,-,-,-,-,8,22,-,301,285,6,1095,316,12,-,2262
Guro 5(o)-dong,2014.1/4,Guro-gu,3342.0,1,36,1,11,-,2,-,16,-,7,1,19,-,-,-,-,15,29,-,248,242,22,801,215,19,5,1652
Gocheok 1(il)-dong,2014.1/4,Guro-gu,314.0,-,55,1,3,-,-,-,-,-,-,-,2,-,-,-,-,3,9,-,15,15,-,66,36,2,-,107
Gocheok 2(i)-dong,2014.1/4,Guro-gu,415.0,-,3,-,1,-,-,-,1,-,1,-,1,1,-,-,-,1,2,-,49,20,2,64,69,5,-,195
Gaebong 2(i)-dong,2014.1/4,Guro-gu,295.0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,20,24,-,95,44,1,-,106
Gaebong 3(sam)-dong,2014.1/4,Guro-gu,252.0,-,3,-,2,-,9,-,2,-,-,-,1,-,-,-,-,5,1,-,19,14,1,44,54,-,1,96
Oryu 1(il)-dong,2014.1/4,Guro-gu,529.0,-,8,-,4,-,-,-,-,-,2,2,8,-,-,-,-,5,7,-,38,30,3,127,69,-,2,224
Oryu 2(i)-dong,2014.1/4,Guro-gu,630.0,-,36,1,10,-,1,-,-,-,1,4,-,-,-,-,-,2,18,-,57,39,-,159,111,2,-,189
Sugung-dong,2014.1/4,Guro-gu,252.0,-,2,4,2,-,-,-,-,-,3,-,4,-,-,-,-,1,73,-,20,15,-,38,49,-,-,41
Garibong-dong,2014.1/4,Guro-gu,6593.0,-,19,13,16,-,3,-,5,1,2,-,1,-,-,-,-,6,63,-,329,310,1,1043,256,66,1,4458
Guro 2(i)-dong,2014.1/4,Guro-gu,7543.0,-,32,2,10,-,4,2,7,1,5,1,11,4,-,-,2,20,43,-,543,468,7,1781,509,63,1,4027
Gaebong 1(il)-dong,2014.1/4,Guro-gu,819.0,-,2,-,6,-,2,-,2,-,1,-,1,-,-,-,-,1,22,-,48,63,4,181,123,7,-,356
Gasan-dong,2014.1/4,Geumcheon-gu,4093.0,-,14,39,6,1,1,14,8,1,13,-,7,5,-,-,1,86,226,-,163,196,19,692,177,16,1,2407
Doksan 1(il)-dong,2014.1/4,Geumcheon-gu,2810.0,-,14,27,7,-,-,4,9,4,4,-,11,1,-,-,6,8,216,-,156,130,20,485,193,23,2,1490
Doksan 2(i)-dong,2014.1/4,Geumcheon-gu,1398.0,-,9,-,5,-,-,-,-,-,1,-,1,-,-,-,-,2,16,-,123,78,1,237,135,3,-,787
Doksan 3(sam)-dong,2014.1/4,Geumcheon-gu,3963.0,-,10,-,4,-,-,-,1,-,6,-,1,-,-,-,-,7,23,-,232,199,5,781,237,11,-,2446
Doksan 4(sa)-dong,2014.1/4,Geumcheon-gu,1361.0,-,10,1,5,-,-,-,5,-,1,-,-,-,-,-,-,-,13,-,101,71,9,277,139,6,1,722
Siheung 1(il)-dong,2014.1/4,Geumcheon-gu,2213.0,-,10,4,11,-,4,-,1,-,1,-,11,-,-,-,2,15,37,-,167,131,1,478,233,8,-,1099
Siheung 2(i)-dong,2014.1/4,Geumcheon-gu,102.0,-,3,-,2,-,4,-,-,-,-,-,-,1,-,-,-,-,2,-,8,5,2,22,31,1,-,21
Siheung 3(sam)-dong,2014.1/4,Geumcheon-gu,128.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,14,6,-,21,20,-,-,52
Siheung 4(sa)-dong,2014.1/4,Geumcheon-gu,594.0,-,7,-,1,-,1,-,-,-,1,-,3,-,-,-,-,-,5,-,49,36,3,122,87,-,-,279
Siheung 5(o)-dong,2014.1/4,Geumcheon-gu,476.0,-,1,-,1,-,-,-,3,-,-,-,-,-,-,-,-,3,-,-,43,34,-,107,65,1,-,218
Yeouido-dong,2014.1/4,Yeongdeungpo-gu,406.0,-,8,-,4,3,1,19,37,9,5,5,13,1,1,-,1,113,14,-,31,15,30,51,29,2,-,14
Dangsan 1(il)-dong,2014.1/4,Yeongdeungpo-gu,576.0,-,6,-,2,-,4,1,2,-,1,-,3,-,-,-,-,5,11,-,37,25,2,114,53,4,3,303
