Dong,외국인_등록외국인현황체류자격별_Period,외국인_등록외국인현황체류자격별_Gu,외국인_등록외국인현황체류자격별_Total,외국인_등록외국인현황체류자격별_문화예술(D-1),외국인_등록외국인현황체류자격별_유학(D-2),외국인_등록외국인현황체류자격별_산업연수(D-3),외국인_등록외국인현황체류자격별_일반연수(D-4),외국인_등록외국인현황체류자격별_취재(D-5),외국인_등록외국인현황체류자격별_종교(D-6),외국인_등록외국인현황체류자격별_상사주재(D-7),외국인_등록외국인현황체류자격별_기업투자(D-8),외국인_등록외국인현황체류자격별_무역경영(D-9),외국인_등록외국인현황체류자격별_구직(D-10),외국인_등록외국인현황체류자격별_교수(E-1),외국인_등록외국인현황체류자격별_회화지도(E-2),외국인_등록외국인현황체류자격별_연구(E-3),외국인_등록외국인현황체류자격별_기술지도(E-4),외국인_등록외국인현황체류자격별_전문직업(E-5),외국인_등록외국인현황체류자격별_예술흥행(E-6),외국인_등록외국인현황체류자격별_특정활동(E-7),외국인_등록외국인현황체류자격별_비전문취업(E-9),외국인_등록외국인현황체류자격별_선원취업(E-10),외국인_등록외국인현황체류자격별_방문동거(F-1),외국인_등록외국인현황체류자격별_거주(F-2),외국인_등록외국인현황체류자격별_동반(F-3),외국인_등록외국인현황체류자격별_영주(F-5),외국인_등록외국인현황체류자격별_결혼이민(F-6),외국인_등록외국인현황체류자격별_기타(G-1),외국인_등록외국인현황체류자격별_관광취업(H-1),외국인_등록외국인현황체류자격별_방문취업(H-2)
Changsin 1(il)-dong,2014.1/4,Jongno-gu,887.0,-,30,-,31,-,1,-,13,11,6,-,1,-,-,-,1,8,14,-,40,39,25,139,63,28,4,433
Changsin 2(i)-dong,2014.1/4,Jongno-gu,984.0,-,25,-,21,-,-,-,1,2,3,-,-,-,-,-,-,9,8,-,56,44,6,170,76,7,1,555
Changsin 3(sam)-dong,2014.1/4,Jongno-gu,117.0,-,9,-,1,-,-,-,2,-,1,2,-,-,-,-,-,3,1,-,5,8,6,15,16,3,-,45
Sungin 1(il)-dong,2014.1/4,Jongno-gu,342.0,-,11,-,8,-,-,-,22,5,6,-,1,-,-,-,-,3,13,-,13,14,18,54,34,4,4,132
Sungin 2(i)-dong,2014.1/4,Jongno-gu,417.0,-,18,-,6,-,-,1,7,5,1,1,5,-,-,-,-,8,3,-,28,23,9,66,48,5,3,180
Cheongunhyoja-dong,2014.1/4,Jongno-gu,117.0,-,4,-,1,-,3,1,1,1,1,3,1,-,-,-,4,10,1,-,21,5,6,21,24,-,1,8
Hyehwa-dong,2014.1/4,Jongno-gu,1793.0,1,1187,-,174,-,7,-,5,1,94,12,21,2,-,-,1,65,2,-,11,30,19,57,20,-,33,51
Sogong-dong,2014.1/4,Jung-gu,483.0,-,4,-,2,-,11,38,68,45,1,1,2,1,-,2,2,75,3,-,18,13,87,20,8,73,1,8
Hoehyeon-dong,2014.1/4,Jung-gu,674.0,-,3,-,3,1,-,9,40,8,2,-,-,-,-,-,-,80,9,-,33,86,82,205,23,1,1,88
Myeong-dong,2014.1/4,Jung-gu,609.0,-,6,-,3,3,8,22,24,23,4,-,12,-,-,-,-,203,16,-,23,37,65,59,10,6,41,44
Pil-dong,2014.1/4,Jung-gu,389.0,-,143,-,49,-,1,8,3,13,8,8,-,3,-,-,-,19,10,-,4,20,19,27,9,9,3,33
