,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Bangi 1-dong,267,375,294,37,37,561,54,21,78,151,116,148,50,56,88,259,41,134,191,87,99,54,686,583,15,16,66,90,40,250,49,253,196,64,802,107,104,16,151,131
Insu-dong,197,239,211,24,17,384,37,25,71,80,63,84,51,47,98,142,40,121,85,42,87,50,520,445,26,40,19,65,21,227,42,146,133,59,698,95,47,8,140,98
Bangbae 4-dong,393,667,579,44,97,851,117,49,193,162,225,213,236,95,227,273,116,262,286,115,189,130,1090,1016,59,61,68,247,78,524,111,339,255,85,925,213,92,61,381,228
Banghak 3-dong,279,431,304,32,27,523,76,82,90,110,106,200,66,114,141,235,68,149,178,80,123,80,757,631,82,21,58,119,110,373,80,262,197,89,638,148,87,21,190,125
Hongeun 1-dong,202,237,223,24,15,375,33,26,64,70,97,96,57,60,94,116,50,84,128,40,93,55,462,380,38,64,34,79,41,207,46,166,112,64,492,78,81,14,148,66
Jungnim-dong,289,392,289,28,27,486,61,48,116,94,108,150,68,160,143,193,48,151,157,56,102,110,668,638,75,6,42,116,79,425,71,178,177,68,491,113,40,27,189,109
Deungchon 2-dong,323,520,396,54,37,697,101,43,146,221,176,163,81,83,208,375,86,220,221,100,163,101,1044,813,55,96,58,152,71,461,93,344,265,116,1279,217,212,33,278,165
Suyu 3-dong,194,239,153,17,17,279,36,19,73,47,82,78,58,43,94,94,48,93,87,29,44,41,355,378,16,53,14,72,34,160,27,136,111,35,301,54,58,14,109,76
Sindang 1-dong,368,502,431,36,53,745,86,60,206,219,183,212,201,102,220,293,95,250,233,83,187,101,890,780,70,65,71,191,72,408,87,367,265,114,868,212,80,37,324,174
Bogwang-dong,421,542,419,51,32,757,79,38,154,164,162,190,109,122,201,297,96,200,200,110,162,109,1007,910,77,28,49,188,139,478,99,358,247,92,980,173,139,58,296,186
