dong,residential_population,out_traffic,in_traffic,tweet,employee
Hongje 1-dong,27392,7493,11724,628,4016
Hongje 3-dong,20222,167131,153019,1673,3848
Hongje 2-dong,15842,45571,45575,1095,1666
Hongeun 1-dong,26416,65153,65800,1583,2398
Hongeun 2-dong,30217,122770,102207,6332,5636
Namgajwa 1-dong,3916,28742,26847,688,1253
Namgajwa 2-dong,30867,45345,40270,1450,4268
Bukgajwa 1-dong,19323,9381,9200,2084,2025
Bukgajwa 2-dong,34237,38847,32551,4219,6294
Chunghyeon-dong,20822,203732,196869,5150,21801
Bukahyeon-dong,11030,16022,19692,1170,1862
Sinchon-dong,21558,612326,624755,22555,30866
Yeonhui-dong,43174,101767,91234,10847,10258
Yonggang-dong,19238,128696,127147,3083,15534
Daeheung-dong,15789,89266,87175,4524,10395
Yeomni-dong,17891,9806,10643,2226,4964
Sinsu-dong,22226,71457,67430,2036,5800
Seogyo-dong,29961,653915,679468,41859,52524
Hapjeong-dong,20442,7331,7731,4701,9941
Mangwon 1-dong,24360,10569,10674,2373,4690
Mangwon 2-dong,21191,19959,13269,2663,3392
Yeonnam-dong,20224,11793,10731,2479,5242
Seongsan 1-dong,21521,97371,101358,3826,9378
Seongsan 2-dong,40944,181031,170483,5426,8434
Sangam-dong,33585,59195,43281,9748,28598
Dohwa-dong,23837,9857,15153,5221,14318
Seogang-dong,25478,4429,4809,3162,10170
Gongdeok-dong,37311,43240,48734,8164,18749
Ahyeon-dong,19177,244310,244719,7559,12492
Mok 1-dong,33172,314675,328247,5730,22037
Mok 2-dong,31899,18402,16928,2752,3604
Mok 3-dong,23205,17127,10531,1166,3917
Mok 4-dong,28784,30128,29128,1392,3666
Sinwol 1-dong,24956,15712,15204,1421,5028
Sinwol 2-dong,21369,22022,29182,988,3715
Sinwol 3-dong,17839,8245,4256,1343,4187
Sinwol 4-dong,19449,52555,48947,1686,3786
Sinwol 5-dong,16426,17546,12010,2280,3393
Sinwol 6-dong,12814,2184,2631,417,3473
Sinwol 7-dong,25095,19287,16617,422,5355
Sinjeong 1-dong,20120,11884,12365,1262,4451
Sinjeong 2-dong,22513,5391,829,1045,3708
Sinjeong 3-dong,58109,55205,46234,2163,7934
Sinjeong 6-dong,26987,74194,76157,1876,5130
Sinjeong 7-dong,33062,26007,19532,1846,4365
Mok 5-dong,45539,41155,35134,4986,9703
Sinjeong 4-dong,37585,174966,168906,2903,12547
Yeomchang-dong,42639,185482,186818,5703,15145
Deungchon 1-dong,22971,12059,11038,1374,10265
Deungchon 2-dong,22198,4990,4504,3953,3351
Deungchon 3-dong,37375,20577,18798,1895,19501
Hwagokbon-dong,37214,13049,20704,8883,3954
Hwagok 2-dong,20622,129,127,431,2340
Hwagok 3-dong,24189,7392,6895,552,3975
Hwagok 4-dong,23620,31217,23695,1105,3549
Hwagok 6-dong,25844,27421,25540,995,11125
Hwagok 8-dong,27803,169809,157559,2122,3156
Gayang 1-dong,20499,162785,160288,3838,9936
Gayang 2-dong,17735,132404,120243,2694,3293
Gayang 3-dong,18722,59300,58446,5107,6785
Balsan 1-dong,33264,50593,53524,3521,10930
Gonghang-dong,22474,170506,164612,6945,33019
Banghwa 1-dong,31170,62664,62811,1349,7140
Banghwa 2-dong,26130,14642,11680,663,12658
Banghwa 3-dong,27315,102845,94334,2392,3824
Hwagok 1-dong,52830,29595,29073,3088,8395
Ujangsan-dong,39741,259397,258408,2743,5940
Sindorim-dong,38303,102418,107780,5403,13854
Guro 1-dong,23142,19565,20769,2558,2971
Guro 3-dong,29136,44537,46116,3988,78879
Guro 4-dong,30380,91501,100806,1841,5476
Guro 5-dong,35424,49054,45770,4783,24401
Gocheok 1-dong,25564,61437,62414,3735,7829
Gocheok 2-dong,31561,28002,35685,1030,3432
Gaebong 2-dong,35209,14285,15994,2917,2703
Gaebong 3-dong,22614,15999,15423,3824,3803
Oryu 1-dong,21471,71941,64862,507,4353
Oryu 2-dong,41154,39381,35767,2395,6306
Sugung-dong,26071,93293,87880,2535,5602
Garibong-dong,20057,15418,20974,1250,2877
Guro 2-dong,39473,130764,125366,3253,25793
Gaebong 1-dong,34536,172872,166718,3750,5381
Gasan-dong,23715,258033,275929,7662,140007
Doksan 1-dong,35217,159070,151352,6322,18814
Doksan 2-dong,24130,30035,37725,2136,3323
Doksan 3-dong,31753,59270,61833,8498,8511
Doksan 4-dong,20174,26778,38372,1770,3096
Siheung 1-dong,38551,45861,43997,2140,13368
Siheung 2-dong,25034,30336,33956,580,1787
Siheung 3-dong,12933,48280,42207,1393,9142
Siheung 4-dong,24349,12441,16184,543,1956
Siheung 5-dong,23913,41038,33833,2878,3451
Yeouido-dong,34275,1025824,1047027,31464,150020
Dangsan 1-dong,21214,260922,264742,3098,16953
Dangsan  2-dong,35112,234956,238926,7186,16477
Yangpyeong 1-dong,17568,79113,77650,2074,19922
Yangpyeong 2-dong,22580,56996,57588,4687,18234
Singil 1-dong,23587,62961,52909,1544,4035
Singil 3-dong,17613,20123,18982,1088,3056
Singil 4-dong,13758,28028,24146,598,1567
Singil 5-dong,19075,24957,25351,702,2079
Singil 6-dong,24705,104998,97806,2675,3974
Singil 7-dong,15746,57219,63824,904,3030
Daerim 1-dong,19666,23850,18220,1503,4079
Daerim 2-dong,25447,268889,276702,2942,4437
Daerim 3-dong,31926,264397,266378,5683,10781
Yeongdeungpo bon-dong,27689,45989,45211,1549,4537
Yeongdeungpo-dong,20629,384888,405480,7414,34547
Dorim-dong,21693,40092,41067,1370,3138
Mullae-dong,32805,366493,379385,8697,36161
Noryangjin 2-dong,16440,97280,90426,2558,5138
Sangdo 1-dong,45022,188043,197499,6063,6250
Sangdo 2-dong,26220,117633,106257,3870,4090
Sangdo 3-dong,25056,56530,52694,1045,2720
Sangdo 4-dong,29980,22400,23137,722,2879
Sadang 1-dong,24405,25724,24835,2957,8660
Sadang 3-dong,26291,119705,109600,2259,4303
Sadang 4-dong,15311,18184,18179,1608,1638
Sadang 5-dong,15566,9619,13243,670,1692
Daebang-dong,40797,207739,200392,5233,12717
Sindaebang 1-dong,28717,145257,145161,1795,4496
Sindaebang 2-dong,21459,103522,100458,3306,27372
Heukseok-dong,38741,142720,142615,3950,9671
Noryangjin 1-dong,34878,374423,380141,7630,11058
Sadang-dong,31549,90691,90172,5407,5323
Boramae-dong,27789,53556,56720,2270,4966
Cheongnim-dong,17078,31476,27544,934,1059
Haengun-dong,30343,211363,206394,4977,5161
Nagseongdae-dong,18301,53632,73148,3443,7971
Jungang-dong,15241,312213,304662,3197,4681
Inheon-dong,28636,6364,8116,1105,4406
Namhyeon-dong,18420,2987,1798,776,5952
Sewon-dong,24306,53260,44971,1243,6702
Sinwon-dong,20411,7249,6914,345,2256
Serim-dong,24918,106192,100644,2044,2755
Gwanak-gu Sinsa-dong,26996,55366,60828,1643,4365
Sillim-dong,22713,365838,388236,3482,5632
Nanhyang-dong,17876,9706,8336,504,1685
Jowon-dong,20052,33274,29285,947,7225
Daehak-dong,24393,101929,91076,3144,11988
Euncheon-dong,37117,195572,182410,4865,7535
Seonghyeon-dong,34847,50225,44722,3070,2449
Chengnyong-dong,34628,7017,9205,1082,12463
Nangok-dong,31103,20527,15320,485,1988
Samseong-dong,29449,60764,73029,1483,2615
Miseong-dong,34515,105306,88127,1278,5201
Seocho 1-dong,21734,229022,239366,3701,26660
Seocho 2-dong,23685,21916,20687,3730,49210
Seocho 3-dong,30856,165496,173279,11004,65115
Seocho 4-dong,30775,338405,343842,6717,27523
Jamwon-dong,34898,110762,111106,5965,13886
Banpobon-dong,13447,48150,46994,3302,2280
Banpo 1-dong,34179,47163,52718,4984,9227
Banpo 2-dong,20360,52570,52084,1857,2223
Banpo 3-dong,24363,579148,561921,7974,5949
Banpo 4-dong,20859,21411,22981,4616,29186
Bangbaebon-dong,22294,30811,31642,2669,10745
Bangbae 1-dong,17449,145385,149408,3191,13769
Bangbae 2-dong,27418,393949,395256,6709,14947
Bangbae 3-dong,25706,21887,22168,1180,10484
Bangbae 4-dong,25837,326504,333744,3462,13140
Yangjae 1-dong,40113,46295,38435,3219,30202
Yangjae 2-dong,23289,75733,63622,4805,44373
Naegok-dong,5746,32038,32469,1489,5035
Gannam-gu Sinsa-dong,20049,251628,278686,17689,27047
Nonhyeon 1-dong,26391,286345,295496,13225,38902
Nonhyeon 2-dong,22775,165291,175276,7974,56495
Samseong 1-dong,16094,391658,411198,21008,49715
Samseong 2-dong,32424,394720,400272,9390,30057
Daechi 1-dong,20382,95592,96746,1521,6550
Daechi 4-dong,22301,82732,83934,5147,26790
Yeoksam 1-dong,36320,1002817,1028846,32953,144308
Yeoksam 2-dong,34815,54437,48057,3588,34579
Dogok 1-dong,22873,262566,258944,4874,14298
Dogok 2-dong,35391,85094,84526,3241,18453
Gaepo 1-dong,23151,16903,15454,869,1318
Gaepo 4-dong,23690,47489,51322,1904,11318
Irwonbon-dong,23135,71261,75247,839,8073
Irwon 1-dong,18648,15020,12706,1124,5454
Irwon 2-dong,18985,116823,116845,2992,5064
Suseo-dong,16700,86997,91307,1528,17294
Segok-dong,15216,16912,14182,683,2422
Apgujeong-dong,29327,346066,361202,24353,28387
Cheongdam-dong,31568,281433,317672,13484,36500
Daechi 2-dong,42682,179848,173130,6981,50271
Gaepo 2-dong,34718,39480,38847,2633,4045
Pungnap 1-dong,19751,418,320,595,2501
Pungnap 2-dong,28495,17625,16074,2308,14873
Geoyeo 1-dong,15937,65593,57203,667,2534
Geoyeo 2-dong,28110,3,3507,524,4400
Macheon 1-dong,24171,10595,8632,118,2057
Macheon 2-dong,22295,67532,66290,2314,3993
Bangi 1-dong,17135,47795,48311,1623,8976
Bangi 2-dong,26090,36091,36971,3640,21572
Oryun-dong,20225,60722,60235,7042,4286
Ogeum-dong,38555,148496,147458,2831,16645
Songpa 1-dong,27757,84754,94038,2042,11419
Songpa 2-dong,22926,52500,54161,1256,5434
Seokchon-dong,36018,30218,27361,1116,14313
Samjeon-dong,35310,5064,3049,1344,10176
Garakbon-dong,29809,147489,153940,3694,28071
Garak 1-dong,2782,9832,12340,1271,11184
Garak 2-dong,35946,26140,25903,1979,8739
Munjeong 1-dong,22764,34540,34024,886,6648
Munjeong 2-dong,16493,791,1088,1467,10862
Jangji-dong,37695,89789,86633,2478,9945
Jamsilbon-dong,31505,41290,42884,1797,17039
Jamsil 4-dong,31435,171850,168162,3401,1727
Jamsil 6-dong,17487,394795,401760,5619,23128
Jamsil 7-dong,10688,0,0,412,976
Jamsil 2-dong,37200,262344,275625,14926,3661
Jamsil 3-dong,37436,32036,35240,8391,8056
Gangil-dong,34468,44847,38453,3230,14694
Sangil-dong,27630,10957,8108,1250,5441
Myeongil 1-dong,28450,149139,142566,1840,5027
Myeongil 2-dong,18929,10901,12543,1313,5137
Godeok 1-dong,17392,72458,75157,1305,1749
Godeok 2-dong,17970,86814,76329,1205,3801
Amsa 2-dong,16473,101596,94017,903,3671
Amsa 3-dong,19293,14451,13072,4569,1911
Cheonho 1-dong,31743,4047,4914,1311,5102
Cheonho 3-dong,26724,99595,94631,2494,6171
Seongnae 1-dong,19946,1345,1494,1091,15379
Seongnae 2-dong,27007,74153,75022,3578,7545
Seongnae 3-dong,25626,89069,86008,1120,10273
Dunchon 1-dong,20087,13779,13696,1136,1318
Dunchon 2-dong,29689,25395,26573,1470,9104
Amsa 1-dong,39206,11877,11340,2854,5139
Cheonho 2-dong,38307,264601,279693,6242,14008
Gil-dong,51400,83129,84673,3739,18259
