,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Changsin 1-dong,0.01608311428888199,0.042662389955407325,0.11318626080922875,-0.0004275185743363716,0.016941696006562153,0.03335773966968582,0.008996755536053275,-0.019825974852043987,-0.014953428967341947,-0.001883491618301997,0.0024582254189962193,0.0107111778012016,-0.024389491835741805,0.0041955160854791436,-0.008212986939998262,-0.0466380154827158,0.0020078382697722623,-0.025052778150382184,-0.010228041202378028,-0.04528350368083162
Changsin 2-dong,0.029366864410982296,0.01563000662331664,0.08660487179063323,0.02272645975113569,0.044181583678808346,0.024577500010642985,0.020461723901191498,0.02432735499024702,0.03664935898068966,0.026498187442112624,-0.012898487921416664,-0.016371695492843747,0.025210312924098394,-0.029318472323976295,0.009809690833475812,0.02110274327632631,0.009011825710716483,-0.006232149758985137,-0.04474589884678801,-0.04152309744169341
Changsin 3-dong,0.025715905006355826,0.027845737973730005,0.05708763234397367,0.07246366113069232,0.034804721335600475,0.03334126332879237,0.012943871095695041,0.008387112970973576,0.014349489532685462,0.030357992431592266,0.00485908807175128,-0.011394554435244836,0.022829970836771192,-0.028128520927213813,-0.0010062242245416578,0.02347916129036942,0.0469163955521291,-0.014012727101369634,-0.0319969374508501,-0.0018002543934665758
Sungin 1-dong,0.02383125223438984,0.037138675195822396,0.07316949527073985,0.04182868778383689,0.039570234992394614,0.02058163806228384,0.04945133910424251,-0.02980310604655272,0.016013075423199397,0.00448588333345504,0.051973059921140846,0.0034956440623066715,0.008633448738055226,-0.0018883980147581891,-0.0009010320969798573,0.020852763667151497,0.006189224392623493,0.01822537229914573,-0.026590380323805927,-0.004108955265556485
Sungin 2-dong,0.026434922796453212,0.03279709941475452,0.094191712209175,0.001139990958287421,-0.0003226724184995026,0.003941712285854534,0.029679233038609174,-0.005946060066340416,-0.006039569976591651,0.004503355030022,-0.022465642144095296,0.0263237405136968,0.0608186291990473,0.009767739244796923,-0.03195749848270589,-0.0159892996557463,0.02983753435973919,-0.04462955556574116,-0.03619478684573142,-0.045187200668715226
Cheongunhyoja-dong,0.033762402303705065,0.025823498195922324,0.03561382412728631,0.05582360495000272,0.003761677309180722,-0.05646857847168715,0.0008181754650934586,-0.019961873020297498,-0.03132856008805429,-0.04212815122523482,-0.0024486116008039242,0.005656113772532793,-0.008649518112468986,0.006230040079170781,-0.009602196606903457,-0.026261997677570297,0.015122938459105196,0.017021880774912554,-0.022732174421940723,-0.0013489018592585723
Hyehwa-dong,0.031740669875352644,0.03930923973031531,0.025171813189264498,-0.03019868119683926,0.03428685113112345,-0.049510218281655076,0.04986430531226844,0.009061808174459774,-0.011287002609287958,-0.06867201234813503,-0.08550869553540265,0.019640046992922527,0.03158071221750832,-0.04010023019104877,0.046219890552719765,0.04214093197151491,0.04422488735747932,0.004402036602409483,-0.07811937872808855,-0.019486632275488972
Sogong-dong,-0.021230684575374546,0.11264717987238748,0.04763382970350406,0.08394078268552167,-0.05393109863698112,-0.051304956454945344,0.032300068395854836,0.10529928595919458,0.00981182471577782,0.08615251292876847,0.018355888176090348,-0.060187011775987106,0.024636009243966302,-0.007139223845245962,0.14478969048188048,-0.0975864572431265,-0.05665970445998168,-0.008761243283602236,-0.059609887170271214,0.04267290665236314
Hoehyeon-dong,-0.01290285363543447,0.11728560003007245,0.1613084605702246,-0.032613351153072165,-0.1455387240970085,0.13481367175243988,-0.08037672370513406,0.05855017224084534,0.029783366038706915,-0.1495547440946941,-0.033988656284444065,0.09223274173073992,-0.034575834375244696,-0.05714376885322926,0.011447365617026785,-0.1451363048460783,-0.12236955942988972,-0.020814501404938426,-0.025156783404032063,-0.011929349312296368
Myeong-dong,-0.036358128959254665,0.16621562912108068,0.08123938123001638,0.0516899471302301,-0.13404711683239953,-0.07299164319589883,0.05416091443748061,0.09015662895588156,0.06600312980849023,0.1318210369009242,0.03620737593307948,-0.09869969170136732,-0.03593775943021893,-0.16622241748278213,0.12369204364288451,-0.2183728842178731,-0.0287748386129697,0.003803644672917494,-0.15619429385226707,0.10447634840420492
