Dong,산업_출판인쇄및기록매체복제업_Gu_Gu,"산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Employees","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Employees",산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Establish-ments,산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Employees,산업_출판인쇄및기록매체복제업_Otherpublishing_Establish-ments,산업_출판인쇄및기록매체복제업_Otherpublishing_Employees,산업_출판인쇄및기록매체복제업_Printing_Establish-ments,산업_출판인쇄및기록매체복제업_Printing_Employees,산업_출판인쇄및기록매체복제업_Service activities related to printing_Establish-ments,산업_출판인쇄및기록매체복제업_Service activities related to printing_Employees,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Establish-ments,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Employees
Neung-dong,Gwangjin-gu,3,11,3,51,-,-,-,-,2,10,-,-,-,-
Guui 1(il)-dong,Gwangjin-gu,9,21,3,14,3,5,-,-,4,7,2,6,-,-
Guui 2(i)-dong,Gwangjin-gu,5,33,2,15,1,2,-,-,-,-,-,-,-,-
Guui 3(sam)-dong,Gwangjin-gu,4,6,3,12,1,3,-,-,1,1,-,-,-,-
Gwangjang-dong,Gwangjin-gu,5,8,-,-,4,18,-,-,2,3,2,7,-,-
Jayang 1(il)-dong,Gwangjin-gu,7,27,-,-,1,2,-,-,5,17,-,-,-,-
Jayang 2(i)-dong,Gwangjin-gu,5,34,-,-,-,-,-,-,7,156,1,4,-,-
Jayang 3(sam)-dong,Gwangjin-gu,2,18,1,24,-,-,-,-,-,-,1,6,-,-
Jayang 4(sa)-dong,Gwangjin-gu,3,5,-,-,1,2,-,-,3,31,2,18,-,-
Hoegi-dong,Dongdaemun-gu,3,10,1,61,1,1,-,-,3,9,1,1,-,-
Hwigyeong 1(il)-dong,Dongdaemun-gu,1,2,1,3,1,1,-,-,1,2,-,-,-,-
Hwigyeong 2(i)-dong,Dongdaemun-gu,-,-,-,-,-,-,-,-,-,-,2,6,-,-
Cheongnyangni-dong,Dongdaemun-gu,3,9,-,-,-,-,-,-,2,2,-,-,-,-
Yongsin-dong,Dongdaemun-gu,42,123,5,21,3,7,-,-,10,17,6,39,-,-
Jegi-dong,Dongdaemun-gu,3,15,1,1,1,1,-,-,4,7,1,1,-,-
Jeonnong 1(il)-dong,Dongdaemun-gu,1,1,-,-,-,-,-,-,4,7,1,2,-,-
Jeonnong 2(i)-dong,Dongdaemun-gu,-,-,-,-,-,-,-,-,1,2,-,-,-,-
Dapsimni 1(il)-dong,Dongdaemun-gu,3,8,1,2,-,-,-,-,1,1,-,-,-,-
Dapsimni 2(i)-dong,Dongdaemun-gu,4,9,1,2,-,-,-,-,4,17,2,3,-,-
Jangan 1(il)-dong,Dongdaemun-gu,6,26,1,3,1,4,-,-,10,18,2,2,-,-
Jangan 2(i)-dong,Dongdaemun-gu,4,9,1,1,1,1,-,-,11,31,3,6,-,-
Imun 1(il)-dong,Dongdaemun-gu,1,1,1,1,-,-,-,-,-,-,2,4,-,-
Imun 2(i)-dong,Dongdaemun-gu,-,-,-,-,-,-,-,-,1,2,-,-,-,-
Myeonmok 2(i)-dong,Jungnang-gu,2,6,-,-,2,3,-,-,11,24,3,6,-,-
Myeonmok 4(sa)-dong,Jungnang-gu,1,1,1,3,-,-,-,-,2,3,-,-,-,-
Myeonmok 5(o)-dong,Jungnang-gu,-,-,-,-,1,2,-,-,3,6,-,-,-,-
Myeonmok 7(chil)-dong,Jungnang-gu,-,-,-,-,-,-,-,-,3,8,1,3,-,-
Sangbong 1(il)-dong,Jungnang-gu,-,-,2,6,-,-,-,-,-,-,-,-,-,-
Sangbong 2(i)-dong,Jungnang-gu,2,3,1,2,-,-,-,-,3,6,-,-,2,6
Junghwa 1(il)-dong,Jungnang-gu,2,2,1,140,-,-,1,3,1,1,-,-,-,-
Junghwa 2(i)-dong,Jungnang-gu,1,1,1,13,-,-,-,-,2,4,1,3,-,-
Muk 1(il)-dong,Jungnang-gu,-,-,1,2,-,-,-,-,1,1,-,-,-,-
Muk 2(i)-dong,Jungnang-gu,-,-,-,-,-,-,-,-,3,6,-,-,-,-
Mangu 3(sam)-dong,Jungnang-gu,-,-,1,5,-,-,-,-,1,1,-,-,-,-
Sinnae 1(il)-dong,Jungnang-gu,2,4,-,-,-,-,-,-,1,3,-,-,-,-
Myeonmokbon-dong,Jungnang-gu,1,10,-,-,-,-,-,-,3,6,1,2,-,-
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,1,1,-,-,-,-,-,-,5,11,-,-,-,-
Mangubon-dong,Jungnang-gu,5,22,-,-,1,1,-,-,7,7,-,-,1,1
Donam 1(il)-dong,Seongbuk_gu,-,-,-,-,-,-,-,-,2,4,-,-,-,-
Anam-dong,Seongbuk_gu,6,54,1,1,-,-,-,-,2,12,1,2,-,-
Bomun-dong,Seongbuk_gu,8,26,1,1,-,-,-,-,2,2,1,3,-,-
Jeongneung 1(il)-dong,Seongbuk_gu,2,2,-,-,-,-,-,-,1,2,2,4,-,-
Jeongneung 2(i)-dong,Seongbuk_gu,-,-,2,2,-,-,-,-,2,10,-,-,-,-
Jeongneung 3(sam)-dong,Seongbuk_gu,3,16,-,-,-,-,-,-,1,3,1,6,-,-
Gireum 1(il)-dong,Seongbuk_gu,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Gireum 2(i)-dong,Seongbuk_gu,1,3,1,3,-,-,-,-,2,3,-,-,-,-
Wolgok 1(il)-dong,Seongbuk_gu,-,-,-,-,-,-,1,1,1,2,-,-,-,-
Wolgok 2(i)-dong,Seongbuk_gu,1,2,-,-,-,-,-,-,1,2,-,-,-,-
Jangwi 1(il)-dong,Seongbuk_gu,-,-,-,-,-,-,-,-,2,4,-,-,-,-
Jangwi 2(i)-dong,Seongbuk_gu,-,-,-,-,-,-,-,-,3,3,1,3,-,-
Jangwi 3(sam)-dong,Seongbuk_gu,1,3,-,-,-,-,-,-,1,2,-,-,-,-
Seongbuk-dong,Seongbuk_gu,14,89,3,16,1,7,1,44,1,1,-,-,-,-
Samseon-dong,Seongbuk_gu,8,18,2,3,-,-,-,-,4,6,-,-,-,-
Dongseon-dong,Seongbuk_gu,5,225,5,22,3,13,1,4,-,-,1,11,-,-
Jongam-dong,Seongbuk_gu,1,7,1,1,1,1,1,1,1,2,1,1,-,-
Seokgwan-dong,Seongbuk_gu,-,-,1,2,-,-,-,-,2,3,2,4,-,-
Beon 1(il)-dong,Gangbuk-gu,3,4,1,5,-,-,-,-,3,3,-,-,-,-
Beon 2(i)-dong,Gangbuk-gu,1,31,-,-,-,-,-,-,2,2,-,-,-,-
Suyu 1(il)-dong,Gangbuk-gu,-,-,-,-,-,-,-,-,2,3,2,2,-,-
Suyu 2(i)-dong,Gangbuk-gu,3,23,-,-,1,1,-,-,-,-,-,-,-,-
Suyu 3(sam)-dong,Gangbuk-gu,2,7,1,2,1,1,1,2,3,4,1,8,-,-
Samyang-dong,Gangbuk-gu,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Mia-dong,Gangbuk-gu,2,11,2,5,-,-,-,-,3,6,-,-,-,-
Songjung-dong,Gangbuk-gu,4,68,2,3,-,-,-,-,-,-,-,-,-,-
Songcheon-dong,Gangbuk-gu,3,22,2,12,2,3,-,-,3,4,-,-,-,-
Insu-dong,Gangbuk-gu,3,14,-,-,1,2,-,-,-,-,-,-,-,-
Ssangmun 1(il)-dong,Dobong-gu,1,1,-,-,-,-,-,-,1,4,-,-,-,-
Ssangmun 2(i)-dong,Dobong-gu,1,1,1,4,-,-,-,-,-,-,-,-,-,-
Ssangmun 3(sam)-dong,Dobong-gu,-,-,1,2,-,-,-,-,-,-,-,-,-,-
Ssangmun 4(sa)-dong,Dobong-gu,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Banghak 1(il)-dong,Dobong-gu,2,2,-,-,-,-,-,-,3,4,-,-,-,-
Banghak 2(i)-dong,Dobong-gu,-,-,-,-,-,-,-,-,2,20,-,-,-,-
Chang 1(il)-dong,Dobong-gu,-,-,-,-,-,-,-,-,1,2,-,-,-,-
Chang 2(i)-dong,Dobong-gu,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Chang 3(sam)-dong,Dobong-gu,1,1,1,1,-,-,-,-,1,1,-,-,-,-
Chang 4(sa)-dong,Dobong-gu,1,1,1,1,-,-,-,-,1,1,-,-,-,-
Chang 5(o)-dong,Dobong-gu,2,3,1,1,-,-,-,-,-,-,-,-,-,-
Dobong 1(il)-dong,Dobong-gu,1,2,-,-,-,-,-,-,1,2,-,-,-,-
Dobong 2(i)-dong,Dobong-gu,-,-,-,-,-,-,-,-,1,2,1,1,-,-
Wolgye 1(il)-dong,Nowon-gu,1,1,1,1,-,-,-,-,1,2,-,-,-,-
