Dong,산업_유통업체현황_Gu_Gu_Gu_Gu,산업_유통업체현황_Total_Total_Number_Number,산업_유통업체현황_Total_Total_Floor space_Business,산업_유통업체현황_Total_Total_Floor space_Store,산업_유통업체현황_Total_Total_Floor space_Establish ment,산업_유통업체현황_Discounter Store_Discounter Store_Number_Number,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Business,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Store,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Establish ment,산업_유통업체현황_Department Store_Department Store_Number_Number,산업_유통업체현황_Department Store_Department Store_Floor space_Business,산업_유통업체현황_Department Store_Department Store_Floor space_Store,산업_유통업체현황_Department Store_Department Store_Floor space_Establish ment,산업_유통업체현황_Specialty Store_Specialty Store_Number_Number,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Business,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Store,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Establish ment,산업_유통업체현황_Shopping centers_Shopping centers_Number_Number,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Business,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Store,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Establish ment,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Number_Number,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Business,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Store,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Establish ment
Samseong 2(i)-dong,Gangnam-gu,1,…,…,10284,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,1,…,…,10284
Daechi 1(il)-dong,Gangnam-gu,2,…,…,16433,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,2,…,…,16433
Daechi 4(sa)-dong,Gangnam-gu,1,…,…,63156,-,-,-,-,1,…,…,63156,-,-,-,-,-,-,-,-,-,…,…,-
Yeoksam 1(il)-dong,Gangnam-gu,1,…,…,16344,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,1,…,…,16344
Yeoksam 2(i)-dong,Gangnam-gu,2,…,…,93656,1,11981,5174,46778,-,…,…,-,-,-,-,-,-,-,-,-,1,…,…,46878
Dogok 1(il)-dong,Gangnam-gu,-,…,…,-,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,-,…,…,-
Dogok 2(i)-dong,Gangnam-gu,1,…,…,102379,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,1,…,…,102379
Gaepo 1(il)-dong,Gangnam-gu,-,…,…,-,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,-,…,…,-
Gaepo 4(sa)-dong,Gangnam-gu,-,…,…,-,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,-,…,…,-
Irwonbon-dong,Gangnam-gu,-,…,…,-,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,-,…,…,-
Irwon 1(il)-dong,Gangnam-gu,1,…,…,4165,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,1,…,…,4165
Irwon 2(i)-dong,Gangnam-gu,2,…,…,6252,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,2,…,…,6252
Suseo-dong,Gangnam-gu,1,…,…,3052,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,1,…,…,3052
Segok-dong,Gangnam-gu,-,…,…,-,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,-,…,…,-
Apgujeong -dong,Gangnam-gu,4,…,…,117492,-,-,-,-,3,…,…,101260,-,-,-,-,-,-,-,-,1,…,…,16232
Cheongdam -dong,Gangnam-gu,2,…,…,66005,-,-,-,-,1,…,…,54466,-,-,-,-,-,-,-,-,1,…,…,11539
Daechi 2(i)-dong,Gangnam-gu,2,…,…,16700,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,2,…,…,16700
Gaepo 2(i)-dong,Gangnam-gu,-,…,…,-,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,-,…,…,-
Macheon 1(il)-dong,Songpa-gu,1,9745,7962,23917,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9745,7962,23917
Macheon 2(i)-dong,Songpa-gu,1,3871,3871,3871,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3871,3871,3871
Oryun-dong,Songpa-gu,1,10802,10802,24168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10802,10802,24168
Ogeum-dong,Songpa-gu,1,4916,3004,24183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4916,3004,24183
Songpa 1(il)-dong,Songpa-gu,1,5269,5269,7966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5269,5269,7966
Seokchon-dong,Songpa-gu,1,2771,2771,4297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2771,2771,4297
Garak 2(i)-dong,Songpa-gu,1,5034,3719,14521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5034,3719,14521
Munjeong 2(i)-dong,Songpa-gu,3,490751,247411,775096,1,29020,17694,74404,-,-,-,-,-,-,-,-,1,170108,84472,274057,1,291623,145245,426635
Jamsil 6(yuk)-dong,Songpa-gu,3,109477,55025,325720,1,43568,13935,49982,-,-,-,-,-,-,-,-,1,38219,13400,243461,1,27690,27690,32277
Jamsil 7(chil)-dong,Songpa-gu,1,7225,7225,8119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7225,7225,8119
Jamsil 3(sam)-dong,Songpa-gu,5,254907,111200,1455684,1,26039,14433,31419,1,188555,76076,564143,1,3950,3494,583467,-,-,-,-,2,36363,17197,276655
Myeongil 2(i)-dong,Gangdong-gu,2,26598,18143,42544,1,17114,8659,27912,-,-,-,-,-,-,-,-,-,-,-,-,1,9484,9484,14632
Cheonho 1(il)-dong,Gangdong-gu,1,47811,14176,63018,1,47811,14176,63018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cheonho 3(sam)-dong,Gangdong-gu,2,39151,24702,48655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,39151,24702,48655
Seongnae 2(i)-dong,Gangdong-gu,1,3406,3406,15437,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3406,3406,15437
Seongnae 3(sam)-dong,Gangdong-gu,1,6083,4076,23909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6083,4076,23909
Dunchon 1(il)-dong,Gangdong-gu,1,7543,7543,11069,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7543,7543,11069
Cheonho 2(i)-dong,Gangdong-gu,3,104315,55675,147166,1,15929,9081,17294,1,69736,28994,74203,-,-,-,-,-,-,-,-,1,18650,17600,55669
Gil-dong,Gangdong-gu,2,13959,7242,43771,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13959,7242,43771
