Dong,至穣_獣舌薄伐_Autonomous Gu_Autonomous Gu_Autonomous Gu,至穣_獣舌薄伐_Total_Total_place,至穣_獣舌薄伐_Total_Total_No. of shops,至穣_獣舌薄伐_Total_Total_area,至穣_獣舌薄伐_Market_Registered Market_place,至穣_獣舌薄伐_Market_Registered Market_No. of shops,至穣_獣舌薄伐_Market_Registered Market_Area,至穣_獣舌薄伐_Market_穿搭獣舌_place,至穣_獣舌薄伐_Market_穿搭獣舌_No. of shops,至穣_獣舌薄伐_Market_穿搭獣舌_Area,至穣_獣舌薄伐_Market_Arcade_place,至穣_獣舌薄伐_Market_Arcade_No. of shops,至穣_獣舌薄伐_Market_Arcade_Area
Jayang 3(sam)-dong,Gwangjin-gu,1,・,・,1,・,・,-,・,-,-,-,-
Jayang 4(sa)-dong,Gwangjin-gu,4,・,・,2,・,・,2,・,19463,-,-,-
Hoegi-dong,Dongdaemun-gu,1,64,4989,-,-,-,1,64,4989,-,-,-
Hwigyeong 1(il)-dong,Dongdaemun-gu,1,60,2178,1,60,2178,-,-,-,-,-,-
Cheongnyangni-dong,Dongdaemun-gu,1,51,1466,-,-,-,1,51,1466,-,-,-
Yongsin-dong,Dongdaemun-gu,3,152,19364,2,42,11605,1,110,7759,-,-,-
Jegi-dong,Dongdaemun-gu,8,2388,276675,3,797,24894,5,1591,251781,-,-,-
Jeonnong 1(il)-dong,Dongdaemun-gu,1,125,4243,1,125,4243,-,-,-,-,-,-
Dapsimni 1(il)-dong,Dongdaemun-gu,1,81,1655,1,81,1655,-,-,-,-,-,-
Dapsimni 2(i)-dong,Dongdaemun-gu,2,109,5858,-,-,-,2,109,5858,-,-,-
Jangan 2(i)-dong,Dongdaemun-gu,1,17,809,1,17,809,-,-,-,-,-,-
Imun 2(i)-dong,Dongdaemun-gu,1,145,1773,1,145,1773,-,-,-,-,-,-
Myeonmok 7(chil)-dong,Jungnang-gu,2,150,10101,1,28,3978,1,122,6123,-,-,-
Sangbong 2(i)-dong,Jungnang-gu,2,213,16788,1,86,3472,1,127,13316,-,-,-
Junghwa 2(i)-dong,Jungnang-gu,1,38,7052,1,38,7052,-,-,-,-,-,-
Mangu 3(sam)-dong,Jungnang-gu,1,6,7154,1,6,7154,-,-,-,-,-,-
Sinnae 1(il)-dong,Jungnang-gu,1,79,19165,1,79,19165,-,-,-,-,-,-
Sinnae 2(i)-dong,Jungnang-gu,1,159,31128,1,159,31128,-,-,-,-,-,-
Myeonmokbon-dong,Jungnang-gu,2,151,16867,1,17,1766,1,134,15101,-,-,-
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,1,135,7665,-,-,-,1,135,7665,-,-,-
Mangubon-dong,Jungnang-gu,1,189,10295,-,-,-,1,189,10295,-,-,-
Donam 2(i)-dong,Seongbuk-gu,1,236,25216,1,236,25216,-,-,-,-,-,-
Jeongneung 2(i)-dong,Seongbuk-gu,1,106,6236,-,-,-,1,106,6236,-,-,-
Gireum 1(il)-dong,Seongbuk-gu,1,114,8635,1,114,8635,-,-,-,-,-,-
Jangwi 2(i)-dong,Seongbuk-gu,2,157,13237,1,26,3678,1,131,9559,-,-,-
Jangwi 3(sam)-dong,Seongbuk-gu,1,2,1914,1,2,1914,-,-,-,-,-,-
Samseon-dong,Seongbuk-gu,1,108,13867,-,-,-,1,108,13867,-,-,-
Seokgwan-dong,Seongbuk-gu,3,82,15043,2,22,8950,1,60,6093,-,-,-
Beon 1(il)-dong,Gangbuk-gu,1,30,3878,1,30,3878,-,-,-,-,-,-
Suyu 1(il)-dong,Gangbuk-gu,4,365,19351,2,148,8833,2,217,10518,-,-,-
Suyu 2(i)-dong,Gangbuk-gu,1,8,5986,1,8,5986,-,-,-,-,-,-
Suyu 3(sam)-dong,Gangbuk-gu,2,119,14357,2,119,14357,-,-,-,-,-,-
Mia-dong,Gangbuk-gu,2,139,14772,2,139,14772,-,-,-,-,-,-
Insu-dong,Gangbuk-gu,1,21,8552,1,21,8552,-,-,-,-,-,-
Banghak 2(i)-dong,Dobong-gu,1,98,15243,-,-,-,1,98,15243,-,-,-
Chang 2(i)-dong,Dobong-gu,1,88,11219,-,-,-,1,88,11219,-,-,-
Chang 3(sam)-dong,Dobong-gu,1,68,7325,-,-,-,1,68,7325,-,-,-
Dobong 1(il)-dong,Dobong-gu,1,33,1810,1,33,1810,-,-,-,-,-,-
Sanggye 2(i)-dong,Nowon-gu,1,151,21913,-,-,-,1,151,21913,-,-,-
Sanggye 3.4(sam.sa)-dong,Nowon-gu,1,60,4992,1,60,4992,-,-,-,-,-,-
Gongneung 1(il)-dong,Nowon-gu,1,120,15669,-,-,-,1,120,15669,-,-,-
Galhyeon 1(il)-dong,Eunpyeong-gu,1,58,1520,1,58,1520,-,-,-,-,-,-
Galhyeon 2(i)-dong,Eunpyeong-gu,1,80,3450,1,80,3450,-,-,-,-,-,-
Daejo-dong,Eunpyeong-gu,2,195,5253,1,60,2293,1,135,2960,-,-,-
Eungam 1(il)-dong,Eunpyeong-gu,1,60,1803,1,60,1803,-,-,-,-,-,-
Eungam 2(i)-dong,Eunpyeong-gu,2,85,3770,1,23,900,1,62,2870,-,-,-
Jeungsan-dong,Eunpyeong-gu,1,100,2130,1,100,2130,-,-,-,-,-,-
Susaek-dong,Eunpyeong-gu,1,10,975,1,10,975,-,-,-,-,-,-
Bulgwang 2(i)-dong,Eunpyeong-gu,1,146,2934,1,146,2934,-,-,-,-,-,-
Eungam 3(sam)-dong,Eunpyeong-gu,3,219,6866,2,109,4566,1,110,2300,-,-,-
Cheonyeon-dong,Seodaemun-gu,1,・,・,-,・,・,1,206,2485,-,-,-
Hongje 1(il)-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Hongje 3(sam)-dong,Seodaemun-gu,2,・,・,2,・,・,-,-,-,-,-,-
Hongje 2(i)-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Hongeun 1(il)-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Hongeun 2(i)-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Namgajwa 1(il)-dong,Seodaemun-gu,2,・,・,2,・,・,-,-,-,-,-,-
Namgajwa 2(i)-dong,Seodaemun-gu,1,・,・,1,・,・,-,-,-,-,-,-
