Bulgwang 2(i)-dong,Bulgwang-dong
Eungam 3(sam)-dong,Eungam 3-dong
Yeokchon-dong,Yeokchon-dong
Cheonyeon-dong,Cheonyeon-dong
Hongje 1(il)-dong,Hongje 1-dong
Hongje 3(sam)-dong,Hongje 3-dong
Hongje 2(i)-dong,Hongje 2-dong
Hongeun 1(il)-dong,Hongeun 1-dong
Hongeun 2(i)-dong,Hongeun 2-dong
Namgajwa 1(il)-dong,Namgajwa 1-dong
Namgajwa 2(i)-dong,Namgajwa 2-dong
Bukgajwa 1(il)-dong,Bukgajwa 1-dong
Bukgajwa 2(i)-dong,Bukgajwa 2-dong
Chunghyeon-dong,Chunghyeon-dong
Bugahyeon-dong,Bukahyeon-dong
Sinchon-dong,Sinchon-dong
Yeonhui-dong,Yeonhui-dong
Yonggang-dong,Yonggang-dong
Daeheung-dong,Daeheung-dong
Yeomni-dong,Yeomni-dong
Sinsu-dong,Sinsu-dong
Seogyo-dong,Seogyo-dong
Hapjeong-dong,Hapjeong-dong
Mangwon 1(il)-dong,Mangwon 1-dong
Mangwon 2(i)-dong,Mangwon 2-dong
Yeonnam-dong,Yeonnam-dong
Seongsan 1(il)-dong,Seongsan 1-dong
Seongsan 2(i)-dong,Seongsan 2-dong
Sangam-dong,Sangam-dong
Dohwa-dong,Dohwa-dong
Seogang-dong,Seogang-dong
gongdeok-dong,Gongdeok-dong
Ahyeon-dong,Ahyeon-dong
Mok 1(il)-dong,Mok 1-dong
Mok 2(i)-dong,Mok 2-dong
Mok 3(sam)-dong,Mok 3-dong
Mok 4(sa)-dong,Mok 4-dong
Sinwol 1(il)-dong,Sinwol 1-dong
Sinwol 2(i)-dong,Sinwol 2-dong
Sinwol 3(sam)-dong,Sinwol 3-dong
Sinwol 4(sa)-dong,Sinwol 4-dong
Sinwol 5(o)-dong,Sinwol 5-dong
Sinwol 6(yuk)-dong,Sinwol 6-dong
Sinwol 7(chil)-dong,Sinwol 7-dong
Sinjeong 1(il)-dong,Sinjeong 1-dong
Sinjeong 2(i)-dong,Sinjeong 2-dong
Sinjeong 3(sam)-dong,Sinjeong 3-dong
Sinjeong 6(yuk)-dong,Sinjeong 6-dong
Sinjeong 7(chil)-dong,Sinjeong 7-dong
Mok 5(o)-dong,Mok 5-dong
Sinjeong 4(sa)-dong,Sinjeong 4-dong
Yeomchang-dong,Yeomchang-dong
Deungchon 1(il)-dong,Deungchon 1-dong
Deungchon 2(i)-dong,Deungchon 2-dong
Deungchon 3(sam)-dong,Deungchon 3-dong
Hwagokbon-dong,Hwagokbon-dong
Hwagok 2(i)-dong,Hwagok 2-dong
Hwagok 3(sam)-dong,Hwagok 3-dong
Hwagok 4(sa)-dong,Hwagok 4-dong
Hwagok 6(yuk)-dong,Hwagok 6-dong
Hwagok 8(pal)-dong,Hwagok 8-dong
Gayang 1(il)-dong,Gayang 1-dong
Gayang 2(i)-dong,Gayang 2-dong
Gayang 3(sam)-dong,Gayang 3-dong
Balsan 1(il)-dong,Balsan 1-dong
Gonghang-dong,Gonghang-dong
Banghwa 1(il)-dong,Banghwa 1-dong
Banghwa 2(i)-dong,Banghwa 2-dong
Banghwa 3(sam)-dong,Banghwa 3-dong
Hwagok 1(il)-dong,Hwagok 1-dong
Ujangsan-dong,Ujangsan-dong
Sindorim-dong,Sindorim-dong
Guro 1(il)-dong,Guro 1-dong
Guro 3(sam)-dong,Guro 3-dong
Guro 4(sa)-dong,Guro 4-dong
Guro 5(o)-dong,Guro 5-dong
Gocheok 1(il)-dong,Gocheok 1-dong
Gocheok 2(i)-dong,Gocheok 2-dong
Gaebong 2(i)-dong,Gaebong 2-dong
Gaebong 3(sam)-dong,Gaebong 3-dong
Oryu 1(il)-dong,Oryu 1-dong
Oryu 2(i)-dong,Oryu 2-dong
Sugung-dong,Sugung-dong
Garibong-dong,Garibong-dong
Guro 2(i)-dong,Guro 2-dong
Gaebong 1(il)-dong,Gaebong 1-dong
Gasan-dong,Gasan-dong
Doksan 1(il)-dong,Doksan 1-dong
Doksan 2(i)-dong,Doksan 2-dong
Doksan 3(sam)-dong,Doksan 3-dong
Doksan 4(sa)-dong,Doksan 4-dong
Siheung 1(il)-dong,Siheung 1-dong
Siheung 2(i)-dong,Siheung 2-dong
Siheung 3(sam)-dong,Siheung 3-dong
Siheung 4(sa)-dong,Siheung 4-dong
Siheung 5(o)-dong,Siheung 5-dong
Yeouido-dong,Yeouido-dong
Dangsan 1(il)-dong,Dangsan 1-dong
Dangsan2(i)-dong,Dangsan  2-dong
Yangpyeong 1(il)-dong,Yangpyeong 1-dong
Yangpyeong 2(i)-dong,Yangpyeong 2-dong
Singil 1(il)-dong,Singil 1-dong
Singil 3(sam)-dong,Singil 3-dong
Singil 4(sa)-dong,Singil 4-dong
Singil 5(o)-dong,Singil 5-dong
Singil 6(yuk)-dong,Singil 6-dong
Singil 7(chil)-dong,Singil 7-dong
Daerim 1(il)-dong,Daerim 1-dong
Daerim 2(i)-dong,Daerim 2-dong
Daerim 3(sam)-dong,Daerim 3-dong
Yeongdeungpobon-dong,Yeongdeungpo bon-dong
Yeongdeungpo-dong,Yeongdeungpo-dong
Dorim-dong,Dorim-dong
Mullae-dong,Mullae-dong
Noryangjin 2(i)-dong,Noryangjin 2-dong
Sangdo 1(il)-dong,Sangdo 1-dong
Sangdo 2(i)-dong,Sangdo 2-dong
Sangdo 3(sam)-dong,Sangdo 3-dong
Sangdo 4(sa)-dong,Sangdo 4-dong
Sadang 1(il)-dong,Sadang 1-dong
Sadang 3(sam)-dong,Sadang 3-dong
Sadang 4(sa)-dong,Sadang 4-dong
Sadang 5(o)-dong,Sadang 5-dong
Daebang-dong,Daebang-dong
Sindaebang 1(il)-dong,Sindaebang 1-dong
Sindaebang 2(i)-dong,Sindaebang 2-dong
Heukseok-dong,Heukseok-dong
Noryangjin 1(il)-dong,Noryangjin 1-dong
Sadang 2(i)-dong,Sadang-dong
Boramae-dong,Boramae-dong
Cheongnim-dong,Cheongnim-dong
Haengun-dong,Haengun-dong
Nagseongdae-dong,Nagseongdae-dong
Jungang-dong,Jungang-dong
Inheon-dong,Inheon-dong
Namhyeon-dong,Namhyeon-dong
Sewon-dong,Sewon-dong
Sinwon-dong,Sinwon-dong
Serim-dong,Serim-dong
Sinsa-dong,Gwanak-gu Sinsa-dong
Sillim-dong,Sillim-dong
Nanhyang-dong,Nanhyang-dong
Jowon-dong,Jowon-dong
Daehak-dong,Daehak-dong
Euncheon-dong,Euncheon-dong
Seonghyeon-dong,Seonghyeon-dong
Cheongnyong-dong,Chengnyong-dong
Nangok-dong,Nangok-dong
Samseong-dong,Samseong-dong
Miseong-dong,Miseong-dong
Seocho 1(il)-dong,Seocho 1-dong
Seocho 2(i)-dong,Seocho 2-dong
Seocho 3(sam)-dong,Seocho 3-dong
Seocho 4(sa)-dong,Seocho 4-dong
Jamwon-dong,Jamwon-dong
Banpobon-dong,Banpobon-dong
Banpo 1(il)-dong,Banpo 1-dong
Banpo 2(i)-dong,Banpo 2-dong
Banpo 3(sam)-dong,Banpo 3-dong
Banpo 4(sa)-dong,Banpo 4-dong
Bangbaebon-dong,Bangbaebon-dong
Bangbae 1(il)-dong,Bangbae 1-dong
Bangbae 2(i)-dong,Bangbae 2-dong
Bangbae 3(sam)-dong,Bangbae 3-dong
Bangbae 4(sa)-dong,Bangbae 4-dong
Yangjae 1(il)-dong,Yangjae 1-dong
Yangjae 2(i)-dong,Yangjae 2-dong
Naegok-dong,Naegok-dong
Sinsa-dong,Gannam-gu Sinsa-dong
Nonhyeon 1(il)-dong,Nonhyeon 1-dong
Nonhyeon 2(i)-dong,Nonhyeon 2-dong
Samseong 1(il)-dong,Samseong 1-dong
Samseong 2(i)-dong,Samseong 2-dong
Daechi 1(il)-dong,Daechi 1-dong
Daechi 4(sa)-dong,Daechi 4-dong
Yeoksam 1(il)-dong,Yeoksam 1-dong
Yeoksam 2(i)-dong,Yeoksam 2-dong
Dogok 1(il)-dong,Dogok 1-dong
Dogok 2(i)-dong,Dogok 2-dong
Gaepo 1(il)-dong,Gaepo 1-dong
Gaepo 4(sa)-dong,Gaepo 4-dong
Irwonbon-dong,Irwonbon-dong
Irwon 1(il)-dong,Irwon 1-dong
Irwon 2(i)-dong,Irwon 2-dong
Suseo-dong,Suseo-dong
Segok-dong,Segok-dong
Apgujeong -dong,Apgujeong-dong
Cheongdam -dong,Cheongdam-dong
Daechi 2(i)-dong,Daechi 2-dong
Gaepo 2(i)-dong,Gaepo 2-dong
Pungnap 1(il)-dong,Pungnap 1-dong
Pungnap 2(i)-dong,Pungnap 2-dong
Geoyeo 1(il)-dong,Geoyeo 1-dong
Geoyeo 2(i)-dong,Geoyeo 2-dong
Macheon 1(il)-dong,Macheon 1-dong
Macheon 2(i)-dong,Macheon 2-dong
Bangi 1(il)-dong,Bangi 1-dong
Bangi 2(i)-dong,Bangi 2-dong
Oryun-dong,Oryun-dong
Ogeum-dong,Ogeum-dong
Songpa 1(il)-dong,Songpa 1-dong
Songpa 2(i)-dong,Songpa 2-dong
Seokchon-dong,Seokchon-dong
Samjeon-dong,Samjeon-dong
Garakbon-dong,Garakbon-dong
Garak 1(il)-dong,Garak 1-dong
Garak 2(i)-dong,Garak 2-dong
Munjeong 1(il)-dong,Munjeong 1-dong
Munjeong 2(i)-dong,Munjeong 2-dong
Jangji-dong,Jangji-dong
Jamsilbon-dong,Jamsilbon-dong
Jamsil 4(sa)-dong,Jamsil 4-dong
Jamsil 6(yuk)-dong,Jamsil 6-dong
Jamsil 7(chil)-dong,Jamsil 7-dong
Jamsil 2(i)-dong,Jamsil 2-dong
Jamsil 3(sam)-dong,Jamsil 3-dong
Gangil-dong,Gangil-dong
Sangil-dong,Sangil-dong
Myeongil 1(il)-dong,Myeongil 1-dong
Myeongil 2(i)-dong,Myeongil 2-dong
Godeok 1(il)-dong,Godeok 1-dong
Godeok 2(i)-dong,Godeok 2-dong
Amsa 2(i)-dong,Amsa 2-dong
Amsa 3(sam)-dong,Amsa 3-dong
Cheonho 1(il)-dong,Cheonho 1-dong
Cheonho 3(sam)-dong,Cheonho 3-dong
Seongnae 1(il)-dong,Seongnae 1-dong
Seongnae 2(i)-dong,Seongnae 2-dong
Seongnae 3(sam)-dong,Seongnae 3-dong
Dunchon 1(il)-dong,Dunchon 1-dong
Dunchon 2(i)-dong,Dunchon 2-dong
Amsa 1(il)-dong,Amsa 1-dong
Cheonho 2(i)-dong,Cheonho 2-dong
Gil-dong,Gil-dong
