Dong,사업_사업체현황산업대분류별_Autonomous Gu_Autonomous Gu_Autonomous Gu,사업_사업체현황산업대분류별_Total_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Total_No.of establishments_Woman representative,사업_사업체현황산업대분류별_Total_No. of wokers_Total,사업_사업체현황산업대분류별_Total_No. of wokers_Male,사업_사업체현황산업대분류별_Total_No. of wokers_Female,"사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Mining_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Mining_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Manufacturing_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Manufacturing_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Construction industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Construction industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Wholesale and Retail trade_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Wholesale and Retail trade_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Transport_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Transport_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Accomodations and Restaurants_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Accomodations and Restaurants_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Finance and Insurance_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Finance and Insurance_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Real estate, Renting & leasing_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Real estate, Renting & leasing_No. of wokers_No. of wokers","사업_사업체현황산업대분류별_Professional, scientific and technical services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Professional, scientific and technical services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Education_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Education_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Health and social welfare service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Health and social welfare service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Art sports and recreation related service_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Art sports and recreation related service_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No. of wokers_No. of wokers"
Jeongneung 4(sa)-dong,Seongbuk_gu,871.0,288.0,3870.0,2417.0,1453.0,-,-,-,-,29.0,117.0,-,-,-,-,18.0,138.0,161.0,380.0,222.0,1084.0,135.0,390.0,1,3,7,41,42.0,127.0,8,13,1,45,2,17,51.0,868.0,44.0,293.0,24.0,105.0,126.0,249.0
Gireum 1(il)-dong,Seongbuk_gu,1151.0,491.0,3619.0,1516.0,2103.0,-,-,-,-,31.0,95.0,-,-,-,-,5.0,10.0,265.0,577.0,192.0,244.0,213.0,598.0,1,1,12,97,80.0,241.0,8,14,9,30,3,58,89.0,731.0,89.0,551.0,27.0,66.0,127.0,306.0
Gireum 2(i)-dong,Seongbuk_gu,1116.0,529.0,4612.0,1978.0,2634.0,-,-,-,-,28.0,78.0,-,-,-,-,21.0,110.0,328.0,1293.0,91.0,113.0,250.0,936.0,9,298,10,49,44.0,152.0,21,70,12,129,2,20,57.0,248.0,47.0,558.0,25.0,140.0,171.0,418.0
Wolgok 1(il)-dong,Seongbuk_gu,1192.0,449.0,4899.0,2639.0,2260.0,-,-,-,-,175.0,683.0,-,-,1,1,39.0,293.0,325.0,1118.0,44.0,71.0,189.0,453.0,7,164,10,156,57.0,209.0,15,43,10,238,2,49,64.0,532.0,65.0,450.0,26.0,79.0,163.0,360.0
Wolgok 2(i)-dong,Seongbuk_gu,1798.0,568.0,8745.0,4226.0,4519.0,-,-,-,-,238.0,1026.0,-,-,1,5,30.0,161.0,354.0,939.0,377.0,420.0,297.0,784.0,13,38,9,77,60.0,137.0,36,1469,12,104,2,41,62.0,2258.0,66.0,757.0,55.0,191.0,186.0,338.0
Jangwi 1(il)-dong,Seongbuk_gu,1131.0,381.0,2838.0,1356.0,1482.0,-,-,-,-,191.0,880.0,-,-,-,-,30.0,93.0,237.0,472.0,231.0,272.0,135.0,235.0,-,-,5,47,37.0,48.0,4,6,3,10,2,19,37.0,242.0,41.0,220.0,25.0,40.0,153.0,254.0
Jangwi 2(i)-dong,Seongbuk_gu,1663.0,593.0,5078.0,2729.0,2349.0,-,-,-,-,351.0,1368.0,-,-,-,-,42.0,407.0,393.0,773.0,232.0,433.0,249.0,497.0,14,43,7,54,54.0,98.0,16,79,8,296,2,68,49.0,260.0,47.0,385.0,34.0,67.0,165.0,250.0
Jangwi 3(sam)-dong,Seongbuk_gu,1212.0,360.0,4452.0,2582.0,1870.0,-,-,-,-,198.0,1011.0,-,-,1,26,41.0,155.0,288.0,681.0,206.0,989.0,176.0,377.0,3,5,2,16,36.0,76.0,10,23,10,41,2,54,41.0,335.0,35.0,284.0,24.0,73.0,139.0,306.0
Seongbuk-dong,Seongbuk_gu,1021.0,380.0,5115.0,2482.0,2633.0,-,-,-,-,34.0,124.0,-,-,-,-,29.0,147.0,224.0,873.0,86.0,112.0,196.0,906.0,48,418,9,123,59.0,125.0,37,253,16,463,3,40,76.0,736.0,43.0,247.0,28.0,82.0,133.0,466.0
Samseon-dong,Seongbuk_gu,1866.0,705.0,9510.0,4960.0,4550.0,-,-,-,-,87.0,315.0,-,-,2,6,34.0,126.0,463.0,1471.0,165.0,203.0,406.0,908.0,22,62,22,159,73.0,135.0,75,284,31,1020,5,1713,103.0,1955.0,91.0,592.0,84.0,176.0,203.0,385.0
Dongseon-dong,Seongbuk_gu,1974.0,774.0,10170.0,4497.0,5673.0,-,-,-,-,59.0,222.0,-,-,1,3,46.0,438.0,429.0,1318.0,108.0,205.0,568.0,2108.0,37,454,14,105,89.0,233.0,49,203,20,404,2,31,133.0,2739.0,85.0,741.0,85.0,282.0,249.0,684.0
Jongam-dong,Seongbuk_gu,2093.0,769.0,7550.0,3905.0,3645.0,-,-,-,-,368.0,1083.0,-,-,-,-,38.0,468.0,409.0,1024.0,291.0,312.0,318.0,1044.0,10,19,14,220,89.0,259.0,24,62,16,113,8,635,123.0,857.0,82.0,822.0,68.0,178.0,235.0,454.0
Seokgwan-dong,Seongbuk_gu,2255.0,746.0,8217.0,4834.0,3383.0,-,-,-,-,261.0,1102.0,-,-,6,89,77.0,414.0,491.0,1519.0,424.0,865.0,373.0,827.0,5,16,14,125,100.0,219.0,20,55,16,903,3,92,84.0,1004.0,55.0,319.0,65.0,224.0,261.0,444.0
Beon 1(il)-dong,Gangbuk-gu,1693.0,637.0,8783.0,3806.0,4977.0,-,-,-,-,95.0,304.0,-,-,2,61,45.0,196.0,371.0,1336.0,163.0,349.0,374.0,1216.0,11,80,84,1833,86.0,239.0,46,161,30,586,4,411,56.0,429.0,63.0,632.0,68.0,333.0,195.0,617.0
Beon 2(i)-dong,Gangbuk-gu,653.0,160.0,3128.0,2001.0,1127.0,-,-,-,-,53.0,403.0,1,133,-,-,16.0,94.0,100.0,293.0,230.0,585.0,55.0,113.0,3,39,-,-,23.0,88.0,7,25,6,261,5,272,12.0,131.0,28.0,416.0,21.0,107.0,93.0,168.0
Beon 3(sam)-dong,Gangbuk-gu,831.0,195.0,2556.0,1491.0,1065.0,-,-,-,-,36.0,283.0,-,-,-,-,13.0,19.0,99.0,291.0,390.0,608.0,75.0,222.0,1,4,2,15,26.0,105.0,5,20,1,13,2,38,41.0,272.0,33.0,273.0,22.0,122.0,85.0,271.0
Suyu 1(il)-dong,Gangbuk-gu,1578.0,595.0,5125.0,2500.0,2625.0,-,-,-,-,126.0,456.0,-,-,-,-,34.0,96.0,491.0,1066.0,225.0,733.0,278.0,582.0,3,3,9,105,50.0,100.0,10,40,10,80,3,75,50.0,697.0,58.0,508.0,49.0,141.0,182.0,443.0
Suyu 2(i)-dong,Gangbuk-gu,1365.0,494.0,4357.0,2074.0,2283.0,-,-,-,-,136.0,575.0,-,-,2,6,61.0,340.0,294.0,683.0,210.0,263.0,206.0,487.0,6,31,7,88,52.0,98.0,8,44,9,359,2,66,65.0,184.0,54.0,442.0,49.0,81.0,204.0,610.0
Suyu 3(sam)-dong,Gangbuk-gu,2379.0,967.0,8413.0,3779.0,4634.0,-,-,-,-,150.0,571.0,-,-,-,-,56.0,140.0,550.0,1309.0,160.0,218.0,700.0,2041.0,19,112,43,812,96.0,171.0,51,178,16,53,4,1146,48.0,292.0,77.0,508.0,170.0,353.0,239.0,509.0
Samyang-dong,Gangbuk-gu,1228.0,451.0,3331.0,1540.0,1791.0,-,-,-,-,150.0,542.0,-,-,-,-,28.0,42.0,236.0,565.0,238.0,455.0,161.0,323.0,3,7,4,19,55.0,119.0,5,8,5,23,1,18,60.0,458.0,55.0,359.0,37.0,87.0,190.0,306.0
Mia-dong,Gangbuk-gu,1967.0,627.0,6580.0,3085.0,3495.0,-,-,-,-,125.0,548.0,1,75,-,-,42.0,219.0,352.0,921.0,539.0,574.0,363.0,882.0,6,40,21,425,86.0,171.0,22,74,21,193,3,173,47.0,776.0,66.0,689.0,52.0,97.0,221.0,723.0
Songjung-dong,Gangbuk-gu,2009.0,748.0,8463.0,3917.0,4546.0,-,-,-,-,149.0,597.0,-,-,-,-,48.0,180.0,447.0,1373.0,278.0,317.0,456.0,1912.0,15,653,19,535,76.0,161.0,31,133,26,431,3,176,85.0,627.0,71.0,609.0,78.0,212.0,227.0,547.0
Songcheon-dong,Gangbuk-gu,2268.0,874.0,7272.0,3324.0,3948.0,-,-,-,-,323.0,1342.0,-,-,2,30,72.0,203.0,485.0,1329.0,250.0,291.0,452.0,961.0,14,69,15,261,100.0,210.0,48,213,13,38,6,230,73.0,753.0,70.0,554.0,44.0,88.0,301.0,700.0
Samgaksan-dong,Gangbuk-gu,714.0,283.0,2190.0,883.0,1307.0,-,-,-,-,18.0,48.0,-,-,-,-,5.0,8.0,116.0,277.0,175.0,175.0,115.0,292.0,2,3,7,56,45.0,191.0,4,8,2,3,2,43,75.0,524.0,60.0,362.0,16.0,49.0,72.0,151.0
Ui-dong,Gangbuk-gu,994.0,388.0,3478.0,2168.0,1310.0,-,-,-,-,39.0,113.0,-,-,-,-,15.0,62.0,201.0,432.0,177.0,1177.0,331.0,801.0,2,5,2,29,29.0,53.0,9,23,3,26,2,28,21.0,108.0,24.0,189.0,38.0,152.0,101.0,280.0
Insu-dong,Gangbuk-gu,1569.0,528.0,5792.0,2923.0,2869.0,-,-,-,-,117.0,429.0,-,-,1,4,66.0,179.0,332.0,651.0,379.0,745.0,224.0,516.0,10,61,4,48,55.0,111.0,11,126,9,635,4,104,68.0,635.0,43.0,1021.0,38.0,95.0,208.0,432.0
Ssangmun 1(il)-dong,Dobong-gu,911.0,296.0,3803.0,1948.0,1855.0,-,-,-,-,46.0,148.0,-,-,-,-,21.0,31.0,162.0,478.0,283.0,724.0,134.0,336.0,3,8,3,24,32.0,96.0,6,11,6,13,2,46,53.0,1177.0,37.0,489.0,21.0,68.0,102.0,154.0
Ssangmun 2(i)-dong,Dobong-gu,1227.0,455.0,4299.0,2326.0,1973.0,-,-,-,-,71.0,288.0,-,-,2,27,45.0,176.0,276.0,749.0,224.0,661.0,174.0,469.0,5,17,5,104,48.0,147.0,20,52,10,26,2,44,69.0,424.0,62.0,596.0,42.0,100.0,172.0,419.0
Ssangmun 3(sam)-dong,Dobong-gu,897.0,329.0,3182.0,1552.0,1630.0,-,-,-,-,47.0,268.0,-,-,1,20,23.0,143.0,242.0,620.0,147.0,171.0,145.0,417.0,4,15,3,24,45.0,89.0,8,92,10,45,1,15,41.0,150.0,32.0,871.0,22.0,46.0,126.0,196.0
Ssangmun 4(sa)-dong,Dobong-gu,594.0,230.0,1933.0,867.0,1066.0,-,-,-,-,6.0,14.0,-,-,-,-,10.0,19.0,96.0,240.0,180.0,185.0,53.0,171.0,-,-,2,27,26.0,102.0,3,6,-,-,1,16,97.0,833.0,27.0,127.0,15.0,43.0,78.0,150.0
Banghak 1(il)-dong,Dobong-gu,2278.0,912.0,9931.0,5618.0,4313.0,-,-,-,-,107.0,413.0,-,-,1,4,51.0,175.0,500.0,1850.0,311.0,1508.0,505.0,1228.0,8,36,18,214,115.0,309.0,40,259,21,88,8,1369,105.0,530.0,99.0,912.0,112.0,234.0,277.0,802.0
Banghak 2(i)-dong,Dobong-gu,1289.0,462.0,2837.0,1359.0,1478.0,-,-,-,-,155.0,545.0,-,-,1,1,37.0,106.0,303.0,616.0,283.0,296.0,171.0,308.0,2,5,1,20,32.0,39.0,4,6,8,20,1,18,51.0,252.0,36.0,283.0,29.0,46.0,175.0,276.0
Banghak 3(sam)-dong,Dobong-gu,888.0,258.0,3161.0,1688.0,1473.0,-,-,-,-,12.0,34.0,-,-,-,-,11.0,72.0,105.0,332.0,363.0,765.0,93.0,295.0,-,-,4,41,44.0,206.0,3,13,1,8,2,50,79.0,544.0,60.0,538.0,23.0,72.0,88.0,191.0
Chang 1(il)-dong,Dobong-gu,1078.0,386.0,3390.0,1482.0,1908.0,-,-,-,-,31.0,125.0,-,-,1,4,32.0,98.0,203.0,761.0,295.0,322.0,141.0,423.0,2,88,9,62,68.0,221.0,9,26,11,41,3,51,51.0,437.0,58.0,385.0,34.0,101.0,130.0,245.0
Chang 2(i)-dong,Dobong-gu,1331.0,438.0,4447.0,2311.0,2136.0,-,-,-,-,156.0,956.0,-,-,2,3,31.0,69.0,282.0,774.0,298.0,719.0,157.0,370.0,3,6,3,26,56.0,170.0,4,14,9,54,2,49,64.0,291.0,57.0,505.0,37.0,80.0,170.0,361.0
Chang 3(sam)-dong,Dobong-gu,964.0,346.0,1939.0,883.0,1056.0,-,-,-,-,65.0,191.0,-,-,-,-,25.0,41.0,220.0,429.0,242.0,248.0,165.0,316.0,2,2,2,9,35.0,58.0,3,6,-,-,1,18,30.0,201.0,35.0,209.0,26.0,39.0,113.0,172.0
Chang 4(sa)-dong,Dobong-gu,1140.0,382.0,6738.0,3738.0,3000.0,-,-,-,-,17.0,50.0,-,-,1,11,25.0,145.0,230.0,1365.0,197.0,779.0,197.0,671.0,13,34,33,331,70.0,423.0,54,346,17,256,4,699,94.0,843.0,52.0,267.0,41.0,323.0,95.0,195.0
Chang 5(o)-dong,Dobong-gu,2062.0,477.0,6654.0,3623.0,3031.0,-,-,-,-,38.0,123.0,-,-,-,-,30.0,133.0,256.0,1025.0,929.0,1271.0,219.0,905.0,11,34,17,115,79.0,293.0,28,110,15,107,3,126,136.0,844.0,75.0,782.0,57.0,161.0,169.0,625.0
Dobong 1(il)-dong,Dobong-gu,1660.0,602.0,5496.0,3313.0,2183.0,-,-,-,-,124.0,468.0,-,-,2,63,40.0,92.0,404.0,1036.0,270.0,1351.0,339.0,751.0,6,38,10,63,67.0,141.0,24,94,11,50,2,47,46.0,429.0,52.0,383.0,57.0,126.0,206.0,364.0
Dobong 2(i)-dong,Dobong-gu,1394.0,479.0,6126.0,3639.0,2487.0,-,-,-,-,51.0,142.0,-,-,-,-,45.0,137.0,224.0,641.0,357.0,1143.0,214.0,431.0,4,13,9,82,70.0,666.0,89,383,25,543,4,692,59.0,403.0,57.0,338.0,36.0,110.0,150.0,402.0
Wolgye 1(il)-dong,Nowon-gu,1379.0,468.0,5506.0,3499.0,2007.0,-,-,-,-,63.0,359.0,-,-,-,-,23.0,90.0,236.0,578.0,304.0,1061.0,318.0,842.0,9,32,6,49,61.0,168.0,11,128,13,91,1,11,57.0,1265.0,61.0,360.0,76.0,155.0,140.0,317.0
Wolgye 2(i)-dong,Nowon-gu,1047.0,265.0,3592.0,2033.0,1559.0,-,-,-,-,43.0,256.0,-,-,-,-,15.0,53.0,138.0,310.0,452.0,718.0,115.0,304.0,9,20,1,12,36.0,152.0,7,20,6,41,2,46,56.0,1190.0,41.0,233.0,23.0,61.0,103.0,176.0
Wolgye 3(sam)-dong,Nowon-gu,950.0,287.0,3746.0,1991.0,1755.0,-,-,-,-,10.0,33.0,-,-,-,-,11.0,63.0,131.0,809.0,431.0,1032.0,86.0,247.0,4,20,4,31,54.0,302.0,10,71,3,29,2,78,44.0,452.0,72.0,381.0,13.0,45.0,75.0,153.0
Gongneung 2(i)-dong,Nowon-gu,1813.0,601.0,10912.0,5414.0,5498.0,1,3,-,-,48.0,436.0,-,-,1,2,31.0,268.0,258.0,691.0,512.0,700.0,336.0,942.0,17,113,10,74,95.0,315.0,32,293,18,50,2,20,123.0,4678.0,78.0,1649.0,75.0,273.0,176.0,405.0
Hagye 1(il)-dong,Nowon-gu,914.0,308.0,6791.0,3550.0,3241.0,-,-,-,-,39.0,388.0,-,-,-,-,20.0,85.0,184.0,823.0,171.0,593.0,154.0,636.0,3,8,6,53,44.0,176.0,17,113,4,248,5,699,82.0,1129.0,46.0,1377.0,25.0,119.0,114.0,344.0
Hagye 2(i)-dong,Nowon-gu,380.0,120.0,1064.0,458.0,606.0,-,-,-,-,4.0,7.0,-,-,-,-,4.0,6.0,49.0,104.0,150.0,151.0,34.0,67.0,-,-,2,19,24.0,108.0,3,4,-,-,1,15,32.0,308.0,29.0,174.0,5.0,9.0,43.0,92.0
Junggyebon-dong,Nowon-gu,1158.0,407.0,5241.0,2598.0,2643.0,-,-,-,-,43.0,201.0,-,-,-,-,15.0,51.0,183.0,599.0,210.0,335.0,169.0,600.0,5,254,4,45,61.0,290.0,7,16,7,337,1,18,239.0,1720.0,51.0,289.0,49.0,178.0,114.0,308.0
Junggye 1(il)-dong,Nowon-gu,910.0,346.0,4012.0,1791.0,2221.0,-,-,-,-,7.0,14.0,-,-,-,-,14.0,32.0,133.0,607.0,188.0,190.0,105.0,479.0,-,-,7,69,74.0,305.0,7,20,4,7,2,53,196.0,1584.0,55.0,293.0,24.0,132.0,94.0,227.0
Junggye 4(sa)-dong,Nowon-gu,1002.0,412.0,3711.0,1671.0,2040.0,-,-,-,-,18.0,68.0,-,-,1,10,19.0,76.0,191.0,485.0,197.0,208.0,210.0,654.0,1,3,6,61,47.0,215.0,10,36,4,12,1,19,73.0,857.0,57.0,593.0,62.0,168.0,105.0,246.0
Sanggye 1(il)-dong,Nowon-gu,2827.0,652.0,7954.0,4658.0,3296.0,-,-,-,-,55.0,249.0,-,-,1,9,47.0,175.0,345.0,1344.0,1373.0,2026.0,331.0,1052.0,7,41,6,81,97.0,326.0,28,226,18,120,3,72,127.0,722.0,97.0,707.0,75.0,170.0,217.0,634.0
Sanggye 2(i)-dong,Nowon-gu,2176.0,887.0,8370.0,3754.0,4616.0,-,-,-,-,71.0,236.0,-,-,3,14,41.0,87.0,550.0,1754.0,193.0,403.0,562.0,2203.0,16,145,16,163,86.0,247.0,22,94,20,214,2,56,109.0,626.0,98.0,1069.0,122.0,297.0,265.0,762.0
Sanggye 5(o)-dong,Nowon-gu,1349.0,535.0,3319.0,1582.0,1737.0,-,-,-,-,68.0,176.0,-,-,2,7,32.0,76.0,291.0,635.0,209.0,258.0,217.0,483.0,3,9,6,48,65.0,157.0,20,50,15,143,1,17,105.0,322.0,53.0,365.0,58.0,114.0,204.0,459.0
Sanggye 8(pal)-dong,Nowon-gu,600.0,240.0,1885.0,782.0,1103.0,-,-,-,-,6.0,9.0,-,-,-,-,9.0,16.0,97.0,263.0,181.0,181.0,57.0,161.0,2,4,5,51,27.0,159.0,3,7,1,1,1,14,61.0,509.0,82.0,373.0,14.0,45.0,54.0,92.0
Sanggye 9(gu)-dong,Nowon-gu,730.0,263.0,2360.0,1066.0,1294.0,-,-,-,-,4.0,8.0,-,-,-,-,12.0,28.0,111.0,258.0,286.0,296.0,59.0,206.0,-,-,4,44,34.0,159.0,1,1,1,5,2,51,78.0,878.0,63.0,304.0,15.0,24.0,60.0,98.0
Sanggye 10(sip)-dong,Nowon-gu,484.0,153.0,2139.0,1249.0,890.0,-,-,-,-,3.0,4.0,-,-,1,27,10.0,26.0,63.0,182.0,169.0,715.0,31.0,101.0,3,14,5,17,24.0,132.0,8,20,11,77,2,73,48.0,425.0,35.0,160.0,15.0,33.0,56.0,133.0
Sanggye 3.4(sam.sa)-dong,Nowon-gu,1699.0,596.0,4773.0,2811.0,1962.0,-,-,-,-,101.0,279.0,-,-,-,-,49.0,156.0,365.0,731.0,383.0,1341.0,261.0,440.0,2,14,4,24,72.0,179.0,17,26,16,120,3,56,61.0,310.0,60.0,396.0,47.0,84.0,258.0,617.0
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,1939.0,665.0,14042.0,5560.0,8482.0,-,-,-,-,22.0,45.0,4,238,-,-,29.0,105.0,317.0,1032.0,274.0,305.0,326.0,1372.0,17,137,128,3190,141.0,579.0,40,130,29,329,5,1128,167.0,1418.0,212.0,3424.0,59.0,223.0,169.0,387.0
Junggye 2.3(i.sam)-dong,Nowon-gu,1233.0,524.0,4835.0,1962.0,2873.0,-,-,-,-,18.0,63.0,-,-,-,-,7.0,16.0,381.0,1082.0,336.0,348.0,157.0,795.0,7,182,2,30,48.0,280.0,10,19,3,53,2,76,57.0,925.0,82.0,601.0,19.0,132.0,104.0,233.0
Gongneung 1(il)-dong,Nowon-gu,2583.0,844.0,10273.0,5274.0,4999.0,-,-,-,-,140.0,763.0,-,-,2,30,89.0,309.0,576.0,1564.0,520.0,1409.0,421.0,1168.0,20,188,21,233,103.0,293.0,73,808,30,681,3,105,95.0,648.0,110.0,1116.0,80.0,196.0,300.0,762.0
Nokbeon-dong,Eunpyeong-gu,1564.0,557.0,8097.0,4302.0,3795.0,-,-,-,-,88.0,398.0,2,143,-,-,73.0,468.0,295.0,1036.0,206.0,243.0,270.0,807.0,20,242,8,49,91.0,177.0,64,336,20,505,7,1403,79.0,570.0,60.0,991.0,52.0,136.0,229.0,593.0
Bulgwang 1(il)-dong,Eunpyeong-gu,1672.0,680.0,6914.0,2772.0,4142.0,-,-,-,-,43.0,113.0,-,-,2,9,30.0,60.0,358.0,1088.0,260.0,285.0,313.0,987.0,7,50,41,1083,110.0,320.0,18,652,14,57,3,334,93.0,521.0,95.0,581.0,57.0,193.0,228.0,581.0
Galhyeon 1(il)-dong,Eunpyeong-gu,1461.0,572.0,5136.0,2165.0,2971.0,-,-,-,-,56.0,159.0,-,-,2,99,28.0,70.0,308.0,959.0,178.0,334.0,371.0,1141.0,9,15,27,627,58.0,111.0,12,44,12,71,3,79,74.0,331.0,66.0,612.0,88.0,161.0,169.0,323.0
Galhyeon 2(i)-dong,Eunpyeong-gu,1561.0,663.0,5495.0,2278.0,3217.0,-,-,-,-,66.0,194.0,-,-,-,-,33.0,148.0,382.0,1095.0,206.0,207.0,332.0,1053.0,6,18,7,60,53.0,99.0,18,44,4,167,2,39,150.0,1360.0,55.0,466.0,64.0,142.0,183.0,403.0
Gusan-dong,Eunpyeong-gu,1181.0,366.0,5389.0,2672.0,2717.0,-,-,-,-,42.0,167.0,-,-,-,-,29.0,268.0,200.0,479.0,374.0,799.0,113.0,281.0,2,5,4,20,51.0,110.0,8,60,6,312,2,22,105.0,1098.0,61.0,1333.0,19.0,55.0,165.0,380.0
Daejo-dong,Eunpyeong-gu,2566.0,1181.0,7174.0,3005.0,4169.0,-,-,-,-,90.0,220.0,-,-,1,1,66.0,131.0,858.0,2274.0,225.0,263.0,529.0,1516.0,19,133,19,221,117.0,216.0,29,69,15,48,2,58,105.0,498.0,125.0,683.0,80.0,227.0,286.0,616.0
Eungam 1(il)-dong,Eunpyeong-gu,1615.0,638.0,7074.0,3588.0,3486.0,-,-,-,-,67.0,238.0,-,-,3,19,54.0,1248.0,367.0,1497.0,258.0,265.0,274.0,843.0,11,40,12,111,88.0,159.0,54,201,16,95,4,148,104.0,703.0,77.0,904.0,46.0,117.0,180.0,486.0
Eungam 2(i)-dong,Eunpyeong-gu,944.0,296.0,2214.0,1165.0,1049.0,-,-,-,-,36.0,109.0,-,-,1,3,18.0,34.0,168.0,361.0,337.0,376.0,102.0,255.0,2,6,5,52,51.0,92.0,8,19,2,2,2,54,38.0,159.0,35.0,421.0,20.0,102.0,119.0,169.0
Sinsa 1(il)-dong,Eunpyeong-gu,1559.0,445.0,3927.0,2347.0,1580.0,-,-,-,-,46.0,168.0,-,-,1,2,30.0,211.0,238.0,639.0,655.0,963.0,167.0,447.0,5,16,6,57,56.0,76.0,17,69,9,29,2,33,76.0,536.0,49.0,306.0,41.0,85.0,161.0,290.0
Sinsa 2(i)-dong,Eunpyeong-gu,1216.0,260.0,2933.0,1800.0,1133.0,-,-,-,-,26.0,68.0,-,-,1,41,26.0,92.0,164.0,356.0,616.0,927.0,78.0,157.0,5,17,2,7,39.0,65.0,4,7,5,15,3,84,86.0,651.0,36.0,210.0,9.0,14.0,116.0,222.0
Jeungsan-dong,Eunpyeong-gu,1108.0,381.0,3825.0,2351.0,1474.0,-,-,-,-,40.0,186.0,-,-,1,16,48.0,385.0,254.0,727.0,258.0,955.0,169.0,405.0,5,34,3,35,51.0,95.0,11,60,4,18,2,26,46.0,325.0,40.0,212.0,37.0,111.0,139.0,235.0
Susaek-dong,Eunpyeong-gu,848.0,291.0,3003.0,1902.0,1101.0,-,-,-,-,48.0,132.0,1,8,1,9,17.0,47.0,219.0,724.0,170.0,935.0,164.0,367.0,3,33,6,54,33.0,80.0,7,27,4,14,4,50,26.0,150.0,25.0,157.0,25.0,44.0,95.0,172.0
Jingwan-dong,Eunpyeong-gu,1007.0,447.0,5234.0,2679.0,2555.0,-,-,-,-,3.0,7.0,-,-,2,78,2.0,27.0,195.0,557.0,195.0,905.0,171.0,515.0,2,199,13,106,102.0,288.0,6,23,3,7,5,274,109.0,1156.0,67.0,679.0,11.0,151.0,121.0,262.0
Bulgwang 2(i)-dong,Eunpyeong-gu,1295.0,564.0,4088.0,1857.0,2231.0,-,-,-,-,43.0,141.0,-,-,1,2,25.0,63.0,357.0,835.0,224.0,228.0,229.0,504.0,3,30,11,159,62.0,113.0,9,21,6,65,4,348,67.0,676.0,51.0,461.0,30.0,62.0,173.0,380.0
Eungam 3(sam)-dong,Eunpyeong-gu,1909.0,749.0,5272.0,2410.0,2862.0,-,-,-,-,79.0,360.0,-,-,-,-,34.0,175.0,448.0,1146.0,338.0,373.0,421.0,946.0,2,4,7,79,63.0,128.0,12,31,10,52,2,43,90.0,632.0,75.0,565.0,91.0,185.0,237.0,553.0
Yeokchon-dong,Eunpyeong-gu,2447.0,927.0,7428.0,3434.0,3994.0,-,-,-,-,117.0,426.0,-,-,2,21,111.0,429.0,515.0,1765.0,436.0,506.0,376.0,869.0,17,60,11,74,127.0,233.0,28,77,15,291,4,101,154.0,628.0,109.0,1072.0,82.0,178.0,343.0,698.0
