Dong,사업_사업체창업률_Period,사업_사업체창업률_Gu,사업_사업체창업률_No. of establishments,사업_사업체창업률_No. of employee,사업_사업체창업률_Average worker,사업_사업체창업률_Rate of establishing a business
Euljiro-dong,2013.0,Jung-gu,9814.0,27740.0,3.0,5.33
Sindang 5(o)-dong,2013.0,Jung-gu,1156.0,4043.0,3.0,14.97
Hwanghak-dong,2013.0,Jung-gu,2055.0,5702.0,3.0,8.52
Jungnim-dong,2013.0,Jung-gu,1045.0,8292.0,8.0,11.87
Sindang-dong,2013.0,Jung-gu,12219.0,26112.0,2.0,17.82
Dasan-dong,2013.0,Jung-gu,1119.0,7855.0,7.0,10.63
Yaksu-dong,2013.0,Jung-gu,834.0,3478.0,4.0,14.87
Cheonggu-dong,2013.0,Jung-gu,702.0,3274.0,5.0,5.98
Donghwa-dong,2013.0,Jung-gu,943.0,3294.0,3.0,10.82
Huam-dong,2013.0,Yongsan-gu,819.0,5239.0,6.0,12.58
Yongsan 2-ga-dong,2013.0,Yongsan-gu,511.0,2934.0,6.0,15.85
Namyeong-dong,2013.0,Yongsan-gu,1612.0,20356.0,13.0,17.0
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,1190.0,6812.0,6.0,12.52
Hyochang-dong,2013.0,Yongsan-gu,535.0,2603.0,5.0,10.65
Yongmun-dong,2013.0,Yongsan-gu,637.0,1600.0,3.0,10.83
Ichon 1(il)-dong,2013.0,Yongsan-gu,805.0,3486.0,4.0,9.69
Ichon 2(i)-dong,2013.0,Yongsan-gu,337.0,876.0,3.0,10.39
Itaewon 1(il)-dong,2013.0,Yongsan-gu,1584.0,7121.0,4.0,13.57
Itaewon 2(i)-dong,2013.0,Yongsan-gu,597.0,2215.0,4.0,18.59
Seobinggo-dong,2013.0,Yongsan-gu,405.0,4616.0,11.0,16.54
Bogwang-dong,2013.0,Yongsan-gu,772.0,2091.0,3.0,11.53
Cheongpa-dong,2013.0,Yongsan-gu,1890.0,10019.0,5.0,10.9
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,1725.0,8110.0,5.0,13.45
Hangangno-dong,2013.0,Yongsan-gu,4988.0,33136.0,7.0,12.59
Hannam-dong,2013.0,Yongsan-gu,1660.0,15937.0,10.0,17.65
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,746.0,1926.0,3.0,11.93
Majang-dong,2013.0,Seongdong-gu,3146.0,10974.0,3.0,10.04
Sageun-dong,2013.0,Seongdong-gu,963.0,9219.0,10.0,13.08
Haengdang 1(il)-dong,2013.0,Seongdong-gu,1400.0,8526.0,6.0,14.07
Haengdang 2(i)-dong,2013.0,Seongdong-gu,571.0,2107.0,4.0,15.59
Eungbong-dong,2013.0,Seongdong-gu,384.0,1024.0,3.0,8.07
Geumho 1(il)-ga-dong,2013.0,Seongdong-gu,571.0,1658.0,3.0,10.51
Geumho 4(sa)-ga-dong,2013.0,Seongdong-gu,616.0,1963.0,3.0,11.53
Seongsu 1(il)-ga1(il)-dong,2013.0,Seongdong-gu,1336.0,6683.0,5.0,10.7
Seongsu 1(il)-ga2(i)-dong,2013.0,Seongdong-gu,1946.0,12598.0,6.0,11.56
Seongsu 2(i)-ga1(il)-dong,2013.0,Seongdong-gu,2351.0,14571.0,6.0,12.08
Seongsu 2(i)-ga 3(sam)-dong,2013.0,Seongdong-gu,4690.0,43517.0,9.0,10.83
Songjeong-dong,2013.0,Seongdong-gu,712.0,2156.0,3.0,8.71
Yongdap-dong,2013.0,Seongdong-gu,2050.0,13485.0,7.0,11.07
WangsimniDoseon-dong,2013.0,Seongdong-gu,1588.0,8254.0,5.0,9.45
Geumho 2.3(i.sam)-ga-dong,2013.0,Seongdong-gu,974.0,2422.0,2.0,12.32
Oksu-dong,2013.0,Seongdong-gu,759.0,2720.0,4.0,18.84
Hwayang-dong,2013.0,Gwangjin-gu,2456.0,14197.0,6.0,19.38
Gunja-dong,2013.0,Gwangjin-gu,1572.0,7832.0,5.0,11.58
Junggok 1(il)-dong,2013.0,Gwangjin-gu,1601.0,6943.0,4.0,13.93
Junggok 2(i)-dong,2013.0,Gwangjin-gu,1748.0,5699.0,3.0,13.62
Junggok 3(sam)-dong,2013.0,Gwangjin-gu,1359.0,4778.0,4.0,14.13
Junggok 4(sa)-dong,2013.0,Gwangjin-gu,1572.0,4959.0,3.0,12.91
Neung-dong,2013.0,Gwangjin-gu,698.0,4466.0,6.0,11.46
Guui 1(il)-dong,2013.0,Gwangjin-gu,1838.0,6361.0,3.0,15.02
Guui 2(i)-dong,2013.0,Gwangjin-gu,1314.0,5211.0,4.0,9.13
