Dong,사업_사업체창업률_Period,사업_사업체창업률_Gu,사업_사업체창업률_No. of establishments,사업_사업체창업률_No. of employee,사업_사업체창업률_Average worker,사업_사업체창업률_Rate of establishing a business
Sangdo 3(sam)-dong,2013.0,Dongjak-gu,989.0,2720.0,3.0,15.07
Sangdo 4(sa)-dong,2013.0,Dongjak-gu,1006.0,2879.0,3.0,10.04
Sadang 1(il)-dong,2013.0,Dongjak-gu,1744.0,8660.0,5.0,14.28
Sadang 3(sam)-dong,2013.0,Dongjak-gu,1037.0,4303.0,4.0,14.75
Sadang 4(sa)-dong,2013.0,Dongjak-gu,663.0,1638.0,2.0,9.95
Sadang 5(o)-dong,2013.0,Dongjak-gu,517.0,1692.0,3.0,14.12
Daebang-dong,2013.0,Dongjak-gu,1689.0,12717.0,8.0,12.97
Sindaebang 1(il)-dong,2013.0,Dongjak-gu,1050.0,4496.0,4.0,11.62
Sindaebang 2(i)-dong,2013.0,Dongjak-gu,1254.0,27372.0,22.0,13.32
Heukseok-dong,2013.0,Dongjak-gu,1622.0,9671.0,6.0,13.75
Noryangjin 1(il)-dong,2013.0,Dongjak-gu,2893.0,11058.0,4.0,8.68
Sadang 2(i)-dong,2013.0,Dongjak-gu,1551.0,5323.0,3.0,15.02
Boramae-dong,2013.0,Gwanak-gu,1316.0,4966.0,4.0,15.43
Cheongnim-dong,2013.0,Gwanak-gu,430.0,1059.0,2.0,8.6
Haengun-dong,2013.0,Gwanak-gu,1397.0,5161.0,4.0,14.03
Nagseongdae-dong,2013.0,Gwanak-gu,1277.0,7971.0,6.0,15.27
Jungang-dong,2013.0,Gwanak-gu,1469.0,4681.0,3.0,8.92
Inheon-dong,2013.0,Gwanak-gu,1123.0,4406.0,4.0,14.43
Namhyeon-dong,2013.0,Gwanak-gu,842.0,5952.0,7.0,17.46
Sewon-dong,2013.0,Gwanak-gu,1298.0,6702.0,5.0,15.87
Sinwon-dong,2013.0,Gwanak-gu,877.0,2256.0,3.0,11.17
Serim-dong,2013.0,Gwanak-gu,857.0,2755.0,3.0,13.89
Sinsa-dong,2013.0,Gwanak-gu,1451.0,4365.0,3.0,12.96
Sillim-dong,2013.0,Gwanak-gu,1744.0,5632.0,3.0,18.86
Nanhyang-dong,2013.0,Gwanak-gu,392.0,1685.0,4.0,11.73
Jowon-dong,2013.0,Gwanak-gu,2172.0,7225.0,3.0,12.57
Daehak-dong,2013.0,Gwanak-gu,1562.0,11988.0,8.0,14.08
Euncheon-dong,2013.0,Gwanak-gu,1673.0,7535.0,5.0,13.63
Seonghyeon-dong,2013.0,Gwanak-gu,834.0,2449.0,3.0,9.71
Cheongnyong-dong,2013.0,Gwanak-gu,1946.0,12463.0,6.0,14.39
Nangok-dong,2013.0,Gwanak-gu,935.0,1988.0,2.0,8.45
Samseong-dong,2013.0,Gwanak-gu,1139.0,2615.0,2.0,7.99
Miseong-dong,2013.0,Gwanak-gu,1575.0,5201.0,3.0,10.92
Seocho 1(il)-dong,2013.0,Seocho-gu,3047.0,26660.0,9.0,13.26
Seocho 2(i)-dong,2013.0,Seocho-gu,4253.0,49210.0,12.0,17.35
Seocho 3(sam)-dong,2013.0,Seocho-gu,6884.0,65115.0,9.0,14.7
Seocho 4(sa)-dong,2013.0,Seocho-gu,2704.0,27523.0,10.0,16.86
Jamwon-dong,2013.0,Seocho-gu,2176.0,13886.0,6.0,10.52
Banpobon-dong,2013.0,Seocho-gu,668.0,2280.0,3.0,14.82
Banpo 1(il)-dong,2013.0,Seocho-gu,1548.0,9227.0,6.0,18.48
Banpo 2(i)-dong,2013.0,Seocho-gu,428.0,2223.0,5.0,12.15
Banpo 3(sam)-dong,2013.0,Seocho-gu,887.0,5949.0,7.0,14.77
Banpo 4(sa)-dong,2013.0,Seocho-gu,3382.0,29186.0,9.0,11.24
Bangbaebon-dong,2013.0,Seocho-gu,1606.0,10745.0,7.0,14.07
Bangbae 1(il)-dong,2013.0,Seocho-gu,1629.0,13769.0,8.0,17.56
Bangbae 2(i)-dong,2013.0,Seocho-gu,1771.0,14947.0,8.0,15.87
Bangbae 3(sam)-dong,2013.0,Seocho-gu,1103.0,10484.0,10.0,9.97
Bangbae 4(sa)-dong,2013.0,Seocho-gu,2265.0,13140.0,6.0,13.47
Yangjae 1(il)-dong,2013.0,Seocho-gu,3090.0,30202.0,10.0,14.21
Yangjae 2(i)-dong,2013.0,Seocho-gu,4981.0,44373.0,9.0,13.27
Naegok-dong,2013.0,Seocho-gu,460.0,5035.0,11.0,8.7
Sinsa-dong,2013.0,Gangnam-gu,4334.0,27047.0,6.0,18.39
Nonhyeon 1(il)-dong,2013.0,Gangnam-gu,4970.0,38902.0,8.0,16.7
Nonhyeon 2(i)-dong,2013.0,Gangnam-gu,5128.0,56495.0,11.0,17.82
Samseong 1(il)-dong,2013.0,Gangnam-gu,3170.0,49715.0,16.0,15.02
Samseong 2(i)-dong,2013.0,Gangnam-gu,3008.0,30057.0,10.0,19.32
Daechi 1(il)-dong,2013.0,Gangnam-gu,1004.0,6550.0,7.0,14.44
Daechi 4(sa)-dong,2013.0,Gangnam-gu,3242.0,26790.0,8.0,19.28
Yeoksam 1(il)-dong,2013.0,Gangnam-gu,12516.0,144308.0,12.0,19.7
Yeoksam 2(i)-dong,2013.0,Gangnam-gu,2956.0,34579.0,12.0,15.9
Dogok 1(il)-dong,2013.0,Gangnam-gu,1392.0,14298.0,10.0,15.3
Dogok 2(i)-dong,2013.0,Gangnam-gu,1646.0,18453.0,11.0,14.03
Gaepo 1(il)-dong,2013.0,Gangnam-gu,459.0,1318.0,3.0,8.93
Gaepo 4(sa)-dong,2013.0,Gangnam-gu,3257.0,11318.0,3.0,9.06
Irwonbon-dong,2013.0,Gangnam-gu,492.0,8073.0,16.0,6.5
Irwon 1(il)-dong,2013.0,Gangnam-gu,894.0,5454.0,6.0,14.09
Irwon 2(i)-dong,2013.0,Gangnam-gu,575.0,5064.0,9.0,10.26
Suseo-dong,2013.0,Gangnam-gu,1333.0,17294.0,13.0,11.18
Segok-dong,2013.0,Gangnam-gu,437.0,2422.0,6.0,15.33
Apgujeong -dong,2013.0,Gangnam-gu,3778.0,28387.0,8.0,14.11
Cheongdam -dong,2013.0,Gangnam-gu,3793.0,36500.0,10.0,20.43
Daechi 2(i)-dong,2013.0,Gangnam-gu,3220.0,50271.0,16.0,12.27
Gaepo 2(i)-dong,2013.0,Gangnam-gu,1010.0,4045.0,4.0,10.79
Pungnap 1(il)-dong,2013.0,Songpa-gu,806.0,2501.0,3.0,12.16
Pungnap 2(i)-dong,2013.0,Songpa-gu,1236.0,14873.0,12.0,11.25
Geoyeo 1(il)-dong,2013.0,Songpa-gu,828.0,2534.0,3.0,11.23
Geoyeo 2(i)-dong,2013.0,Songpa-gu,1223.0,4400.0,4.0,9.81
Macheon 1(il)-dong,2013.0,Songpa-gu,910.0,2057.0,2.0,10.88
Macheon 2(i)-dong,2013.0,Songpa-gu,1340.0,3993.0,3.0,9.85
Bangi 1(il)-dong,2013.0,Songpa-gu,1312.0,8976.0,7.0,13.57
Bangi 2(i)-dong,2013.0,Songpa-gu,2771.0,21572.0,8.0,15.63
Oryun-dong,2013.0,Songpa-gu,510.0,4286.0,8.0,8.04
Ogeum-dong,2013.0,Songpa-gu,3197.0,16645.0,5.0,10.76
Songpa 1(il)-dong,2013.0,Songpa-gu,2442.0,11419.0,5.0,13.72
Songpa 2(i)-dong,2013.0,Songpa-gu,881.0,5434.0,6.0,15.55
Seokchon-dong,2013.0,Songpa-gu,2757.0,14313.0,5.0,14.44
Samjeon-dong,2013.0,Songpa-gu,1972.0,10176.0,5.0,13.03
Garakbon-dong,2013.0,Songpa-gu,3460.0,28071.0,8.0,15.26
Garak 1(il)-dong,2013.0,Songpa-gu,3322.0,11184.0,3.0,1.57
Garak 2(i)-dong,2013.0,Songpa-gu,1832.0,8739.0,5.0,11.52
Munjeong 1(il)-dong,2013.0,Songpa-gu,1434.0,6648.0,5.0,15.27
Munjeong 2(i)-dong,2013.0,Songpa-gu,2170.0,10862.0,5.0,26.45
Jangji-dong,2013.0,Songpa-gu,1449.0,9945.0,7.0,12.63
Jamsilbon-dong,2013.0,Songpa-gu,3052.0,17039.0,6.0,16.09
Jamsil 4(sa)-dong,2013.0,Songpa-gu,462.0,1727.0,4.0,10.17
Jamsil 6(yuk)-dong,2013.0,Songpa-gu,1959.0,23128.0,12.0,10.31
Jamsil 7(chil)-dong,2013.0,Songpa-gu,195.0,976.0,5.0,5.13
Jamsil 2(i)-dong,2013.0,Songpa-gu,765.0,3661.0,5.0,18.56
Jamsil 3(sam)-dong,2013.0,Songpa-gu,1218.0,8056.0,7.0,19.79
Gangil-dong,2013.0,Gangdong-gu,683.0,14694.0,22.0,18.89
Sangil-dong,2013.0,Gangdong-gu,1238.0,5441.0,4.0,10.18
Myeongil 1(il)-dong,2013.0,Gangdong-gu,1665.0,5027.0,3.0,15.14
Myeongil 2(i)-dong,2013.0,Gangdong-gu,1267.0,5137.0,4.0,12.63
Godeok 1(il)-dong,2013.0,Gangdong-gu,550.0,1749.0,3.0,8.55
Godeok 2(i)-dong,2013.0,Gangdong-gu,1945.0,3801.0,2.0,3.34
Amsa 2(i)-dong,2013.0,Gangdong-gu,812.0,3671.0,5.0,13.92
Amsa 3(sam)-dong,2013.0,Gangdong-gu,603.0,1911.0,3.0,15.75
Cheonho 1(il)-dong,2013.0,Gangdong-gu,1558.0,5102.0,3.0,12.71
Cheonho 3(sam)-dong,2013.0,Gangdong-gu,1877.0,6171.0,3.0,14.12
Seongnae 1(il)-dong,2013.0,Gangdong-gu,2045.0,15379.0,8.0,12.37
Seongnae 2(i)-dong,2013.0,Gangdong-gu,1928.0,7545.0,4.0,15.25
Seongnae 3(sam)-dong,2013.0,Gangdong-gu,2384.0,10273.0,4.0,16.9
Dunchon 1(il)-dong,2013.0,Gangdong-gu,404.0,1318.0,3.0,11.63
Dunchon 2(i)-dong,2013.0,Gangdong-gu,1610.0,9104.0,6.0,12.73
Amsa 1(il)-dong,2013.0,Gangdong-gu,1947.0,5139.0,3.0,13.51
Cheonho 2(i)-dong,2013.0,Gangdong-gu,3424.0,14008.0,4.0,15.98
Gil-dong,2013.0,Gangdong-gu,3816.0,18259.0,5.0,15.12
