Dong,사업_생계형사업분포현황사업체수기준_Period,사업_생계형사업분포현황사업체수기준_Gu,사업_생계형사업분포현황사업체수기준_한식음식점업,사업_생계형사업분포현황사업체수기준_용달 및 개별화물 자동차운송업,사업_생계형사업분포현황사업체수기준_부동산자문 및 중개업,사업_생계형사업분포현황사업체수기준_의류점,사업_생계형사업분포현황사업체수기준_기타주점업,사업_생계형사업분포현황사업체수기준_두발미용업,사업_생계형사업분포현황사업체수기준_슈퍼마켓,사업_생계형사업분포현황사업체수기준_분식 및 김밥전문점,사업_생계형사업분포현황사업체수기준_비알콜 음료점,사업_생계형사업분포현황사업체수기준_가정용 세탁업,사업_생계형사업분포현황사업체수기준_노래연습장 운영업,사업_생계형사업분포현황사업체수기준_체인화 편의점,사업_생계형사업분포현황사업체수기준_치킨 전문점,사업_생계형사업분포현황사업체수기준_자동차 전문 수리업,사업_생계형사업분포현황사업체수기준_과실 및 채소소매업,사업_생계형사업분포현황사업체수기준_육류 소매업,사업_생계형사업분포현황사업체수기준_중국 음식점업,사업_생계형사업분포현황사업체수기준_당구장 운영업,사업_생계형사업분포현황사업체수기준_제과점업,사업_생계형사업분포현황사업체수기준_컴퓨터게임방 운영업
Changsin 1(il)-dong,2013.0,Jongno-gu,116,13,33.0,72,26,12,39.0,26,13,6,8,7,3,-,4,4,10,8,4,8
Changsin 2(i)-dong,2013.0,Jongno-gu,59,24,19.0,12,19,23,25.0,11,5,8,7,X,6,-,10,6,4,X,5,6
Changsin 3(sam)-dong,2013.0,Jongno-gu,15,26,13.0,X,-,10,6.0,5,5,5,X,X,5,X,X,3,X,-,X,X
Sungin 1(il)-dong,2013.0,Jongno-gu,28,24,13.0,6,5,10,13.0,4,4,4,-,4,3,X,X,4,X,X,X,X
Sungin 2(i)-dong,2013.0,Jongno-gu,113,34,28.0,24,24,14,32.0,15,19,10,17,13,8,-,5,5,6,6,3,6
Cheongunhyoja-dong,2013.0,Jongno-gu,48,23,28.0,24,6,16,20.0,18,33,9,X,4,5,X,13,10,4,3,4,X
Hyehwa-dong,2013.0,Jongno-gu,180,28,38.0,39,102,31,24.0,49,109,13,15,23,19,X,3,6,12,10,13,12
Sogong-dong,2013.0,Jung-gu,282,X,29.0,185,41,17,46.0,47,125,X,8,28,6,-,X,X,25,12,19,X
Hoehyeon-dong,2013.0,Jung-gu,249,3,25.0,849,31,18,111.0,59,106,10,11,21,11,3,7,7,20,10,20,X
Myeong-dong,2013.0,Jung-gu,451,6,86.0,347,69,65,72.0,90,228,5,11,53,17,3,4,X,45,23,38,6
Pil-dong,2013.0,Jung-gu,186,7,28.0,7,59,17,27.0,36,61,4,19,25,8,X,X,3,11,11,6,9
Jangchung-dong,2013.0,Jung-gu,75,10,14.0,17,19,7,12.0,9,13,5,4,8,X,-,-,X,5,3,6,3
Gwanghui-dong ,2013.0,Jung-gu,319,31,57.0,1804,61,26,117.0,44,84,8,17,18,3,6,21,11,13,15,13,6
Euljiro-dong,2013.0,Jung-gu,264,10,47.0,64,48,9,85.0,50,67,5,15,22,5,X,3,X,17,24,3,X
Sindang 5(o)-dong,2013.0,Jung-gu,99,32,27.0,44,47,19,18.0,18,11,9,13,4,6,4,4,6,6,3,3,4
Hwanghak-dong,2013.0,Jung-gu,155,49,42.0,51,9,19,37.0,25,15,9,9,7,8,3,32,23,4,4,6,X
Jungnim-dong,2013.0,Jung-gu,93,31,28.0,X,25,16,19.0,10,16,8,5,9,4,3,7,7,X,3,X,7
Sindang-dong,2013.0,Jung-gu,156,19,90.0,152,36,20,92.0,32,24,12,21,14,14,7,3,4,9,12,7,4
Dasan-dong,2013.0,Jung-gu,73,44,29.0,12,31,19,25.0,17,11,12,11,10,5,8,3,6,3,4,4,4
Yaksu-dong,2013.0,Jung-gu,61,38,37.0,25,26,31,20.0,7,7,11,9,6,11,X,6,9,-,X,11,3
Cheonggu-dong,2013.0,Jung-gu,37,45,22.0,10,12,13,14.0,6,5,8,4,7,5,-,X,3,X,3,3,X
Donghwa-dong,2013.0,Jung-gu,38,46,32.0,11,10,20,13.0,8,8,6,3,8,4,X,3,6,5,6,4,5
Huam-dong,2013.0,Yongsan-gu,59,29,46.0,14,16,24,30.0,23,15,15,4,9,8,6,7,12,4,X,3,3
Yongsan 2-ga-dong,2013.0,Yongsan-gu,27,32,28.0,4,14,23,19.0,8,15,12,3,6,3,X,8,7,X,3,4,3
Namyeong-dong,2013.0,Yongsan-gu,183,7,29.0,91,56,12,27.0,29,40,5,17,30,6,5,4,4,12,14,12,14
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,48,47,28.0,12,14,17,22.0,11,9,10,5,10,X,12,X,4,10,4,X,X
Hyochang-dong,2013.0,Yongsan-gu,23,36,17.0,3,6,7,14.0,9,11,6,-,7,3,4,X,X,X,X,X,-
Yongmun-dong,2013.0,Yongsan-gu,43,40,25.0,17,23,20,13.0,7,9,8,6,X,9,4,12,15,-,X,4,5
Ichon 1(il)-dong,2013.0,Yongsan-gu,53,10,49.0,73,16,30,20.0,9,22,9,X,6,4,3,13,8,10,-,13,X
Ichon 2(i)-dong,2013.0,Yongsan-gu,7,46,23.0,X,X,8,9.0,7,X,8,X,X,4,7,5,X,X,-,X,-
Itaewon 1(il)-dong,2013.0,Yongsan-gu,84,12,24.0,297,54,16,21.0,9,40,8,3,11,5,10,X,X,11,X,8,X
Itaewon 2(i)-dong,2013.0,Yongsan-gu,34,24,42.0,13,32,23,10.0,10,24,13,3,9,6,-,3,X,5,X,10,X
Seobinggo-dong,2013.0,Yongsan-gu,21,26,19.0,10,X,9,14.0,6,5,4,-,7,X,7,3,X,X,-,X,-
Bogwang-dong,2013.0,Yongsan-gu,69,45,36.0,21,33,44,21.0,11,7,17,4,8,16,6,8,7,3,3,4,4
Cheongpa-dong,2013.0,Yongsan-gu,143,60,60.0,35,49,45,43.0,40,60,20,10,16,10,13,11,9,7,6,10,5
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,136,38,59.0,8,27,15,22.0,21,26,17,13,12,11,9,3,4,14,7,5,6
Hangangno-dong,2013.0,Yongsan-gu,259,21,147.0,146,34,25,60.0,41,79,20,17,26,8,16,X,6,16,8,21,X
Hannam-dong,2013.0,Yongsan-gu,137,50,84.0,46,41,30,40.0,10,62,14,11,12,11,11,7,7,11,6,15,7
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,31,63,37.0,14,15,22,16.0,4,4,12,4,5,5,-,5,4,4,X,4,6
Majang-dong,2013.0,Seongdong-gu,146,105,33.0,6,29,28,52.0,18,21,17,9,8,5,16,7,43,7,8,4,3
Sageun-dong,2013.0,Seongdong-gu,106,41,27.0,11,67,24,20.0,37,46,10,16,22,11,-,4,5,12,18,9,15
Haengdang 1(il)-dong,2013.0,Seongdong-gu,107,75,33.0,119,24,32,32.0,32,32,13,10,14,18,3,8,7,7,4,17,3
Haengdang 2(i)-dong,2013.0,Seongdong-gu,19,46,29.0,25,5,19,7.0,9,10,11,3,6,4,X,X,3,X,-,5,-
Eungbong-dong,2013.0,Seongdong-gu,10,64,14.0,8,7,13,13.0,5,3,10,X,-,6,3,-,4,X,-,3,X
Geumho 1(il)-ga-dong,2013.0,Seongdong-gu,34,48,22.0,5,12,20,8.0,4,5,9,3,4,3,4,X,X,X,X,X,3
Geumho 4(sa)-ga-dong,2013.0,Seongdong-gu,43,32,33.0,22,27,20,13.0,5,7,10,9,3,4,3,X,5,3,X,X,4
Seongsu 1(il)-ga1(il)-dong,2013.0,Seongdong-gu,60,67,40.0,10,12,24,21.0,13,9,9,10,12,3,9,-,X,4,4,3,X
Seongsu 1(il)-ga2(i)-dong,2013.0,Seongdong-gu,122,107,43.0,9,24,23,27.0,23,24,13,14,13,6,10,5,7,3,7,5,6
Seongsu 2(i)-ga1(il)-dong,2013.0,Seongdong-gu,149,95,44.0,45,51,30,41.0,32,19,18,22,11,10,26,10,6,7,9,6,7
Seongsu 2(i)-ga 3(sam)-dong,2013.0,Seongdong-gu,211,292,51.0,19,41,12,56.0,23,34,11,26,26,6,39,3,3,14,14,6,4
Songjeong-dong,2013.0,Seongdong-gu,34,65,14.0,9,10,19,16.0,7,X,10,3,X,6,7,6,4,X,X,3,-
Yongdap-dong,2013.0,Seongdong-gu,127,67,32.0,25,41,31,45.0,17,17,16,10,9,4,90,11,15,8,7,6,5
WangsimniDoseon-dong,2013.0,Seongdong-gu,150,35,46.0,18,50,25,22.0,8,17,8,17,11,6,7,7,X,6,5,3,5
Geumho 2.3(i.sam)-ga-dong,2013.0,Seongdong-gu,90,71,45.0,36,35,44,19.0,20,12,17,6,6,12,X,4,11,6,3,8,X
Oksu-dong,2013.0,Seongdong-gu,38,40,44.0,15,11,26,17.0,13,19,16,3,4,9,4,-,5,3,X,11,X
Hwayang-dong,2013.0,Gwangjin-gu,294,41,72.0,56,251,78,35.0,60,83,23,81,44,24,4,12,8,16,20,18,26
Gunja-dong,2013.0,Gwangjin-gu,126,61,43.0,25,66,40,26.0,28,30,22,21,16,13,9,3,14,9,7,8,15
Junggok 1(il)-dong,2013.0,Gwangjin-gu,118,73,48.0,36,76,36,28.0,12,17,14,21,11,11,15,18,12,4,6,5,6
Junggok 2(i)-dong,2013.0,Gwangjin-gu,103,93,67.0,34,50,51,30.0,18,20,20,24,14,6,10,4,10,4,4,5,9
Junggok 3(sam)-dong,2013.0,Gwangjin-gu,85,80,39.0,26,40,48,28.0,18,16,18,17,13,7,8,5,6,4,5,7,7
Junggok 4(sa)-dong,2013.0,Gwangjin-gu,86,146,39.0,64,36,47,37.0,30,20,20,18,13,8,X,9,16,3,9,8,8
Neung-dong,2013.0,Gwangjin-gu,55,30,21.0,13,29,13,12.0,9,11,7,18,19,4,4,X,4,-,3,3,X
Guui 1(il)-dong,2013.0,Gwangjin-gu,167,69,68.0,36,82,46,28.0,32,28,25,48,19,18,6,3,9,12,12,9,11
Guui 2(i)-dong,2013.0,Gwangjin-gu,90,119,37.0,28,31,38,25.0,17,17,19,11,11,10,8,7,13,7,7,8,8
Guui 3(sam)-dong,2013.0,Gwangjin-gu,142,60,71.0,97,55,46,43.0,33,33,24,19,16,14,8,X,4,13,9,15,8
Gwangjang-dong,2013.0,Gwangjin-gu,70,27,55.0,32,24,31,26.0,27,31,15,4,15,14,3,3,8,4,3,16,3
Jayang 1(il)-dong,2013.0,Gwangjin-gu,127,78,57.0,61,26,55,28.0,18,17,20,20,17,10,11,25,19,7,10,8,11
Jayang 2(i)-dong,2013.0,Gwangjin-gu,82,126,53.0,19,43,48,32.0,18,18,27,17,11,8,9,3,5,5,5,6,8
Jayang 3(sam)-dong,2013.0,Gwangjin-gu,74,106,61.0,50,21,39,19.0,18,29,22,5,13,9,4,X,4,5,4,19,3
Jayang 4(sa)-dong,2013.0,Gwangjin-gu,158,111,55.0,94,65,62,36.0,29,23,22,46,16,19,8,26,21,51,12,6,15
Hoegi-dong,2013.0,Dongdaemun-gu,126,27,23.0,48,73,25,21.0,37,47,9,22,18,12,X,X,3,14,9,10,8
Hwigyeong 1(il)-dong,2013.0,Dongdaemun-gu,89,47,19.0,23,32,27,28.0,32,16,16,12,11,9,3,7,13,4,X,5,6
Hwigyeong 2(i)-dong,2013.0,Dongdaemun-gu,33,375,31.0,8,8,26,23.0,23,12,18,3,13,11,4,X,5,4,4,6,4
Cheongnyangni-dong,2013.0,Dongdaemun-gu,156,85,38.0,70,49,39,41.0,23,23,17,16,9,19,5,23,9,9,10,7,11
Yongsin-dong,2013.0,Dongdaemun-gu,364,109,108.0,116,79,53,100.0,55,52,32,24,31,13,28,27,15,19,15,13,6
Jegi-dong,2013.0,Dongdaemun-gu,270,93,68.0,37,117,38,97.0,42,34,24,9,17,9,29,553,81,19,X,6,6
Jeonnong 1(il)-dong,2013.0,Dongdaemun-gu,166,136,65.0,214,49,64,55.0,42,37,23,23,19,23,19,13,15,8,9,10,11
Jeonnong 2(i)-dong,2013.0,Dongdaemun-gu,31,90,19.0,13,13,33,17.0,26,17,14,8,9,6,3,-,4,6,4,4,4
Dapsimni 1(il)-dong,2013.0,Dongdaemun-gu,117,80,61.0,31,37,21,34.0,15,17,13,19,12,7,15,X,9,3,8,5,4
Dapsimni 2(i)-dong,2013.0,Dongdaemun-gu,92,141,43.0,23,25,36,33.0,20,6,21,16,7,7,24,13,14,8,4,5,6
Jangan 1(il)-dong,2013.0,Dongdaemun-gu,278,176,85.0,69,67,72,63.0,50,39,44,29,25,11,107,10,21,17,15,12,15
Jangan 2(i)-dong,2013.0,Dongdaemun-gu,231,188,66.0,178,75,83,58.0,52,29,33,34,19,21,25,7,18,13,17,13,10
Imun 1(il)-dong,2013.0,Dongdaemun-gu,126,81,54.0,26,81,56,37.0,47,48,31,14,28,21,8,8,6,10,10,9,16
Imun 2(i)-dong,2013.0,Dongdaemun-gu,38,84,34.0,6,23,20,15.0,9,7,13,6,8,4,3,4,9,4,X,3,3
Myeonmok 2(i)-dong,2013.0,Jungnang-gu,116,178,48.0,38,43,55,46.0,17,12,26,22,10,6,14,11,15,6,8,6,X
Myeonmok 4(sa)-dong,2013.0,Jungnang-gu,61,123,36.0,13,25,36,28.0,11,5,19,9,9,7,8,3,5,5,5,3,X
Myeonmok 5(o)-dong,2013.0,Jungnang-gu,49,90,16.0,17,23,26,27.0,10,4,12,8,X,8,15,4,7,3,4,X,3
Myeonmok 7(chil)-dong,2013.0,Jungnang-gu,107,125,55.0,47,50,41,28.0,19,10,16,19,8,7,13,22,17,4,6,6,8
Sangbong 1(il)-dong,2013.0,Jungnang-gu,34,104,29.0,62,19,30,30.0,13,17,18,7,5,X,6,4,5,3,4,3,3
Sangbong 2(i)-dong,2013.0,Jungnang-gu,268,61,53.0,75,101,38,37.0,20,29,16,63,17,12,21,6,7,10,15,3,19
Junghwa 1(il)-dong,2013.0,Jungnang-gu,43,106,37.0,21,13,43,34.0,14,6,14,5,6,5,5,5,5,3,-,6,-
Junghwa 2(i)-dong,2013.0,Jungnang-gu,195,183,45.0,55,105,59,53.0,38,19,22,38,8,13,19,39,21,10,15,8,13
Muk 1(il)-dong,2013.0,Jungnang-gu,95,168,52.0,28,42,42,29.0,23,17,23,16,12,7,7,8,8,5,6,7,6
Muk 2(i)-dong,2013.0,Jungnang-gu,114,397,39.0,34,50,45,33.0,18,11,16,25,6,12,14,6,4,6,8,4,6
Mangu 3(sam)-dong,2013.0,Jungnang-gu,62,117,25.0,18,28,37,28.0,14,4,13,6,4,6,13,6,5,5,X,4,X
Sinnae 1(il)-dong,2013.0,Jungnang-gu,111,167,37.0,25,34,44,25.0,10,11,18,15,8,14,13,3,7,6,6,5,7
Sinnae 2(i)-dong,2013.0,Jungnang-gu,34,107,28.0,52,17,25,12.0,17,9,14,X,6,10,3,3,9,4,3,11,X
Myeonmokbon-dong,2013.0,Jungnang-gu,176,175,87.0,66,86,76,60.0,40,19,38,30,15,13,6,21,23,4,10,10,10
Myeonmok 3.8(sam.pal)-dong,2013.0,Jungnang-gu,169,146,56.0,76,100,63,42.0,50,22,18,47,14,9,14,18,12,6,19,9,15
Mangubon-dong,2013.0,Jungnang-gu,225,202,54.0,82,84,67,61.0,37,29,24,37,17,15,25,23,32,10,15,13,12
Donam 1(il)-dong,2013.0,Seongbuk_gu,7,44,17.0,5,5,13,11.0,5,3,12,X,X,X,X,X,6,X,-,X,X
Donam 2(i)-dong,2013.0,Seongbuk_gu,10,24,21.0,6,X,12,6.0,6,3,8,-,X,3,X,X,3,-,-,4,-
Anam-dong,2013.0,Seongbuk_gu,127,38,38.0,12,87,39,29.0,35,74,12,15,34,9,5,-,X,12,14,10,18
Bomun-dong,2013.0,Seongbuk_gu,78,61,37.0,19,28,28,25.0,12,5,15,7,6,4,16,9,9,7,4,5,5
Jeongneung 1(il)-dong,2013.0,Seongbuk_gu,50,42,29.0,7,19,25,18.0,8,8,15,4,8,10,6,3,6,3,X,5,3
Jeongneung 2(i)-dong,2013.0,Seongbuk_gu,51,101,36.0,17,19,28,23.0,17,11,16,9,5,11,10,6,6,6,3,4,6
Jeongneung 3(sam)-dong,2013.0,Seongbuk_gu,66,37,12.0,10,23,22,23.0,14,10,5,4,8,10,6,X,4,6,6,X,4
Jeongneung 4(sa)-dong,2013.0,Seongbuk_gu,60,81,32.0,17,23,31,27.0,12,10,17,5,10,8,3,5,8,4,6,4,4
Gireum 1(il)-dong,2013.0,Seongbuk_gu,56,68,52.0,51,69,40,21.0,20,20,16,6,5,11,X,20,13,4,4,15,5
Gireum 2(i)-dong,2013.0,Seongbuk_gu,61,47,39.0,108,25,33,26.0,20,14,17,4,8,5,6,5,5,7,X,7,4
Wolgok 1(il)-dong,2013.0,Seongbuk_gu,77,3,39.0,20,34,37,29.0,19,15,20,10,8,11,10,12,9,8,X,7,3
Wolgok 2(i)-dong,2013.0,Seongbuk_gu,118,195,41.0,38,44,48,28.0,26,29,18,22,11,13,15,8,14,10,11,12,7
Jangwi 1(il)-dong,2013.0,Seongbuk_gu,59,119,32.0,30,37,49,39.0,16,4,18,10,6,4,8,7,12,4,5,X,6
Jangwi 2(i)-dong,2013.0,Seongbuk_gu,107,90,42.0,50,69,40,36.0,17,9,13,12,7,7,15,20,17,8,7,3,4
Jangwi 3(sam)-dong,2013.0,Seongbuk_gu,92,84,26.0,23,39,28,31.0,14,X,19,8,5,4,13,13,10,6,7,5,3
Seongbuk-dong,2013.0,Seongbuk_gu,84,24,46.0,25,10,21,24.0,22,31,10,X,12,3,9,3,6,6,X,7,3
Samseon-dong,2013.0,Seongbuk_gu,169,73,55.0,46,60,51,35.0,43,37,16,18,19,15,7,17,21,11,14,5,7
Dongseon-dong,2013.0,Seongbuk_gu,162,46,66.0,92,99,68,25.0,52,71,16,30,25,22,6,5,5,13,11,18,12
Jongam-dong,2013.0,Seongbuk_gu,125,141,63.0,48,42,63,39.0,38,23,31,16,20,16,10,15,12,7,12,9,11
Seokgwan-dong,2013.0,Seongbuk_gu,168,191,73.0,35,95,68,47.0,31,17,29,19,19,13,20,14,17,8,10,6,6
Beon 1(il)-dong,2013.0,Gangbuk-gu,150,66,60.0,33,88,51,30.0,20,24,18,40,27,5,7,5,7,10,7,7,6
Beon 2(i)-dong,2013.0,Gangbuk-gu,26,100,12.0,X,9,21,19.0,3,3,11,3,3,4,11,X,4,X,4,X,5
Beon 3(sam)-dong,2013.0,Gangbuk-gu,25,70,13.0,4,12,24,18.0,8,8,11,4,3,6,6,3,8,3,3,6,5
Suyu 1(il)-dong,2013.0,Gangbuk-gu,133,98,37.0,85,48,39,32.0,22,15,15,12,10,5,14,34,22,9,8,3,10
Suyu 2(i)-dong,2013.0,Gangbuk-gu,92,83,38.0,27,51,50,27.0,22,6,18,19,9,10,17,6,10,8,6,7,9
Suyu 3(sam)-dong,2013.0,Gangbuk-gu,279,61,74.0,79,184,64,39.0,28,39,24,114,21,14,15,23,18,12,17,10,16
Samyang-dong,2013.0,Gangbuk-gu,63,130,44.0,26,39,49,40.0,15,8,20,10,7,9,X,7,10,6,4,4,7
Mia-dong,2013.0,Gangbuk-gu,154,431,71.0,54,79,63,32.0,24,24,21,22,18,6,8,11,6,8,11,10,8
Songjung-dong,2013.0,Gangbuk-gu,175,119,62.0,60,113,58,44.0,23,29,25,34,13,15,14,16,16,13,11,10,11
Songcheon-dong,2013.0,Gangbuk-gu,174,111,80.0,48,134,82,47.0,34,23,26,19,15,20,21,15,21,9,6,6,5
Samgaksan-dong,2013.0,Gangbuk-gu,45,78,36.0,17,21,22,14.0,13,10,12,3,3,8,-,5,9,3,X,8,X
Ui-dong,2013.0,Gangbuk-gu,185,65,23.0,45,61,22,29.0,20,27,15,21,10,7,6,7,13,6,6,3,3
Insu-dong,2013.0,Gangbuk-gu,91,152,48.0,30,38,56,48.0,22,22,29,11,15,6,14,16,17,8,3,5,6
Ssangmun 1(il)-dong,2013.0,Dobong-gu,28,80,20.0,13,18,28,29.0,29,22,15,3,9,6,4,8,11,5,4,3,3
Ssangmun 2(i)-dong,2013.0,Dobong-gu,77,92,30.0,47,29,44,23.0,17,15,16,14,8,9,8,X,5,5,6,4,9
Ssangmun 3(sam)-dong,2013.0,Dobong-gu,50,60,36.0,37,26,30,25.0,12,12,13,7,9,9,8,5,10,5,X,5,3
Ssangmun 4(sa)-dong,2013.0,Dobong-gu,11,49,17.0,24,6,23,18.0,16,4,15,X,5,7,X,X,8,3,-,X,3
Banghak 1(il)-dong,2013.0,Dobong-gu,203,97,80.0,71,123,66,38.0,40,24,29,46,18,18,23,10,14,12,21,16,18
Banghak 2(i)-dong,2013.0,Dobong-gu,73,103,30.0,34,41,51,22.0,21,5,16,10,9,7,9,22,16,6,6,5,X
Banghak 3(sam)-dong,2013.0,Dobong-gu,44,106,20.0,9,9,16,16.0,11,7,15,5,7,8,7,X,4,X,4,3,-
Chang 1(il)-dong,2013.0,Dobong-gu,62,101,50.0,22,25,34,22.0,12,12,16,13,7,6,9,4,6,5,3,5,6
Chang 2(i)-dong,2013.0,Dobong-gu,67,126,43.0,38,23,52,26.0,17,11,26,7,15,13,13,9,11,9,5,3,11
Chang 3(sam)-dong,2013.0,Dobong-gu,79,93,30.0,25,37,30,18.0,17,5,14,14,8,7,13,9,11,3,3,6,X
Chang 4(sa)-dong,2013.0,Dobong-gu,67,51,34.0,21,38,21,17.0,16,15,12,14,12,9,4,X,4,4,5,14,6
Chang 5(o)-dong,2013.0,Dobong-gu,93,85,47.0,35,32,41,17.0,16,21,13,17,11,13,8,3,7,8,5,8,6
Dobong 1(il)-dong,2013.0,Dobong-gu,202,114,49.0,23,55,42,42.0,17,14,13,30,16,12,12,14,15,9,11,6,X
Dobong 2(i)-dong,2013.0,Dobong-gu,95,106,39.0,20,40,36,22.0,17,13,14,11,8,9,10,9,10,7,3,7,3
Wolgye 1(il)-dong,2013.0,Nowon-gu,130,124,38.0,13,41,36,29.0,38,31,14,30,16,15,13,3,11,8,12,8,16
Wolgye 2(i)-dong,2013.0,Nowon-gu,37,145,20.0,9,17,29,23.0,21,8,19,8,9,14,X,3,8,6,3,5,3
Wolgye 3(sam)-dong,2013.0,Nowon-gu,28,177,35.0,28,6,22,15.0,14,9,17,X,4,12,X,3,7,X,-,5,X
Gongneung 2(i)-dong,2013.0,Nowon-gu,116,184,62.0,22,30,52,31.0,37,45,25,23,24,26,4,X,12,6,11,17,11
Hagye 1(il)-dong,2013.0,Nowon-gu,65,61,22.0,22,19,22,19.0,16,13,11,3,10,10,15,X,4,6,3,3,X
Hagye 2(i)-dong,2013.0,Nowon-gu,11,48,15.0,-,3,15,8.0,7,-,8,-,X,6,-,X,X,X,-,X,X
Junggyebon-dong,2013.0,Nowon-gu,55,70,37.0,26,25,31,20.0,21,23,17,7,13,11,5,4,11,8,5,6,6
Junggye 1(il)-dong,2013.0,Nowon-gu,27,63,37.0,14,10,33,13.0,23,10,17,6,8,6,5,X,7,X,-,12,X
Junggye 4(sa)-dong,2013.0,Nowon-gu,100,76,21.0,42,34,24,17.0,17,15,8,22,7,17,6,X,5,4,10,8,7
Sanggye 1(il)-dong,2013.0,Nowon-gu,163,152,59.0,22,60,55,33.0,22,29,27,28,18,19,21,3,12,13,11,11,8
Sanggye 2(i)-dong,2013.0,Nowon-gu,215,87,55.0,138,131,71,25.0,36,45,24,60,17,25,17,9,19,10,17,15,15
Sanggye 5(o)-dong,2013.0,Nowon-gu,78,105,52.0,41,31,51,33.0,20,15,17,16,8,20,15,13,7,7,8,7,13
Sanggye 8(pal)-dong,2013.0,Nowon-gu,18,50,16.0,21,6,18,9.0,9,5,9,3,4,5,-,X,X,3,-,6,X
Sanggye 9(gu)-dong,2013.0,Nowon-gu,19,88,23.0,30,9,19,8.0,16,-,10,3,5,4,-,5,X,X,X,4,3
Sanggye 10(sip)-dong,2013.0,Nowon-gu,6,45,15.0,11,5,14,9.0,3,5,5,4,3,3,X,-,-,X,X,X,X
Sanggye 3.4(sam.sa)-dong,2013.0,Nowon-gu,134,184,51.0,28,47,50,59.0,18,16,27,17,8,17,15,17,13,8,8,5,7
Sanggye 6.7(yuk.chil)-dong,2013.0,Nowon-gu,106,85,63.0,32,44,43,27.0,31,20,20,18,21,19,3,9,7,11,7,10,6
Junggye 2.3(i.sam)-dong,2013.0,Nowon-gu,52,133,23.0,139,12,31,26.0,17,19,15,3,5,15,X,X,7,9,-,15,X
Gongneung 1(il)-dong,2013.0,Nowon-gu,199,182,62.0,59,62,70,44.0,31,42,29,26,24,20,27,24,14,12,11,10,9
Nokbeon-dong,2013.0,Eunpyeong-gu,132,88,64.0,14,46,46,40.0,20,17,19,15,17,13,19,3,7,9,9,7,9
Bulgwang 1(il)-dong,2013.0,Eunpyeong-gu,119,105,82.0,65,45,67,38.0,33,24,24,21,15,21,4,11,11,7,4,13,7
Galhyeon 1(il)-dong,2013.0,Eunpyeong-gu,142,50,47.0,39,105,51,33.0,20,16,20,42,11,16,6,9,13,8,11,11,8
Galhyeon 2(i)-dong,2013.0,Eunpyeong-gu,128,110,46.0,72,67,54,36.0,36,35,17,19,16,18,9,12,15,4,11,6,10
Gusan-dong,2013.0,Eunpyeong-gu,34,142,39.0,16,16,53,32.0,20,13,20,3,10,8,9,3,7,5,X,7,-
