Dong,사업_사업체평균연령_Period,사업_사업체평균연령_Gu,사업_사업체평균연령_No. of establishments,사업_사업체평균연령_No. of workers,사업_사업체평균연령_Average worker,사업_사업체평균연령_Rate of establishing a business
Gwanghui-dong ,2013.0,Jung-gu,10372.0,36642.0,3.53,9년0개월
Euljiro-dong,2013.0,Jung-gu,9814.0,27740.0,2.83,12년1개월
Sindang 5(o)-dong,2013.0,Jung-gu,1156.0,4043.0,3.5,7년12개월
Hwanghak-dong,2013.0,Jung-gu,2055.0,5702.0,2.77,10년2개월
Jungnim-dong,2013.0,Jung-gu,1045.0,8292.0,7.93,9년10개월
Sindang-dong,2013.0,Jung-gu,12219.0,26112.0,2.14,5년11개월
Dasan-dong,2013.0,Jung-gu,1119.0,7855.0,7.02,9년12개월
Yaksu-dong,2013.0,Jung-gu,834.0,3478.0,4.17,9년4개월
Cheonggu-dong,2013.0,Jung-gu,702.0,3274.0,4.66,10년6개월
Donghwa-dong,2013.0,Jung-gu,943.0,3294.0,3.49,8년1개월
Huam-dong,2013.0,Yongsan-gu,819.0,5239.0,6.4,10년9개월
Yongsan 2-ga-dong,2013.0,Yongsan-gu,511.0,2934.0,5.74,11년4개월
Namyeong-dong,2013.0,Yongsan-gu,1612.0,20356.0,12.63,8년12개월
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,1190.0,6812.0,5.72,9년3개월
Hyochang-dong,2013.0,Yongsan-gu,535.0,2603.0,4.87,10년4개월
Yongmun-dong,2013.0,Yongsan-gu,637.0,1600.0,2.51,8년10개월
Ichon 1(il)-dong,2013.0,Yongsan-gu,805.0,3486.0,4.33,10년11개월
Ichon 2(i)-dong,2013.0,Yongsan-gu,337.0,876.0,2.6,12년10개월
Itaewon 1(il)-dong,2013.0,Yongsan-gu,1584.0,7121.0,4.5,8년4개월
Itaewon 2(i)-dong,2013.0,Yongsan-gu,597.0,2215.0,3.71,9년8개월
Seobinggo-dong,2013.0,Yongsan-gu,405.0,4616.0,11.4,10년10개월
Bogwang-dong,2013.0,Yongsan-gu,772.0,2091.0,2.71,10년4개월
Cheongpa-dong,2013.0,Yongsan-gu,1890.0,10019.0,5.3,10년4개월
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,1725.0,8110.0,4.7,8년6개월
Hangangno-dong,2013.0,Yongsan-gu,4988.0,33136.0,6.64,8년1개월
Hannam-dong,2013.0,Yongsan-gu,1660.0,15937.0,9.6,8년5개월
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,746.0,1926.0,2.58,9년6개월
Majang-dong,2013.0,Seongdong-gu,3146.0,10974.0,3.49,10년2개월
Sageun-dong,2013.0,Seongdong-gu,963.0,9219.0,9.57,8년8개월
Haengdang 1(il)-dong,2013.0,Seongdong-gu,1400.0,8526.0,6.09,7년11개월
Haengdang 2(i)-dong,2013.0,Seongdong-gu,571.0,2107.0,3.69,7년10개월
Eungbong-dong,2013.0,Seongdong-gu,384.0,1024.0,2.67,10년0개월
Geumho 1(il)-ga-dong,2013.0,Seongdong-gu,571.0,1658.0,2.9,9년6개월
Geumho 4(sa)-ga-dong,2013.0,Seongdong-gu,616.0,1963.0,3.19,10년2개월
Seongsu 1(il)-ga1(il)-dong,2013.0,Seongdong-gu,1336.0,6683.0,5.0,10년2개월
Seongsu 1(il)-ga2(i)-dong,2013.0,Seongdong-gu,1946.0,12598.0,6.47,9년5개월
