Dong,사업_사업체평균연령_Period,사업_사업체평균연령_Gu,사업_사업체평균연령_No. of establishments,사업_사업체평균연령_No. of workers,사업_사업체평균연령_Average worker,사업_사업체평균연령_Rate of establishing a business
Yangpyeong 2(i)-dong,2013.0,Yeongdeungpo-gu,2074.0,18234.0,8.79,9년1개월
Singil 1(il)-dong,2013.0,Yeongdeungpo-gu,1177.0,4035.0,3.43,9년5개월
Singil 3(sam)-dong,2013.0,Yeongdeungpo-gu,1007.0,3056.0,3.03,10년0개월
Singil 4(sa)-dong,2013.0,Yeongdeungpo-gu,595.0,1567.0,2.63,9년11개월
Singil 5(o)-dong,2013.0,Yeongdeungpo-gu,689.0,2079.0,3.02,9년7개월
Singil 6(yuk)-dong,2013.0,Yeongdeungpo-gu,1232.0,3974.0,3.23,8년11개월
Singil 7(chil)-dong,2013.0,Yeongdeungpo-gu,591.0,3030.0,5.13,8년9개월
Daerim 1(il)-dong,2013.0,Yeongdeungpo-gu,1129.0,4079.0,3.61,8년2개월
Daerim 2(i)-dong,2013.0,Yeongdeungpo-gu,1408.0,4437.0,3.15,7년4개월
Daerim 3(sam)-dong,2013.0,Yeongdeungpo-gu,2907.0,10781.0,3.71,9년1개월
Yeongdeungpobon-dong,2013.0,Yeongdeungpo-gu,1240.0,4537.0,3.66,7년12개월
Yeongdeungpo-dong,2013.0,Yeongdeungpo-gu,6076.0,34547.0,5.69,10년2개월
Dorim-dong,2013.0,Yeongdeungpo-gu,1025.0,3138.0,3.06,8년5개월
Mullae-dong,2013.0,Yeongdeungpo-gu,4995.0,36161.0,7.24,11년2개월
Noryangjin 2(i)-dong,2013.0,Dongjak-gu,1035.0,5138.0,4.96,9년7개월
Sangdo 1(il)-dong,2013.0,Dongjak-gu,1724.0,6250.0,3.63,8년11개월
Sangdo 2(i)-dong,2013.0,Dongjak-gu,1261.0,4090.0,3.24,9년9개월
Sangdo 3(sam)-dong,2013.0,Dongjak-gu,989.0,2720.0,2.75,10년8개월
Sangdo 4(sa)-dong,2013.0,Dongjak-gu,1006.0,2879.0,2.86,11년6개월
Sadang 1(il)-dong,2013.0,Dongjak-gu,1744.0,8660.0,4.97,8년7개월
Sadang 3(sam)-dong,2013.0,Dongjak-gu,1037.0,4303.0,4.15,10년9개월
Sadang 4(sa)-dong,2013.0,Dongjak-gu,663.0,1638.0,2.47,9년8개월
Sadang 5(o)-dong,2013.0,Dongjak-gu,517.0,1692.0,3.27,9년7개월
Daebang-dong,2013.0,Dongjak-gu,1689.0,12717.0,7.53,9년11개월
Sindaebang 1(il)-dong,2013.0,Dongjak-gu,1050.0,4496.0,4.28,8년12개월
Sindaebang 2(i)-dong,2013.0,Dongjak-gu,1254.0,27372.0,21.83,8년9개월
Heukseok-dong,2013.0,Dongjak-gu,1622.0,9671.0,5.96,10년2개월
Noryangjin 1(il)-dong,2013.0,Dongjak-gu,2893.0,11058.0,3.82,12년9개월
Sadang 2(i)-dong,2013.0,Dongjak-gu,1551.0,5323.0,3.43,8년7개월
Boramae-dong,2013.0,Gwanak-gu,1316.0,4966.0,3.77,8년9개월
Cheongnim-dong,2013.0,Gwanak-gu,430.0,1059.0,2.46,10년4개월
Haengun-dong,2013.0,Gwanak-gu,1397.0,5161.0,3.69,8년9개월
Nagseongdae-dong,2013.0,Gwanak-gu,1277.0,7971.0,6.24,7년11개월
Jungang-dong,2013.0,Gwanak-gu,1469.0,4681.0,3.19,14년4개월
Inheon-dong,2013.0,Gwanak-gu,1123.0,4406.0,3.92,9년7개월
Namhyeon-dong,2013.0,Gwanak-gu,842.0,5952.0,7.07,8년11개월
Sewon-dong,2013.0,Gwanak-gu,1298.0,6702.0,5.16,7년10개월
Sinwon-dong,2013.0,Gwanak-gu,877.0,2256.0,2.57,9년11개월
Serim-dong,2013.0,Gwanak-gu,857.0,2755.0,3.21,10년2개월
Sinsa-dong,2013.0,Gwanak-gu,1451.0,4365.0,3.01,8년5개월
Sillim-dong,2013.0,Gwanak-gu,1744.0,5632.0,3.23,6년7개월
Nanhyang-dong,2013.0,Gwanak-gu,392.0,1685.0,4.3,11년6개월
Jowon-dong,2013.0,Gwanak-gu,2172.0,7225.0,3.33,9년1개월
Daehak-dong,2013.0,Gwanak-gu,1562.0,11988.0,7.67,7년8개월
Euncheon-dong,2013.0,Gwanak-gu,1673.0,7535.0,4.5,9년12개월
Seonghyeon-dong,2013.0,Gwanak-gu,834.0,2449.0,2.94,11년6개월
Cheongnyong-dong,2013.0,Gwanak-gu,1946.0,12463.0,6.4,8년8개월
Nangok-dong,2013.0,Gwanak-gu,935.0,1988.0,2.13,12년4개월
Samseong-dong,2013.0,Gwanak-gu,1139.0,2615.0,2.3,13년4개월
Miseong-dong,2013.0,Gwanak-gu,1575.0,5201.0,3.3,10년5개월
Seocho 1(il)-dong,2013.0,Seocho-gu,3047.0,26660.0,8.75,8년9개월
Seocho 2(i)-dong,2013.0,Seocho-gu,4253.0,49210.0,11.57,7년10개월
Seocho 3(sam)-dong,2013.0,Seocho-gu,6884.0,65115.0,9.46,8년4개월
Seocho 4(sa)-dong,2013.0,Seocho-gu,2704.0,27523.0,10.18,7년0개월
Jamwon-dong,2013.0,Seocho-gu,2176.0,13886.0,6.38,7년7개월
Banpobon-dong,2013.0,Seocho-gu,668.0,2280.0,3.41,9년5개월
Banpo 1(il)-dong,2013.0,Seocho-gu,1548.0,9227.0,5.96,6년9개월
Banpo 2(i)-dong,2013.0,Seocho-gu,428.0,2223.0,5.19,8년12개월
Banpo 3(sam)-dong,2013.0,Seocho-gu,887.0,5949.0,6.71,9년5개월
Banpo 4(sa)-dong,2013.0,Seocho-gu,3382.0,29186.0,8.63,8년12개월
Bangbaebon-dong,2013.0,Seocho-gu,1606.0,10745.0,6.69,7년6개월
Bangbae 1(il)-dong,2013.0,Seocho-gu,1629.0,13769.0,8.45,7년8개월
Bangbae 2(i)-dong,2013.0,Seocho-gu,1771.0,14947.0,8.44,8년1개월
Bangbae 3(sam)-dong,2013.0,Seocho-gu,1103.0,10484.0,9.5,10년4개월
Bangbae 4(sa)-dong,2013.0,Seocho-gu,2265.0,13140.0,5.8,8년3개월
Yangjae 1(il)-dong,2013.0,Seocho-gu,3090.0,30202.0,9.77,8년7개월
Yangjae 2(i)-dong,2013.0,Seocho-gu,4981.0,44373.0,8.91,8년4개월
Naegok-dong,2013.0,Seocho-gu,460.0,5035.0,10.95,12년12개월
Sinsa-dong,2013.0,Gangnam-gu,4334.0,27047.0,6.24,6년4개월
Nonhyeon 1(il)-dong,2013.0,Gangnam-gu,4970.0,38902.0,7.83,7년1개월
Nonhyeon 2(i)-dong,2013.0,Gangnam-gu,5128.0,56495.0,11.02,7년3개월
Samseong 1(il)-dong,2013.0,Gangnam-gu,3170.0,49715.0,15.68,8년8개월
Samseong 2(i)-dong,2013.0,Gangnam-gu,3008.0,30057.0,9.99,7년7개월
Daechi 1(il)-dong,2013.0,Gangnam-gu,1004.0,6550.0,6.52,7년5개월
Daechi 4(sa)-dong,2013.0,Gangnam-gu,3242.0,26790.0,8.26,6년2개월
Yeoksam 1(il)-dong,2013.0,Gangnam-gu,12516.0,144308.0,11.53,6년10개월
Yeoksam 2(i)-dong,2013.0,Gangnam-gu,2956.0,34579.0,11.7,7년9개월
Dogok 1(il)-dong,2013.0,Gangnam-gu,1392.0,14298.0,10.27,7년8개월
Dogok 2(i)-dong,2013.0,Gangnam-gu,1646.0,18453.0,11.21,7년11개월
Gaepo 1(il)-dong,2013.0,Gangnam-gu,459.0,1318.0,2.87,11년7개월
Gaepo 4(sa)-dong,2013.0,Gangnam-gu,3257.0,11318.0,3.47,10년4개월
Irwonbon-dong,2013.0,Gangnam-gu,492.0,8073.0,16.41,10년4개월
Irwon 1(il)-dong,2013.0,Gangnam-gu,894.0,5454.0,6.1,8년1개월
Irwon 2(i)-dong,2013.0,Gangnam-gu,575.0,5064.0,8.81,10년2개월
Suseo-dong,2013.0,Gangnam-gu,1333.0,17294.0,12.97,8년10개월
Segok-dong,2013.0,Gangnam-gu,437.0,2422.0,5.54,8년12개월
Apgujeong -dong,2013.0,Gangnam-gu,3778.0,28387.0,7.51,7년1개월
Cheongdam -dong,2013.0,Gangnam-gu,3793.0,36500.0,9.62,7년1개월
Daechi 2(i)-dong,2013.0,Gangnam-gu,3220.0,50271.0,15.61,9년2개월
Gaepo 2(i)-dong,2013.0,Gangnam-gu,1010.0,4045.0,4.0,9년8개월
Pungnap 1(il)-dong,2013.0,Songpa-gu,806.0,2501.0,3.1,9년6개월
Pungnap 2(i)-dong,2013.0,Songpa-gu,1236.0,14873.0,12.03,9년1개월
Geoyeo 1(il)-dong,2013.0,Songpa-gu,828.0,2534.0,3.06,8년12개월
Geoyeo 2(i)-dong,2013.0,Songpa-gu,1223.0,4400.0,3.6,9년2개월
Macheon 1(il)-dong,2013.0,Songpa-gu,910.0,2057.0,2.26,9년8개월
Macheon 2(i)-dong,2013.0,Songpa-gu,1340.0,3993.0,2.98,9년5개월
Bangi 1(il)-dong,2013.0,Songpa-gu,1312.0,8976.0,6.84,7년3개월
Bangi 2(i)-dong,2013.0,Songpa-gu,2771.0,21572.0,7.78,7년6개월
Oryun-dong,2013.0,Songpa-gu,510.0,4286.0,8.4,14년1개월
Ogeum-dong,2013.0,Songpa-gu,3197.0,16645.0,5.21,9년9개월
Songpa 1(il)-dong,2013.0,Songpa-gu,2442.0,11419.0,4.68,8년6개월
Songpa 2(i)-dong,2013.0,Songpa-gu,881.0,5434.0,6.17,8년2개월
Seokchon-dong,2013.0,Songpa-gu,2757.0,14313.0,5.19,8년1개월
Samjeon-dong,2013.0,Songpa-gu,1972.0,10176.0,5.16,7년9개월
Garakbon-dong,2013.0,Songpa-gu,3460.0,28071.0,8.11,7년6개월
Garak 1(il)-dong,2013.0,Songpa-gu,3322.0,11184.0,3.37,13년4개월
Garak 2(i)-dong,2013.0,Songpa-gu,1832.0,8739.0,4.77,8년1개월
Munjeong 1(il)-dong,2013.0,Songpa-gu,1434.0,6648.0,4.64,7년5개월
Munjeong 2(i)-dong,2013.0,Songpa-gu,2170.0,10862.0,5.01,5년6개월
Jangji-dong,2013.0,Songpa-gu,1449.0,9945.0,6.86,8년1개월
Jamsilbon-dong,2013.0,Songpa-gu,3052.0,17039.0,5.58,7년4개월
Jamsil 4(sa)-dong,2013.0,Songpa-gu,462.0,1727.0,3.74,7년12개월
Jamsil 6(yuk)-dong,2013.0,Songpa-gu,1959.0,23128.0,11.81,10년4개월
Jamsil 7(chil)-dong,2013.0,Songpa-gu,195.0,976.0,5.01,11년8개월
Jamsil 2(i)-dong,2013.0,Songpa-gu,765.0,3661.0,4.79,5년6개월
Jamsil 3(sam)-dong,2013.0,Songpa-gu,1218.0,8056.0,6.61,7년4개월
Gangil-dong,2013.0,Gangdong-gu,683.0,14694.0,21.51,8년6개월
Sangil-dong,2013.0,Gangdong-gu,1238.0,5441.0,4.39,12년7개월
Myeongil 1(il)-dong,2013.0,Gangdong-gu,1665.0,5027.0,3.02,8년6개월
Myeongil 2(i)-dong,2013.0,Gangdong-gu,1267.0,5137.0,4.05,7년9개월
Godeok 1(il)-dong,2013.0,Gangdong-gu,550.0,1749.0,3.18,12년1개월
Godeok 2(i)-dong,2013.0,Gangdong-gu,1945.0,3801.0,1.95,21년3개월
Amsa 2(i)-dong,2013.0,Gangdong-gu,812.0,3671.0,4.52,9년8개월
Amsa 3(sam)-dong,2013.0,Gangdong-gu,603.0,1911.0,3.17,10년3개월
Cheonho 1(il)-dong,2013.0,Gangdong-gu,1558.0,5102.0,3.27,10년3개월
Cheonho 3(sam)-dong,2013.0,Gangdong-gu,1877.0,6171.0,3.29,9년0개월
Seongnae 1(il)-dong,2013.0,Gangdong-gu,2045.0,15379.0,7.52,8년10개월
Seongnae 2(i)-dong,2013.0,Gangdong-gu,1928.0,7545.0,3.91,8년2개월
Seongnae 3(sam)-dong,2013.0,Gangdong-gu,2384.0,10273.0,4.31,7년12개월
Dunchon 1(il)-dong,2013.0,Gangdong-gu,404.0,1318.0,3.26,12년11개월
Dunchon 2(i)-dong,2013.0,Gangdong-gu,1610.0,9104.0,5.65,9년2개월
Amsa 1(il)-dong,2013.0,Gangdong-gu,1947.0,5139.0,2.64,9년5개월
Cheonho 2(i)-dong,2013.0,Gangdong-gu,3424.0,14008.0,4.09,8년5개월
Gil-dong,2013.0,Gangdong-gu,3816.0,18259.0,4.78,8년9개월
