Dong,사업_생계형사업분포현황종사자수기준_Period,사업_생계형사업분포현황종사자수기준_Gu,사업_생계형사업분포현황종사자수기준_한식음식점업,사업_생계형사업분포현황종사자수기준_의류점,사업_생계형사업분포현황종사자수기준_기타주점업,사업_생계형사업분포현황종사자수기준_부동산자문 및 중개업,사업_생계형사업분포현황종사자수기준_용달 및 개별화물 자동차운송업,사업_생계형사업분포현황종사자수기준_슈퍼마켓,사업_생계형사업분포현황종사자수기준_비알콜 음료점,사업_생계형사업분포현황종사자수기준_두발미용업,사업_생계형사업분포현황종사자수기준_분식 및 김밥전문점,사업_생계형사업분포현황종사자수기준_체인화 편의점,사업_생계형사업분포현황종사자수기준_중국 음식점업,사업_생계형사업분포현황종사자수기준_제과점업,사업_생계형사업분포현황종사자수기준_가정용 세탁업,사업_생계형사업분포현황종사자수기준_노래연습장 운영업,사업_생계형사업분포현황종사자수기준_치킨 전문점,사업_생계형사업분포현황종사자수기준_자동차 전문 수리업,사업_생계형사업분포현황종사자수기준_컴퓨터게임방 운영업,사업_생계형사업분포현황종사자수기준_과실 및 채소소매업,사업_생계형사업분포현황종사자수기준_육류 소매업,사업_생계형사업분포현황종사자수기준_당구장 운영업
Jungnim-dong,2013.0,Jung-gu,266,X,47,86.0,40,42.0,48,39,24,37,19,10,14,9,16,9,19,22,13,4
Sindang-dong,2013.0,Jung-gu,500,192,83,121.0,19,176.0,59,28,139,50,26,25,23,32,37,21,8,4,7,19
Dasan-dong,2013.0,Jung-gu,200,27,63,36.0,44,48.0,37,28,37,31,18,15,17,13,10,14,9,6,10,6
Yaksu-dong,2013.0,Jung-gu,223,32,69,48.0,38,111.0,20,58,14,17,-,33,19,21,25,X,7,14,17,3
Cheonggu-dong,2013.0,Jung-gu,105,37,17,24.0,47,27.0,11,18,10,21,7,7,14,5,7,-,5,23,4,4
Donghwa-dong,2013.0,Jung-gu,76,27,12,41.0,46,45.0,18,24,15,24,11,12,11,5,7,X,5,6,12,9
Huam-dong,2013.0,Yongsan-gu,192,18,24,59.0,29,83.0,28,34,39,40,20,9,24,5,17,17,12,13,26,X
Yongsan 2-ga-dong,2013.0,Yongsan-gu,57,5,27,42.0,32,41.0,90,27,15,30,3,28,19,4,9,X,8,10,9,4
Namyeong-dong,2013.0,Yongsan-gu,643,307,155,62.0,7,47.0,174,19,90,127,76,97,5,31,33,11,37,6,7,27
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,139,16,23,35.0,60,52.0,17,21,21,46,41,5,16,7,6,28,9,3,12,8
Hyochang-dong,2013.0,Yongsan-gu,59,6,7,24.0,36,33.0,21,8,12,35,4,11,12,-,6,9,-,3,8,X
Yongmun-dong,2013.0,Yongsan-gu,97,25,34,30.0,40,39.0,18,29,16,11,-,12,14,7,29,7,14,30,30,X
Ichon 1(il)-dong,2013.0,Yongsan-gu,169,90,46,86.0,10,88.0,101,135,40,28,63,63,16,4,13,7,7,30,16,-
Ichon 2(i)-dong,2013.0,Yongsan-gu,17,X,X,36.0,92,22.0,3,8,9,5,X,4,14,X,9,23,-,8,4,-
Itaewon 1(il)-dong,2013.0,Yongsan-gu,374,388,257,35.0,12,55.0,207,29,19,56,71,32,13,5,23,16,4,X,X,3
Itaewon 2(i)-dong,2013.0,Yongsan-gu,119,19,82,67.0,24,35.0,58,30,30,35,35,35,22,6,11,-,4,3,3,4
Seobinggo-dong,2013.0,Yongsan-gu,87,11,X,24.0,26,51.0,16,19,8,32,9,X,4,-,X,21,-,4,X,-
Bogwang-dong,2013.0,Yongsan-gu,183,27,75,54.0,54,76.0,15,75,30,44,9,16,31,9,41,18,14,15,14,6
Cheongpa-dong,2013.0,Yongsan-gu,411,56,95,77.0,66,88.0,186,128,104,67,29,46,31,15,18,46,19,18,20,11
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,392,11,49,84.0,57,56.0,48,21,47,55,57,22,27,16,27,22,16,4,9,9
Hangangno-dong,2013.0,Yongsan-gu,995,374,71,244.0,60,154.0,306,73,131,110,85,89,40,27,11,34,4,3,11,11
Hannam-dong,2013.0,Yongsan-gu,615,162,139,154.0,55,111.0,252,59,34,52,75,94,26,21,30,37,26,10,12,11
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,60,25,25,44.0,67,40.0,6,35,5,21,7,9,14,5,10,-,23,8,7,4
Majang-dong,2013.0,Seongdong-gu,403,6,47,43.0,109,90.0,40,32,35,22,26,20,23,12,9,26,10,10,70,12
Sageun-dong,2013.0,Seongdong-gu,390,14,214,35.0,42,38.0,184,54,107,110,48,38,16,33,30,-,58,7,10,31
Haengdang 1(il)-dong,2013.0,Seongdong-gu,367,315,50,47.0,76,114.0,158,75,83,61,28,116,17,13,38,7,17,12,15,6
Haengdang 2(i)-dong,2013.0,Seongdong-gu,81,30,13,53.0,47,41.0,30,47,28,29,12,20,21,4,10,4,-,4,6,-
Eungbong-dong,2013.0,Seongdong-gu,26,8,18,22.0,73,26.0,6,15,6,-,7,15,18,X,16,4,3,-,4,-
Geumho 1(il)-ga-dong,2013.0,Seongdong-gu,81,8,24,34.0,48,43.0,10,29,7,17,11,3,18,4,9,5,19,X,3,X
Geumho 4(sa)-ga-dong,2013.0,Seongdong-gu,98,31,43,48.0,32,65.0,21,28,13,12,6,7,18,13,9,3,10,4,10,3
Seongsu 1(il)-ga1(il)-dong,2013.0,Seongdong-gu,133,29,15,53.0,68,43.0,32,28,30,47,22,8,14,11,8,49,5,-,3,8
Seongsu 1(il)-ga2(i)-dong,2013.0,Seongdong-gu,356,19,46,63.0,139,89.0,57,31,41,49,11,25,17,23,9,91,22,9,12,13
Seongsu 2(i)-ga1(il)-dong,2013.0,Seongdong-gu,364,84,75,62.0,103,118.0,51,53,61,42,24,44,45,29,23,86,24,19,11,12
Seongsu 2(i)-ga 3(sam)-dong,2013.0,Seongdong-gu,655,108,81,77.0,313,95.0,110,21,59,98,65,18,16,44,25,249,15,7,6,23
Songjeong-dong,2013.0,Seongdong-gu,72,13,18,18.0,65,29.0,3,19,9,4,22,7,12,3,11,27,-,10,6,X
Yongdap-dong,2013.0,Seongdong-gu,340,57,77,54.0,69,88.0,37,49,39,42,24,26,21,17,8,158,18,18,25,11
WangsimniDoseon-dong,2013.0,Seongdong-gu,444,105,98,76.0,35,45.0,56,57,12,33,17,7,14,27,14,12,10,16,4,6
Geumho 2.3(i.sam)-ga-dong,2013.0,Seongdong-gu,193,51,51,70.0,71,59.0,27,56,49,21,22,25,29,8,26,X,5,12,18,7
Oksu-dong,2013.0,Seongdong-gu,116,19,26,58.0,52,100.0,84,58,30,18,20,36,21,5,25,13,7,-,10,X
Hwayang-dong,2013.0,Gwangjin-gu,1121,128,805,122.0,46,93.0,364,307,165,172,113,67,35,155,93,5,67,29,16,40
Gunja-dong,2013.0,Gwangjin-gu,336,39,137,66.0,64,76.0,110,60,70,74,52,34,32,37,29,19,51,4,27,11
Junggok 1(il)-dong,2013.0,Gwangjin-gu,274,48,118,76.0,76,107.0,39,39,24,44,13,12,18,25,21,26,15,37,21,10
Junggok 2(i)-dong,2013.0,Gwangjin-gu,299,60,86,87.0,110,78.0,32,61,34,34,20,12,30,39,13,26,21,8,19,7
Junggok 3(sam)-dong,2013.0,Gwangjin-gu,210,33,64,52.0,87,53.0,37,64,32,55,12,34,24,21,16,17,38,8,11,6
Junggok 4(sa)-dong,2013.0,Gwangjin-gu,176,107,60,48.0,147,103.0,48,64,51,54,10,17,23,29,15,X,38,16,29,11
Neung-dong,2013.0,Gwangjin-gu,289,51,105,37.0,32,32.0,40,16,15,57,-,17,8,37,13,11,3,X,8,5
Guui 1(il)-dong,2013.0,Gwangjin-gu,459,50,177,107.0,209,106.0,63,59,62,79,34,24,32,69,29,10,37,5,14,18
Guui 2(i)-dong,2013.0,Gwangjin-gu,234,46,52,91.0,120,76.0,47,45,37,38,19,36,32,15,22,19,26,12,22,7
Guui 3(sam)-dong,2013.0,Gwangjin-gu,519,214,124,135.0,66,127.0,133,133,104,59,61,50,44,29,39,27,29,X,11,12
Gwangjang-dong,2013.0,Gwangjin-gu,260,50,63,75.0,29,131.0,108,85,68,74,41,80,27,9,32,11,9,7,10,6
Jayang 1(il)-dong,2013.0,Gwangjin-gu,292,82,47,89.0,101,83.0,42,68,49,67,19,32,25,23,24,24,38,48,36,20
Jayang 2(i)-dong,2013.0,Gwangjin-gu,203,29,68,78.0,142,63.0,41,65,42,56,20,22,47,18,14,10,28,4,9,5
Jayang 3(sam)-dong,2013.0,Gwangjin-gu,290,156,49,79.0,126,77.0,131,84,52,67,19,144,52,6,26,9,11,10,7,7
Jayang 4(sa)-dong,2013.0,Gwangjin-gu,411,167,109,81.0,123,97.0,62,146,77,65,174,23,36,68,52,13,63,45,46,14
Hoegi-dong,2013.0,Dongdaemun-gu,421,75,204,41.0,27,97.0,160,89,92,102,67,57,16,40,34,X,29,X,5,17
Hwigyeong 1(il)-dong,2013.0,Dongdaemun-gu,254,41,70,31.0,47,93.0,63,35,73,56,13,29,25,20,23,3,26,10,21,14
Hwigyeong 2(i)-dong,2013.0,Dongdaemun-gu,83,14,17,45.0,375,68.0,20,34,41,61,12,25,25,5,27,7,21,X,9,7
Cheongnyangni-dong,2013.0,Dongdaemun-gu,408,104,96,45.0,88,78.0,38,48,37,33,29,22,23,21,41,8,25,32,17,19
Yongsin-dong,2013.0,Dongdaemun-gu,902,194,112,187.0,162,168.0,110,78,111,118,69,105,67,30,30,39,25,34,32,18
Jegi-dong,2013.0,Dongdaemun-gu,598,64,159,87.0,102,172.0,58,52,76,77,60,16,34,13,22,60,13,732,142,X
Jeonnong 1(il)-dong,2013.0,Dongdaemun-gu,491,471,94,92.0,159,136.0,154,113,106,73,28,67,49,41,55,36,37,24,33,18
Jeonnong 2(i)-dong,2013.0,Dongdaemun-gu,81,21,33,19.0,90,76.0,60,51,41,47,25,13,23,10,14,3,14,-,6,5
Dapsimni 1(il)-dong,2013.0,Dongdaemun-gu,335,43,61,74.0,80,95.0,61,26,25,92,10,11,14,22,15,23,6,5,17,9
Dapsimni 2(i)-dong,2013.0,Dongdaemun-gu,211,35,44,52.0,141,88.0,10,43,37,29,27,16,30,19,15,34,23,22,22,4
Jangan 1(il)-dong,2013.0,Dongdaemun-gu,741,132,145,123.0,182,209.0,115,115,105,104,74,38,70,44,32,177,42,14,38,28
Jangan 2(i)-dong,2013.0,Dongdaemun-gu,710,368,155,71.0,196,176.0,88,123,95,72,43,62,47,43,48,40,22,14,27,22
Imun 1(il)-dong,2013.0,Dongdaemun-gu,340,36,195,67.0,81,73.0,163,90,108,109,43,43,42,25,51,15,53,17,9,14
Imun 2(i)-dong,2013.0,Dongdaemun-gu,81,8,46,49.0,84,55.0,15,27,18,31,12,33,19,9,9,5,6,6,16,X
Myeonmok 2(i)-dong,2013.0,Jungnang-gu,229,67,66,63.0,184,103.0,23,58,31,42,19,29,59,29,12,27,10,22,30,13
Myeonmok 4(sa)-dong,2013.0,Jungnang-gu,116,17,46,47.0,133,66.0,12,44,19,44,13,11,29,14,13,14,8,5,8,8
Myeonmok 5(o)-dong,2013.0,Jungnang-gu,98,28,33,25.0,119,62.0,13,28,18,5,10,9,21,12,19,30,9,6,14,5
Myeonmok 7(chil)-dong,2013.0,Jungnang-gu,278,77,89,73.0,128,91.0,26,63,40,25,14,18,30,30,18,19,28,44,37,9
Sangbong 1(il)-dong,2013.0,Jungnang-gu,87,225,41,56.0,104,53.0,70,61,37,18,9,13,29,9,6,8,9,9,8,5
Sangbong 2(i)-dong,2013.0,Jungnang-gu,655,138,194,83.0,69,75.0,103,63,58,73,37,13,34,86,27,37,46,13,11,21
Junghwa 1(il)-dong,2013.0,Jungnang-gu,93,29,23,53.0,119,76.0,7,56,23,20,7,18,22,5,9,14,-,5,5,-
Junghwa 2(i)-dong,2013.0,Jungnang-gu,500,77,181,69.0,208,140.0,47,80,99,40,36,41,41,52,32,43,46,56,41,25
Muk 1(il)-dong,2013.0,Jungnang-gu,317,43,81,69.0,171,94.0,66,59,48,54,13,31,34,25,15,13,20,16,17,8
Muk 2(i)-dong,2013.0,Jungnang-gu,260,58,108,59.0,397,80.0,15,61,35,32,26,9,24,47,30,28,36,15,7,21
Mangu 3(sam)-dong,2013.0,Jungnang-gu,147,21,36,33.0,120,61.0,6,42,22,16,24,10,18,8,11,20,7,8,9,X
Sinnae 1(il)-dong,2013.0,Jungnang-gu,388,42,65,50.0,190,99.0,37,63,26,40,20,20,26,29,33,35,23,6,14,11
Sinnae 2(i)-dong,2013.0,Jungnang-gu,113,77,30,38.0,110,38.0,32,43,38,30,13,65,26,3,25,6,3,5,16,4
Myeonmokbon-dong,2013.0,Jungnang-gu,427,108,177,129.0,196,125.0,42,100,75,60,13,35,65,47,34,8,35,39,48,16
Myeonmok 3.8(sam.pal)-dong,2013.0,Jungnang-gu,399,146,192,80.0,153,96.0,70,89,89,64,19,33,29,64,20,16,51,31,21,26
Mangubon-dong,2013.0,Jungnang-gu,466,131,124,70.0,242,129.0,69,100,68,52,25,45,33,50,38,38,35,33,61,23
Donam 1(il)-dong,2013.0,Seongbuk_gu,41,7,9,17.0,44,28.0,6,14,13,4,10,X,18,X,3,X,3,X,8,-
Donam 2(i)-dong,2013.0,Seongbuk_gu,17,7,X,25.0,24,69.0,3,14,12,5,-,12,10,-,4,4,-,X,6,-
Anam-dong,2013.0,Seongbuk_gu,501,23,280,51.0,54,60.0,281,76,113,198,81,44,18,26,42,11,57,-,X,32
Bomun-dong,2013.0,Seongbuk_gu,169,112,38,45.0,61,65.0,6,36,20,28,23,16,17,10,10,41,22,17,15,6
Jeongneung 1(il)-dong,2013.0,Seongbuk_gu,116,7,37,42.0,42,50.0,10,27,13,33,11,24,19,4,27,11,9,5,10,X
Jeongneung 2(i)-dong,2013.0,Seongbuk_gu,155,19,30,40.0,105,108.0,25,36,27,18,22,20,25,13,20,18,20,10,15,5
Jeongneung 3(sam)-dong,2013.0,Seongbuk_gu,146,12,39,17.0,43,50.0,35,33,28,39,23,6,7,6,22,18,10,3,9,9
Jeongneung 4(sa)-dong,2013.0,Seongbuk_gu,160,30,44,52.0,83,76.0,25,53,37,44,19,19,27,6,17,4,14,14,13,10
Gireum 1(il)-dong,2013.0,Seongbuk_gu,153,63,136,77.0,68,115.0,65,94,62,20,18,67,27,9,33,X,21,39,29,7
Gireum 2(i)-dong,2013.0,Seongbuk_gu,290,256,42,56.0,47,43.0,46,66,64,42,35,36,28,6,8,10,17,10,26,X
Wolgok 1(il)-dong,2013.0,Seongbuk_gu,187,40,57,58.0,9,111.0,42,46,38,38,28,34,38,17,22,19,19,16,14,3
Wolgok 2(i)-dong,2013.0,Seongbuk_gu,289,79,80,50.0,207,84.0,75,74,52,27,37,41,30,40,28,36,25,16,25,17
Jangwi 1(il)-dong,2013.0,Seongbuk_gu,109,42,60,39.0,119,84.0,5,57,21,18,16,4,26,13,6,11,16,13,22,7
Jangwi 2(i)-dong,2013.0,Seongbuk_gu,254,71,98,55.0,90,83.0,13,52,33,30,29,6,21,20,17,28,14,38,35,12
Jangwi 3(sam)-dong,2013.0,Seongbuk_gu,205,33,55,31.0,86,103.0,3,33,22,22,16,16,28,9,7,15,12,21,19,9
Seongbuk-dong,2013.0,Seongbuk_gu,362,38,23,67.0,24,76.0,102,38,49,61,27,130,18,3,6,30,9,8,10,X
Samseon-dong,2013.0,Seongbuk_gu,399,81,100,69.0,73,129.0,98,70,67,83,36,16,22,25,29,17,27,31,34,18
Dongseon-dong,2013.0,Seongbuk_gu,581,220,308,102.0,47,73.0,286,269,126,129,53,93,23,61,63,8,53,9,9,22
Jongam-dong,2013.0,Seongbuk_gu,346,61,80,88.0,146,126.0,61,100,64,104,29,19,46,26,39,18,34,30,23,18
Seokgwan-dong,2013.0,Seongbuk_gu,412,45,151,88.0,326,115.0,33,85,63,85,18,18,52,27,23,31,30,27,36,15
Beon 1(il)-dong,2013.0,Gangbuk-gu,421,54,150,81.0,67,88.0,80,119,52,87,47,42,23,59,17,13,18,10,13,15
Beon 2(i)-dong,2013.0,Gangbuk-gu,60,X,13,16.0,107,38.0,5,23,4,9,9,3,18,4,6,16,9,X,8,5
Beon 3(sam)-dong,2013.0,Gangbuk-gu,61,6,21,18.0,70,86.0,36,35,11,12,20,18,16,8,15,19,19,4,16,5
Suyu 1(il)-dong,2013.0,Gangbuk-gu,274,133,69,55.0,98,97.0,22,46,41,40,23,10,21,19,9,18,28,62,51,11
Suyu 2(i)-dong,2013.0,Gangbuk-gu,244,37,82,48.0,83,88.0,10,61,32,32,26,16,31,22,22,26,22,7,17,8
Suyu 3(sam)-dong,2013.0,Gangbuk-gu,789,165,463,90.0,66,77.0,131,103,59,107,44,45,34,220,33,28,55,37,34,31
Samyang-dong,2013.0,Gangbuk-gu,119,35,59,62.0,130,131.0,16,58,30,29,21,26,26,14,18,3,31,14,18,6
Mia-dong,2013.0,Gangbuk-gu,374,97,132,103.0,432,58.0,71,112,55,69,26,29,36,29,9,16,29,25,9,16
Songjung-dong,2013.0,Gangbuk-gu,644,131,315,84.0,122,109.0,101,106,54,71,53,56,36,75,38,32,36,39,29,19
Songcheon-dong,2013.0,Gangbuk-gu,439,72,180,98.0,115,120.0,43,116,58,70,27,21,32,29,42,48,14,24,26,11
Samgaksan-dong,2013.0,Gangbuk-gu,109,26,39,52.0,78,81.0,24,40,39,6,14,23,22,5,19,-,14,12,17,X
Ui-dong,2013.0,Gangbuk-gu,490,74,108,25.0,65,56.0,66,27,36,46,24,11,20,28,14,15,15,10,17,9
Insu-dong,2013.0,Gangbuk-gu,189,41,55,57.0,155,97.0,61,61,29,68,25,17,72,13,9,18,14,24,25,3
Ssangmun 1(il)-dong,2013.0,Dobong-gu,77,16,24,29.0,90,85.0,49,36,37,45,22,17,16,4,13,10,7,13,14,7
Ssangmun 2(i)-dong,2013.0,Dobong-gu,181,76,48,43.0,93,113.0,27,65,38,30,14,19,25,20,18,18,35,4,7,10
Ssangmun 3(sam)-dong,2013.0,Dobong-gu,140,55,52,54.0,73,45.0,37,38,21,28,14,19,21,12,23,17,6,16,17,3
Ssangmun 4(sa)-dong,2013.0,Dobong-gu,29,41,22,28.0,54,70.0,8,44,48,26,10,9,25,X,14,7,5,X,17,-
Banghak 1(il)-dong,2013.0,Dobong-gu,515,124,176,114.0,97,77.0,72,109,93,71,35,47,42,64,29,86,57,19,19,25
Banghak 2(i)-dong,2013.0,Dobong-gu,134,53,57,37.0,107,74.0,8,53,40,29,16,18,20,14,12,15,4,48,38,10
Banghak 3(sam)-dong,2013.0,Dobong-gu,146,10,16,32.0,111,69.0,19,26,20,46,9,14,21,9,16,10,-,5,7,7
Chang 1(il)-dong,2013.0,Dobong-gu,185,37,55,95.0,104,77.0,41,67,27,37,12,24,26,25,13,17,22,12,10,5
Chang 2(i)-dong,2013.0,Dobong-gu,147,64,49,78.0,129,132.0,20,99,35,57,33,7,70,8,27,27,32,17,22,7
Chang 3(sam)-dong,2013.0,Dobong-gu,161,39,59,39.0,93,35.0,7,41,28,24,14,16,16,16,14,18,4,16,21,6
Chang 4(sa)-dong,2013.0,Dobong-gu,236,45,93,53.0,51,45.0,45,30,40,66,18,57,16,28,17,16,30,4,6,9
Chang 5(o)-dong,2013.0,Dobong-gu,375,63,66,66.0,85,54.0,85,77,45,47,32,30,20,32,34,59,21,9,10,9
Dobong 1(il)-dong,2013.0,Dobong-gu,462,37,83,74.0,119,100.0,36,58,34,62,23,25,18,43,21,18,7,25,40,16
Dobong 2(i)-dong,2013.0,Dobong-gu,207,42,56,53.0,108,85.0,20,50,35,38,25,15,34,13,15,18,10,11,16,4
Wolgye 1(il)-dong,2013.0,Nowon-gu,323,20,111,47.0,127,55.0,102,61,83,55,28,31,19,45,32,22,52,9,15,23
Wolgye 2(i)-dong,2013.0,Nowon-gu,85,14,38,33.0,145,63.0,20,38,53,37,24,16,26,11,24,X,7,9,14,3
Wolgye 3(sam)-dong,2013.0,Nowon-gu,94,57,14,42.0,177,80.0,21,41,36,17,11,25,28,3,28,17,6,8,10,-
Gongneung 2(i)-dong,2013.0,Nowon-gu,321,27,75,79.0,189,138.0,124,81,87,111,17,62,38,42,64,9,30,X,20,21
Hagye 1(il)-dong,2013.0,Nowon-gu,233,51,40,31.0,65,52.0,46,38,35,55,40,17,18,4,26,39,7,4,6,8
Hagye 2(i)-dong,2013.0,Nowon-gu,23,-,6,16.0,48,33.0,-,21,10,X,X,4,10,-,14,-,4,3,X,-
Junggyebon-dong,2013.0,Nowon-gu,157,32,67,61.0,70,93.0,74,50,51,60,45,26,33,13,29,10,19,6,23,10
Junggye 1(il)-dong,2013.0,Nowon-gu,89,17,26,62.0,63,55.0,47,81,59,44,6,50,31,12,20,29,6,X,14,-
Junggye 4(sa)-dong,2013.0,Nowon-gu,340,53,79,36.0,81,81.0,32,55,43,38,17,48,14,40,50,12,27,6,10,12
Sanggye 1(il)-dong,2013.0,Nowon-gu,604,47,137,81.0,161,171.0,78,100,38,69,44,46,60,47,40,53,22,6,21,20
Sanggye 2(i)-dong,2013.0,Nowon-gu,889,371,336,93.0,106,83.0,194,221,103,80,51,67,33,139,66,41,55,15,27,29
Sanggye 5(o)-dong,2013.0,Nowon-gu,171,51,61,70.0,114,75.0,35,74,45,25,24,30,25,20,48,38,44,20,12,12
Sanggye 8(pal)-dong,2013.0,Nowon-gu,46,36,12,25.0,50,38.0,13,31,21,20,14,24,15,6,10,-,3,5,4,-
Sanggye 9(gu)-dong,2013.0,Nowon-gu,49,32,18,31.0,88,69.0,-,29,41,21,7,11,16,3,11,-,8,11,3,X
Sanggye 10(sip)-dong,2013.0,Nowon-gu,22,18,14,24.0,45,30.0,22,31,4,9,3,7,8,6,7,X,X,-,-,4
Sanggye 3.4(sam.sa)-dong,2013.0,Nowon-gu,240,39,64,72.0,202,119.0,20,56,25,37,22,20,37,27,24,33,20,27,23,11
Sanggye 6.7(yuk.chil)-dong,2013.0,Nowon-gu,345,67,107,85.0,86,86.0,80,96,80,75,53,77,29,25,42,7,33,18,10,10
Junggye 2.3(i.sam)-dong,2013.0,Nowon-gu,300,227,26,40.0,133,76.0,74,66,48,27,32,93,29,4,38,3,7,4,14,-
Gongneung 1(il)-dong,2013.0,Nowon-gu,548,88,123,75.0,182,129.0,100,83,64,84,40,34,43,43,44,46,23,38,30,15
Nokbeon-dong,2013.0,Eunpyeong-gu,428,20,111,83.0,93,107.0,35,64,40,61,32,24,34,29,27,51,41,5,14,16
Bulgwang 1(il)-dong,2013.0,Eunpyeong-gu,330,140,72,124.0,105,154.0,54,101,66,52,28,46,32,33,47,5,21,18,18,5
Galhyeon 1(il)-dong,2013.0,Eunpyeong-gu,392,69,305,62.0,58,91.0,38,74,52,44,39,49,31,67,51,15,28,14,27,17
Galhyeon 2(i)-dong,2013.0,Eunpyeong-gu,403,101,145,67.0,111,116.0,124,74,72,63,20,26,21,28,45,14,36,21,30,20
