Dong,사업_사업체및종사자밀도_Period,사업_사업체및종사자밀도_Gu,사업_사업체및종사자밀도_No. of establishments,사업_사업체및종사자밀도_No. of employee,사업_사업체및종사자밀도_Average worker,사업_사업체및종사자밀도_Establishments density,사업_사업체및종사자밀도_종사자밀도,사업_사업체및종사자밀도_Population density,사업_사업체및종사자밀도_종사자밀도비
Jeongneung 3(sam)-dong,2013.0,Seongbuk_gu,674.0,4343.0,6.44,182.0,1171.0,4952.0,23.64
Jeongneung 4(sa)-dong,2013.0,Seongbuk_gu,871.0,3870.0,4.44,278.0,1236.0,8962.0,13.8
Gireum 1(il)-dong,2013.0,Seongbuk_gu,1151.0,3619.0,3.14,1457.0,4581.0,48039.0,9.54
Gireum 2(i)-dong,2013.0,Seongbuk_gu,1116.0,4612.0,4.13,1924.0,7952.0,35888.0,22.16
Wolgok 1(il)-dong,2013.0,Seongbuk_gu,1192.0,4899.0,4.11,1472.0,6048.0,36048.0,16.78
Wolgok 2(i)-dong,2013.0,Seongbuk_gu,1798.0,8745.0,4.86,1322.0,6430.0,15890.0,40.47
Jangwi 1(il)-dong,2013.0,Seongbuk_gu,1131.0,2838.0,2.51,1616.0,4054.0,36314.0,11.16
Jangwi 2(i)-dong,2013.0,Seongbuk_gu,1663.0,5078.0,3.05,2482.0,7579.0,33060.0,22.93
Jangwi 3(sam)-dong,2013.0,Seongbuk_gu,1212.0,4452.0,3.67,1865.0,6849.0,28929.0,23.68
Seongbuk-dong,2013.0,Seongbuk_gu,1021.0,5115.0,5.01,357.0,1788.0,6754.0,26.48
Samseon-dong,2013.0,Seongbuk_gu,1866.0,9510.0,5.1,2028.0,10337.0,31034.0,33.31
Dongseon-dong,2013.0,Seongbuk_gu,1974.0,10170.0,5.15,2704.0,13932.0,23237.0,59.95
Jongam-dong,2013.0,Seongbuk_gu,2093.0,7550.0,3.61,1434.0,5171.0,29907.0,17.29
Seokgwan-dong,2013.0,Seongbuk_gu,2255.0,8217.0,3.64,1303.0,4750.0,21617.0,21.97
Beon 1(il)-dong,2013.0,Gangbuk-gu,1693.0,8783.0,5.19,3078.0,15969.0,38205.0,41.8
Beon 2(i)-dong,2013.0,Gangbuk-gu,653.0,3128.0,4.79,522.0,2502.0,15566.0,16.08
Beon 3(sam)-dong,2013.0,Gangbuk-gu,831.0,2556.0,3.08,966.0,2972.0,24440.0,12.16
Suyu 1(il)-dong,2013.0,Gangbuk-gu,1578.0,5125.0,3.25,1475.0,4790.0,21776.0,22.0
Suyu 2(i)-dong,2013.0,Gangbuk-gu,1365.0,4357.0,3.19,1870.0,5968.0,31459.0,18.97
Suyu 3(sam)-dong,2013.0,Gangbuk-gu,2379.0,8413.0,3.54,2766.0,9783.0,28250.0,34.63
Samyang-dong,2013.0,Gangbuk-gu,1228.0,3331.0,2.71,1293.0,3506.0,32805.0,10.69
Mia-dong,2013.0,Gangbuk-gu,1967.0,6580.0,3.35,2695.0,9014.0,33036.0,27.28
Songjung-dong,2013.0,Gangbuk-gu,2009.0,8463.0,4.21,1647.0,6937.0,27019.0,25.67
Songcheon-dong,2013.0,Gangbuk-gu,2268.0,7272.0,3.21,2577.0,8264.0,35803.0,23.08
Samgaksan-dong,2013.0,Gangbuk-gu,714.0,2190.0,3.07,1152.0,3532.0,56508.0,6.25
Ui-dong,2013.0,Gangbuk-gu,994.0,3478.0,3.5,91.0,318.0,1958.0,16.23
Insu-dong,2013.0,Gangbuk-gu,1569.0,5792.0,3.69,535.0,1977.0,11485.0,17.21
Ssangmun 1(il)-dong,2013.0,Dobong-gu,911.0,3803.0,4.17,735.0,3067.0,18331.0,16.73
Ssangmun 2(i)-dong,2013.0,Dobong-gu,1227.0,4299.0,3.5,2272.0,7961.0,39522.0,20.14
