Dong,사업_사업체현황조직형태별_Gu_Gu_Gu,사업_사업체현황조직형태별_합계_사업체수_사업체수,사업_사업체현황조직형태별_합계_사업체수_여성대표자,사업_사업체현황조직형태별_합계_종사자수_계,사업_사업체현황조직형태별_합계_종사자수_남,사업_사업체현황조직형태별_합계_종사자수_여,사업_사업체현황조직형태별_개인_사업체수_사업체수,사업_사업체현황조직형태별_개인_종사자수_종사자수,사업_사업체현황조직형태별_회사법인_사업체수_사업체수,사업_사업체현황조직형태별_회사법인_종사자수_종사자수,사업_사업체현황조직형태별_회사이외의 법인_사업체수_사업체수,사업_사업체현황조직형태별_회사이외의 법인_종사자수_종사자수,사업_사업체현황조직형태별_비법인단체_사업체수_사업체수,사업_사업체현황조직형태별_비법인단체_종사자수_종사자수
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,4690.0,1008.0,43517.0,28098.0,15419.0,2912.0,9697.0,1657.0,32778.0,63.0,762.0,58.0,280.0
Songjeong-dong,Seongdong-gu,712.0,201.0,2156.0,1319.0,837.0,624.0,1208.0,53.0,542.0,17.0,332.0,18.0,74.0
Yongdap-dong,Seongdong-gu,2050.0,535.0,13485.0,8552.0,4933.0,1543.0,3452.0,426.0,7403.0,36.0,2405.0,45.0,225.0
WangsimniDoseon-dong,Seongdong-gu,1588.0,497.0,8254.0,4301.0,3953.0,1283.0,3591.0,222.0,3641.0,35.0,629.0,48.0,393.0
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,974.0,413.0,2422.0,1054.0,1368.0,903.0,1890.0,15.0,143.0,14.0,231.0,42.0,158.0
Oksu-dong,Seongdong-gu,759.0,317.0,2720.0,1272.0,1448.0,616.0,1467.0,75.0,545.0,18.0,470.0,50.0,238.0
Hwayang-dong,Gwangjin-gu,2456.0,888.0,14197.0,7337.0,6860.0,2091.0,6334.0,269.0,2438.0,53.0,5290.0,43.0,135.0
Gunja-dong,Gwangjin-gu,1572.0,551.0,7832.0,4276.0,3556.0,1275.0,3070.0,228.0,2220.0,30.0,2395.0,39.0,147.0
Junggok 1(il)-dong,Gwangjin-gu,1601.0,553.0,6943.0,3973.0,2970.0,1375.0,3209.0,173.0,3404.0,14.0,182.0,39.0,148.0
Junggok 2(i)-dong,Gwangjin-gu,1748.0,639.0,5699.0,2711.0,2988.0,1476.0,3515.0,194.0,1586.0,23.0,430.0,55.0,168.0
Junggok 3(sam)-dong,Gwangjin-gu,1359.0,522.0,4778.0,2582.0,2196.0,1235.0,2860.0,76.0,1145.0,14.0,589.0,34.0,184.0
Junggok 4(sa)-dong,Gwangjin-gu,1572.0,539.0,4959.0,2800.0,2159.0,1435.0,2999.0,75.0,1226.0,22.0,639.0,40.0,95.0
Neung-dong,Gwangjin-gu,698.0,224.0,4466.0,2175.0,2291.0,503.0,1663.0,149.0,1850.0,29.0,868.0,17.0,85.0
Guui 1(il)-dong,Gwangjin-gu,1838.0,645.0,6361.0,3741.0,2620.0,1533.0,3374.0,210.0,2111.0,30.0,688.0,65.0,188.0
Guui 2(i)-dong,Gwangjin-gu,1314.0,421.0,5211.0,2977.0,2234.0,1118.0,2351.0,116.0,1793.0,29.0,808.0,51.0,259.0
Guui 3(sam)-dong,Gwangjin-gu,2596.0,845.0,19699.0,13156.0,6543.0,1992.0,5203.0,510.0,13304.0,29.0,776.0,65.0,416.0
Gwangjang-dong,Gwangjin-gu,1361.0,521.0,10953.0,6030.0,4923.0,941.0,2777.0,317.0,6110.0,43.0,1443.0,60.0,623.0
