Dong,사업_사업체현황종사상지위별_Gu_Gu,사업_사업체현황종사상지위별_total_No. of establishments,사업_사업체현황종사상지위별_total_No. of workers,사업_사업체현황종사상지위별_total_Female employee,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Sub total,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Female employee,사업_사업체현황종사상지위별_Regular workers_Sub total,사업_사업체현황종사상지위별_Regular workers_Female employee,사업_사업체현황종사상지위별_Temporary and dayworkers_Sub total,사업_사업체현황종사상지위별_Temporary and dayworkers_Female employee,사업_사업체현황종사상지위별_Other workers_Sub total,사업_사업체현황종사상지위별_Other workers_Female employee
Sinnae 1(il)-dong,Jungnang-gu,1574.0,7895.0,3334.0,1634.0,579.0,5091.0,2029.0,1014.0,627.0,156,99
Sinnae 2(i)-dong,Jungnang-gu,1074.0,5172.0,2571.0,1069.0,432.0,3247.0,1621.0,792.0,468.0,64,50
Myeonmokbon-dong,Jungnang-gu,2454.0,6842.0,3691.0,3045.0,1380.0,2028.0,1082.0,1546.0,1050.0,223,179
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,3043.0,7685.0,3366.0,3423.0,1049.0,2655.0,1344.0,1472.0,866.0,135,107
Mangubon-dong,Jungnang-gu,2783.0,9831.0,4898.0,3104.0,1291.0,5120.0,2628.0,1330.0,796.0,277,183
Donam 1(il)-dong,Seongbuk_gu,382.0,1383.0,765.0,368.0,129.0,793.0,502.0,135.0,90.0,87,44
Donam 2(i)-dong,Seongbuk_gu,363.0,1716.0,1127.0,321.0,141.0,1267.0,892.0,117.0,84.0,11,10
Anam-dong,Seongbuk_gu,1329.0,13134.0,5442.0,1431.0,588.0,7718.0,3268.0,3799.0,1496.0,186,90
Bomun-dong,Seongbuk_gu,1239.0,4121.0,1836.0,1333.0,482.0,1870.0,935.0,871.0,408.0,47,11
Jeongneung 1(il)-dong,Seongbuk_gu,787.0,1937.0,954.0,871.0,350.0,812.0,477.0,210.0,116.0,44,11
Jeongneung 2(i)-dong,Seongbuk_gu,957.0,2832.0,1277.0,1019.0,385.0,1330.0,681.0,350.0,151.0,133,60
Jeongneung 3(sam)-dong,Seongbuk_gu,674.0,4343.0,1856.0,706.0,298.0,2546.0,1041.0,1053.0,499.0,38,18
Jeongneung 4(sa)-dong,Seongbuk_gu,871.0,3870.0,1453.0,961.0,386.0,2315.0,755.0,509.0,250.0,85,62
Gireum 1(il)-dong,Seongbuk_gu,1151.0,3619.0,2103.0,1266.0,599.0,1725.0,1103.0,595.0,370.0,33,31
Gireum 2(i)-dong,Seongbuk_gu,1116.0,4612.0,2634.0,1095.0,562.0,2507.0,1363.0,796.0,540.0,214,169
Wolgok 1(il)-dong,Seongbuk_gu,1192.0,4899.0,2260.0,1388.0,659.0,2594.0,1147.0,755.0,382.0,162,72
Wolgok 2(i)-dong,Seongbuk_gu,1798.0,8745.0,4519.0,1927.0,717.0,4619.0,2285.0,2043.0,1404.0,156,113
Jangwi 1(il)-dong,Seongbuk_gu,1131.0,2838.0,1482.0,1318.0,529.0,1040.0,633.0,378.0,262.0,102,58
Jangwi 2(i)-dong,Seongbuk_gu,1663.0,5078.0,2349.0,2057.0,872.0,1701.0,853.0,1273.0,599.0,47,25
Jangwi 3(sam)-dong,Seongbuk_gu,1212.0,4452.0,1870.0,1399.0,525.0,2280.0,812.0,655.0,448.0,118,85
Seongbuk-dong,Seongbuk_gu,1021.0,5115.0,2633.0,956.0,420.0,3376.0,1701.0,609.0,414.0,174,98
Samseon-dong,Seongbuk_gu,1866.0,9510.0,4550.0,1895.0,818.0,6333.0,2907.0,846.0,543.0,436,282
Dongseon-dong,Seongbuk_gu,1974.0,10170.0,5673.0,2120.0,970.0,4746.0,2631.0,2940.0,1789.0,364,283
Jongam-dong,Seongbuk_gu,2093.0,7550.0,3645.0,2349.0,986.0,3551.0,1850.0,1497.0,710.0,153,99
Seokgwan-dong,Seongbuk_gu,2255.0,8217.0,3383.0,2518.0,997.0,3903.0,1459.0,1392.0,765.0,404,162
Beon 1(il)-dong,Gangbuk-gu,1693.0,8783.0,4977.0,1804.0,820.0,3759.0,1804.0,1140.0,704.0,2080,1649
Beon 2(i)-dong,Gangbuk-gu,653.0,3128.0,1127.0,654.0,201.0,2120.0,687.0,217.0,132.0,137,107
Beon 3(sam)-dong,Gangbuk-gu,831.0,2556.0,1065.0,889.0,257.0,1315.0,576.0,315.0,204.0,37,28
Suyu 1(il)-dong,Gangbuk-gu,1578.0,5125.0,2625.0,1889.0,853.0,2495.0,1243.0,544.0,382.0,197,147
Suyu 2(i)-dong,Gangbuk-gu,1365.0,4357.0,2283.0,1579.0,673.0,1570.0,871.0,812.0,436.0,396,303
Suyu 3(sam)-dong,Gangbuk-gu,2379.0,8413.0,4634.0,2651.0,1192.0,3458.0,1815.0,1432.0,888.0,872,739
Samyang-dong,Gangbuk-gu,1228.0,3331.0,1791.0,1359.0,586.0,1427.0,817.0,420.0,291.0,125,97
Mia-dong,Gangbuk-gu,1967.0,6580.0,3495.0,2220.0,851.0,2444.0,1358.0,1282.0,756.0,634,530
Songjung-dong,Gangbuk-gu,2009.0,8463.0,4546.0,2198.0,951.0,3924.0,2208.0,1491.0,884.0,850,503
Songcheon-dong,Gangbuk-gu,2268.0,7272.0,3948.0,2593.0,1148.0,2827.0,1523.0,1423.0,929.0,429,348
Samgaksan-dong,Gangbuk-gu,714.0,2190.0,1307.0,804.0,353.0,1133.0,777.0,225.0,154.0,28,23
Ui-dong,Gangbuk-gu,994.0,3478.0,1310.0,1162.0,537.0,2003.0,553.0,246.0,183.0,67,37
Insu-dong,Gangbuk-gu,1569.0,5792.0,2869.0,1687.0,647.0,3140.0,1572.0,878.0,576.0,87,74
Ssangmun 1(il)-dong,Dobong-gu,911.0,3803.0,1855.0,901.0,323.0,2403.0,1221.0,416.0,278.0,83,33
Ssangmun 2(i)-dong,Dobong-gu,1227.0,4299.0,1973.0,1305.0,560.0,2177.0,934.0,679.0,404.0,138,75
Ssangmun 3(sam)-dong,Dobong-gu,897.0,3182.0,1630.0,984.0,413.0,1593.0,875.0,530.0,309.0,75,33
Ssangmun 4(sa)-dong,Dobong-gu,594.0,1933.0,1066.0,625.0,258.0,1027.0,612.0,268.0,185.0,13,11
Banghak 1(il)-dong,Dobong-gu,2278.0,9931.0,4313.0,2358.0,1075.0,6264.0,2368.0,1159.0,789.0,150,81
Banghak 2(i)-dong,Dobong-gu,1289.0,2837.0,1478.0,1506.0,609.0,836.0,527.0,448.0,322.0,47,20
Banghak 3(sam)-dong,Dobong-gu,888.0,3161.0,1473.0,914.0,306.0,1837.0,926.0,226.0,138.0,184,103
Chang 1(il)-dong,Dobong-gu,1078.0,3390.0,1908.0,1134.0,466.0,1644.0,961.0,398.0,272.0,214,209
Chang 2(i)-dong,Dobong-gu,1331.0,4447.0,2136.0,1523.0,635.0,2142.0,985.0,719.0,489.0,63,27
Chang 3(sam)-dong,Dobong-gu,964.0,1939.0,1056.0,1129.0,474.0,600.0,417.0,195.0,152.0,15,13
Chang 4(sa)-dong,Dobong-gu,1140.0,6738.0,3000.0,1063.0,412.0,4519.0,1817.0,761.0,440.0,395,331
Chang 5(o)-dong,Dobong-gu,2062.0,6654.0,3031.0,2134.0,608.0,3581.0,1797.0,676.0,437.0,263,189
Dobong 1(il)-dong,Dobong-gu,1660.0,5496.0,2183.0,1868.0,787.0,2901.0,987.0,579.0,345.0,148,64
Dobong 2(i)-dong,Dobong-gu,1394.0,6126.0,2487.0,1427.0,569.0,3549.0,1420.0,305.0,177.0,845,321
Wolgye 1(il)-dong,Nowon-gu,1379.0,5506.0,2007.0,1509.0,591.0,3139.0,977.0,810.0,434.0,48,5
Wolgye 2(i)-dong,Nowon-gu,1047.0,3592.0,1559.0,1069.0,320.0,2335.0,1135.0,184.0,100.0,4,4
Wolgye 3(sam)-dong,Nowon-gu,950.0,3746.0,1755.0,966.0,331.0,2334.0,1121.0,151.0,115.0,295,188
Gongneung 2(i)-dong,Nowon-gu,1813.0,10912.0,5498.0,1915.0,776.0,6928.0,3512.0,1970.0,1139.0,99,71
Hagye 1(il)-dong,Nowon-gu,914.0,6791.0,3241.0,891.0,364.0,5151.0,2372.0,669.0,462.0,80,43
Hagye 2(i)-dong,Nowon-gu,380.0,1064.0,606.0,407.0,148.0,595.0,422.0,49.0,36.0,13,-
Junggyebon-dong,Nowon-gu,1158.0,5241.0,2643.0,1264.0,540.0,2588.0,1295.0,1303.0,737.0,86,71
Junggye 1(il)-dong,Nowon-gu,910.0,4012.0,2221.0,929.0,405.0,2151.0,1261.0,706.0,416.0,226,139
Junggye 4(sa)-dong,Nowon-gu,1002.0,3711.0,2040.0,1112.0,518.0,1779.0,929.0,786.0,564.0,34,29
Sanggye 1(il)-dong,Nowon-gu,2827.0,7954.0,3296.0,2895.0,787.0,3707.0,1565.0,1065.0,703.0,287,241
Sanggye 2(i)-dong,Nowon-gu,2176.0,8370.0,4616.0,2411.0,1099.0,3973.0,2328.0,1745.0,1037.0,241,152
Sanggye 5(o)-dong,Nowon-gu,1349.0,3319.0,1737.0,1408.0,622.0,1223.0,707.0,518.0,307.0,170,101
Sanggye 8(pal)-dong,Nowon-gu,600.0,1885.0,1103.0,637.0,270.0,1010.0,673.0,228.0,151.0,10,9
Sanggye 9(gu)-dong,Nowon-gu,730.0,2360.0,1294.0,759.0,295.0,1180.0,697.0,373.0,268.0,48,34
Sanggye 10(sip)-dong,Nowon-gu,484.0,2139.0,890.0,473.0,168.0,1411.0,543.0,247.0,175.0,8,4
Sanggye 3.4(sam.sa)-dong,Nowon-gu,1699.0,4773.0,1962.0,1800.0,719.0,2462.0,958.0,468.0,262.0,43,23
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,1939.0,14042.0,8482.0,1821.0,736.0,8357.0,4676.0,1004.0,663.0,2860,2407
Junggye 2.3(i.sam)-dong,Nowon-gu,1233.0,4835.0,2873.0,1337.0,622.0,2722.0,1707.0,758.0,527.0,18,17
Gongneung 1(il)-dong,Nowon-gu,2583.0,10273.0,4999.0,2615.0,1022.0,6381.0,3079.0,916.0,589.0,361,309
Nokbeon-dong,Eunpyeong-gu,1564.0,8097.0,3795.0,1628.0,707.0,5281.0,2466.0,809.0,385.0,379,237
Bulgwang 1(il)-dong,Eunpyeong-gu,1672.0,6914.0,4142.0,1824.0,840.0,3040.0,1752.0,990.0,655.0,1060,895
