Dong,사업_사업체현황종사상지위별_Gu_Gu,사업_사업체현황종사상지위별_total_No. of establishments,사업_사업체현황종사상지위별_total_No. of workers,사업_사업체현황종사상지위별_total_Female employee,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Sub total,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Female employee,사업_사업체현황종사상지위별_Regular workers_Sub total,사업_사업체현황종사상지위별_Regular workers_Female employee,사업_사업체현황종사상지위별_Temporary and dayworkers_Sub total,사업_사업체현황종사상지위별_Temporary and dayworkers_Female employee,사업_사업체현황종사상지위별_Other workers_Sub total,사업_사업체현황종사상지위별_Other workers_Female employee
Hongje 3(sam)-dong,Seodaemun-gu,1271.0,3848.0,2041.0,1351.0,608.0,1617.0,904.0,749.0,452.0,131,77
Hongje 2(i)-dong,Seodaemun-gu,592.0,1666.0,804.0,588.0,295.0,819.0,341.0,223.0,144.0,36,24
Hongeun 1(il)-dong,Seodaemun-gu,1029.0,2398.0,1211.0,1130.0,492.0,1012.0,572.0,166.0,99.0,90,48
Hongeun 2(i)-dong,Seodaemun-gu,1148.0,5636.0,2615.0,1232.0,495.0,3291.0,1446.0,944.0,562.0,169,112
Namgajwa 1(il)-dong,Seodaemun-gu,640.0,1253.0,744.0,711.0,401.0,475.0,298.0,44.0,30.0,23,15
Namgajwa 2(i)-dong,Seodaemun-gu,1554.0,4268.0,2051.0,1794.0,783.0,1913.0,980.0,526.0,267.0,35,21
Bukgajwa 1(il)-dong,Seodaemun-gu,504.0,2025.0,703.0,494.0,153.0,1316.0,512.0,78.0,33.0,137,5
Bukgajwa 2(i)-dong,Seodaemun-gu,2261.0,6294.0,2517.0,2376.0,736.0,2353.0,1024.0,1273.0,608.0,292,149
Chunghyeon-dong,Seodaemun-gu,1709.0,21801.0,9114.0,1342.0,608.0,16104.0,6063.0,2062.0,974.0,2293,1469
Bugahyeon-dong,Seodaemun-gu,699.0,1862.0,895.0,755.0,299.0,756.0,381.0,316.0,198.0,35,17
Sinchon-dong,Seodaemun-gu,3725.0,30866.0,17465.0,3615.0,1701.0,18130.0,10337.0,7776.0,4597.0,1345,830
Yeonhui-dong,Seodaemun-gu,2138.0,10258.0,4471.0,2042.0,849.0,6502.0,2899.0,1420.0,547.0,294,176
Yonggang-dong,Mapo-gu,2390.0,15534.0,6313.0,1479.0,660.0,11851.0,4614.0,1689.0,842.0,515,197
Daeheung-dong,Mapo-gu,1628.0,10395.0,5138.0,1613.0,677.0,5916.0,2750.0,1849.0,1032.0,1017,679
Yeomni-dong,Mapo-gu,787.0,4964.0,2152.0,784.0,346.0,3804.0,1639.0,276.0,123.0,100,44
Sinsu-dong,Mapo-gu,1382.0,5800.0,2869.0,1256.0,356.0,3607.0,1755.0,255.0,119.0,682,639
Seogyo-dong,Mapo-gu,8274.0,52524.0,25648.0,6417.0,2647.0,33657.0,16225.0,9441.0,4796.0,3009,1980
Hapjeong-dong,Mapo-gu,1843.0,9941.0,4418.0,1566.0,625.0,6876.0,3032.0,915.0,409.0,584,352
Mangwon 1(il)-dong,Mapo-gu,1380.0,4690.0,2347.0,1469.0,593.0,2522.0,1373.0,486.0,216.0,213,165
Mangwon 2(i)-dong,Mapo-gu,1246.0,3392.0,1432.0,1246.0,535.0,1857.0,737.0,248.0,138.0,41,22
Yeonnam-dong,Mapo-gu,1220.0,5242.0,2155.0,1165.0,483.0,3085.0,1383.0,925.0,244.0,67,45
Seongsan 1(il)-dong,Mapo-gu,1600.0,9378.0,3676.0,1204.0,431.0,5954.0,2443.0,2042.0,708.0,178,94
Seongsan 2(i)-dong,Mapo-gu,1675.0,8434.0,3932.0,1552.0,615.0,5524.0,2469.0,1325.0,825.0,33,23
Sangam-dong,Mapo-gu,1761.0,28598.0,10140.0,1330.0,623.0,25309.0,8387.0,1514.0,961.0,445,169
Dohwa-dong,Mapo-gu,1855.0,14318.0,6179.0,1416.0,638.0,10545.0,4361.0,1705.0,770.0,652,410
Seogang-dong,Mapo-gu,1395.0,10170.0,4711.0,1183.0,473.0,7788.0,3524.0,1016.0,624.0,183,90
gongdeok-dong,Mapo-gu,2622.0,18749.0,8174.0,2387.0,1051.0,12192.0,5290.0,2563.0,878.0,1607,955
Ahyeon-dong,Mapo-gu,1735.0,12492.0,4951.0,1490.0,694.0,9511.0,3315.0,989.0,535.0,502,407
Mok 1(il)-dong,Yangcheon-gu,2617.0,22037.0,9381.0,2022.0,973.0,15489.0,5792.0,3370.0,1858.0,1156,758
Mok 2(i)-dong,Yangcheon-gu,1156.0,3604.0,1719.0,1222.0,536.0,1820.0,900.0,370.0,188.0,192,95
Mok 3(sam)-dong,Yangcheon-gu,1227.0,3917.0,2159.0,1334.0,646.0,1607.0,925.0,838.0,497.0,138,91
Mok 4(sa)-dong,Yangcheon-gu,1373.0,3666.0,1902.0,1543.0,727.0,1549.0,877.0,490.0,256.0,84,42
Sinwol 1(il)-dong,Yangcheon-gu,1779.0,5028.0,2192.0,2051.0,866.0,2243.0,872.0,578.0,339.0,156,115
Sinwol 2(i)-dong,Yangcheon-gu,1101.0,3715.0,1604.0,1184.0,430.0,1940.0,853.0,529.0,282.0,62,39
Sinwol 3(sam)-dong,Yangcheon-gu,1005.0,4187.0,1607.0,1002.0,366.0,2451.0,911.0,471.0,232.0,263,98
Sinwol 4(sa)-dong,Yangcheon-gu,1150.0,3786.0,1476.0,1238.0,484.0,1666.0,661.0,644.0,288.0,238,43
Sinwol 5(o)-dong,Yangcheon-gu,951.0,3393.0,1696.0,1020.0,402.0,1806.0,963.0,478.0,255.0,89,76
Sinwol 6(yuk)-dong,Yangcheon-gu,1638.0,3473.0,1120.0,1686.0,334.0,1300.0,604.0,364.0,115.0,123,67
Sinwol 7(chil)-dong,Yangcheon-gu,1367.0,5355.0,1883.0,1402.0,518.0,3346.0,961.0,511.0,342.0,96,62
Sinjeong 1(il)-dong,Yangcheon-gu,1054.0,4451.0,2246.0,1079.0,530.0,2734.0,1396.0,453.0,182.0,185,138
Sinjeong 2(i)-dong,Yangcheon-gu,1103.0,3708.0,2036.0,1163.0,532.0,1838.0,1080.0,457.0,259.0,250,165
Sinjeong 3(sam)-dong,Yangcheon-gu,1991.0,7934.0,3324.0,1960.0,741.0,5116.0,2116.0,787.0,407.0,71,60
Sinjeong 6(yuk)-dong,Yangcheon-gu,693.0,5130.0,2514.0,675.0,331.0,3975.0,1855.0,296.0,193.0,184,135
Sinjeong 7(chil)-dong,Yangcheon-gu,1016.0,4365.0,1864.0,1007.0,411.0,2709.0,1066.0,515.0,293.0,134,94
Mok 5(o)-dong,Yangcheon-gu,1489.0,9703.0,5464.0,1450.0,752.0,6798.0,3979.0,1346.0,663.0,109,70
Sinjeong 4(sa)-dong,Yangcheon-gu,3010.0,12547.0,5726.0,2985.0,1248.0,5979.0,2529.0,1943.0,1028.0,1640,921
Yeomchang-dong,Gangseo-gu,2157.0,15145.0,5923.0,1649.0,725.0,11249.0,4046.0,1635.0,746.0,612,406
Deungchon 1(il)-dong,Gangseo-gu,1742.0,10265.0,4301.0,1384.0,589.0,7594.0,2915.0,982.0,608.0,305,189
Deungchon 2(i)-dong,Gangseo-gu,712.0,3351.0,1430.0,705.0,280.0,2094.0,818.0,428.0,236.0,124,96
Deungchon 3(sam)-dong,Gangseo-gu,2296.0,19501.0,9735.0,1793.0,733.0,14349.0,7219.0,1986.0,1271.0,1373,512
Hwagokbon-dong,Gangseo-gu,1368.0,3954.0,2222.0,1457.0,643.0,1924.0,1239.0,492.0,295.0,81,45
Hwagok 2(i)-dong,Gangseo-gu,842.0,2340.0,1163.0,902.0,374.0,1278.0,687.0,118.0,72.0,42,30
Hwagok 3(sam)-dong,Gangseo-gu,1177.0,3975.0,2433.0,1242.0,558.0,1794.0,1149.0,450.0,306.0,489,420
Hwagok 4(sa)-dong,Gangseo-gu,1445.0,3549.0,1777.0,1674.0,750.0,1510.0,820.0,318.0,181.0,47,26
Hwagok 6(yuk)-dong,Gangseo-gu,1831.0,11125.0,5056.0,1800.0,803.0,6232.0,2054.0,1663.0,907.0,1430,1292
Hwagok 8(pal)-dong,Gangseo-gu,1214.0,3156.0,1570.0,1289.0,567.0,1489.0,808.0,203.0,107.0,175,88
Gayang 1(il)-dong,Gangseo-gu,1225.0,9936.0,3288.0,945.0,353.0,5847.0,1947.0,2405.0,854.0,739,134
Gayang 2(i)-dong,Gangseo-gu,651.0,3293.0,1622.0,532.0,208.0,2062.0,1121.0,561.0,193.0,138,100
Gayang 3(sam)-dong,Gangseo-gu,861.0,6785.0,2500.0,538.0,158.0,5229.0,1942.0,900.0,346.0,118,54
Balsan 1(il)-dong,Gangseo-gu,2147.0,10930.0,4711.0,2015.0,850.0,7346.0,2906.0,872.0,486.0,697,469
Gonghang-dong,Gangseo-gu,1822.0,33019.0,15891.0,1531.0,617.0,29532.0,14451.0,1600.0,724.0,356,99
Banghwa 1(il)-dong,Gangseo-gu,1957.0,7140.0,3535.0,1985.0,861.0,4004.0,2130.0,558.0,305.0,593,239
Banghwa 2(i)-dong,Gangseo-gu,3160.0,12658.0,4456.0,2903.0,815.0,7660.0,2520.0,1523.0,887.0,572,234
Banghwa 3(sam)-dong,Gangseo-gu,853.0,3824.0,1438.0,795.0,267.0,2565.0,880.0,344.0,258.0,120,33
Hwagok 1(il)-dong,Gangseo-gu,2987.0,8395.0,4099.0,3236.0,1392.0,3491.0,1859.0,1406.0,677.0,262,171
Ujangsan-dong,Gangseo-gu,1574.0,5940.0,3145.0,1477.0,672.0,3354.0,1722.0,803.0,505.0,306,246
Sindorim-dong,Guro-gu,2569.0,13854.0,6402.0,2222.0,722.0,8578.0,4118.0,2640.0,1247.0,414,315
Guro 1(il)-dong,Guro-gu,675.0,2971.0,1454.0,689.0,293.0,1617.0,660.0,661.0,501.0,4,-
Guro 3(sam)-dong,Guro-gu,5737.0,78879.0,28373.0,2647.0,981.0,68708.0,23469.0,5857.0,3047.0,1667,876
Guro 4(sa)-dong,Guro-gu,2011.0,5476.0,2993.0,2272.0,1156.0,2508.0,1376.0,538.0,341.0,158,120
Guro 5(o)-dong,Guro-gu,4619.0,24401.0,11633.0,3966.0,1241.0,16172.0,7865.0,2866.0,1534.0,1397,993
Gocheok 1(il)-dong,Guro-gu,2456.0,7829.0,3135.0,2382.0,718.0,4615.0,1993.0,809.0,416.0,23,8
Gocheok 2(i)-dong,Guro-gu,1155.0,3432.0,1808.0,1256.0,639.0,1701.0,870.0,380.0,229.0,95,70
Gaebong 2(i)-dong,Guro-gu,1170.0,2703.0,1386.0,1235.0,514.0,1155.0,676.0,269.0,168.0,44,28
Gaebong 3(sam)-dong,Guro-gu,1002.0,3803.0,1629.0,1056.0,442.0,1439.0,814.0,1248.0,340.0,60,33
Oryu 1(il)-dong,Guro-gu,1080.0,4353.0,2239.0,1162.0,540.0,2298.0,1075.0,596.0,386.0,297,238
Oryu 2(i)-dong,Guro-gu,1406.0,6306.0,2293.0,1397.0,530.0,4189.0,1439.0,558.0,315.0,162,9
Sugung-dong,Guro-gu,1091.0,5602.0,1935.0,1104.0,409.0,4005.0,1314.0,397.0,143.0,96,69
Garibong-dong,Guro-gu,1032.0,2877.0,1639.0,1239.0,609.0,994.0,628.0,424.0,233.0,220,169
Guro 2(i)-dong,Guro-gu,7577.0,25793.0,10043.0,6547.0,1803.0,17935.0,7516.0,1022.0,542.0,289,182
Gaebong 1(il)-dong,Guro-gu,1772.0,5381.0,2662.0,1825.0,744.0,2611.0,1333.0,722.0,433.0,223,152
Gasan-dong,Geumcheon-gu,11813.0,140007.0,48108.0,5787.0,2036.0,121015.0,39370.0,10403.0,5227.0,2802,1475
Doksan 1(il)-dong,Geumcheon-gu,3233.0,18814.0,6926.0,3000.0,1105.0,13093.0,4187.0,2174.0,1287.0,547,347
Doksan 2(i)-dong,Geumcheon-gu,1237.0,3323.0,1633.0,1318.0,534.0,1326.0,697.0,499.0,271.0,180,131
Doksan 3(sam)-dong,Geumcheon-gu,2226.0,8511.0,3994.0,2299.0,935.0,4945.0,2159.0,810.0,561.0,457,339
Doksan 4(sa)-dong,Geumcheon-gu,1060.0,3096.0,1565.0,1113.0,475.0,1327.0,625.0,522.0,372.0,134,93
Siheung 1(il)-dong,Geumcheon-gu,3018.0,13368.0,6744.0,3383.0,1559.0,7926.0,3884.0,1718.0,1015.0,341,286
Siheung 2(i)-dong,Geumcheon-gu,551.0,1787.0,1044.0,553.0,200.0,1039.0,720.0,86.0,44.0,109,80
Siheung 3(sam)-dong,Geumcheon-gu,3182.0,9142.0,2493.0,2730.0,565.0,5523.0,1653.0,761.0,230.0,128,45
Siheung 4(sa)-dong,Geumcheon-gu,882.0,1956.0,1017.0,925.0,370.0,753.0,470.0,250.0,159.0,28,18
Siheung 5(o)-dong,Geumcheon-gu,1204.0,3451.0,1706.0,1351.0,605.0,1696.0,827.0,336.0,207.0,68,67
Yeouido-dong,Yeongdeungpo-gu,7564.0,150020.0,56880.0,4143.0,1934.0,130680.0,47229.0,11143.0,5723.0,4054,1994
Dangsan 1(il)-dong,Yeongdeungpo-gu,3092.0,16953.0,7451.0,2769.0,1016.0,11461.0,4886.0,1573.0,733.0,1150,816
Dangsan2(i)-dong,Yeongdeungpo-gu,2164.0,16477.0,7986.0,1852.0,829.0,11383.0,5030.0,1979.0,1070.0,1263,1057
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,3186.0,19922.0,7114.0,2646.0,507.0,13968.0,4956.0,2974.0,1409.0,334,242
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,2074.0,18234.0,6422.0,1559.0,597.0,14769.0,4955.0,1443.0,500.0,463,370
Singil 1(il)-dong,Yeongdeungpo-gu,1177.0,4035.0,2053.0,1358.0,612.0,2261.0,1167.0,374.0,246.0,42,28
Singil 3(sam)-dong,Yeongdeungpo-gu,1007.0,3056.0,1319.0,1120.0,512.0,1634.0,651.0,286.0,150.0,16,6
Singil 4(sa)-dong,Yeongdeungpo-gu,595.0,1567.0,801.0,598.0,238.0,729.0,377.0,139.0,85.0,101,101
Singil 5(o)-dong,Yeongdeungpo-gu,689.0,2079.0,836.0,674.0,229.0,1125.0,430.0,175.0,95.0,105,82
Singil 6(yuk)-dong,Yeongdeungpo-gu,1232.0,3974.0,2055.0,1235.0,508.0,2276.0,1244.0,454.0,296.0,9,7
Singil 7(chil)-dong,Yeongdeungpo-gu,591.0,3030.0,1514.0,556.0,228.0,1954.0,916.0,458.0,345.0,62,25
Daerim 1(il)-dong,Yeongdeungpo-gu,1129.0,4079.0,2322.0,1253.0,607.0,2580.0,1564.0,199.0,119.0,47,32
Daerim 2(i)-dong,Yeongdeungpo-gu,1408.0,4437.0,2072.0,1527.0,708.0,2397.0,1098.0,328.0,176.0,185,90
Daerim 3(sam)-dong,Yeongdeungpo-gu,2907.0,10781.0,4569.0,2786.0,853.0,6691.0,2960.0,1065.0,564.0,239,192
Yeongdeungpobon-dong,Yeongdeungpo-gu,1240.0,4537.0,2386.0,1277.0,593.0,2053.0,1032.0,1141.0,718.0,66,43
Yeongdeungpo-dong,Yeongdeungpo-gu,6076.0,34547.0,15846.0,5765.0,2232.0,21977.0,10215.0,4173.0,2482.0,2632,917
Dorim-dong,Yeongdeungpo-gu,1025.0,3138.0,1203.0,1036.0,407.0,1511.0,536.0,512.0,219.0,79,41
Mullae-dong,Yeongdeungpo-gu,4995.0,36161.0,13189.0,4240.0,1143.0,27761.0,9968.0,2923.0,1391.0,1237,687
Noryangjin 2(i)-dong,Dongjak-gu,1035.0,5138.0,2662.0,1161.0,561.0,2987.0,1446.0,555.0,342.0,435,313
Sangdo 1(il)-dong,Dongjak-gu,1724.0,6250.0,3005.0,1839.0,820.0,3540.0,1641.0,637.0,382.0,234,162
Sangdo 2(i)-dong,Dongjak-gu,1261.0,4090.0,2202.0,1302.0,621.0,1945.0,1007.0,694.0,465.0,149,109
Sangdo 3(sam)-dong,Dongjak-gu,989.0,2720.0,1460.0,1152.0,518.0,1045.0,608.0,349.0,194.0,174,140
Sangdo 4(sa)-dong,Dongjak-gu,1006.0,2879.0,1555.0,1144.0,480.0,1480.0,922.0,219.0,127.0,36,26
Sadang 1(il)-dong,Dongjak-gu,1744.0,8660.0,4262.0,1683.0,728.0,4052.0,1908.0,1098.0,578.0,1827,1048
Sadang 3(sam)-dong,Dongjak-gu,1037.0,4303.0,2108.0,998.0,390.0,2371.0,1110.0,871.0,553.0,63,55
Sadang 4(sa)-dong,Dongjak-gu,663.0,1638.0,831.0,768.0,336.0,655.0,368.0,190.0,107.0,25,20
Sadang 5(o)-dong,Dongjak-gu,517.0,1692.0,787.0,514.0,192.0,940.0,492.0,231.0,103.0,7,-
Daebang-dong,Dongjak-gu,1689.0,12717.0,4983.0,1670.0,726.0,7746.0,3363.0,2872.0,628.0,429,266
Sindaebang 1(il)-dong,Dongjak-gu,1050.0,4496.0,2016.0,1094.0,518.0,2743.0,1132.0,485.0,219.0,174,147
Sindaebang 2(i)-dong,Dongjak-gu,1254.0,27372.0,11883.0,1182.0,567.0,21556.0,8825.0,3580.0,2026.0,1054,465
Heukseok-dong,Dongjak-gu,1622.0,9671.0,4833.0,1868.0,912.0,5561.0,2869.0,2147.0,1006.0,95,46
Noryangjin 1(il)-dong,Dongjak-gu,2893.0,11058.0,5228.0,4067.0,1919.0,4561.0,2265.0,1819.0,855.0,611,189
Sadang 2(i)-dong,Dongjak-gu,1551.0,5323.0,2745.0,1692.0,818.0,2700.0,1352.0,854.0,521.0,77,54
Boramae-dong,Gwanak-gu,1316.0,4966.0,2579.0,1325.0,627.0,3044.0,1578.0,544.0,364.0,53,10
Cheongnim-dong,Gwanak-gu,430.0,1059.0,571.0,468.0,223.0,389.0,222.0,144.0,86.0,58,40
Haengun-dong,Gwanak-gu,1397.0,5161.0,2710.0,1455.0,640.0,2699.0,1421.0,941.0,603.0,66,46
Nagseongdae-dong,Gwanak-gu,1277.0,7971.0,3965.0,1248.0,571.0,5171.0,2520.0,954.0,504.0,598,370
Jungang-dong,Gwanak-gu,1469.0,4681.0,2441.0,1479.0,446.0,2190.0,1263.0,496.0,332.0,516,400
Inheon-dong,Gwanak-gu,1123.0,4406.0,2261.0,1257.0,558.0,2580.0,1439.0,521.0,240.0,48,24
Namhyeon-dong,Gwanak-gu,842.0,5952.0,2735.0,821.0,383.0,3370.0,1293.0,1420.0,768.0,341,291
Sewon-dong,Gwanak-gu,1298.0,6702.0,3626.0,1357.0,584.0,3457.0,1890.0,1452.0,827.0,436,325
Sinwon-dong,Gwanak-gu,877.0,2256.0,1220.0,1039.0,476.0,899.0,556.0,172.0,92.0,146,96
Serim-dong,Gwanak-gu,857.0,2755.0,1153.0,933.0,370.0,1188.0,526.0,541.0,190.0,93,67
Sinsa-dong,Gwanak-gu,1451.0,4365.0,2127.0,1590.0,684.0,1836.0,889.0,735.0,410.0,204,144
Sillim-dong,Gwanak-gu,1744.0,5632.0,2680.0,1914.0,908.0,2396.0,1125.0,1129.0,519.0,193,128
Nanhyang-dong,Gwanak-gu,392.0,1685.0,827.0,414.0,151.0,1086.0,540.0,176.0,128.0,9,8
Jowon-dong,Gwanak-gu,2172.0,7225.0,3323.0,2364.0,944.0,3197.0,1305.0,1198.0,741.0,466,333
Daehak-dong,Gwanak-gu,1562.0,11988.0,5330.0,1690.0,754.0,7569.0,3100.0,2621.0,1419.0,108,57
Euncheon-dong,Gwanak-gu,1673.0,7535.0,3461.0,1648.0,670.0,3653.0,1815.0,1941.0,837.0,293,139
Seonghyeon-dong,Gwanak-gu,834.0,2449.0,1328.0,852.0,337.0,1349.0,851.0,178.0,101.0,70,39
Cheongnyong-dong,Gwanak-gu,1946.0,12463.0,6032.0,1996.0,917.0,5362.0,2266.0,4788.0,2574.0,317,275
Nangok-dong,Gwanak-gu,935.0,1988.0,975.0,953.0,339.0,922.0,561.0,109.0,72.0,4,3
Samseong-dong,Gwanak-gu,1139.0,2615.0,1279.0,1235.0,523.0,997.0,574.0,253.0,93.0,130,89
Miseong-dong,Gwanak-gu,1575.0,5201.0,2410.0,1547.0,590.0,2672.0,1353.0,679.0,381.0,303,86
Seocho 1(il)-dong,Seocho-gu,3047.0,26660.0,10023.0,2059.0,765.0,19820.0,6989.0,4178.0,2028.0,603,241
Seocho 2(i)-dong,Seocho-gu,4253.0,49210.0,17029.0,2445.0,1061.0,40634.0,13458.0,4127.0,1414.0,2004,1096
Seocho 3(sam)-dong,Seocho-gu,6884.0,65115.0,26065.0,4364.0,1516.0,52763.0,21411.0,6014.0,2264.0,1974,874
Seocho 4(sa)-dong,Seocho-gu,2704.0,27523.0,12078.0,2128.0,825.0,20789.0,9184.0,3695.0,1617.0,911,452
Jamwon-dong,Seocho-gu,2176.0,13886.0,6399.0,1650.0,725.0,10832.0,4773.0,1131.0,708.0,273,193
Banpobon-dong,Seocho-gu,668.0,2280.0,1271.0,667.0,393.0,1216.0,584.0,206.0,154.0,191,140
Banpo 1(il)-dong,Seocho-gu,1548.0,9227.0,3890.0,1318.0,613.0,6263.0,2744.0,1365.0,358.0,281,175
Banpo 2(i)-dong,Seocho-gu,428.0,2223.0,1141.0,383.0,199.0,1634.0,816.0,202.0,123.0,4,3
Banpo 3(sam)-dong,Seocho-gu,887.0,5949.0,3296.0,787.0,384.0,4492.0,2588.0,334.0,195.0,336,129
Banpo 4(sa)-dong,Seocho-gu,3382.0,29186.0,14156.0,3164.0,1725.0,20874.0,9879.0,4416.0,2215.0,732,337
Bangbaebon-dong,Seocho-gu,1606.0,10745.0,5253.0,1377.0,631.0,8448.0,4149.0,704.0,345.0,216,128
Bangbae 1(il)-dong,Seocho-gu,1629.0,13769.0,4303.0,1225.0,532.0,6854.0,2850.0,5510.0,811.0,180,110
Bangbae 2(i)-dong,Seocho-gu,1771.0,14947.0,5010.0,1363.0,561.0,9824.0,3757.0,3099.0,303.0,661,389
Bangbae 3(sam)-dong,Seocho-gu,1103.0,10484.0,3664.0,816.0,356.0,7815.0,2837.0,1756.0,427.0,97,44
Bangbae 4(sa)-dong,Seocho-gu,2265.0,13140.0,5075.0,1805.0,778.0,8715.0,3591.0,2400.0,578.0,220,128
Yangjae 1(il)-dong,Seocho-gu,3090.0,30202.0,9721.0,2002.0,819.0,22458.0,7711.0,5301.0,973.0,441,218
Yangjae 2(i)-dong,Seocho-gu,4981.0,44373.0,13913.0,3395.0,1376.0,37205.0,11342.0,3395.0,1139.0,378,56
Naegok-dong,Seocho-gu,460.0,5035.0,2052.0,501.0,201.0,4225.0,1674.0,274.0,168.0,35,9
Sinsa-dong,Gangnam-gu,4334.0,27047.0,13791.0,3281.0,1472.0,20968.0,10596.0,2196.0,1352.0,602,371
Nonhyeon 1(il)-dong,Gangnam-gu,4970.0,38902.0,16957.0,3453.0,1405.0,30234.0,13488.0,3918.0,1617.0,1297,447
Nonhyeon 2(i)-dong,Gangnam-gu,5128.0,56495.0,23021.0,3107.0,1244.0,44929.0,18800.0,7721.0,2502.0,738,475
Samseong 1(il)-dong,Gangnam-gu,3170.0,49715.0,18535.0,1684.0,741.0,43400.0,16261.0,3609.0,1192.0,1022,341
Samseong 2(i)-dong,Gangnam-gu,3008.0,30057.0,12556.0,1970.0,852.0,24266.0,9564.0,2009.0,1068.0,1812,1072
Daechi 1(il)-dong,Gangnam-gu,1004.0,6550.0,3438.0,864.0,413.0,3715.0,1941.0,809.0,490.0,1162,594
Daechi 4(sa)-dong,Gangnam-gu,3242.0,26790.0,11067.0,2526.0,1100.0,19445.0,7183.0,2560.0,1661.0,2259,1123
Yeoksam 1(il)-dong,Gangnam-gu,12516.0,144308.0,56355.0,7474.0,3026.0,113792.0,43662.0,15844.0,6265.0,7198,3402
Yeoksam 2(i)-dong,Gangnam-gu,2956.0,34579.0,13974.0,1971.0,925.0,28838.0,11382.0,2888.0,1355.0,882,312
Dogok 1(il)-dong,Gangnam-gu,1392.0,14298.0,5962.0,977.0,413.0,11352.0,4897.0,1703.0,585.0,266,67
Dogok 2(i)-dong,Gangnam-gu,1646.0,18453.0,7402.0,1065.0,510.0,13892.0,5260.0,3227.0,1497.0,269,135
Gaepo 1(il)-dong,Gangnam-gu,459.0,1318.0,560.0,496.0,213.0,668.0,304.0,123.0,19.0,31,24
Gaepo 4(sa)-dong,Gangnam-gu,3257.0,11318.0,3740.0,2600.0,602.0,7864.0,2838.0,699.0,199.0,155,101
Irwonbon-dong,Gangnam-gu,492.0,8073.0,5917.0,488.0,221.0,7489.0,5621.0,72.0,59.0,24,16
Irwon 1(il)-dong,Gangnam-gu,894.0,5454.0,2416.0,915.0,418.0,3582.0,1483.0,671.0,311.0,286,204
Irwon 2(i)-dong,Gangnam-gu,575.0,5064.0,1816.0,476.0,206.0,3876.0,1219.0,639.0,359.0,73,32
Suseo-dong,Gangnam-gu,1333.0,17294.0,6155.0,768.0,307.0,14789.0,5002.0,1271.0,766.0,466,80
Segok-dong,Gangnam-gu,437.0,2422.0,840.0,387.0,138.0,1723.0,596.0,221.0,99.0,91,7
Apgujeong -dong,Gangnam-gu,3778.0,28387.0,15585.0,2798.0,1292.0,22213.0,12237.0,2837.0,1741.0,539,315
Cheongdam -dong,Gangnam-gu,3793.0,36500.0,17914.0,2824.0,1431.0,27437.0,13836.0,5375.0,2131.0,864,516
Daechi 2(i)-dong,Gangnam-gu,3220.0,50271.0,19815.0,2394.0,1220.0,40381.0,15813.0,4730.0,1573.0,2766,1209
Gaepo 2(i)-dong,Gangnam-gu,1010.0,4045.0,1999.0,991.0,447.0,2610.0,1274.0,248.0,132.0,196,146
Pungnap 1(il)-dong,Songpa-gu,806.0,2501.0,1384.0,802.0,349.0,1211.0,662.0,248.0,148.0,240,225
Pungnap 2(i)-dong,Songpa-gu,1236.0,14873.0,8837.0,1195.0,505.0,11815.0,7211.0,1645.0,1027.0,218,94
Geoyeo 1(il)-dong,Songpa-gu,828.0,2534.0,1192.0,821.0,319.0,1328.0,638.0,251.0,152.0,134,83
Geoyeo 2(i)-dong,Songpa-gu,1223.0,4400.0,1988.0,1252.0,495.0,2428.0,1054.0,567.0,334.0,153,105
Macheon 1(il)-dong,Songpa-gu,910.0,2057.0,946.0,1015.0,418.0,733.0,440.0,124.0,63.0,185,25
Macheon 2(i)-dong,Songpa-gu,1340.0,3993.0,1860.0,1469.0,636.0,2158.0,972.0,310.0,217.0,56,35
Bangi 1(il)-dong,Songpa-gu,1312.0,8976.0,3531.0,1229.0,588.0,6031.0,2270.0,1506.0,527.0,210,146
Bangi 2(i)-dong,Songpa-gu,2771.0,21572.0,8356.0,2338.0,1032.0,16285.0,6364.0,2459.0,705.0,490,255
Oryun-dong,Songpa-gu,510.0,4286.0,1919.0,385.0,222.0,3330.0,1380.0,571.0,317.0,-,-
Ogeum-dong,Songpa-gu,3197.0,16645.0,6145.0,2958.0,892.0,10765.0,3997.0,2696.0,1131.0,226,125
Songpa 1(il)-dong,Songpa-gu,2442.0,11419.0,4207.0,2238.0,813.0,5632.0,2270.0,3179.0,838.0,370,286
Songpa 2(i)-dong,Songpa-gu,881.0,5434.0,2074.0,868.0,421.0,3650.0,1321.0,776.0,234.0,140,98
Seokchon-dong,Songpa-gu,2757.0,14313.0,5725.0,2553.0,1116.0,8598.0,3665.0,2323.0,438.0,839,506
Samjeon-dong,Songpa-gu,1972.0,10176.0,3511.0,1945.0,834.0,5401.0,2165.0,1824.0,370.0,1006,142
Garakbon-dong,Songpa-gu,3460.0,28071.0,11133.0,2662.0,1119.0,21446.0,8161.0,3490.0,1483.0,473,370
Garak 1(il)-dong,Songpa-gu,3322.0,11184.0,3140.0,1729.0,708.0,8118.0,2133.0,1315.0,293.0,22,6
Garak 2(i)-dong,Songpa-gu,1832.0,8739.0,3751.0,1748.0,796.0,5901.0,2359.0,862.0,475.0,228,121
