Dong,사업_사업체분포다수업종상위10_Gu_Gu_Gu,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_종사자수
Sajik-dong,Jongno-gu,8,8,346,1447,11,11.0,55.0,119.0,91,209,27,46,27,67,3,4,132,445,36,-
Samcheong-dong,Jongno-gu,4,4,61,296,9,9.0,5.0,11.0,X,2,-,-,16,28,X,8,79,257,14,-
Buam-dong,Jongno-gu,16,16,29,114,17,17.0,13.0,16.0,13,35,7,12,6,7,-,-,32,77,13,-
Pyeongchang-dong,Jongno-gu,16,16,57,259,24,29.0,32.0,40.0,21,28,17,22,4,4,X,3,17,48,11,-
Muak-dong,Jongno-gu,10,10,19,47,294,297.0,13.0,15.0,6,11,9,10,-,-,-,-,6,8,7,-
Gyonam-dong,Jongno-gu,13,13,25,80,15,15.0,9.0,11.0,6,19,7,8,6,10,-,-,8,23,9,-
Gahoe-dong,Jongno-gu,10,10,74,303,8,10.0,15.0,18.0,12,31,8,9,X,1,5,13,42,125,14,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,X,1,930,3840,19,30.0,109.0,265.0,288,1033,32,85,102,192,246,310,322,1182,172,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,6,6,290,889,24,55.0,68.0,102.0,47,93,19,30,43,85,83,261,72,170,66,-
Ihwa-dong,Jongno-gu,9,9,108,448,20,20.0,9.0,16.0,33,153,8,17,12,17,6,33,73,381,14,-
Changsin 1(il)-dong,Jongno-gu,12,12,116,312,13,13.0,33.0,44.0,26,47,12,22,48,83,42,64,13,29,39,-
Changsin 2(i)-dong,Jongno-gu,8,8,59,149,24,24.0,19.0,23.0,19,36,23,25,7,13,X,3,5,7,24,-
Changsin 3(sam)-dong,Jongno-gu,38,38,15,34,26,26.0,13.0,18.0,-,-,10,15,-,-,-,-,5,8,6,-
Sungin 1(il)-dong,Jongno-gu,8,8,28,88,24,25.0,13.0,21.0,5,15,10,18,X,4,11,62,4,7,12,-
Sungin 2(i)-dong,Jongno-gu,13,13,113,278,34,34.0,28.0,42.0,24,47,14,25,15,25,11,39,19,57,32,-
Cheongunhyoja-dong,Jongno-gu,29,29,48,112,23,31.0,28.0,39.0,6,7,16,21,10,13,X,1,33,77,18,-
Hyehwa-dong,Jongno-gu,32,32,180,650,28,28.0,38.0,63.0,102,333,31,90,20,37,-,-,109,430,18,-
Sogong-dong,Jung-gu,X,1,282,1436,X,2.0,29.0,144.0,41,146,17,70,60,288,7,132,125,562,43,91
Hoehyeon-dong,Jung-gu,7,14,249,1136,3,4.0,25.0,64.0,31,79,18,59,474,762,1652,3026,106,372,111,204
Myeong-dong,Jung-gu,-,-,451,2635,6,7.0,86.0,357.0,69,285,65,389,213,1068,23,548,228,1063,70,145
Pil-dong,Jung-gu,3,3,186,726,7,11.0,28.0,63.0,59,144,17,34,X,2,4,12,61,185,27,42
Jangchung-dong,Jung-gu,9,9,75,260,10,13.0,14.0,30.0,19,42,7,13,7,29,14,483,13,47,11,29
Gwanghui-dong ,Jung-gu,5,5,319,1060,31,64.0,57.0,78.0,61,146,26,69,1385,3014,881,1424,84,251,117,188
Euljiro-dong,Jung-gu,-,-,264,872,10,22.0,47.0,62.0,48,109,9,12,41,84,407,581,67,146,85,118
Sindang 5(o)-dong,Jung-gu,10,10,99,251,32,32.0,27.0,32.0,47,73,19,24,27,43,42,113,11,19,18,42
Hwanghak-dong,Jung-gu,16,16,155,317,49,49.0,42.0,59.0,9,12,19,37,32,49,23,82,15,42,37,54
Jungnim-dong,Jung-gu,16,16,93,266,31,40.0,28.0,86.0,25,47,16,39,X,2,X,228,16,48,18,31
Sindang-dong,Jung-gu,4,4,156,500,19,19.0,90.0,121.0,36,83,20,28,39,57,8359,15091,24,59,90,158
Dasan-dong,Jung-gu,41,41,73,200,44,44.0,29.0,36.0,31,63,19,28,7,7,39,204,11,37,23,35
Yaksu-dong,Jung-gu,52,52,61,223,38,38.0,37.0,48.0,26,69,31,58,15,21,12,47,7,20,15,59
Cheonggu-dong,Jung-gu,49,49,37,105,45,47.0,22.0,24.0,12,17,13,18,5,13,15,77,5,11,13,17
Donghwa-dong,Jung-gu,28,28,38,76,46,46.0,32.0,41.0,10,12,20,24,6,14,47,155,8,18,10,15
Huam-dong,Yongsan-gu,50,50,59,192,29,29.0,46.0,59.0,16,24,24,34,10,14,X,3,15,28,26,57
Yongsan 2-ga-dong,Yongsan-gu,44,44,27,57,32,32.0,28.0,42.0,14,27,23,27,X,3,X,2,15,90,18,39
Namyeong-dong,Yongsan-gu,8,8,183,643,7,7.0,29.0,62.0,56,155,12,19,40,153,X,4,40,174,26,44
Wonhyoro 2(i)-dong,Yongsan-gu,35,35,48,139,47,60.0,28.0,35.0,14,23,17,21,8,11,X,1,9,17,21,35
Hyochang-dong,Yongsan-gu,42,42,23,59,36,36.0,17.0,24.0,6,7,7,8,X,2,X,2,11,21,11,19
Yongmun-dong,Yongsan-gu,32,32,43,97,40,40.0,25.0,30.0,23,34,20,29,5,9,X,47,9,18,11,24
Ichon 1(il)-dong,Yongsan-gu,14,14,53,169,10,10.0,49.0,86.0,16,46,30,135,25,36,-,-,22,101,16,39
Ichon 2(i)-dong,Yongsan-gu,40,40,7,17,46,92.0,23.0,36.0,X,2,8,8,X,1,X,6,X,3,8,14
Itaewon 1(il)-dong,Yongsan-gu,11,11,84,374,12,12.0,24.0,35.0,54,257,16,29,256,338,-,-,40,207,17,32
Itaewon 2(i)-dong,Yongsan-gu,45,45,34,119,24,24.0,42.0,67.0,32,82,23,30,6,8,-,-,24,58,8,12
Seobinggo-dong,Yongsan-gu,22,137,21,87,26,26.0,19.0,24.0,X,1,9,19,4,4,X,6,5,16,12,22
Bogwang-dong,Yongsan-gu,49,49,69,183,45,54.0,36.0,54.0,33,75,44,75,14,17,-,-,7,15,17,31
Cheongpa-dong,Yongsan-gu,44,44,143,411,60,66.0,60.0,77.0,49,95,45,128,25,38,X,3,60,186,40,70
Wonhyoro 1(il)-dong,Yongsan-gu,18,18,136,392,38,57.0,59.0,84.0,27,49,15,21,6,8,-,-,26,48,20,35
Hangangno-dong,Yongsan-gu,17,17,259,995,21,60.0,147.0,244.0,34,71,25,73,111,321,4,9,79,306,58,144
Hannam-dong,Yongsan-gu,43,43,137,615,50,55.0,84.0,154.0,41,139,30,59,23,78,4,27,62,252,36,75
Wangsimni 2(i)-dong,Seongdong-gu,39,39,31,60,63,67.0,37.0,44.0,15,25,22,35,4,9,X,1,4,6,14,27
Majang-dong,Seongdong-gu,402,637,146,403,105,109.0,33.0,43.0,29,47,28,32,3,3,5,21,21,40,49,73
Sageun-dong,Seongdong-gu,30,30,106,390,41,42.0,27.0,35.0,67,214,24,54,7,10,-,-,46,184,19,32
Haengdang 1(il)-dong,Seongdong-gu,41,41,107,367,75,76.0,33.0,47.0,24,50,32,75,49,143,3,21,32,158,29,69
Haengdang 2(i)-dong,Seongdong-gu,45,45,19,81,46,47.0,29.0,53.0,5,13,19,47,4,5,-,-,10,30,5,7
Eungbong-dong,Seongdong-gu,46,46,10,26,64,73.0,14.0,22.0,7,18,13,15,5,5,-,-,3,6,12,20
Geumho 1(il)-ga-dong,Seongdong-gu,63,63,34,81,48,48.0,22.0,34.0,12,24,20,29,X,3,X,1,5,10,6,17
Geumho 4(sa)-ga-dong,Seongdong-gu,33,234,43,98,32,32.0,33.0,48.0,27,43,20,28,9,14,X,4,7,21,12,31
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,58,62,60,133,67,68.0,40.0,53.0,12,15,24,28,6,8,X,40,9,32,20,39
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,77,556,122,356,107,139.0,43.0,63.0,24,46,23,31,X,3,6,92,24,57,24,56
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,79,79,149,364,95,103.0,44.0,62.0,51,75,30,53,20,36,7,282,19,51,39,72
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,31,574,211,655,292,313.0,51.0,77.0,41,81,12,21,6,17,31,460,34,110,55,77
Songjeong-dong,Seongdong-gu,43,43,34,72,65,65.0,14.0,18.0,10,18,19,19,6,6,X,1,X,3,16,29
Yongdap-dong,Seongdong-gu,56,242,127,340,67,69.0,32.0,54.0,41,77,31,49,16,37,17,80,17,37,40,68
WangsimniDoseon-dong,Seongdong-gu,26,26,150,444,35,35.0,46.0,76.0,50,98,25,57,9,41,12,58,17,56,21,42
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,69,69,90,193,71,71.0,45.0,70.0,35,51,44,56,16,25,-,-,12,27,16,31
Oksu-dong,Seongdong-gu,35,35,38,116,40,52.0,44.0,58.0,11,26,26,58,8,10,-,-,19,84,13,61
Hwayang-dong,Gwangjin-gu,46,46,294,1121,41,46.0,72.0,122.0,251,805,78,307,30,63,7,75,83,364,32,60
Gunja-dong,Gwangjin-gu,62,187,126,336,61,64.0,43.0,66.0,66,137,40,60,17,27,5,37,30,110,20,36
Junggok 1(il)-dong,Gwangjin-gu,88,235,118,274,73,76.0,48.0,76.0,76,118,36,39,19,25,6,17,17,39,23,43
Junggok 2(i)-dong,Gwangjin-gu,89,89,103,299,93,110.0,67.0,87.0,50,86,51,61,18,32,10,56,20,32,27,60
Junggok 3(sam)-dong,Gwangjin-gu,97,314,85,210,80,87.0,39.0,52.0,40,64,48,64,17,21,6,31,16,37,28,53
Junggok 4(sa)-dong,Gwangjin-gu,151,198,86,176,146,147.0,39.0,48.0,36,60,47,64,35,57,5,46,20,48,34,53
Neung-dong,Gwangjin-gu,26,26,55,289,30,32.0,21.0,37.0,29,105,13,16,4,34,11,112,11,40,12,32
Guui 1(il)-dong,Gwangjin-gu,47,47,167,459,69,209.0,68.0,107.0,82,177,46,59,25,35,X,1,28,63,25,68
Guui 2(i)-dong,Gwangjin-gu,117,335,90,234,119,120.0,37.0,91.0,31,52,38,45,21,38,X,4,17,47,21,53
Guui 3(sam)-dong,Gwangjin-gu,56,56,142,519,60,66.0,71.0,135.0,55,124,46,133,61,145,5,10,33,133,41,104
Gwangjang-dong,Gwangjin-gu,39,39,70,260,27,29.0,55.0,75.0,24,63,31,85,24,40,11,78,31,108,20,55
Jayang 1(il)-dong,Gwangjin-gu,76,76,127,292,78,101.0,57.0,89.0,26,47,55,68,32,39,7,48,17,42,24,42
Jayang 2(i)-dong,Gwangjin-gu,103,103,82,203,126,142.0,53.0,78.0,43,68,48,65,9,15,3,7,18,41,29,49
Jayang 3(sam)-dong,Gwangjin-gu,120,120,74,290,106,126.0,61.0,79.0,21,49,39,84,30,116,X,1,29,131,16,33
Jayang 4(sa)-dong,Gwangjin-gu,78,527,158,411,111,123.0,55.0,81.0,65,109,62,146,51,85,4,7,23,62,33,59
Hoegi-dong,Dongdaemun-gu,20,20,126,421,27,27.0,23.0,41.0,73,204,25,89,37,61,-,-,47,160,19,84
Hwigyeong 1(il)-dong,Dongdaemun-gu,52,52,89,254,47,47.0,19.0,31.0,32,70,27,35,9,20,4,141,16,63,26,54
Hwigyeong 2(i)-dong,Dongdaemun-gu,108,108,33,83,375,375.0,31.0,45.0,8,17,26,34,5,9,X,170,12,20,20,37
Cheongnyangni-dong,Dongdaemun-gu,77,77,156,408,85,88.0,38.0,45.0,49,96,39,48,28,51,4,16,23,38,40,76
Yongsin-dong,Dongdaemun-gu,58,58,364,902,109,162.0,108.0,187.0,79,112,53,78,97,162,60,266,52,110,99,150
Jegi-dong,Dongdaemun-gu,58,58,270,598,93,102.0,68.0,87.0,117,159,38,52,10,17,7,33,34,58,94,161
Jeonnong 1(il)-dong,Dongdaemun-gu,102,102,166,491,136,159.0,65.0,92.0,49,94,64,113,90,221,7,17,37,154,52,106
Jeonnong 2(i)-dong,Dongdaemun-gu,93,93,31,81,90,90.0,19.0,19.0,13,33,33,51,5,6,4,20,17,60,15,22
Dapsimni 1(il)-dong,Dongdaemun-gu,327,327,117,335,80,80.0,61.0,74.0,37,61,21,26,14,19,12,41,17,61,33,75
Dapsimni 2(i)-dong,Dongdaemun-gu,169,169,92,211,141,141.0,43.0,52.0,25,44,36,43,15,23,6,65,6,10,30,66
Jangan 1(il)-dong,Dongdaemun-gu,201,644,278,741,176,182.0,85.0,123.0,67,145,72,115,38,79,85,528,39,115,55,90
Jangan 2(i)-dong,Dongdaemun-gu,236,517,231,710,188,196.0,66.0,71.0,75,155,83,123,109,254,41,143,29,88,49,86
Imun 1(il)-dong,Dongdaemun-gu,86,86,126,340,81,81.0,54.0,67.0,81,195,56,90,15,21,X,4,48,163,35,63
Imun 2(i)-dong,Dongdaemun-gu,95,236,38,81,84,84.0,34.0,49.0,23,46,20,27,5,7,X,1,7,15,14,34
Myeonmok 2(i)-dong,Jungnang-gu,152,437,116,229,178,184.0,48.0,63.0,43,66,55,58,23,41,4,23,12,23,44,84
Myeonmok 4(sa)-dong,Jungnang-gu,105,105,61,116,123,133.0,36.0,47.0,25,46,36,44,8,12,3,10,5,12,28,66
Myeonmok 5(o)-dong,Jungnang-gu,70,503,49,98,90,119.0,16.0,25.0,23,33,26,28,8,15,X,5,4,13,27,62
Myeonmok 7(chil)-dong,Jungnang-gu,138,290,107,278,125,128.0,55.0,73.0,50,89,41,63,32,51,6,39,10,26,26,52
Sangbong 1(il)-dong,Jungnang-gu,162,1044,34,87,104,104.0,29.0,56.0,19,41,30,61,43,176,4,10,17,70,30,53
Sangbong 2(i)-dong,Jungnang-gu,72,306,268,655,61,69.0,53.0,83.0,101,194,38,63,43,81,6,28,29,103,35,58
Junghwa 1(il)-dong,Jungnang-gu,138,138,43,93,106,119.0,37.0,53.0,13,23,43,56,15,19,X,6,6,7,32,51
Junghwa 2(i)-dong,Jungnang-gu,144,279,195,500,183,208.0,45.0,69.0,105,181,59,80,31,42,10,41,19,47,49,98
Muk 1(il)-dong,Jungnang-gu,200,200,95,317,168,171.0,52.0,69.0,42,81,42,59,17,25,X,30,17,66,26,52
Muk 2(i)-dong,Jungnang-gu,131,131,114,260,397,397.0,39.0,59.0,50,108,45,61,15,22,3,6,11,15,31,56
Mangu 3(sam)-dong,Jungnang-gu,113,368,62,147,117,120.0,25.0,33.0,28,36,37,42,9,11,X,1,4,6,27,50
Sinnae 1(il)-dong,Jungnang-gu,303,924,111,388,167,190.0,37.0,50.0,34,65,44,63,18,33,X,5,11,37,20,41
Sinnae 2(i)-dong,Jungnang-gu,227,227,34,113,107,110.0,28.0,38.0,17,30,25,43,41,59,X,3,9,32,11,25
Myeonmokbon-dong,Jungnang-gu,142,310,176,427,175,196.0,87.0,129.0,86,177,76,100,36,68,3,17,19,42,58,107
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,1134,1253,169,399,146,153.0,56.0,80.0,100,192,63,89,55,104,X,4,22,70,41,88
Mangubon-dong,Jungnang-gu,233,747,225,466,202,242.0,54.0,70.0,84,124,67,100,53,88,4,9,29,69,59,99
Donam 1(il)-dong,Seongbuk_gu,48,48,7,41,44,44.0,17.0,17.0,5,9,13,14,4,4,-,-,3,6,8,17
Donam 2(i)-dong,Seongbuk_gu,52,52,10,17,24,24.0,21.0,25.0,X,1,12,14,3,3,-,-,3,3,X,2
Anam-dong,Seongbuk_gu,39,39,127,501,38,54.0,38.0,51.0,87,280,39,76,9,18,12,81,74,281,28,57
Bomun-dong,Seongbuk_gu,185,185,78,169,61,61.0,37.0,45.0,28,38,28,36,10,99,16,111,5,6,22,48
Jeongneung 1(il)-dong,Seongbuk_gu,127,127,50,116,42,42.0,29.0,42.0,19,37,25,27,3,3,-,-,8,10,16,33
Jeongneung 2(i)-dong,Seongbuk_gu,127,304,51,155,101,105.0,36.0,40.0,19,30,28,36,14,15,-,-,11,25,20,46
Jeongneung 3(sam)-dong,Seongbuk_gu,93,93,66,146,37,43.0,12.0,17.0,23,39,22,33,7,9,-,-,10,35,23,50
Jeongneung 4(sa)-dong,Seongbuk_gu,132,397,60,160,81,83.0,32.0,52.0,23,44,31,53,13,23,X,5,10,25,25,62
Gireum 1(il)-dong,Seongbuk_gu,113,113,56,153,68,68.0,52.0,77.0,69,136,40,94,37,42,X,1,20,65,15,34
Gireum 2(i)-dong,Seongbuk_gu,38,38,61,290,47,47.0,39.0,56.0,25,42,33,66,76,197,3,19,14,46,25,37
Wolgok 1(il)-dong,Seongbuk_gu,33,33,77,187,3,9.0,39.0,58.0,34,57,37,46,14,32,3,65,15,42,25,44
Wolgok 2(i)-dong,Seongbuk_gu,164,164,118,289,195,207.0,41.0,50.0,44,80,48,74,28,62,3,3,29,75,23,41
Jangwi 1(il)-dong,Seongbuk_gu,104,104,59,109,119,119.0,32.0,39.0,37,60,49,57,20,31,X,2,4,5,38,70
Jangwi 2(i)-dong,Seongbuk_gu,124,274,107,254,90,90.0,42.0,55.0,69,98,40,52,19,25,6,25,9,13,35,67
Jangwi 3(sam)-dong,Seongbuk_gu,96,797,92,205,84,86.0,26.0,31.0,39,55,28,33,14,21,3,9,X,3,27,45
Seongbuk-dong,Seongbuk_gu,58,58,84,362,24,24.0,46.0,67.0,10,23,21,38,21,30,X,30,31,102,20,36
Samseon-dong,Seongbuk_gu,77,77,169,399,73,73.0,55.0,69.0,60,100,51,70,25,43,7,29,37,98,28,52
Dongseon-dong,Seongbuk_gu,48,48,162,581,46,47.0,66.0,102.0,99,308,68,269,62,139,5,17,71,286,24,69
Jongam-dong,Seongbuk_gu,135,135,125,346,141,146.0,63.0,88.0,42,80,63,100,37,48,3,7,23,61,36,75
Seokgwan-dong,Seongbuk_gu,208,208,168,412,191,326.0,73.0,88.0,95,151,68,85,19,25,7,40,17,33,43,74
Beon 1(il)-dong,Gangbuk-gu,92,264,150,421,66,67.0,60.0,81.0,88,150,51,119,24,43,X,31,24,80,29,80
Beon 2(i)-dong,Gangbuk-gu,128,128,26,60,100,107.0,12.0,16.0,9,13,21,23,X,2,X,3,3,5,19,38
Beon 3(sam)-dong,Gangbuk-gu,316,483,25,61,70,70.0,13.0,18.0,12,21,24,35,X,3,X,1,8,36,14,34
Suyu 1(il)-dong,Gangbuk-gu,113,320,133,274,98,98.0,37.0,55.0,48,69,39,46,46,77,3,11,15,22,26,42
Suyu 2(i)-dong,Gangbuk-gu,118,118,92,244,83,83.0,38.0,48.0,51,82,50,61,16,20,X,11,6,10,24,52
Suyu 3(sam)-dong,Gangbuk-gu,86,86,279,789,61,66.0,74.0,90.0,184,463,64,103,50,106,X,6,39,131,38,57
Samyang-dong,Gangbuk-gu,103,295,63,119,130,130.0,44.0,62.0,39,59,49,58,17,25,-,-,8,16,37,65
Mia-dong,Gangbuk-gu,93,93,154,374,431,432.0,71.0,103.0,79,132,63,112,40,75,X,3,24,71,31,53
Songjung-dong,Gangbuk-gu,148,148,175,644,119,122.0,62.0,84.0,113,315,58,106,41,99,-,-,29,101,38,65
Songcheon-dong,Gangbuk-gu,123,125,174,439,111,115.0,80.0,98.0,134,180,82,116,19,28,-,-,23,43,43,80
