Dong,사업_사업체분포다수업종상위10_Gu_Gu_Gu,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_종사자수
Jeungsan-dong,Eunpyeong-gu,150,813,76,168,100,107.0,36.0,46.0,34,51,37,43,16,31,X,4,9,30,23,46
Susaek-dong,Eunpyeong-gu,76,174,65,165,82,86.0,21.0,28.0,41,54,32,39,13,17,X,4,7,24,26,44
Jingwan-dong,Eunpyeong-gu,105,284,65,236,86,86.0,59.0,81.0,7,12,40,74,13,25,-,-,23,44,23,49
Bulgwang 2(i)-dong,Eunpyeong-gu,141,141,114,256,79,81.0,52.0,70.0,41,57,55,70,29,40,-,-,10,17,35,98
Eungam 3(sam)-dong,Eunpyeong-gu,188,188,172,391,142,158.0,49.0,64.0,109,204,65,86,39,71,X,3,10,20,36,63
Yeokchon-dong,Eunpyeong-gu,238,238,149,365,189,216.0,109.0,147.0,83,150,96,151,39,52,X,7,26,53,34,66
Cheonyeon-dong,Seodaemun-gu,44,44,62,160,37,39.0,37.0,49.0,23,38,24,26,12,17,-,-,14,25,13,28
Hongje 1(il)-dong,Seodaemun-gu,89,89,73,199,88,112.0,36.0,46.0,32,53,38,77,12,33,-,-,16,34,23,49
Hongje 3(sam)-dong,Seodaemun-gu,90,90,89,189,80,90.0,29.0,37.0,34,46,31,42,22,29,X,3,11,30,22,38
Hongje 2(i)-dong,Seodaemun-gu,43,43,36,90,25,25.0,24.0,28.0,19,28,25,30,6,14,-,-,X,4,7,12
Hongeun 1(il)-dong,Seodaemun-gu,99,99,60,112,90,92.0,29.0,35.0,25,34,35,36,19,23,-,-,6,13,19,32
Hongeun 2(i)-dong,Seodaemun-gu,136,295,81,210,98,98.0,29.0,37.0,30,64,29,35,9,19,-,-,23,53,27,45
