Dong,사업_사업체현황종사자규모별_Gu_Gu_Gu,사업_사업체현황종사자규모별_합계_사업체수_사업체수,사업_사업체현황종사자규모별_합계_사업체수_여성대표자,사업_사업체현황종사자규모별_합계_종사자수_계,사업_사업체현황종사자규모별_합계_종사자수_남,사업_사업체현황종사자규모별_합계_종사자수_여,사업_사업체현황종사자규모별_1~4명_사업체수_사업체수,사업_사업체현황종사자규모별_1~4명_종사자수_종사자수,사업_사업체현황종사자규모별_5~9명_사업체수_사업체수,사업_사업체현황종사자규모별_5~9명_종사자수_종사자수,사업_사업체현황종사자규모별_10~19명_사업체수_사업체수,사업_사업체현황종사자규모별_10~19명_종사자수_종사자수,사업_사업체현황종사자규모별_20~49명_사업체수_사업체수,사업_사업체현황종사자규모별_20~49명_종사자수_종사자수,사업_사업체현황종사자규모별_50~99명_사업체수_사업체수,사업_사업체현황종사자규모별_50~99명_종사자수_종사자수,사업_사업체현황종사자규모별_100~299명_사업체수_사업체수,사업_사업체현황종사자규모별_100~299명_종사자수_종사자수,사업_사업체현황종사자규모별_300~499명_사업체수_사업체수,사업_사업체현황종사자규모별_300~499명_종사자수_종사자수,사업_사업체현황종사자규모별_500~999명_사업체수_사업체수,사업_사업체현황종사자규모별_500~999명_종사자수_종사자수,"사업_사업체현황종사자규모별_1,000명 이상_사업체수_사업체수","사업_사업체현황종사자규모별_1,000명 이상_종사자수_종사자수"
Seogyo-dong,Mapo-gu,8274.0,2736.0,52524.0,26876.0,25648.0,5718.0,12319.0,1576.0,9945.0,620.0,8078.0,256,7255,67,4446,25,4049,5,1894,7,4538,-,-
Hapjeong-dong,Mapo-gu,1843.0,569.0,9941.0,5523.0,4418.0,1414.0,2611.0,253.0,1605.0,98.0,1306.0,51,1471,17,1153,9,1393,1,402,-,-,-,-
Mangwon 1(il)-dong,Mapo-gu,1380.0,466.0,4690.0,2343.0,2347.0,1246.0,2013.0,88.0,564.0,28.0,367.0,12,349,3,205,2,336,-,-,1,856,-,-
Mangwon 2(i)-dong,Mapo-gu,1246.0,468.0,3392.0,1960.0,1432.0,1114.0,1761.0,89.0,584.0,29.0,363.0,11,305,1,56,2,323,-,-,-,-,-,-
Yeonnam-dong,Mapo-gu,1220.0,387.0,5242.0,3087.0,2155.0,947.0,1653.0,170.0,1078.0,63.0,780.0,33,1003,5,318,2,410,-,-,-,-,-,-
Seongsan 1(il)-dong,Mapo-gu,1600.0,456.0,9378.0,5702.0,3676.0,1198.0,2111.0,250.0,1604.0,97.0,1228.0,39,1222,8,621,4,531,3,1156,1,905,-,-
Seongsan 2(i)-dong,Mapo-gu,1675.0,574.0,8434.0,4502.0,3932.0,1454.0,2437.0,133.0,844.0,41.0,539.0,22,655,14,997,10,1568,-,-,-,-,1,1394
Sangam-dong,Mapo-gu,1761.0,593.0,28598.0,18458.0,10140.0,1138.0,2241.0,250.0,1595.0,151.0,2002.0,115,3596,55,3868,38,6149,10,3923,1,543,3,4681
Dohwa-dong,Mapo-gu,1855.0,586.0,14318.0,8139.0,6179.0,1367.0,2550.0,292.0,1845.0,99.0,1314.0,57,1826,19,1334,14,2220,4,1263,3,1966,-,-
Seogang-dong,Mapo-gu,1395.0,463.0,10170.0,5459.0,4711.0,1107.0,2110.0,157.0,1003.0,71.0,969.0,35,1054,16,1138,6,946,1,350,1,750,1,1850
