Dong,사업_대표자연령대별사업체현황_Gu_Gu,사업_대표자연령대별사업체현황_total_No. of establishments,사업_대표자연령대별사업체현황_total_No. of employee,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of establishments,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of employee,사업_대표자연령대별사업체현황_30대(30~39세)_No. of establishments,사업_대표자연령대별사업체현황_30대(30~39세)_No. of employee,사업_대표자연령대별사업체현황_40대(40~49세)_No. of establishments,사업_대표자연령대별사업체현황_40대(40~49세)_No. of employee,사업_대표자연령대별사업체현황_50대(50~59세)_No. of establishments,사업_대표자연령대별사업체현황_50대(50~59세)_No. of employee,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of establishments,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of employee
Myeonmok 4(sa)-dong,Jungnang-gu,1058.0,3407.0,23,47,101.0,279.0,290.0,846.0,430.0,1727.0,214.0,508.0
Myeonmok 5(o)-dong,Jungnang-gu,1002.0,3740.0,13,31,97.0,256.0,251.0,958.0,455.0,1906.0,186.0,589.0
Myeonmok 7(chil)-dong,Jungnang-gu,1507.0,4122.0,31,68,143.0,346.0,412.0,1104.0,579.0,1774.0,342.0,830.0
Sangbong 1(il)-dong,Jungnang-gu,1100.0,6159.0,20,121,141.0,989.0,321.0,1650.0,391.0,2062.0,227.0,1337.0
Sangbong 2(i)-dong,Jungnang-gu,2164.0,9971.0,42,158,235.0,775.0,584.0,2679.0,871.0,4125.0,432.0,2234.0
Junghwa 1(il)-dong,Jungnang-gu,1100.0,3655.0,10,21,99.0,277.0,333.0,1106.0,448.0,1663.0,210.0,588.0
Junghwa 2(i)-dong,Jungnang-gu,2286.0,6673.0,41,120,232.0,633.0,598.0,1912.0,917.0,2658.0,498.0,1350.0
Muk 1(il)-dong,Jungnang-gu,1503.0,5870.0,32,228,176.0,745.0,405.0,1487.0,566.0,2469.0,324.0,941.0
Muk 2(i)-dong,Jungnang-gu,1752.0,5333.0,40,85,165.0,515.0,482.0,1510.0,698.0,2499.0,367.0,724.0
Mangu 3(sam)-dong,Jungnang-gu,1072.0,3543.0,17,71,100.0,256.0,301.0,1015.0,422.0,1502.0,232.0,699.0
Sinnae 1(il)-dong,Jungnang-gu,1574.0,7895.0,22,63,151.0,387.0,440.0,1740.0,626.0,4547.0,335.0,1158.0
Sinnae 2(i)-dong,Jungnang-gu,1074.0,5172.0,18,96,117.0,298.0,334.0,997.0,398.0,2855.0,207.0,926.0
Myeonmokbon-dong,Jungnang-gu,2454.0,6842.0,31,65,222.0,624.0,714.0,2069.0,1005.0,2873.0,482.0,1211.0
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,3043.0,7685.0,45,138,241.0,579.0,654.0,1702.0,1256.0,3338.0,847.0,1928.0
Mangubon-dong,Jungnang-gu,2783.0,9831.0,47,175,277.0,788.0,743.0,2534.0,1136.0,4370.0,580.0,1964.0
Donam 1(il)-dong,Seongbuk_gu,382.0,1383.0,6,17,35.0,129.0,105.0,314.0,143.0,425.0,93.0,498.0
Donam 2(i)-dong,Seongbuk_gu,363.0,1716.0,3,5,42.0,106.0,104.0,278.0,132.0,533.0,82.0,794.0
Anam-dong,Seongbuk_gu,1329.0,13134.0,45,177,245.0,916.0,399.0,1961.0,400.0,3930.0,240.0,6150.0
Bomun-dong,Seongbuk_gu,1239.0,4121.0,9,16,149.0,497.0,306.0,904.0,455.0,1570.0,320.0,1134.0
Jeongneung 1(il)-dong,Seongbuk_gu,787.0,1937.0,16,25,88.0,193.0,189.0,702.0,288.0,647.0,206.0,370.0
Jeongneung 2(i)-dong,Seongbuk_gu,957.0,2832.0,16,54,111.0,268.0,243.0,759.0,314.0,1122.0,273.0,629.0
Jeongneung 3(sam)-dong,Seongbuk_gu,674.0,4343.0,9,17,57.0,160.0,151.0,397.0,261.0,1017.0,196.0,2752.0
Jeongneung 4(sa)-dong,Seongbuk_gu,871.0,3870.0,7,17,76.0,188.0,221.0,1120.0,303.0,996.0,264.0,1549.0
Gireum 1(il)-dong,Seongbuk_gu,1151.0,3619.0,28,108,140.0,423.0,315.0,1077.0,345.0,1096.0,323.0,915.0
Gireum 2(i)-dong,Seongbuk_gu,1116.0,4612.0,20,60,147.0,486.0,363.0,1737.0,361.0,1444.0,225.0,885.0
Wolgok 1(il)-dong,Seongbuk_gu,1192.0,4899.0,12,31,131.0,365.0,347.0,1495.0,427.0,2143.0,275.0,865.0
Wolgok 2(i)-dong,Seongbuk_gu,1798.0,8745.0,31,77,191.0,461.0,573.0,1867.0,643.0,2190.0,360.0,4150.0
Jangwi 1(il)-dong,Seongbuk_gu,1131.0,2838.0,11,17,105.0,190.0,317.0,864.0,425.0,1116.0,273.0,651.0
Jangwi 2(i)-dong,Seongbuk_gu,1663.0,5078.0,29,63,151.0,433.0,440.0,1318.0,657.0,2016.0,386.0,1248.0
Jangwi 3(sam)-dong,Seongbuk_gu,1212.0,4452.0,13,47,87.0,204.0,323.0,1240.0,497.0,1603.0,292.0,1358.0
Seongbuk-dong,Seongbuk_gu,1021.0,5115.0,14,43,129.0,494.0,293.0,1414.0,326.0,1543.0,259.0,1621.0
Samseon-dong,Seongbuk_gu,1866.0,9510.0,22,76,221.0,664.0,567.0,2244.0,671.0,5139.0,385.0,1387.0
Dongseon-dong,Seongbuk_gu,1974.0,10170.0,54,199,342.0,1158.0,577.0,2509.0,649.0,3577.0,352.0,2727.0
Jongam-dong,Seongbuk_gu,2093.0,7550.0,32,84,253.0,779.0,618.0,2388.0,726.0,3155.0,464.0,1144.0
Seokgwan-dong,Seongbuk_gu,2255.0,8217.0,27,61,254.0,641.0,571.0,1912.0,888.0,3268.0,515.0,2335.0
Beon 1(il)-dong,Gangbuk-gu,1693.0,8783.0,29,107,187.0,1027.0,493.0,2893.0,664.0,3386.0,320.0,1370.0
Beon 2(i)-dong,Gangbuk-gu,653.0,3128.0,4,12,55.0,115.0,169.0,642.0,261.0,1606.0,164.0,753.0
Beon 3(sam)-dong,Gangbuk-gu,831.0,2556.0,8,18,80.0,178.0,186.0,785.0,293.0,1038.0,264.0,537.0
Suyu 1(il)-dong,Gangbuk-gu,1578.0,5125.0,20,47,154.0,309.0,375.0,1256.0,618.0,2215.0,411.0,1298.0
Suyu 2(i)-dong,Gangbuk-gu,1365.0,4357.0,23,60,141.0,370.0,371.0,1509.0,538.0,1794.0,292.0,624.0
Suyu 3(sam)-dong,Gangbuk-gu,2379.0,8413.0,55,213,297.0,908.0,628.0,2381.0,955.0,3958.0,444.0,953.0
Samyang-dong,Gangbuk-gu,1228.0,3331.0,14,32,125.0,286.0,313.0,791.0,455.0,1424.0,321.0,798.0
Mia-dong,Gangbuk-gu,1967.0,6580.0,26,61,215.0,896.0,493.0,1814.0,766.0,2797.0,467.0,1012.0
Songjung-dong,Gangbuk-gu,2009.0,8463.0,39,139,233.0,759.0,547.0,2610.0,782.0,3536.0,408.0,1419.0
Songcheon-dong,Gangbuk-gu,2268.0,7272.0,34,71,239.0,780.0,598.0,1950.0,850.0,2990.0,547.0,1481.0
Samgaksan-dong,Gangbuk-gu,714.0,2190.0,14,26,97.0,269.0,212.0,613.0,246.0,921.0,145.0,361.0
Ui-dong,Gangbuk-gu,994.0,3478.0,23,38,106.0,259.0,223.0,789.0,396.0,1437.0,246.0,955.0
Insu-dong,Gangbuk-gu,1569.0,5792.0,28,64,134.0,292.0,349.0,850.0,602.0,2540.0,456.0,2046.0
Ssangmun 1(il)-dong,Dobong-gu,911.0,3803.0,14,25,73.0,357.0,248.0,940.0,336.0,1069.0,240.0,1412.0
Ssangmun 2(i)-dong,Dobong-gu,1227.0,4299.0,18,38,119.0,301.0,379.0,1290.0,500.0,2002.0,211.0,668.0
Ssangmun 3(sam)-dong,Dobong-gu,897.0,3182.0,14,37,118.0,266.0,239.0,644.0,341.0,1116.0,185.0,1119.0
Ssangmun 4(sa)-dong,Dobong-gu,594.0,1933.0,9,20,57.0,134.0,171.0,426.0,228.0,897.0,129.0,456.0
Banghak 1(il)-dong,Dobong-gu,2278.0,9931.0,46,77,288.0,919.0,718.0,2425.0,863.0,4083.0,363.0,2427.0
Banghak 2(i)-dong,Dobong-gu,1289.0,2837.0,16,34,111.0,200.0,348.0,865.0,557.0,1275.0,257.0,463.0
Banghak 3(sam)-dong,Dobong-gu,888.0,3161.0,4,6,93.0,220.0,227.0,728.0,352.0,1253.0,212.0,954.0
Chang 1(il)-dong,Dobong-gu,1078.0,3390.0,18,32,103.0,278.0,283.0,786.0,412.0,1419.0,262.0,875.0
Chang 2(i)-dong,Dobong-gu,1331.0,4447.0,14,28,156.0,392.0,415.0,1350.0,498.0,1619.0,248.0,1058.0
Chang 3(sam)-dong,Dobong-gu,964.0,1939.0,9,17,93.0,171.0,243.0,456.0,409.0,886.0,210.0,409.0
Chang 4(sa)-dong,Dobong-gu,1140.0,6738.0,18,42,115.0,502.0,334.0,1493.0,464.0,3275.0,209.0,1426.0
Chang 5(o)-dong,Dobong-gu,2062.0,6654.0,19,48,207.0,653.0,494.0,1938.0,778.0,2604.0,564.0,1411.0
Dobong 1(il)-dong,Dobong-gu,1660.0,5496.0,18,45,153.0,373.0,422.0,1293.0,689.0,2421.0,378.0,1364.0
Dobong 2(i)-dong,Dobong-gu,1394.0,6126.0,14,25,120.0,285.0,354.0,2063.0,523.0,2609.0,383.0,1144.0
Wolgye 1(il)-dong,Nowon-gu,1379.0,5506.0,29,68,156.0,371.0,398.0,1239.0,523.0,2082.0,273.0,1746.0
Wolgye 2(i)-dong,Nowon-gu,1047.0,3592.0,21,40,92.0,195.0,241.0,809.0,401.0,1273.0,292.0,1275.0
Wolgye 3(sam)-dong,Nowon-gu,950.0,3746.0,8,13,78.0,260.0,262.0,1129.0,359.0,1387.0,243.0,957.0
Gongneung 2(i)-dong,Nowon-gu,1813.0,10912.0,32,65,203.0,475.0,505.0,1432.0,694.0,4966.0,379.0,3974.0
Hagye 1(il)-dong,Nowon-gu,914.0,6791.0,15,35,71.0,234.0,291.0,1207.0,389.0,4073.0,148.0,1242.0
Hagye 2(i)-dong,Nowon-gu,380.0,1064.0,X,11,36.0,54.0,95.0,261.0,148.0,378.0,99.0,360.0
Junggyebon-dong,Nowon-gu,1158.0,5241.0,21,86,143.0,540.0,419.0,1765.0,385.0,2027.0,190.0,823.0
Junggye 1(il)-dong,Nowon-gu,910.0,4012.0,5,13,95.0,405.0,320.0,1256.0,333.0,1598.0,157.0,740.0
Junggye 4(sa)-dong,Nowon-gu,1002.0,3711.0,30,74,100.0,256.0,316.0,978.0,386.0,1689.0,170.0,714.0
Sanggye 1(il)-dong,Nowon-gu,2827.0,7954.0,27,80,230.0,554.0,640.0,2175.0,1109.0,3016.0,821.0,2129.0
Sanggye 2(i)-dong,Nowon-gu,2176.0,8370.0,53,156,318.0,1016.0,656.0,2446.0,826.0,3388.0,323.0,1364.0
Sanggye 5(o)-dong,Nowon-gu,1349.0,3319.0,20,57,152.0,358.0,416.0,1017.0,503.0,1438.0,258.0,449.0
Sanggye 8(pal)-dong,Nowon-gu,600.0,1885.0,4,8,65.0,166.0,183.0,554.0,223.0,662.0,125.0,495.0
Sanggye 9(gu)-dong,Nowon-gu,730.0,2360.0,7,13,82.0,221.0,188.0,431.0,283.0,1176.0,170.0,519.0
Sanggye 10(sip)-dong,Nowon-gu,484.0,2139.0,7,21,54.0,111.0,116.0,306.0,169.0,905.0,138.0,796.0
Sanggye 3.4(sam.sa)-dong,Nowon-gu,1699.0,4773.0,23,46,149.0,286.0,439.0,1156.0,632.0,1964.0,456.0,1321.0
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,1939.0,14042.0,25,160,213.0,958.0,652.0,4180.0,680.0,7176.0,369.0,1568.0
Junggye 2.3(i.sam)-dong,Nowon-gu,1233.0,4835.0,24,50,147.0,330.0,368.0,1491.0,463.0,2031.0,231.0,933.0
Gongneung 1(il)-dong,Nowon-gu,2583.0,10273.0,35,72,340.0,959.0,741.0,2858.0,963.0,4530.0,504.0,1854.0
Nokbeon-dong,Eunpyeong-gu,1564.0,8097.0,15,41,149.0,690.0,509.0,3477.0,567.0,2713.0,324.0,1176.0
Bulgwang 1(il)-dong,Eunpyeong-gu,1672.0,6914.0,34,108,173.0,631.0,493.0,1827.0,636.0,3394.0,336.0,954.0
Galhyeon 1(il)-dong,Eunpyeong-gu,1461.0,5136.0,32,97,173.0,606.0,461.0,1889.0,508.0,1621.0,287.0,923.0
Galhyeon 2(i)-dong,Eunpyeong-gu,1561.0,5495.0,27,113,188.0,603.0,562.0,1790.0,500.0,1876.0,284.0,1113.0
Gusan-dong,Eunpyeong-gu,1181.0,5389.0,14,46,91.0,321.0,432.0,1222.0,377.0,2211.0,267.0,1589.0
Daejo-dong,Eunpyeong-gu,2566.0,7174.0,54,166,273.0,831.0,877.0,2431.0,855.0,2589.0,507.0,1157.0
Eungam 1(il)-dong,Eunpyeong-gu,1615.0,7074.0,22,72,170.0,571.0,503.0,2013.0,579.0,2953.0,341.0,1465.0
Eungam 2(i)-dong,Eunpyeong-gu,944.0,2214.0,17,36,75.0,214.0,301.0,545.0,304.0,748.0,247.0,671.0
Sinsa 1(il)-dong,Eunpyeong-gu,1559.0,3927.0,22,52,139.0,319.0,458.0,980.0,520.0,1373.0,420.0,1203.0
Sinsa 2(i)-dong,Eunpyeong-gu,1216.0,2933.0,12,56,101.0,202.0,307.0,681.0,422.0,1340.0,374.0,654.0
Jeungsan-dong,Eunpyeong-gu,1108.0,3825.0,15,30,97.0,214.0,352.0,1025.0,412.0,1903.0,232.0,653.0
Susaek-dong,Eunpyeong-gu,848.0,3003.0,11,16,59.0,220.0,216.0,474.0,327.0,1643.0,235.0,650.0
Jingwan-dong,Eunpyeong-gu,1007.0,5234.0,22,45,136.0,418.0,413.0,1169.0,286.0,2527.0,150.0,1075.0
Bulgwang 2(i)-dong,Eunpyeong-gu,1295.0,4088.0,18,31,105.0,252.0,340.0,1373.0,479.0,1478.0,353.0,954.0
Eungam 3(sam)-dong,Eunpyeong-gu,1909.0,5272.0,39,86,170.0,467.0,554.0,1361.0,702.0,2285.0,444.0,1073.0
Yeokchon-dong,Eunpyeong-gu,2447.0,7428.0,34,104,287.0,797.0,829.0,2270.0,887.0,2643.0,410.0,1614.0
Cheonyeon-dong,Seodaemun-gu,809.0,2475.0,11,28,82.0,195.0,203.0,434.0,304.0,1376.0,209.0,442.0
Hongje 1(il)-dong,Seodaemun-gu,1132.0,4016.0,9,14,109.0,294.0,340.0,1022.0,418.0,1930.0,256.0,756.0
Hongje 3(sam)-dong,Seodaemun-gu,1271.0,3848.0,18,57,105.0,257.0,341.0,1280.0,454.0,1502.0,353.0,752.0
Hongje 2(i)-dong,Seodaemun-gu,592.0,1666.0,12,25,59.0,117.0,167.0,395.0,236.0,781.0,118.0,348.0
Hongeun 1(il)-dong,Seodaemun-gu,1029.0,2398.0,7,10,95.0,214.0,255.0,666.0,364.0,912.0,308.0,596.0
Hongeun 2(i)-dong,Seodaemun-gu,1148.0,5636.0,19,51,119.0,285.0,293.0,940.0,434.0,2217.0,283.0,2143.0
Namgajwa 1(il)-dong,Seodaemun-gu,640.0,1253.0,3,4,35.0,61.0,97.0,277.0,235.0,483.0,270.0,428.0
Namgajwa 2(i)-dong,Seodaemun-gu,1554.0,4268.0,33,58,182.0,392.0,420.0,1089.0,576.0,1639.0,343.0,1090.0
Bukgajwa 1(il)-dong,Seodaemun-gu,504.0,2025.0,6,9,30.0,59.0,151.0,485.0,171.0,899.0,146.0,573.0
Bukgajwa 2(i)-dong,Seodaemun-gu,2261.0,6294.0,23,47,195.0,422.0,512.0,1408.0,868.0,3268.0,663.0,1149.0
Chunghyeon-dong,Seodaemun-gu,1709.0,21801.0,18,52,142.0,957.0,521.0,4664.0,682.0,11594.0,346.0,4534.0
Bugahyeon-dong,Seodaemun-gu,699.0,1862.0,9,16,69.0,163.0,183.0,473.0,249.0,760.0,189.0,450.0
Sinchon-dong,Seodaemun-gu,3725.0,30866.0,158,642,710.0,3048.0,1132.0,5007.0,1208.0,7402.0,517.0,14767.0
Yeonhui-dong,Seodaemun-gu,2138.0,10258.0,25,56,229.0,668.0,608.0,2382.0,766.0,4434.0,510.0,2718.0
Yonggang-dong,Mapo-gu,2390.0,15534.0,28,77,267.0,1161.0,861.0,4242.0,842.0,6739.0,392.0,3315.0
