Dong,사업_대표자연령대별사업체현황_Gu_Gu,사업_대표자연령대별사업체현황_total_No. of establishments,사업_대표자연령대별사업체현황_total_No. of employee,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of establishments,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of employee,사업_대표자연령대별사업체현황_30대(30~39세)_No. of establishments,사업_대표자연령대별사업체현황_30대(30~39세)_No. of employee,사업_대표자연령대별사업체현황_40대(40~49세)_No. of establishments,사업_대표자연령대별사업체현황_40대(40~49세)_No. of employee,사업_대표자연령대별사업체현황_50대(50~59세)_No. of establishments,사업_대표자연령대별사업체현황_50대(50~59세)_No. of employee,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of establishments,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of employee
Daeheung-dong,Mapo-gu,1628.0,10395.0,34,87,209.0,761.0,472.0,2553.0,572.0,4015.0,341.0,2979.0
Yeomni-dong,Mapo-gu,787.0,4964.0,14,26,70.0,152.0,206.0,773.0,296.0,1904.0,201.0,2109.0
Sinsu-dong,Mapo-gu,1382.0,5800.0,17,34,120.0,272.0,365.0,1286.0,500.0,2942.0,380.0,1266.0
Seogyo-dong,Mapo-gu,8274.0,52524.0,252,782,1856.0,8799.0,3028.0,18310.0,2397.0,17809.0,741.0,6824.0
Hapjeong-dong,Mapo-gu,1843.0,9941.0,43,149,306.0,980.0,646.0,3553.0,572.0,3075.0,276.0,2184.0
Mangwon 1(il)-dong,Mapo-gu,1380.0,4690.0,32,72,187.0,444.0,431.0,2040.0,486.0,1441.0,244.0,693.0
Mangwon 2(i)-dong,Mapo-gu,1246.0,3392.0,34,62,153.0,355.0,392.0,1287.0,444.0,1058.0,223.0,630.0
Yeonnam-dong,Mapo-gu,1220.0,5242.0,23,43,213.0,697.0,386.0,1779.0,381.0,1561.0,217.0,1162.0
Seongsan 1(il)-dong,Mapo-gu,1600.0,9378.0,55,118,264.0,709.0,506.0,2715.0,539.0,4224.0,236.0,1612.0
Seongsan 2(i)-dong,Mapo-gu,1675.0,8434.0,27,71,177.0,445.0,520.0,1587.0,639.0,3494.0,312.0,2837.0
Sangam-dong,Mapo-gu,1761.0,28598.0,30,115,306.0,1568.0,618.0,6964.0,588.0,15660.0,219.0,4291.0
Dohwa-dong,Mapo-gu,1855.0,14318.0,29,87,209.0,928.0,630.0,3598.0,658.0,6994.0,329.0,2711.0
Seogang-dong,Mapo-gu,1395.0,10170.0,42,99,265.0,857.0,486.0,3366.0,408.0,2836.0,194.0,3012.0
gongdeok-dong,Mapo-gu,2622.0,18749.0,36,109,246.0,1050.0,831.0,5331.0,933.0,7815.0,576.0,4444.0
Ahyeon-dong,Mapo-gu,1735.0,12492.0,25,101,153.0,497.0,524.0,2857.0,630.0,5481.0,403.0,3556.0
Mok 1(il)-dong,Yangcheon-gu,2617.0,22037.0,55,215,371.0,1607.0,1015.0,6649.0,879.0,10922.0,297.0,2644.0
Mok 2(i)-dong,Yangcheon-gu,1156.0,3604.0,27,86,117.0,303.0,344.0,1155.0,450.0,1460.0,218.0,600.0
Mok 3(sam)-dong,Yangcheon-gu,1227.0,3917.0,21,56,154.0,392.0,360.0,995.0,474.0,1643.0,218.0,831.0
Mok 4(sa)-dong,Yangcheon-gu,1373.0,3666.0,30,63,153.0,376.0,410.0,979.0,545.0,1587.0,235.0,661.0
Sinwol 1(il)-dong,Yangcheon-gu,1779.0,5028.0,18,25,159.0,382.0,533.0,1546.0,707.0,1971.0,362.0,1104.0
Sinwol 2(i)-dong,Yangcheon-gu,1101.0,3715.0,10,20,93.0,241.0,288.0,953.0,469.0,1567.0,241.0,934.0
Sinwol 3(sam)-dong,Yangcheon-gu,1005.0,4187.0,17,89,102.0,349.0,284.0,1176.0,392.0,1760.0,210.0,813.0
Sinwol 4(sa)-dong,Yangcheon-gu,1150.0,3786.0,17,31,111.0,279.0,264.0,1063.0,485.0,1396.0,273.0,1017.0
Sinwol 5(o)-dong,Yangcheon-gu,951.0,3393.0,14,47,88.0,238.0,266.0,1063.0,421.0,1591.0,162.0,454.0
Sinwol 6(yuk)-dong,Yangcheon-gu,1638.0,3473.0,5,5,60.0,206.0,274.0,797.0,713.0,1395.0,586.0,1070.0
Sinwol 7(chil)-dong,Yangcheon-gu,1367.0,5355.0,17,30,111.0,405.0,358.0,1432.0,547.0,1711.0,334.0,1777.0
Sinjeong 1(il)-dong,Yangcheon-gu,1054.0,4451.0,18,38,119.0,372.0,332.0,952.0,403.0,2435.0,182.0,654.0
