Dong,사업_사업체창설년도_Gu_Gu,사업_사업체창설년도_total_No. of establishments,사업_사업체창설년도_total_ratio (%),사업_사업체창설년도_after year 2010_Sub total,사업_사업체창설년도_after year 2010_ratio (%),사업_사업체창설년도_2005~2009_Sub total,사업_사업체창설년도_2005~2009_ratio (%),사업_사업체창설년도_2000~2004_Sub total,사업_사업체창설년도_2000~2004_ratio (%),사업_사업체창설년도_1990_Sub total,사업_사업체창설년도_1990_ratio (%),사업_사업체창설년도_prior to 1980_Sub total,사업_사업체창설년도_prior to 1980_ratio (%)
Mok 2(i)-dong,Yangcheon-gu,1156.0,100.0,456.0,39.45,245.0,21.19,163.0,14.1,172.0,14.88,120.0,10.38
Mok 3(sam)-dong,Yangcheon-gu,1227.0,100.0,505.0,41.16,297.0,24.21,186.0,15.16,145.0,11.82,94.0,7.66
Mok 4(sa)-dong,Yangcheon-gu,1373.0,100.0,592.0,43.12,300.0,21.85,207.0,15.08,174.0,12.67,100.0,7.28
Sinwol 1(il)-dong,Yangcheon-gu,1779.0,100.0,649.0,36.48,384.0,21.59,291.0,16.36,298.0,16.75,157.0,8.83
Sinwol 2(i)-dong,Yangcheon-gu,1101.0,100.0,320.0,29.06,230.0,20.89,189.0,17.17,213.0,19.35,149.0,13.53
Sinwol 3(sam)-dong,Yangcheon-gu,1005.0,100.0,344.0,34.23,204.0,20.3,192.0,19.1,170.0,16.92,95.0,9.45
Sinwol 4(sa)-dong,Yangcheon-gu,1150.0,100.0,362.0,31.48,225.0,19.57,179.0,15.57,226.0,19.65,158.0,13.74
Sinwol 5(o)-dong,Yangcheon-gu,951.0,100.0,337.0,35.44,207.0,21.77,168.0,17.67,144.0,15.14,95.0,9.99
Sinwol 6(yuk)-dong,Yangcheon-gu,1638.0,100.0,182.0,11.11,138.0,8.42,218.0,13.31,558.0,34.07,542.0,33.09
Sinwol 7(chil)-dong,Yangcheon-gu,1367.0,100.0,447.0,32.7,254.0,18.58,234.0,17.12,259.0,18.95,173.0,12.66
Sinjeong 1(il)-dong,Yangcheon-gu,1054.0,100.0,433.0,41.08,258.0,24.48,159.0,15.09,122.0,11.57,82.0,7.78
Sinjeong 2(i)-dong,Yangcheon-gu,1103.0,100.0,469.0,42.52,258.0,23.39,161.0,14.6,149.0,13.51,66.0,5.98
Sinjeong 3(sam)-dong,Yangcheon-gu,1991.0,100.0,625.0,31.39,384.0,19.29,365.0,18.33,395.0,19.84,222.0,11.15
Sinjeong 6(yuk)-dong,Yangcheon-gu,693.0,100.0,320.0,46.18,157.0,22.66,71.0,10.25,94.0,13.56,51.0,7.36
Sinjeong 7(chil)-dong,Yangcheon-gu,1016.0,100.0,385.0,37.89,204.0,20.08,178.0,17.52,145.0,14.27,104.0,10.24
Mok 5(o)-dong,Yangcheon-gu,1489.0,100.0,731.0,49.09,351.0,23.57,187.0,12.56,151.0,10.14,69.0,4.63
Sinjeong 4(sa)-dong,Yangcheon-gu,3010.0,100.0,1277.0,42.43,656.0,21.79,469.0,15.58,421.0,13.99,187.0,6.21
Yeomchang-dong,Gangseo-gu,2157.0,100.0,790.0,36.62,537.0,24.9,378.0,17.52,354.0,16.41,98.0,4.54
Deungchon 1(il)-dong,Gangseo-gu,1742.0,100.0,793.0,45.52,434.0,24.91,222.0,12.74,200.0,11.48,93.0,5.34
Deungchon 2(i)-dong,Gangseo-gu,712.0,100.0,299.0,41.99,172.0,24.16,93.0,13.06,99.0,13.9,49.0,6.88
Deungchon 3(sam)-dong,Gangseo-gu,2296.0,100.0,959.0,41.77,529.0,23.04,389.0,16.94,337.0,14.68,82.0,3.57
Hwagokbon-dong,Gangseo-gu,1368.0,100.0,600.0,43.86,289.0,21.13,218.0,15.94,190.0,13.89,71.0,5.19
Hwagok 2(i)-dong,Gangseo-gu,842.0,100.0,327.0,38.84,224.0,26.6,144.0,17.1,103.0,12.23,44.0,5.23
Hwagok 3(sam)-dong,Gangseo-gu,1177.0,100.0,563.0,47.83,264.0,22.43,181.0,15.38,120.0,10.2,49.0,4.16
Hwagok 4(sa)-dong,Gangseo-gu,1445.0,100.0,660.0,45.67,330.0,22.84,209.0,14.46,172.0,11.9,74.0,5.12
Hwagok 6(yuk)-dong,Gangseo-gu,1831.0,100.0,938.0,51.23,398.0,21.74,227.0,12.4,172.0,9.39,96.0,5.24
Hwagok 8(pal)-dong,Gangseo-gu,1214.0,100.0,576.0,47.45,254.0,20.92,182.0,14.99,141.0,11.61,61.0,5.02
Gayang 1(il)-dong,Gangseo-gu,1225.0,100.0,472.0,38.53,299.0,24.41,193.0,15.76,208.0,16.98,53.0,4.33
Gayang 2(i)-dong,Gangseo-gu,651.0,100.0,279.0,42.86,142.0,21.81,107.0,16.44,114.0,17.51,9.0,1.38
Gayang 3(sam)-dong,Gangseo-gu,861.0,100.0,263.0,30.55,189.0,21.95,199.0,23.11,176.0,20.44,34.0,3.95
Balsan 1(il)-dong,Gangseo-gu,2147.0,100.0,861.0,40.1,547.0,25.48,402.0,18.72,235.0,10.95,102.0,4.75
Gonghang-dong,Gangseo-gu,1822.0,100.0,772.0,42.37,447.0,24.53,323.0,17.73,196.0,10.76,84.0,4.61
Banghwa 1(il)-dong,Gangseo-gu,1957.0,100.0,789.0,40.32,501.0,25.6,306.0,15.64,271.0,13.85,90.0,4.6
Banghwa 2(i)-dong,Gangseo-gu,3160.0,100.0,1023.0,32.37,664.0,21.01,515.0,16.3,736.0,23.29,222.0,7.03
Banghwa 3(sam)-dong,Gangseo-gu,853.0,100.0,262.0,30.72,156.0,18.29,190.0,22.27,207.0,24.27,38.0,4.45
Hwagok 1(il)-dong,Gangseo-gu,2987.0,100.0,1351.0,45.23,708.0,23.7,477.0,15.97,349.0,11.68,102.0,3.41
Ujangsan-dong,Gangseo-gu,1574.0,100.0,743.0,47.2,376.0,23.89,203.0,12.9,177.0,11.25,75.0,4.76
Sindorim-dong,Guro-gu,2569.0,100.0,975.0,37.95,576.0,22.42,417.0,16.23,392.0,15.26,209.0,8.14
Guro 1(il)-dong,Guro-gu,675.0,100.0,212.0,31.41,134.0,19.85,94.0,13.93,139.0,20.59,96.0,14.22
Guro 3(sam)-dong,Guro-gu,5737.0,100.0,2380.0,41.49,1339.0,23.34,1031.0,17.97,735.0,12.81,252.0,4.39
Guro 4(sa)-dong,Guro-gu,2011.0,100.0,838.0,41.67,397.0,19.74,339.0,16.86,270.0,13.43,167.0,8.3
Guro 5(o)-dong,Guro-gu,4619.0,100.0,1585.0,34.31,990.0,21.43,478.0,10.35,819.0,17.73,747.0,16.17
Gocheok 1(il)-dong,Guro-gu,2456.0,100.0,734.0,29.89,511.0,20.81,434.0,17.67,547.0,22.27,230.0,9.36
Gocheok 2(i)-dong,Guro-gu,1155.0,100.0,450.0,38.96,275.0,23.81,178.0,15.41,181.0,15.67,71.0,6.15
Gaebong 2(i)-dong,Guro-gu,1170.0,100.0,434.0,37.09,203.0,17.35,209.0,17.86,195.0,16.67,129.0,11.03
Gaebong 3(sam)-dong,Guro-gu,1002.0,100.0,368.0,36.73,193.0,19.26,177.0,17.66,156.0,15.57,108.0,10.78
Oryu 1(il)-dong,Guro-gu,1080.0,100.0,382.0,35.37,238.0,22.04,183.0,16.94,168.0,15.56,109.0,10.09
Oryu 2(i)-dong,Guro-gu,1406.0,100.0,534.0,37.98,236.0,16.79,229.0,16.29,233.0,16.57,174.0,12.38
Sugung-dong,Guro-gu,1091.0,100.0,306.0,28.05,202.0,18.52,204.0,18.7,215.0,19.71,164.0,15.03
Garibong-dong,Guro-gu,1032.0,100.0,357.0,34.59,181.0,17.54,228.0,22.09,175.0,16.96,91.0,8.82
Guro 2(i)-dong,Guro-gu,7577.0,100.0,2105.0,27.78,1704.0,22.49,1595.0,21.05,1548.0,20.43,625.0,8.25
Gaebong 1(il)-dong,Guro-gu,1772.0,100.0,640.0,36.12,355.0,20.03,318.0,17.95,292.0,16.48,167.0,9.42
Gasan-dong,Geumcheon-gu,11813.0,100.0,5041.0,42.67,3026.0,25.62,1922.0,16.27,1406.0,11.9,418.0,3.54
Doksan 1(il)-dong,Geumcheon-gu,3233.0,100.0,1209.0,37.4,743.0,22.98,503.0,15.56,531.0,16.42,247.0,7.64
Doksan 2(i)-dong,Geumcheon-gu,1237.0,100.0,532.0,43.01,280.0,22.64,210.0,16.98,151.0,12.21,64.0,5.17
Doksan 3(sam)-dong,Geumcheon-gu,2226.0,100.0,934.0,41.96,524.0,23.54,361.0,16.22,273.0,12.26,134.0,6.02
Doksan 4(sa)-dong,Geumcheon-gu,1060.0,100.0,450.0,42.45,256.0,24.15,151.0,14.25,149.0,14.06,54.0,5.09
Siheung 1(il)-dong,Geumcheon-gu,3018.0,100.0,1265.0,41.92,726.0,24.06,403.0,13.35,412.0,13.65,212.0,7.02
Siheung 2(i)-dong,Geumcheon-gu,551.0,100.0,206.0,37.39,126.0,22.87,128.0,23.23,58.0,10.53,33.0,5.99
Siheung 3(sam)-dong,Geumcheon-gu,3182.0,100.0,920.0,28.91,724.0,22.75,578.0,18.16,711.0,22.34,249.0,7.83
Siheung 4(sa)-dong,Geumcheon-gu,882.0,100.0,359.0,40.7,224.0,25.4,124.0,14.06,119.0,13.49,56.0,6.35
Siheung 5(o)-dong,Geumcheon-gu,1204.0,100.0,502.0,41.69,266.0,22.09,176.0,14.62,185.0,15.37,75.0,6.23
Yeouido-dong,Yeongdeungpo-gu,7564.0,100.0,3108.0,41.09,1718.0,22.71,1136.0,15.02,903.0,11.94,699.0,9.24
Dangsan 1(il)-dong,Yeongdeungpo-gu,3092.0,100.0,1236.0,39.97,700.0,22.64,497.0,16.07,455.0,14.72,204.0,6.6
Dangsan2(i)-dong,Yeongdeungpo-gu,2164.0,100.0,970.0,44.82,523.0,24.17,288.0,13.31,259.0,11.97,124.0,5.73
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,3186.0,100.0,847.0,26.59,633.0,19.87,646.0,20.28,869.0,27.28,191.0,5.99
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,2074.0,100.0,837.0,40.36,434.0,20.93,336.0,16.2,306.0,14.75,161.0,7.76
Singil 1(il)-dong,Yeongdeungpo-gu,1177.0,100.0,440.0,37.38,281.0,23.87,174.0,14.78,184.0,15.63,98.0,8.33
Singil 3(sam)-dong,Yeongdeungpo-gu,1007.0,100.0,320.0,31.78,249.0,24.73,191.0,18.97,152.0,15.09,95.0,9.43
Singil 4(sa)-dong,Yeongdeungpo-gu,595.0,100.0,200.0,33.61,154.0,25.88,109.0,18.32,78.0,13.11,54.0,9.08
Singil 5(o)-dong,Yeongdeungpo-gu,689.0,100.0,244.0,35.41,151.0,21.92,113.0,16.4,123.0,17.85,58.0,8.42
Singil 6(yuk)-dong,Yeongdeungpo-gu,1232.0,100.0,457.0,37.09,319.0,25.89,193.0,15.67,180.0,14.61,83.0,6.74
Singil 7(chil)-dong,Yeongdeungpo-gu,591.0,100.0,225.0,38.07,145.0,24.53,96.0,16.24,91.0,15.4,34.0,5.75
Daerim 1(il)-dong,Yeongdeungpo-gu,1129.0,100.0,461.0,40.83,271.0,24.0,174.0,15.41,153.0,13.55,70.0,6.2
Daerim 2(i)-dong,Yeongdeungpo-gu,1408.0,100.0,675.0,47.94,323.0,22.94,176.0,12.5,157.0,11.15,77.0,5.47
