Dong,세금_지방세징수_2012_Gu_Gu_Gu,세금_지방세징수_2012_total_total_total,세금_지방세징수_2012_total_Metropolitan City taxes_Metropolitan City taxes,세금_지방세징수_2012_total_Gu taxes_Gu taxes,세금_지방세징수_2012_General tax_Metropolitan City taxes_Acquisition tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Leisure tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Inhabitant tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Auto mobile tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Tobacco Consumption tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Property tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Consumption tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Income tax,세금_지방세징수_2012_General tax_Gu taxes_Registration license tax,세금_지방세징수_2012_General tax_Gu taxes_Local Inhabitant tax,세금_지방세징수_2012_General tax_Gu taxes_Property tax,세금_지방세징수_2012_General tax_Gu taxes_Aggregate Land tax,세금_지방세징수_2012_General tax_Gu taxes_Local Income tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Regional Resource Facility tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Local Education tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_City Planning tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Group Facilities tax,세금_지방세징수_2012_Objective taxes_Gu taxes_Business Office tax,세금_지방세징수_2012_Revenue from previous year_Metropolitan City taxes_Metropolitan City taxes,세금_지방세징수_2012_Revenue from previous year_Gu taxes_Gu taxes
Sajik-dong,Jongno-gu,84998,70579.0,14419,13129.0,-,270,1387.0,-,11872,-,36875,2259,2,12048,-,-2,1169,5301.0,-,-,-4,576.0,116
Samcheong-dong,Jongno-gu,13835,11108.0,2727,1508.0,-,53,186.0,-,2255,-,5826,428,1,2289,-,-,222,1007.0,-,-,-1,51.0,10
Buam-dong,Jongno-gu,13909,11784.0,2125,2647.0,-,51,651.0,-,1592,-,5817,478,-,1615,-,-,157,711.0,-,-,-,158.0,32
Pyeongchang-dong,Jongno-gu,32937,27353.0,5584,8935.0,-,91,1604.0,-,4576,-,9312,872,1,4644,-2,-,451,2043.0,-,-,-,341.0,69
Muak-dong,Jongno-gu,9127,7536.0,1591,1305.0,-,30,493.0,-,1194,-,3762,360,-,1212,-,-,118,533.0,-,-,-1,101.0,20
Gyonam-dong,Jongno-gu,13268,10784.0,2484,1747.0,-,52,325.0,-,1791,-,5801,649,-,1817,-,-,176,800.0,-,-,-1,92.0,19
Gahoe-dong,Jongno-gu,18751,16544.0,2207,3864.0,-,90,309.0,-,1791,-,9415,370,-,1817,-,-,176,800.0,-,-,-,99.0,20
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,193980,164524.0,29456,36483.0,-,869,1420.0,-,24936,-,85898,3880,5,25309,-,-3,2454,11131.0,-,-,-6,1333.0,271
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,78292,72977.0,5315,10949.0,-,427,583.0,-,4311,-,54265,925,2,4375,-1,-2,424,1925.0,-,-,-3,93.0,19
Ihwa-dong,Jongno-gu,20860,18667.0,2193,3662.0,-,113,357.0,-,1791,-,11664,355,1,1817,-,-1,176,800.0,-,-,-,104.0,21
Changsin 1(il)-dong,Jongno-gu,20469,17231.0,3238,1292.0,-,145,219.0,-,1857,-,12622,1338,1,1885,-,-1,183,829.0,-,-,-2,84.0,17
Changsin 2(i)-dong,Jongno-gu,10068,9199.0,869,809.0,-,55,276.0,-,597,-,7065,250,-,606,-1,-,59,267.0,-,-,-,71.0,14
Changsin 3(sam)-dong,Jongno-gu,7243,6510.0,733,799.0,-,34,356.0,-,464,-,4552,251,-,471,-,-,46,207.0,-,-,-,52.0,11
Sungin 1(il)-dong,Jongno-gu,8532,7353.0,1179,750.0,-,48,279.0,-,730,-,5092,428,1,740,-,-,72,326.0,-,-,-1,56.0,11
Sungin 2(i)-dong,Jongno-gu,26603,24144.0,2459,3815.0,4909,118,389.0,-,2056,-,11661,357,1,2087,-,-1,202,918.0,-,-,-,76.0,15
Cheongunhyoja-dong,Jongno-gu,19314,16833.0,2481,3598.0,-,86,732.0,-,2056,-,9032,351,1,2087,-,-,202,918.0,-,-,-,209.0,42
Hyehwa-dong,Jongno-gu,24340,21341.0,2999,3824.0,-,145,731.0,-,2454,-,12689,479,2,2490,-,-2,242,1096.0,-,-,-3,160.0,33
Sogong-dong,Jung-gu,357167,327602.0,29565,13502.0,-,422,1807.0,-,21770,-,278836,9186,2,20320,-,-,2598,8171.0,-,-,-2,496.0,59
Hoehyeon-dong,Jung-gu,261845,250643.0,11203,19495.0,-,520,2427.0,-,10452,-,209012,2038,2,9066,-,-,1648,6856.0,-,-,-,233.0,98
Myeong-dong,Jung-gu,390815,362587.0,28228,87202.0,312,606,1655.0,-,23508,-,232072,6153,3,21994,-,-3,2916,14047.0,-,-,-,268.0,82
Pil-dong,Jung-gu,40138,34876.0,5262,2943.0,-,269,737.0,-,3562,-,25080,2052,-,3153,-,-,445,1678.0,-,-,-,161.0,57
Jangchung-dong,Jung-gu,34599,32370.0,2229,2968.0,-,129,613.0,-,2305,-,25160,258,-,1955,-,-,245,852.0,-,-,-,98.0,16
Gwanghui-dong ,Jung-gu,59406,52646.0,6759,8151.0,2553,515,724.0,-,7108,-,29502,616,1,6047,-,-,1193,2594.0,-,-,-,306.0,95
Euljiro-dong,Jung-gu,40362,34374.0,5988,4741.0,-,568,628.0,-,6196,-,19575,543,-,5391,-,-,453,2052.0,-,-,-,161.0,54
Sindang-dong,Jung-gu,26962,23464.0,3498,9768.0,-,493,606.0,-,2977,-,6874,1011,-,2398,-,-,596,1886.0,-,-,-,263.0,89
Dasan-dong,Jung-gu,9017,7786.0,1231,2323.0,-,152,804.0,-,1534,-,1860,101,-,1108,-,-,206,700.0,-,-,-,207.0,23
Yaksu-dong,Jung-gu,12361,10343.0,2018,2985.0,-,132,967.0,-,2604,-,2135,110,-,1877,-,-,198,1108.0,-,-,-,214.0,31
Cheonggu-dong,Jung-gu,8097,6753.0,1343,2122.0,-,120,823.0,-,1747,-,874,92,-,1226,-,-,148,767.0,-,-,-,151.0,25
Sindang 5(o)-dong,Jung-gu,5094,4246.0,847,1206.0,-,116,597.0,-,998,-,905,85,-,741,-,-,90,238.0,-,-,-,97.0,21
Donghwa-dong,Jung-gu,10103,8995.0,1108,3801.0,-,115,1717.0,-,1421,-,956,126,-,967,-,-,161,702.0,-,-,-,123.0,14
Hwanghak-dong,Jung-gu,19523,16953.0,2569,9690.0,-,147,843.0,-,2804,-,1056,339,-,2169,-,-,455,1733.0,-,-,-,225.0,61
Jungnim-dong,Jung-gu,12728,11051.0,1678,2767.0,-,145,901.0,-,1871,-,3988,206,1,1443,-,-,415,824.0,-,-,-,139.0,28
Huam-dong,Yongsan-gu,10490,8603.0,1887,2919.0,-,57,716.0,-,1862,-,1921,408,1,1459,-,-,107,819.0,-,-,-,202.0,19
Yongsan 2-ga-dong,Yongsan-gu,4080,3423.0,657,1037.0,-,76,421.0,-,643,-,736,233,-,414,-,4,38,316.0,-,-,-,156.0,6
Namyeong-dong,Yongsan-gu,22426,17100.0,5326,2306.0,-,85,342.0,-,4896,-,7536,365,-,4908,-,15,366,1399.0,-,-,-,170.0,38
Wonhyoro 2(i)-dong,Yongsan-gu,14166,11184.0,2982,2273.0,-,159,1039.0,-,2907,-,3343,416,3,2542,-,-,217,1065.0,-,-,-,181.0,21
Hyochang-dong,Yongsan-gu,6007,4893.0,1114,1335.0,-,75,585.0,-,1027,-,1210,349,-,758,-,-,83,476.0,-,-,-,102.0,7
Yongmun-dong,Yongsan-gu,6810,5479.0,1331,1724.0,-,72,676.0,-,1433,-,769,226,3,1094,-,1,95,598.0,-,-,-,112.0,7
Ichon 1(il)-dong,Yongsan-gu,52464,41224.0,11240,9567.0,-,-50,2544.0,-,11217,-,13325,1012,-,10134,-,-,300,3921.0,-,-,-,400.0,94
Ichon 2(i)-dong,Yongsan-gu,7971,5867.0,2104,1164.0,-,62,658.0,-,2245,-,851,197,-,1890,-,-,52,705.0,-,-,-,130.0,17
Itaewon 1(il)-dong,Yongsan-gu,29752,25428.0,4324,5900.0,-,-114,590.0,-,3847,-,13332,671,-,3626,-,-,205,1492.0,-,-,-,176.0,27
Itaewon 2(i)-dong,Yongsan-gu,14892,13334.0,1558,2705.0,-,80,488.0,-,1724,-,7420,186,-,1361,-,-,91,698.0,-,-,-,128.0,11
Seobinggo-dong,Yongsan-gu,21413,17535.0,3878,4421.0,-,105,1061.0,-,3772,-,6526,358,-,3498,-,-,130,1364.0,-,-,-,156.0,22
Bogwang-dong,Yongsan-gu,7586,5828.0,1758,1709.0,-,104,549.0,-,1942,-,606,289,1,1446,-,-,57,642.0,-,-,-,219.0,22
Cheongpa-dong,Yongsan-gu,12701,10349.0,2352,3046.0,-,161,802.0,-,2370,-,2622,364,1,1968,-,-,184,941.0,-,-,-,223.0,19
Wonhyoro 1(il)-dong,Yongsan-gu,22731,16843.0,5888,3352.0,-,208,947.0,-,5768,-,4231,438,1,5417,-,-,349,1770.0,-,-,-,218.0,32
Hangangno-dong,Yongsan-gu,130240,107141.0,23099,27133.0,7469,485,1655.0,-,21426,-,35941,1713,1,21306,-,-,1764,10843.0,-,-,-,425.0,79
Hannam-dong,Yongsan-gu,95424,83024.0,12400,27519.0,-,105,1745.0,-,11068,-,36256,1668,-,10605,-,-,703,5043.0,-,-,-,585.0,127
Wangsimni 2(i)-dong,Seongdong-gu,8048,6211.0,1837,1830.0,-,49,746.0,-,1751,-,892,62,-,1760,-,-,134,654.0,-,-,0,155.0,15
Majang-dong,Seongdong-gu,18921,14353.0,4568,4264.0,-,174,1297.0,-,3420,-,3291,708,-,3834,0,-,292,1372.0,-,-,-,243.0,26
Sageun-dong,Seongdong-gu,7103,5635.0,1468,2075.0,-,76,354.0,-,1251,-,1036,110,-,1347,-,-,117,625.0,-,-,-,101.0,11
Haengdang 1(il)-dong,Seongdong-gu,14553,11351.0,3202,2365.0,-,111,822.0,-,2286,-,4327,698,-,2493,-,-,326,958.0,-,-,-,156.0,11
Haengdang 2(i)-dong,Seongdong-gu,12903,9873.0,3030,2742.0,-,50,1615.0,-,2938,-,942,99,-,2907,-,-,213,1163.0,-,-,-,210.0,24
Eungbong-dong,Seongdong-gu,8556,6511.0,2045,1856.0,-,36,1023.0,-,1803,-,777,274,-,1755,-,-,88,747.0,-,-,-,181.0,16
Geumho 1(il)-ga-dong,Seongdong-gu,7339,5600.0,1739,1786.0,-,30,800.0,-,1525,-,564,243,-,1481,-,-,130,621.0,-,-,-,144.0,15
Geumho 4(sa)-ga-dong,Seongdong-gu,13453,10584.0,2869,4868.0,-,35,919.0,-,2216,-,1132,502,-,2350,-,-,132,1115.0,-,-,-,167.0,17
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,28722,21217.0,7505,7975.0,-,97,963.0,-,4967,-,4488,1206,-,6277,-,-,312,2223.0,-,-,-,192.0,22
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,19222,12900.0,6322,2981.0,-,130,1026.0,-,4363,-,2339,808,-,5487,-,-,297,1561.0,-,-,-,203.0,27
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,22535,16696.0,5839,4074.0,-,168,1133.0,-,3768,-,5239,1517,1,4302,-,-,472,1616.0,-,-,-,226.0,19
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,49447,40983.0,8464,10549.0,-,466,1422.0,-,6587,-,17880,608,-,7786,-,-,1052,2684.0,-,-,-,343.0,70
Songjeong-dong,Seongdong-gu,5003,3943.0,1060,1500.0,-,47,454.0,-,870,-,492,137,-,917,-,-,63,408.0,-,-,-,109.0,6
Yongdap-dong,Seongdong-gu,13990,10881.0,3109,1884.0,-,170,634.0,-,2192,-,4600,489,1,2593,-,-,443,770.0,-,-,-,188.0,26
WangsimniDoseon-dong,Seongdong-gu,15226,10978.0,4248,3319.0,-,101,605.0,-,3506,-,1797,328,-,3895,-,-,291,1148.0,-,-,-,211.0,25
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,17159,13997.0,3162,8000.0,-,57,906.0,-,2558,-,765,630,-,2508,-,2,150,1329.0,-,-,-,232.0,22
Oksu-dong,Seongdong-gu,23487,18527.0,4960,8048.0,-,64,1434.0,-,3949,-,2683,780,-,4132,-,-,191,1810.0,-,-,-,348.0,48
Hwayang-dong,Gwangjin-gu,24166,16707.0,7459,4987.0,-,151,652.0,-,5973,-,2594,553,-1,6888,-,-,402,1752.0,-,-,-,194.0,19
Gunja-dong,Gwangjin-gu,14266,10951.0,3315,3810.0,-,100,829.0,-,2547,-,2224,369,-,2934,0,-,243,1013.0,-,-,-,185.0,12
Junggok 1(il)-dong,Gwangjin-gu,10864,7679.0,3185,2288.0,-,84,643.0,-,2198,-,1309,645,-,2534,-,-,153,858.0,-,-,-,145.0,6
Junggok 2(i)-dong,Gwangjin-gu,9916,7713.0,2203,2866.0,-,79,854.0,-,1784,-,963,143,-,2054,0,-,202,790.0,-,-,-,174.0,6
Junggok 3(sam)-dong,Gwangjin-gu,6391,4918.0,1472,1683.0,-,63,629.0,-,1175,-,560,116,-,1353,-,-,130,525.0,-,-,-,154.0,4
Junggok 4(sa)-dong,Gwangjin-gu,11387,9326.0,2061,3937.0,-,101,1249.0,-,1640,-,1018,158,-,1888,-,-,177,962.0,-,-,-,241.0,15
Neung-dong,Gwangjin-gu,8036,6294.0,1742,2315.0,-,75,535.0,-,1332,-,1219,202,-,1535,-,-,126,589.0,-,-,-,102.0,5
Guui 1(il)-dong,Gwangjin-gu,12821,9233.0,3588,3192.0,-,107,869.0,-,2000,-,1577,1278,-,2304,-,-,226,1081.0,-,-,-,181.0,6
Guui 2(i)-dong,Gwangjin-gu,13056,10545.0,2511,4247.0,-,86,1114.0,-,1969,-,1782,172,-,2268,0,-,186,991.0,-,-,-,169.0,71
Guui 3(sam)-dong,Gwangjin-gu,31855,24688.0,7167,7568.0,-,192,2108.0,-,5385,-,5598,687,-,6202,-,-,707,2302.0,-,-,-1,828.0,278
Gwangjang-dong,Gwangjin-gu,66671,56195.0,10475,24789.0,-,170,2874.0,-,7967,-,15028,1254,-,9182,0,-,576,4436.0,-,-,-,357.0,39
Jayang 1(il)-dong,Gwangjin-gu,12460,9030.0,3431,2704.0,-,100,887.0,-,2039,-,1887,1071,-,2349,-,-,197,993.0,-,-,-,223.0,10
Jayang 2(i)-dong,Gwangjin-gu,15034,11615.0,3420,3360.0,-,101,1496.0,-,2686,-,2226,283,-,3094,-,-,242,1169.0,-,-,-3,334.0,46
Jayang 3(sam)-dong,Gwangjin-gu,29423,22390.0,7033,5501.0,-,185,2172.0,-,5822,-,4581,299,-,6712,0,1,813,3076.0,-,-,-,241.0,21
Jayang 4(sa)-dong,Gwangjin-gu,11655,8468.0,3187,2327.0,-,97,916.0,-,2616,-,1228,165,-,3015,-,-,174,907.0,-,-,-,203.0,8
Hoegi-dong,Dongdaemun-gu,8460,6823.0,1638,1654.0,-,65,459.0,-,1293,-,2597,213,0,1418,-,-,130,510.0,-,-,-,115.0,7
Hwigyeong 1(il)-dong,Dongdaemun-gu,8410,6465.0,1945,2526.0,-,70,564.0,-,1386,-,969,376,0,1553,-,8,158,652.0,-,-,-,141.0,7
Hwigyeong 2(i)-dong,Dongdaemun-gu,13838,11598.0,2240,3604.0,-,78,1280.0,-,2107,-,3164,161,-,2075,-,-,210,972.0,-,-,-,182.0,4
Cheongnyangni-dong,Dongdaemun-gu,15172,11715.0,3457,2935.0,-,118,972.0,-,2833,-,3298,292,0,3122,-,-,220,1045.0,-,-,-,295.0,43
Yongsin-dong,Dongdaemun-gu,61124,50790.0,10333,8410.0,12285,301,1622.0,-,7421,-,11658,1133,4,9140,-,0,998,7562.0,-,-,-,532.0,56
Jegi-dong,Dongdaemun-gu,22126,15661.0,6465,4792.0,-,205,1190.0,-,4783,-,2191,617,1,5778,-,2,372,1719.0,-,-,-,408.0,67
Jeonnong 1(il)-dong,Dongdaemun-gu,19320,14518.0,4803,2816.0,-,157,758.0,-,3559,-,5391,507,-,4274,-,-,385,1193.0,-,-,-,260.0,22
Jeonnong 2(i)-dong,Dongdaemun-gu,11429,8960.0,2469,3019.0,-,58,1076.0,-,2099,-,1378,285,3,2168,-,3,185,978.0,-,-,-,167.0,11
Dapsimni 1(il)-dong,Dongdaemun-gu,18802,14020.0,4781,5642.0,-,137,930.0,-,3372,-,1857,787,1,3948,-,27,332,1411.0,-,-,-,340.0,19
Dapsimni 2(i)-dong,Dongdaemun-gu,15308,11985.0,3323,4017.0,-,129,1589.0,-,2964,-,1452,179,3,3116,-,-,275,1269.0,-,-,-,289.0,25
Jangan 1(il)-dong,Dongdaemun-gu,49629,41319.0,8310,10145.0,9904,257,2024.0,-,5632,-,5486,1565,9,6703,-,-,813,6608.0,-,-,-,450.0,32
Jangan 2(i)-dong,Dongdaemun-gu,23530,17536.0,5995,5288.0,199,200,1786.0,-,4659,-,2491,283,7,5669,-,-,583,1938.0,-,-,-,391.0,36
Imun 1(il)-dong,Dongdaemun-gu,12829,10216.0,2614,4030.0,-,78,1106.0,-,2206,-,1330,326,1,2271,-,-,228,1016.0,-,-,-,222.0,15
Imun 2(i)-dong,Dongdaemun-gu,8519,6325.0,2194,2378.0,-,36,1032.0,-,1160,-,620,64,-,2129,-,-,187,795.0,-,-,-,118.0,1
Myeonmok 2(i)-dong,Jungnang-gu,11036,7666.0,3369,2862.0,-,87,942.0,-,1807,-,609,642,-,2712,-,-,164,883.0,-,-,-,313.0,15
Myeonmok 4(sa)-dong,Jungnang-gu,8381,6385.0,1997,2892.0,-,55,766.0,-,1217,-,481,245,-,1735,-,-,87,676.0,-,-,-,212.0,17
Myeonmok 5(o)-dong,Jungnang-gu,4589,3196.0,1393,970.0,-,49,490.0,-,851,-,271,97,-,1291,-,-,76,357.0,-,-,-,133.0,5
Myeonmok 7(chil)-dong,Jungnang-gu,10036,7379.0,2657,2664.0,-,68,1028.0,-,1695,-,744,135,-,2504,-,-,167,777.0,-,-,-,235.0,18
Sangbong 1(il)-dong,Jungnang-gu,16645,13031.0,3614,2472.0,2540,72,1175.0,-,1980,-,1174,580,-,3022,-,-,154,3282.0,-,-,-,182.0,12
Sangbong 2(i)-dong,Jungnang-gu,23558,17911.0,5647,2566.0,6646,126,702.0,-,2940,-,2238,203,-,5429,-,-,348,2107.0,-,-,-,238.0,15
Junghwa 1(il)-dong,Jungnang-gu,7682,5686.0,1996,2026.0,-,59,862.0,-,1179,-,637,345,-,1641,-,-,120,637.0,-,-,-,167.0,10
Junghwa 2(i)-dong,Jungnang-gu,10672,7546.0,3126,2567.0,-,96,835.0,-,1966,-,814,124,-,2979,-,-,177,759.0,-,-,-,333.0,23
Muk 1(il)-dong,Jungnang-gu,20512,15034.0,5478,5882.0,-,108,1854.0,-,3201,-,1705,626,-,4807,-,-,347,1632.0,-,-,-,306.0,45
Muk 2(i)-dong,Jungnang-gu,9114,7000.0,2114,3097.0,-,64,776.0,-,1347,-,701,153,-,1954,-,-,136,713.0,-,-,-,167.0,7
Mangu 3(sam)-dong,Jungnang-gu,6048,4513.0,1535,1845.0,-,54,578.0,-,882,-,403,311,0,1219,0,0,84,488.0,-,-,0,180.0,5
Sinnae 1(il)-dong,Jungnang-gu,14777,10800.0,3977,3194.0,-,126,1644.0,-,2259,-,1853,645,-,3312,-,-,296,1161.0,-,-,-,267.0,20
Sinnae 2(i)-dong,Jungnang-gu,9818,7465.0,2353,2328.0,-,85,1203.0,-,1612,-,1064,116,-,2226,-,-,200,772.0,-,-,-,202.0,11
Myeonmokbon-dong,Jungnang-gu,14056,10545.0,3511,4714.0,-,98,1033.0,-,2094,-,801,384,-,3111,-,-,187,1317.0,-,-,-,301.0,15
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,10960,8069.0,2891,2672.0,-,95,1044.0,-,1793,-,1239,203,-,2674,-,-,181,811.0,-,-,-,234.0,14
Mangubon-dong,Jungnang-gu,32613,26851.0,5763,8796.0,6574,150,1300.0,-,3218,-,1801,457,-,5280,-,-,388,4282.0,-,-,-,341.0,27
Donam 1(il)-dong,Seongbuk-gu,7929,5853.0,2075,1850.0,-,46,856.0,-,1391,-,718,665,-,1399,-,-,119,754.0,-,-,-,119.0,11
Donam 2(i)-dong,Seongbuk-gu,13351,10548.0,2802,3259.0,-,16,1627.0,-,2548,-,1438,135,-,2640,-,-,198,1217.0,-,-,-,246.0,27
Anam-dong,Seongbuk-gu,14341,11772.0,2569,2836.0,-,118,629.0,-,1905,-,4970,364,-,2168,-,-,262,841.0,-,-,-,212.0,37
Bomun-dong,Seongbuk-gu,10020,7885.0,2135,2904.0,-,87,534.0,-,1655,-,1604,252,-,1866,-,-,181,751.0,-,-,-,170.0,17
Jeongneung 1(il)-dong,Seongbuk-gu,9763,7111.0,2651,2144.0,-,62,1064.0,-,1651,-,898,981,-,1651,-,-,158,931.0,-,-,-,204.0,19
Jeongneung 2(i)-dong,Seongbuk-gu,9209,7267.0,1942,2508.0,-,78,1101.0,-,1694,-,608,111,-,1806,-,-,178,846.0,-,-,-,254.0,25
Jeongneung 3(sam)-dong,Seongbuk-gu,6097,4849.0,1247,1484.0,-,55,611.0,-,1017,-,955,83,-,1149,-,-,69,503.0,-,-,-,157.0,15
Jeongneung 4(sa)-dong,Seongbuk-gu,11568,9370.0,2198,3277.0,-,81,1506.0,-,2020,-,937,127,1,2048,-,-,195,1072.0,-,-,-,283.0,22
Gireum 1(il)-dong,Seongbuk-gu,21705,16272.0,5433,4945.0,-,121,2277.0,-,4581,-,1497,652,-,4728,-,-,399,2206.0,-,-,-,246.0,53
Gireum 2(i)-dong,Seongbuk-gu,26001,21636.0,4365,8578.0,4653,126,803.0,-,3387,-,1614,119,-,4226,-,-,469,1834.0,-,-,-,173.0,20
Wolgok 1(il)-dong,Seongbuk-gu,14977,11855.0,3122,3279.0,-,108,1404.0,-,2692,-,2413,240,-,2864,-,-,272,1478.0,-,-,-,210.0,18
Wolgok 2(i)-dong,Seongbuk-gu,15038,12269.0,2769,4165.0,-,157,1021.0,-,2337,-,2898,133,-,2617,-,-,355,1134.0,-,-,-,203.0,19
Jangwi 1(il)-dong,Seongbuk-gu,6637,4848.0,1789,1190.0,-,64,847.0,-,1303,-,452,465,-,1311,-,-,77,625.0,-,-,-,290.0,13
Jangwi 2(i)-dong,Seongbuk-gu,7634,5703.0,1931,1528.0,-,84,773.0,-,1659,-,662,90,-,1827,-,-,115,659.0,-,-,-,223.0,14
Jangwi 3(sam)-dong,Seongbuk-gu,7013,5248.0,1765,1539.0,-,71,744.0,-,1516,-,471,97,-,1659,-,-,119,622.0,-,-,-,167.0,9
Seongbuk-dong,Seongbuk-gu,42653,36120.0,6533,15753.0,-,-194,1053.0,-,4243,-,12737,716,-,5764,-,-,221,2025.0,-,-,-,281.0,53
Samseon-dong,Seongbuk-gu,21617,17930.0,3687,9346.0,-,135,1063.0,-,2797,-,2323,571,-,3098,-,-,294,1703.0,-,-,-,269.0,18
Dongseon-dong,Seongbuk-gu,14924,11248.0,3676,4345.0,-,139,604.0,-,2621,-,1832,404,-,3249,0,10,354,1198.0,-,-,-,156.0,13
Jongam-dong,Seongbuk-gu,21033,16112.0,4921,5369.0,-,152,2051.0,-,4021,-,1807,683,-,4209,-,-,442,1912.0,-,-,-,358.0,29
Seokgwan-dong,Seongbuk-gu,14815,11223.0,3591,3406.0,-,146,1483.0,-,2896,-,1385,476,-,3065,-,-,255,1289.0,-,-,-,363.0,50
Beon 1(il)-dong,Gangbuk-gu,33325,26225.0,5290,5443.0,8148,125,670.0,-,2621,-,2253,510,-,4625,-,-,247,4909.0,-,-,-,195.0,17
Beon 2(i)-dong,Gangbuk-gu,4886,3516.0,1162,995.0,-,52,615.0,-,678,-,581,58,-,1196,-,-,81,349.0,-,-,-,169.0,12
Beon 3(sam)-dong,Gangbuk-gu,6412,4674.0,1529,1785.0,-,52,793.0,-,931,-,397,55,-,1642,-,-,113,491.0,-,-,-,172.0,17
Suyu 1(il)-dong,Gangbuk-gu,12072,8056.0,5235,3248.0,-,83,678.0,-,1542,-,1369,1067,-,2720,-,-,163,887.0,-,-,-,232.0,24
Suyu 2(i)-dong,Gangbuk-gu,10634,7860.0,2621,3422.0,-,68,935.0,-,1497,-,840,147,-,2641,-,-,184,780.0,-,-,-,186.0,13
Suyu 3(sam)-dong,Gangbuk-gu,13786,10009.0,3873,4594.0,-,121,687.0,-,2283,-,1055,179,-,4028,-,-,239,988.0,-,-,-,243.0,21
Samyang-dong,Gangbuk-gu,11304,8104.0,2797,3422.0,-,52,1029.0,-,1752,-,700,73,-,3092,-,-,199,834.0,-,-,-,374.0,40
Mia-dong,Gangbuk-gu,15117,10182.0,6634,4586.0,-,111,717.0,-,2047,-,1457,1303,-,3611,-,-,203,1133.0,-,-,-,206.0,14
Songjung-dong,Gangbuk-gu,15872,11266.0,5046,3625.0,-,141,1061.0,-,3123,-,1387,126,-,5510,-,-,317,1159.0,-,-,-,311.0,27
Songcheon-dong,Gangbuk-gu,13814,9836.0,4246,3672.0,-,105,955.0,-,2641,-,981,122,-,4659,-,-,261,1035.0,-,-,-,285.0,27
Samgaksan-dong,Gangbuk-gu,16449,12091.0,4090,4713.0,-,60,1966.0,-,2525,-,655,127,-,4454,-,-,335,1358.0,-,-,-,314.0,43
Ui-dong,Gangbuk-gu,12103,8738.0,3243,4048.0,-,62,861.0,-,1766,-,1197,226,-,3117,-,-,162,861.0,-,-,-,289.0,31
Insu-dong,Gangbuk-gu,12711,9365.0,2794,4108.0,-,95,1128.0,-,1586,-,1372,160,-,2798,-,-,181,879.0,-,-,-,335.0,31
Ssangmun 1(il)-dong,Dobong-gu,7319,6226.0,1093,2366.0,-,73,851.0,-,1131,-,704,646,-,431,-,-,112,754.0,-,-,-,235.0,16
Ssangmun 2(i)-dong,Dobong-gu,6418,5733.0,686,1835.0,-,67,783.0,-,1340,-,671,138,-,528,-,-,186,627.0,-,-,-,223.0,20
Ssangmun 3(sam)-dong,Dobong-gu,5444,4868.0,575,1521.0,-,57,655.0,-,1197,-,641,83,-,483,-,-,116,539.0,-,-,-,142.0,10
Ssangmun 4(sa)-dong,Dobong-gu,5786,5225.0,562,1667.0,-,43,1037.0,-,1196,-,373,94,-,451,-,-,103,655.0,-,-,-,150.0,16
Banghak 1(il)-dong,Dobong-gu,10582,8769.0,1813,2558.0,-,106,1287.0,-,2224,-,1105,888,-,912,-,-,199,1117.0,-,-,-,173.0,13
Banghak 2(i)-dong,Dobong-gu,11178,10140.0,1038,4022.0,-,96,1342.0,-,2022,-,1035,214,-,792,-,-,268,1122.0,-,-,-,232.0,32
Banghak 3(sam)-dong,Dobong-gu,3430,3105.0,325,976.0,-,42,537.0,-,697,-,306,74,-,243,-,-,67,355.0,-,-,-,125.0,8
Chang 1(il)-dong,Dobong-gu,17776,16108.0,1668,3235.0,-,103,1774.0,-,3603,-,1739,150,-,1490,-,-,375,5085.0,-,-,-,194.0,28
Chang 2(i)-dong,Dobong-gu,13422,11777.0,1645,2980.0,-,111,1621.0,-,3430,-,1713,167,-,1452,-,-,379,1340.0,-,-,-,203.0,26
Chang 3(sam)-dong,Dobong-gu,53735,17425.0,36310,6955.0,-,124,1610.0,-,3432,-,3099,1046,-,35192,-,-,481,1468.0,-,-,-,255.0,72
Chang 4(sa)-dong,Dobong-gu,14676,14064.0,612,2659.0,8555,60,710.0,-,881,-,337,279,-,318,-,-,96,508.0,-,-,-,258.0,15
