Dong,의료_의약품제조및판매업현황_Autonomous Gu_Autonomous Gu,의료_의약품제조및판매업현황_ No. of manufacturers_Total,의료_의약품제조및판매업현황_ No. of manufacturers_Drugs,의료_의약품제조및판매업현황_ No. of manufacturers_Non-drug products,의료_의약품제조및판매업현황_ No. of manufacturers_Medical Instruments,의료_의약품제조및판매업현황_ No. of manufacturers_Cosmetics,의료_의약품제조및판매업현황_ No. of Sellers_Total,의료_의약품제조및판매업현황_ No. of Sellers_Pharmacies,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine pharmacies,의료_의약품제조및판매업현황_ No. of Sellers_Druggist,의료_의약품제조및판매업현황_ No. of Sellers_Wholesaler of phamaceutical goods,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine wholesalers,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine dealers,의료_의약품제조및판매업현황_ No. of Sellers_Dealers of medical instruments,의료_의약품제조및판매업현황_ No. of Sellers_Medical instruments repair supplier
Guui 3(sam)-dong,Gwangjin-gu,1,-,-,-,1,84,14,1,-,1,1,-,65,2
Gwangjang-dong,Gwangjin-gu,2,-,-,-,2,36,9,-,-,3,-,-,24,-
Jayang 1(il)-dong,Gwangjin-gu,1,-,-,1,-,64,19,-,-,2,-,1,42,-
Jayang 2(i)-dong,Gwangjin-gu,4,-,-,2,2,41,8,1,-,4,-,1,25,2
Jayang 3(sam)-dong,Gwangjin-gu,-,-,-,-,-,29,5,-,-,1,1,-,19,3
Jayang 4(sa)-dong,Gwangjin-gu,-,-,-,-,-,33,16,-,-,2,-,-,14,1
Hoegi-dong,Dongdaemun-gu,1,-,-,1,-,19,10,3,-,-,-,-,6,-
Hwigyeong 1(il)-dong,Dongdaemun-gu,-,-,-,-,-,23,13,-,-,1,-,-,7,2
Hwigyeong 2(i)-dong,Dongdaemun-gu,-,-,-,-,-,12,4,-,-,-,-,-,8,-
Cheongnyangni-dong,Dongdaemun-gu,3,1,-,2,-,45,16,-,-,-,1,-,22,6
Yongsin-dong,Dongdaemun-gu,3,1,-,2,-,167,25,1,-,33,1,3,96,8
Jegi-dong,Dongdaemun-gu,71,66,-,4,1,358,85,32,-,8,161,32,40,-
Jeonnong 1(il)-dong,Dongdaemun-gu,1,-,-,1,-,44,17,-,-,2,-,-,25,-
Jeonnong 2(i)-dong,Dongdaemun-gu,-,-,-,-,-,26,17,-,-,1,-,-,8,-
Dapsimni 1(il)-dong,Dongdaemun-gu,2,1,-,1,-,38,16,-,-,2,-,-,18,2
Dapsimni 2(i)-dong,Dongdaemun-gu,1,-,-,1,-,19,8,-,-,3,-,-,8,-
Jangan 1(il)-dong,Dongdaemun-gu,6,-,-,4,2,128,27,-,-,27,-,-,72,2
Jangan 2(i)-dong,Dongdaemun-gu,-,-,-,-,-,61,24,-,-,10,-,-,25,2
Imun 1(il)-dong,Dongdaemun-gu,-,-,-,-,-,18,14,1,-,1,-,-,2,-
Imun 2(i)-dong,Dongdaemun-gu,-,-,-,-,-,15,5,2,-,-,-,-,6,2
Myeonmok 2(i)-dong,Jungnang-gu,4,-,-,4,-,28,13,-,-,-,-,-,15,-
Myeonmok 4(sa)-dong,Jungnang-gu,1,-,-,1,-,13,6,-,-,-,-,-,7,-
Myeonmok 5(o)-dong,Jungnang-gu,1,-,-,1,-,31,3,1,-,-,-,-,25,2
Myeonmok 7(chil)-dong,Jungnang-gu,1,-,-,-,1,24,8,-,-,-,-,-,16,-
Sangbong 1(il)-dong,Jungnang-gu,4,-,-,2,2,13,5,-,-,-,-,-,8,-
Sangbong 2(i)-dong,Jungnang-gu,-,-,-,-,-,22,9,-,-,1,-,-,11,1
Junghwa 1(il)-dong,Jungnang-gu,-,-,-,-,-,21,9,-,-,-,-,-,10,2
Junghwa 2(i)-dong,Jungnang-gu,1,-,-,-,1,30,12,1,-,2,-,1,14,-
Muk 1(il)-dong,Jungnang-gu,-,-,-,-,-,37,11,-,-,-,-,-,23,3
Muk 2(i)-dong,Jungnang-gu,1,-,-,-,1,26,9,-,-,2,-,-,15,-
Mangu 3(sam)-dong,Jungnang-gu,-,-,-,-,-,10,5,-,-,-,-,-,4,1
Sinnae 1(il)-dong,Jungnang-gu,-,-,-,-,-,32,13,1,-,2,-,-,15,1
Sinnae 2(i)-dong,Jungnang-gu,-,-,-,-,-,17,10,-,-,-,-,-,7,-
Myeonmokbon-dong,Jungnang-gu,3,-,-,3,-,28,15,-,-,-,-,-,12,1
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,4,-,-,4,-,36,21,-,-,1,-,-,14,-
Mangubon-dong,Jungnang-gu,3,-,-,3,-,63,26,-,-,-,-,-,36,1
Donam 1(il)-dong,Seongbuk_gu,-,-,-,-,-,…,4,-,-,-,-,-,…,-
Donam 2(i)-dong,Seongbuk_gu,-,-,-,-,-,…,4,-,-,-,-,-,…,-
Anam-dong,Seongbuk_gu,5,-,-,3,2,…,12,-,-,6,-,-,…,-
Bomun-dong,Seongbuk_gu,-,-,-,-,-,…,8,-,-,-,-,-,…,-
Jeongneung 1(il)-dong,Seongbuk_gu,1,-,-,1,-,…,9,-,-,-,-,-,…,-
Jeongneung 2(i)-dong,Seongbuk_gu,-,-,-,-,-,…,9,-,-,-,-,-,…,-
Jeongneung 3(sam)-dong,Seongbuk_gu,-,-,-,-,-,…,2,-,-,-,-,-,…,-
Jeongneung 4(sa)-dong,Seongbuk_gu,1,-,-,-,1,…,11,-,-,-,-,-,…,-
Gireum 1(il)-dong,Seongbuk_gu,-,-,-,-,-,…,16,1,-,-,-,1,…,1
Gireum 2(i)-dong,Seongbuk_gu,-,-,-,-,-,…,14,1,-,-,-,-,…,-
Wolgok 1(il)-dong,Seongbuk_gu,2,1,1,-,-,…,18,-,-,1,-,-,…,-
Wolgok 2(i)-dong,Seongbuk_gu,4,-,-,4,-,…,10,-,-,-,-,-,…,-
Jangwi 1(il)-dong,Seongbuk_gu,-,-,-,-,-,…,10,-,-,1,-,1,…,1
Jangwi 2(i)-dong,Seongbuk_gu,2,-,-,2,-,…,14,-,-,-,-,-,…,-
Jangwi 3(sam)-dong,Seongbuk_gu,-,-,-,-,-,…,9,-,-,-,-,-,…,2
Seongbuk-dong,Seongbuk_gu,2,-,-,1,1,…,7,-,-,1,-,1,…,1
Samseon-dong,Seongbuk_gu,1,-,-,-,1,…,16,-,-,-,-,-,…,2
Dongseon-dong,Seongbuk_gu,-,-,-,-,-,…,14,1,-,-,-,-,…,1
Jongam-dong,Seongbuk_gu,1,-,-,-,1,…,21,-,-,2,-,-,…,-
Seokgwan-dong,Seongbuk_gu,1,-,-,-,1,…,18,-,-,4,-,-,…,-
Beon 1(il)-dong,Gangbuk-gu,1,-,-,1,-,31,11,-,-,-,-,-,18,2
Beon 2(i)-dong,Gangbuk-gu,-,-,-,-,-,14,7,-,-,-,-,-,7,-
Beon 3(sam)-dong,Gangbuk-gu,-,-,-,-,-,13,7,-,-,1,-,-,5,-
Suyu 1(il)-dong,Gangbuk-gu,-,-,-,-,-,25,12,-,-,-,-,-,13,-
Suyu 2(i)-dong,Gangbuk-gu,4,-,1,3,-,30,14,-,-,-,-,-,14,2
Suyu 3(sam)-dong,Gangbuk-gu,-,-,-,-,-,37,16,1,-,-,-,-,20,-
Samyang-dong,Gangbuk-gu,-,-,-,-,-,22,14,-,-,-,-,-,8,-
Mia-dong,Gangbuk-gu,-,-,-,-,-,33,19,-,-,-,-,-,13,1
Songjung-dong,Gangbuk-gu,1,-,-,-,1,34,19,1,-,1,-,-,13,-
Songcheon-dong,Gangbuk-gu,-,-,-,-,-,31,11,-,-,-,-,-,18,2
Samgaksan-dong,Gangbuk-gu,-,-,-,-,-,12,10,-,-,-,-,-,2,-
Ui-dong,Gangbuk-gu,-,-,-,-,-,9,6,-,-,1,-,-,2,-
Insu-dong,Gangbuk-gu,-,-,-,-,-,28,15,-,-,-,-,-,12,1
Ssangmun 1(il)-dong,Dobong-gu,1,-,-,1,-,10,4,-,-,-,-,-,5,1
Ssangmun 2(i)-dong,Dobong-gu,-,-,-,-,-,25,11,-,-,-,-,-,13,1
Ssangmun 3(sam)-dong,Dobong-gu,1,-,-,-,1,20,11,-,-,-,-,-,8,1
Ssangmun 4(sa)-dong,Dobong-gu,-,-,-,-,-,5,4,-,-,-,-,-,1,-
Banghak 1(il)-dong,Dobong-gu,1,-,-,1,-,50,14,-,-,1,-,-,35,-
Banghak 2(i)-dong,Dobong-gu,1,-,1,-,-,19,7,-,-,2,-,-,10,-
Banghak 3(sam)-dong,Dobong-gu,-,-,-,-,-,13,6,-,-,-,-,-,7,-
Chang 1(il)-dong,Dobong-gu,-,-,-,-,-,29,7,-,-,-,-,-,22,-
Chang 2(i)-dong,Dobong-gu,1,-,-,1,-,27,8,-,-,1,-,-,17,1
Chang 3(sam)-dong,Dobong-gu,2,-,-,2,-,13,10,-,-,-,-,-,3,-
Chang 4(sa)-dong,Dobong-gu,1,-,-,-,1,19,7,-,-,-,-,-,12,-
Chang 5(o)-dong,Dobong-gu,-,-,-,-,-,20,11,-,-,1,-,-,8,-
Dobong 1(il)-dong,Dobong-gu,-,-,-,-,-,30,12,-,-,-,-,-,17,1
Dobong 2(i)-dong,Dobong-gu,1,-,-,1,-,22,6,-,-,2,-,-,13,1
Wolgye 1(il)-dong,Nowon-gu,1,-,-,1,-,19,9,-,-,-,-,-,10,-
Wolgye 2(i)-dong,Nowon-gu,1,-,-,-,1,16,10,-,-,-,-,-,5,1
Wolgye 3(sam)-dong,Nowon-gu,1,-,-,-,1,19,10,-,-,-,-,-,8,1
Gongneung 2(i)-dong,Nowon-gu,6,2,1,3,-,41,15,-,-,1,-,-,23,2
Hagye 1(il)-dong,Nowon-gu,2,-,-,1,1,37,13,1,-,1,-,-,21,1
Hagye 2(i)-dong,Nowon-gu,-,-,-,-,-,5,5,-,-,-,-,-,-,-
Junggyebon-dong,Nowon-gu,-,-,-,-,-,17,8,1,-,-,-,-,8,-
Junggye 1(il)-dong,Nowon-gu,-,-,-,-,-,17,10,-,-,-,-,-,6,1
Junggye 4(sa)-dong,Nowon-gu,-,-,-,-,-,16,9,-,-,-,-,-,7,-
Sanggye 1(il)-dong,Nowon-gu,3,-,-,3,-,58,16,-,-,1,-,-,41,-
Sanggye 2(i)-dong,Nowon-gu,-,-,-,-,-,40,17,-,-,-,1,-,20,2
Sanggye 5(o)-dong,Nowon-gu,2,-,-,2,-,20,10,-,-,1,-,-,9,-
Sanggye 8(pal)-dong,Nowon-gu,-,-,-,-,-,7,5,-,-,-,-,-,2,-
Sanggye 9(gu)-dong,Nowon-gu,-,-,-,-,-,11,7,-,-,-,-,-,4,-
Sanggye 10(sip)-dong,Nowon-gu,-,-,-,-,-,9,-,-,-,-,-,-,8,1
Sanggye 3.4(sam.sa)-dong,Nowon-gu,-,-,-,-,-,33,16,-,-,-,-,-,14,3
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,1,1,-,-,-,52,28,1,-,-,-,-,20,3
Junggye 2.3(i.sam)-dong,Nowon-gu,2,-,-,2,-,21,10,-,-,-,-,-,11,-
Gongneung 1(il)-dong,Nowon-gu,1,-,-,-,1,55,20,-,-,4,-,-,29,2
Nokbeon-dong,Eunpyeong-gu,-,-,-,-,-,37,13,-,-,1,-,-,21,2
Bulgwang 1(il)-dong,Eunpyeong-gu,3,-,1,1,1,31,14,1,-,-,-,-,15,1
Galhyeon 1(il)-dong,Eunpyeong-gu,-,-,-,-,-,22,9,-,-,-,-,-,12,1
Galhyeon 2(i)-dong,Eunpyeong-gu,2,-,-,2,-,32,12,-,-,-,-,-,20,-
Gusan-dong,Eunpyeong-gu,-,-,-,-,-,12,6,-,-,-,-,-,6,-
Daejo-dong,Eunpyeong-gu,3,-,-,3,-,53,23,-,-,-,-,-,29,1
Eungam 1(il)-dong,Eunpyeong-gu,-,-,-,-,-,49,13,1,-,1,1,-,30,3
Eungam 2(i)-dong,Eunpyeong-gu,1,-,-,-,1,15,8,-,-,1,-,-,6,-
Sinsa 1(il)-dong,Eunpyeong-gu,2,-,-,2,-,23,9,-,-,2,-,-,12,-
Sinsa 2(i)-dong,Eunpyeong-gu,2,-,-,2,-,11,6,-,-,1,-,-,4,-
Jeungsan-dong,Eunpyeong-gu,-,-,-,-,-,21,9,-,-,-,-,1,11,-
Susaek-dong,Eunpyeong-gu,-,-,-,-,-,18,9,-,-,-,-,-,9,-
Jingwan-dong,Eunpyeong-gu,1,-,-,1,-,15,12,-,-,-,-,-,3,-
Bulgwang 2(i)-dong,Eunpyeong-gu,2,-,-,1,1,30,14,-,-,-,-,-,15,1
Eungam 3(sam)-dong,Eunpyeong-gu,2,1,-,-,1,42,22,-,-,1,-,-,19,-
Yeokchon-dong,Eunpyeong-gu,-,-,-,-,-,43,17,1,-,1,-,-,22,2
Cheonyeon-dong,Seodaemun-gu,-,-,-,-,-,17,9,-,-,1,-,-,6,1
Hongje 1(il)-dong,Seodaemun-gu,1,-,1,-,-,36,12,-,-,-,-,-,20,4
Hongje 3(sam)-dong,Seodaemun-gu,-,-,-,-,-,22,13,-,-,1,-,-,8,-
Hongje 2(i)-dong,Seodaemun-gu,-,-,-,-,-,9,3,-,-,-,-,-,6,-
Hongeun 1(il)-dong,Seodaemun-gu,2,-,-,2,-,19,10,-,-,-,-,-,7,2
Hongeun 2(i)-dong,Seodaemun-gu,-,-,-,-,-,12,7,-,-,-,-,-,5,-
Namgajwa 1(il)-dong,Seodaemun-gu,-,-,-,-,-,13,7,-,-,-,-,-,6,-
Namgajwa 2(i)-dong,Seodaemun-gu,2,-,-,1,1,21,14,-,-,-,-,-,7,-
Bukgajwa 1(il)-dong,Seodaemun-gu,1,-,-,1,-,15,6,-,-,-,-,-,9,-
Bukgajwa 2(i)-dong,Seodaemun-gu,1,-,-,-,1,16,10,-,-,1,1,-,4,-
Chunghyeon-dong,Seodaemun-gu,2,-,-,-,2,37,6,-,-,3,-,-,26,2
Bugahyeon-dong,Seodaemun-gu,2,-,-,-,2,8,7,-,-,-,-,-,1,-
Sinchon-dong,Seodaemun-gu,6,2,-,2,2,53,21,2,-,-,-,-,29,1
Yeonhui-dong,Seodaemun-gu,2,-,-,2,-,44,17,-,-,9,1,-,16,1
Yonggang-dong,Mapo-gu,-,-,-,-,-,47,10,1,-,2,-,-,34,-
Daeheung-dong,Mapo-gu,3,-,-,3,-,32,18,-,-,1,-,-,13,-
Yeomni-dong,Mapo-gu,1,-,-,1,-,10,5,-,-,-,-,-,5,-
Sinsu-dong,Mapo-gu,2,-,-,2,-,31,5,-,-,2,-,-,23,1
Seogyo-dong,Mapo-gu,9,-,1,4,4,139,28,2,-,6,-,-,99,4
Hapjeong-dong,Mapo-gu,3,-,-,1,2,37,6,-,-,1,-,-,28,2
Mangwon 1(il)-dong,Mapo-gu,1,-,-,-,1,27,12,1,-,1,-,-,13,-
Mangwon 2(i)-dong,Mapo-gu,1,-,-,-,1,23,7,-,-,1,-,-,15,-
Yeonnam-dong,Mapo-gu,3,-,-,1,2,27,2,-,-,-,-,-,21,4
Seongsan 1(il)-dong,Mapo-gu,4,-,-,2,2,48,5,-,-,7,-,-,34,2
Seongsan 2(i)-dong,Mapo-gu,2,-,-,2,-,36,14,-,-,1,-,-,19,2
Sangam-dong,Mapo-gu,5,-,-,3,2,25,9,1,-,1,-,-,14,-
Dohwa-dong,Mapo-gu,1,-,-,-,1,46,12,-,-,-,-,-,32,2
Seogang-dong,Mapo-gu,2,-,-,1,1,26,7,-,-,2,-,-,13,4
gongdeok-dong,Mapo-gu,2,-,-,2,-,48,17,-,-,2,-,-,29,-
Ahyeon-dong,Mapo-gu,2,-,1,-,1,29,16,-,-,-,-,-,13,-
Mok 1(il)-dong,Yangcheon-gu,2,-,-,-,2,…,…,-,-,-,-,-,…,1
Mok 2(i)-dong,Yangcheon-gu,3,-,-,2,1,…,…,1,-,1,-,-,…,1
Mok 3(sam)-dong,Yangcheon-gu,1,-,-,1,-,…,…,1,-,1,-,-,…,1
Mok 4(sa)-dong,Yangcheon-gu,2,-,-,2,-,…,…,2,-,1,-,-,…,1
Sinwol 1(il)-dong,Yangcheon-gu,1,-,-,1,-,…,…,-,-,1,-,-,…,2
Sinwol 2(i)-dong,Yangcheon-gu,-,-,-,-,-,…,…,-,-,-,-,-,…,1
Sinwol 3(sam)-dong,Yangcheon-gu,-,-,-,-,-,…,…,-,-,-,-,-,…,-
Sinwol 4(sa)-dong,Yangcheon-gu,-,-,-,-,-,…,…,-,-,-,-,-,…,-
Sinwol 5(o)-dong,Yangcheon-gu,-,-,-,-,-,…,…,-,-,2,-,-,…,1
Sinwol 6(yuk)-dong,Yangcheon-gu,1,-,-,1,-,…,…,-,-,-,1,-,…,1
Sinwol 7(chil)-dong,Yangcheon-gu,1,-,-,1,-,…,…,-,-,-,-,-,…,2
Sinjeong 1(il)-dong,Yangcheon-gu,-,-,-,-,-,…,…,1,-,-,-,-,…,-
Sinjeong 2(i)-dong,Yangcheon-gu,-,-,-,-,-,…,…,-,-,1,-,-,…,-
Sinjeong 3(sam)-dong,Yangcheon-gu,2,-,-,-,2,…,…,-,-,-,-,-,…,-
Sinjeong 6(yuk)-dong,Yangcheon-gu,-,-,-,-,-,…,…,1,-,-,-,-,…,-
Sinjeong 7(chil)-dong,Yangcheon-gu,-,-,-,-,-,…,…,-,-,1,-,-,…,-
Mok 5(o)-dong,Yangcheon-gu,1,-,-,-,1,…,…,-,-,2,-,-,…,-
Sinjeong 4(sa)-dong,Yangcheon-gu,2,-,1,-,1,…,…,-,-,-,-,-,…,4
Yeomchang-dong,Gangseo-gu,8,1,-,4,3,50,16,-,-,5,-,-,27,2
Deungchon 1(il)-dong,Gangseo-gu,4,-,-,3,1,63,13,1,-,9,-,-,40,-
Deungchon 2(i)-dong,Gangseo-gu,3,-,-,3,-,15,6,-,-,1,-,-,8,-
Deungchon 3(sam)-dong,Gangseo-gu,2,-,-,1,1,74,19,1,-,3,-,-,49,2
Hwagokbon-dong,Gangseo-gu,-,-,-,-,-,28,14,-,-,1,-,1,12,-
Hwagok 2(i)-dong,Gangseo-gu,3,2,1,-,-,19,3,-,-,-,-,-,16,-
Hwagok 3(sam)-dong,Gangseo-gu,-,-,-,-,-,21,7,-,-,1,-,-,12,1
Hwagok 4(sa)-dong,Gangseo-gu,1,-,-,-,1,32,14,1,-,-,-,-,17,-
Hwagok 6(yuk)-dong,Gangseo-gu,1,-,-,1,-,38,9,-,-,4,-,-,24,1
Hwagok 8(pal)-dong,Gangseo-gu,-,-,-,-,-,32,10,-,-,-,-,-,22,-
Gayang 1(il)-dong,Gangseo-gu,3,1,-,1,1,20,5,-,-,3,-,-,12,-
Gayang 2(i)-dong,Gangseo-gu,2,-,2,-,-,23,10,-,-,-,-,-,13,-
Gayang 3(sam)-dong,Gangseo-gu,6,2,-,3,1,18,6,-,-,2,-,-,8,2
Balsan 1(il)-dong,Gangseo-gu,-,-,-,-,-,43,18,1,-,3,-,-,19,2
Gonghang-dong,Gangseo-gu,4,-,-,1,3,43,10,-,1,5,-,-,26,1
Banghwa 1(il)-dong,Gangseo-gu,-,-,-,-,-,53,15,-,-,3,-,-,31,4
Banghwa 2(i)-dong,Gangseo-gu,1,-,-,1,-,41,8,-,-,2,-,-,29,2
Banghwa 3(sam)-dong,Gangseo-gu,1,-,-,1,-,21,6,-,-,2,-,-,13,-
Hwagok 1(il)-dong,Gangseo-gu,4,-,-,3,1,64,24,-,-,-,1,-,39,-
Ujangsan-dong,Gangseo-gu,1,-,-,1,-,29,12,-,-,3,-,-,13,1
Sindorim-dong,Guro-gu,7,-,-,7,-,41,11,-,-,2,-,-,26,2
