Dong,의료_의료기관_Gu_Gu,의료_의료기관_Total_Number,의료_의료기관_Total_Beds,의료_의료기관_General hospitals_Number,의료_의료기관_General hospitals_Beds,의료_의료기관_Hospitals_Number,의료_의료기관_Hospitals_Beds,의료_의료기관_Clinics_Number,의료_의료기관_Clinics_Beds,의료_의료기관_Attached clinics_Number,의료_의료기관_Attached clinics_Beds,의료_의료기관_Long-term hospitals_Number,의료_의료기관_Long-term hospitals_Beds,의료_의료기관_Nursing Home _Number,의료_의료기관_Nursing Home _Beds,의료_의료기관_tuberculosis hospital_Number,의료_의료기관_tuberculosis hospital_Beds,의료_의료기관_mental hospital_Number,의료_의료기관_mental hospital_Beds,의료_의료기관_Dental hospital_Number,의료_의료기관_Dental hospital_Beds,의료_의료기관_Dental clinics_Number,의료_의료기관_Dental clinics_Beds,의료_의료기관_Oriental medicine hotpital_Number,의료_의료기관_Oriental medicine hotpital_Beds,의료_의료기관_Oriental medicine clinics_Number,의료_의료기관_Oriental medicine clinics_Beds,의료_의료기관_Midwife clinics_Number,의료_의료기관_Midwife clinics_Beds
Sajik-dong,Jongno-gu,76,11,-,-,-,-,25,11,2,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,18,-,-,-
Samcheong-dong,Jongno-gu,8,30,-,-,1,30,2,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-
Buam-dong,Jongno-gu,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
Pyeongchang-dong,Jongno-gu,13,88,-,-,1,87,6,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
Muak-dong,Jongno-gu,7,207,1,207,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Gyonam-dong,Jongno-gu,6,929,2,929,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
Gahoe-dong,Jongno-gu,11,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,6,-,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,140,61,-,-,-,-,48,30,2,-,-,-,-,-,-,-,-,-,-,-,62,-,1,31,27,-,-,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,89,3,-,-,-,-,17,3,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,42,-,-,-
Ihwa-dong,Jongno-gu,10,1761,1,1719,-,-,5,2,-,-,-,-,-,-,-,-,-,-,1,40,3,-,-,-,-,-,-,-
Changsin 1(il)-dong,Jongno-gu,28,48,-,-,-,-,17,48,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
Changsin 2(i)-dong,Jongno-gu,12,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,6,-,-,-
Changsin 3(sam)-dong,Jongno-gu,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Sungin 1(il)-dong,Jongno-gu,15,30,-,-,-,-,7,30,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-
Sungin 2(i)-dong,Jongno-gu,11,3,-,-,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
Cheongunhyoja-dong,Jongno-gu,12,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
Hyehwa-dong,Jongno-gu,32,17,-,-,-,-,14,17,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,8,-,-,-
Sogong-dong,Jung-gu,68,10,-,-,-,-,18,10,9,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,10,-,-,-
Hoehyeon-dong,Jung-gu,54,5,-,-,-,-,20,5,3,-,-,-,-,-,-,-,-,-,1,-,22,-,-,-,8,-,-,-
Myeong-dong,Jung-gu,154,11,-,-,-,-,61,11,6,-,-,-,-,-,-,-,-,-,3,-,54,-,-,-,30,-,-,-
Pil-dong,Jung-gu,24,330,1,330,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,4,-,-,-
Jangchung-dong,Jung-gu,7,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Gwanghui-dong ,Jung-gu,34,522,1,522,-,-,13,-,-,-,-,-,-,-,-,-,-,-,1,-,16,-,-,-,3,-,-,-
Euljiro-dong,Jung-gu,42,354,1,351,-,-,12,3,-,-,-,-,-,-,-,-,-,-,1,-,21,-,-,-,7,-,-,-
Sindang 5(o)-dong,Jung-gu,26,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,8,-,-,-
Hwanghak-dong,Jung-gu,16,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,1,-,6,-,-,-,2,-,-,-
Jungnim-dong,Jung-gu,17,26,-,-,-,-,4,26,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
Sindang-dong,Jung-gu,27,19,-,-,-,-,13,19,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,4,-,-,-
Dasan-dong,Jung-gu,22,62,-,-,-,-,12,62,-,-,-,-,-,-,-,-,-,-,1,-,5,-,-,-,4,-,-,-
Yaksu-dong,Jung-gu,35,236,-,-,2,218,13,18,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,7,-,-,-
Cheonggu-dong,Jung-gu,8,23,-,-,-,-,2,23,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
Donghwa-dong,Jung-gu,15,22,-,-,-,-,7,22,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-
Huam-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,7,-,-,-
Yongsan 2-ga-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Namyeong-dong,Yongsan-gu,…,11,-,-,-,-,…,11,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,4,-,-,-
Wonhyoro 2(i)-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Hyochang-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-
Yongmun-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,6,-,-,-
Ichon 1(il)-dong,Yongsan-gu,…,80,-,-,1,80,…,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,6,-,-,-
Ichon 2(i)-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Itaewon 1(il)-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-
Itaewon 2(i)-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,-,-
Seobinggo-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bogwang-dong,Yongsan-gu,…,14,-,-,-,-,…,14,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,4,-,-,-
Cheongpa-dong,Yongsan-gu,…,150,1,130,-,-,…,20,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,6,-,-,-
Wonhyoro 1(il)-dong,Yongsan-gu,…,64,-,-,-,-,…,59,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,2,-,1,5
Hangangno-dong,Yongsan-gu,…,40,-,-,-,-,…,4,-,-,-,-,-,-,-,-,-,-,-,-,15,-,1,36,11,-,-,-
Hannam-dong,Yongsan-gu,…,706,1,706,-,-,…,-,1,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,6,-,-,-
Wangsimni 2(i)-dong,Seongdong-gu,15,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
Majang-dong,Seongdong-gu,20,46,-,-,-,-,9,46,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,3,-,-,-
Sageun-dong,Seongdong-gu,5,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Haengdang 1(il)-dong,Seongdong-gu,40,960,1,805,2,125,20,30,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,7,-,-,-
Haengdang 2(i)-dong,Seongdong-gu,35,2,-,-,-,-,17,2,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,6,-,-,-
Eungbong-dong,Seongdong-gu,6,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,17,32,-,-,-,-,10,32,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
Geumho 4(sa)-ga-dong,Seongdong-gu,27,33,-,-,-,-,13,33,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,12,29,-,-,-,-,5,29,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,13,1,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,3,-,-,-
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,28,24,-,-,-,-,15,24,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,4,-,-,-
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,28,248,-,-,1,87,11,12,-,-,1,149,-,-,-,-,-,-,-,-,9,-,-,-,6,-,-,-
Songjeong-dong,Seongdong-gu,5,72,-,-,1,72,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Yongdap-dong,Seongdong-gu,30,182,-,-,-,-,15,14,-,-,1,168,-,-,-,-,-,-,1,-,8,-,-,-,5,-,-,-
WangsimniDoseon-dong,Seongdong-gu,32,107,-,-,1,96,14,11,-,-,-,-,-,-,-,-,-,-,1,-,7,-,-,-,9,-,-,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,31,190,-,-,1,134,14,56,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,9,-,-,-
Oksu-dong,Seongdong-gu,27,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,6,-,-,-
Hwayang-dong,Gwangjin-gu,49,944,1,878,1,36,27,30,-,-,-,-,-,-,-,-,-,-,1,-,13,-,-,-,6,-,-,-
Gunja-dong,Gwangjin-gu,35,64,-,-,1,42,17,22,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,8,-,-,-
Junggok 1(il)-dong,Gwangjin-gu,31,37,-,-,-,-,15,37,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,8,-,-,-
Junggok 2(i)-dong,Gwangjin-gu,48,326,-,-,-,-,28,326,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,10,-,-,-
Junggok 3(sam)-dong,Gwangjin-gu,30,400,-,-,-,-,16,65,-,-,-,-,-,-,-,-,1,335,-,-,6,-,-,-,7,-,-,-
Junggok 4(sa)-dong,Gwangjin-gu,33,73,-,-,-,-,14,73,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,8,-,-,-
Neung-dong,Gwangjin-gu,15,58,-,-,1,50,7,8,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,5,-,-,-
Guui 1(il)-dong,Gwangjin-gu,31,68,-,-,-,-,16,68,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,6,-,-,-
Guui 2(i)-dong,Gwangjin-gu,24,92,-,-,1,90,9,2,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,5,-,-,-
Guui 3(sam)-dong,Gwangjin-gu,52,38,-,-,-,-,29,38,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,10,-,-,-
Gwangjang-dong,Gwangjin-gu,32,53,-,-,-,-,12,27,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,6,26,-,-
Jayang 1(il)-dong,Gwangjin-gu,44,297,1,265,-,-,16,32,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,17,-,-,-
Jayang 2(i)-dong,Gwangjin-gu,32,41,-,-,-,-,14,41,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,5,-,-,-
Jayang 3(sam)-dong,Gwangjin-gu,27,35,-,-,-,-,14,35,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
Jayang 4(sa)-dong,Gwangjin-gu,40,117,-,-,-,-,19,29,-,-,1,88,-,-,-,-,-,-,-,-,11,-,-,-,9,-,-,-
Hoegi-dong,Dongdaemun-gu,13,1110,1,850,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,20,3,-,1,240,6,-,-,-
Hwigyeong 1(il)-dong,Dongdaemun-gu,24,1,-,-,-,-,13,1,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
Hwigyeong 2(i)-dong,Dongdaemun-gu,8,464,1,429,-,-,2,29,-,-,-,-,-,-,-,-,-,-,1,6,2,-,-,-,2,-,-,-
Cheongnyangni-dong,Dongdaemun-gu,56,845,1,240,-,-,30,14,-,-,1,91,-,-,-,-,1,500,-,-,16,-,-,-,7,-,-,-
Yongsin-dong,Dongdaemun-gu,63,792,1,200,3,110,21,108,-,-,2,374,-,-,-,-,-,-,1,-,17,-,-,-,18,-,-,-
Jegi-dong,Dongdaemun-gu,114,74,-,-,1,72,14,2,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,88,-,-,-
Jeonnong 1(il)-dong,Dongdaemun-gu,34,498,1,400,1,30,19,68,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,3,-,-,-
Jeonnong 2(i)-dong,Dongdaemun-gu,27,6,-,-,-,-,15,6,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,6,-,-,-
Dapsimni 1(il)-dong,Dongdaemun-gu,44,715,-,-,2,458,21,136,-,-,1,116,-,-,-,-,-,-,-,-,11,-,-,-,8,-,1,5
Dapsimni 2(i)-dong,Dongdaemun-gu,29,340,-,-,1,290,13,50,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,6,-,-,-
Jangan 1(il)-dong,Dongdaemun-gu,59,598,-,-,4,436,33,75,-,-,1,87,-,-,-,-,-,-,-,-,12,-,-,-,9,-,-,-
Jangan 2(i)-dong,Dongdaemun-gu,67,379,-,-,2,209,29,37,-,-,1,133,-,-,-,-,-,-,-,-,20,-,-,-,15,-,-,-
Imun 1(il)-dong,Dongdaemun-gu,32,63,-,-,-,-,11,63,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,9,-,-,-
Imun 2(i)-dong,Dongdaemun-gu,16,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
Myeonmok 2(i)-dong,Jungnang-gu,27,240,-,-,1,91,14,72,-,-,1,77,-,-,-,-,-,-,-,-,4,-,-,-,7,-,-,-
Myeonmok 4(sa)-dong,Jungnang-gu,13,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,4,-,-,-
Myeonmok 5(o)-dong,Jungnang-gu,8,53,-,-,1,53,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-
Myeonmok 7(chil)-dong,Jungnang-gu,34,42,-,-,-,-,18,42,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,7,-,-,-
Sangbong 1(il)-dong,Jungnang-gu,16,44,-,-,1,40,4,4,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
Sangbong 2(i)-dong,Jungnang-gu,37,341,-,-,1,90,14,108,-,-,1,143,-,-,-,-,-,-,-,-,11,-,-,-,10,-,-,-
Junghwa 1(il)-dong,Jungnang-gu,25,95,-,-,1,64,11,31,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
Junghwa 2(i)-dong,Jungnang-gu,30,97,-,-,-,-,16,97,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
Muk 1(il)-dong,Jungnang-gu,34,155,-,-,2,75,12,80,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,8,-,-,-
Muk 2(i)-dong,Jungnang-gu,17,27,-,-,-,-,8,27,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
Mangu 3(sam)-dong,Jungnang-gu,10,29,-,-,-,-,3,29,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,4,-,-,-
Sinnae 1(il)-dong,Jungnang-gu,39,755,1,623,-,-,21,74,-,-,1,58,-,-,-,-,-,-,-,-,9,-,-,-,7,-,-,-
Sinnae 2(i)-dong,Jungnang-gu,24,134,-,-,-,-,10,-,-,-,1,134,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-,-
Myeonmokbon-dong,Jungnang-gu,54,49,-,-,-,-,27,49,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,14,-,-,-
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,36,412,1,365,-,-,17,47,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,7,-,-,-
Mangubon-dong,Jungnang-gu,61,787,-,-,5,468,28,106,-,-,-,-,-,-,-,-,1,213,-,-,18,-,-,-,9,-,-,-
Donam 1(il)-dong,Seongbuk_gu,9,84,-,-,-,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
Donam 2(i)-dong,Seongbuk_gu,9,5,-,-,-,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-
Anam-dong,Seongbuk_gu,14,1065,1,977,1,88,5,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,1,-,-,-
Bomun-dong,Seongbuk_gu,22,383,-,-,-,-,7,59,-,-,2,324,-,-,-,-,-,-,-,-,6,-,-,-,7,-,-,-
Jeongneung 1(il)-dong,Seongbuk_gu,25,184,-,-,-,-,15,9,-,-,1,175,-,-,-,-,-,-,-,-,4,-,-,-,5,-,-,-
Jeongneung 2(i)-dong,Seongbuk_gu,18,260,-,-,-,-,6,26,-,-,-,-,1,234,-,-,-,-,-,-,6,-,-,-,5,-,-,-
Jeongneung 3(sam)-dong,Seongbuk_gu,6,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
